gisco_id,name,registered,turnout,invalid,blank,SKE,Kesk.,FP,Kok,KD,SDP,LPVV,PP,SKP,Korj,PS,Vas,EjOP,STL,VIHR,SFP,Lokka
FI_734,Salo,42367,15563,45,0,21,2128,13,3883,751,2568,11,54,35,84,2494,738,15,123,2243,325,32
FI_738,Sauvo / Sagu,2421,1052,2,0,3,238,1,213,60,108,0,1,3,3,168,55,2,19,130,44,2
FI_761,Somero,7290,2589,5,0,4,682,8,468,100,377,2,8,5,9,511,132,2,33,213,30,0
FI_833,Taivassalo / Tövsala,1397,515,0,0,2,123,0,127,23,50,0,0,1,0,113,21,1,3,46,5,0
FI_853,Turku / Åbo,162111,71537,161,0,80,3141,271,16050,2391,9552,164,630,165,160,8334,6938,213,367,18065,4680,175
FI_895,Uusikaupunki / Nystad,13084,4373,11,0,13,632,3,847,243,929,8,28,6,10,808,248,5,40,475,54,13
FI_918,Vehmaa,1935,734,3,0,0,214,1,139,19,86,0,3,2,1,158,41,0,7,56,4,0
FI_050,Eura,9545,3375,11,0,8,761,4,522,169,746,6,11,9,17,562,255,7,32,219,32,4
FI_051,Eurajoki / Euraåminne,7341,2778,15,0,3,641,1,469,163,601,3,2,6,8,516,103,1,29,192,19,6
FI_079,Harjavalta,5832,1980,12,0,7,218,1,375,136,509,2,7,7,9,275,223,1,20,153,24,1
FI_099,Honkajoki,1389,484,0,0,2,178,1,51,30,22,0,0,4,1,141,24,0,7,17,5,1
FI_102,Huittinen,8294,3290,11,0,7,1397,6,387,166,323,6,11,8,6,586,161,2,13,165,34,1
FI_181,Jämijärvi,1505,533,1,0,0,160,2,45,53,73,0,0,0,0,140,25,1,9,21,2,1
FI_214,Kankaanpää,9514,3403,15,0,6,637,5,509,295,543,3,3,8,10,878,202,5,38,221,18,7
FI_230,Karvia,2018,834,1,0,2,329,0,65,48,82,0,0,2,2,254,21,1,9,12,6,0
FI_271,Kokemäki / Kumo,6038,2162,8,0,9,508,5,345,114,384,4,5,7,8,383,177,6,28,125,41,5
FI_484,Merikarvia / Sastmola,2752,940,1,0,0,266,0,142,66,169,0,3,3,2,179,41,0,18,41,8,1
FI_531,Nakkila,4465,1643,10,0,4,266,3,326,107,285,0,3,5,5,342,124,4,22,113,20,4
FI_608,Pomarkku / Påmark,1795,745,2,0,2,158,0,116,75,107,0,1,3,1,197,40,0,11,29,3,0
FI_609,Pori / Björneborg,70831,25723,84,0,50,2217,48,5381,1523,4997,27,92,101,158,5387,2222,38,234,2781,311,72
FI_684,Rauma / Raumo,32128,11155,37,0,22,1195,14,2349,568,3095,10,50,24,38,1693,542,12,91,1261,117,37
FI_747,Siikainen,1293,423,0,0,1,159,0,24,40,56,1,1,3,1,108,11,1,5,11,0,1
FI_783,Säkylä,5758,2021,6,0,4,598,0,352,80,353,1,3,8,7,324,96,3,13,156,14,3
FI_886,Ulvila / Ulvsby,10427,3819,13,0,4,509,9,741,239,778,3,14,9,25,781,279,9,37,320,40,9
FI_035,Brändö,470,206,1,0,0,2,0,9,1,28,0,0,0,0,4,2,0,0,13,146,0
FI_043,Eckerö,895,381,4,0,1,1,0,3,0,39,0,2,0,1,4,1,0,0,6,319,0
FI_060,Finström,2257,890,11,0,0,1,0,5,5,93,0,3,0,0,5,6,0,0,16,745,0
FI_062,Föglö,520,203,4,0,0,0,0,1,2,19,0,0,0,0,1,0,1,1,1,173,0
FI_065,Geta,459,189,7,0,1,1,0,0,1,17,0,1,0,0,2,1,0,0,2,156,0
FI_076,Hammarland,1354,529,5,0,0,1,0,1,2,50,0,2,1,0,3,3,0,0,7,452,2
FI_170,Jomala,4063,1734,21,0,1,5,1,18,7,191,2,2,0,1,16,5,0,1,42,1421,0
FI_295,Kumlinge,369,123,2,0,0,0,1,0,0,16,0,0,0,0,1,2,0,0,6,95,0
FI_318,Kökar,285,122,0,0,0,1,0,2,1,12,0,0,0,0,3,3,0,0,11,89,0
FI_417,Lemland,1757,761,9,0,2,0,0,3,5,63,1,2,1,0,3,5,1,1,22,643,0
FI_438,Lumparland,354,178,0,0,0,1,0,0,1,12,0,0,0,0,5,1,1,0,2,155,0
FI_478,Maarianhamina - Mariehamn / Mariehamn,11429,4538,48,0,7,7,11,30,19,659,3,9,4,1,46,40,9,2,161,3478,4
FI_736,Saltvik,1693,687,11,0,0,2,0,1,2,65,2,0,0,0,5,2,0,1,14,582,0
FI_766,Sottunga,106,49,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,45,0
FI_771,Sund,963,414,4,0,1,0,1,5,1,35,0,1,0,0,3,3,0,0,19,341,0
FI_941,Vårdö,379,195,4,0,0,0,0,3,0,18,0,0,0,0,2,0,0,1,7,160,0
FI_016,Asikkala,6834,2931,13,0,4,475,5,638,250,318,1,7,7,5,709,118,4,34,322,18,3
FI_061,Forssa,14276,5416,45,0,17,596,11,1226,229,1209,5,41,26,10,947,441,7,47,511,41,7
FI_081,Hartola,2416,932,5,0,0,254,1,168,51,143,0,3,3,1,177,34,2,11,68,9,2
FI_082,Hattula,7567,3004,20,0,3,351,4,974,145,494,5,6,7,9,523,111,8,32,283,26,3
FI_086,Hausjärvi,6594,2494,11,0,5,332,3,545,180,418,4,9,5,4,563,117,4,23,230,32,9
FI_111,Heinola,16378,6158,38,0,23,565,9,1556,433,1295,9,8,10,18,1145,292,7,76,615,50,9
FI_098,Hollola,18658,7465,28,0,9,855,9,2107,549,1176,4,26,10,18,1398,309,17,69,796,71,14
FI_103,Humppila,1854,710,2,0,1,190,0,108,26,137,1,3,3,3,113,47,1,16,54,5,0
FI_109,Hämeenlinna / Tavastehus,55349,22317,86,0,41,1831,43,7574,1096,3679,39,80,58,72,3267,1097,33,144,2889,237,51
FI_165,Janakkala,13105,4853,20,0,21,662,5,1129,199,942,2,15,14,23,894,316,6,33,513,56,3
FI_169,Jokioinen / Jockis,4183,1690,10,0,3,388,5,260,69,310,3,6,5,3,286,133,1,26,166,16,0
FI_316,Kärkölä,3699,1289,8,0,3,199,2,322,39,213,2,5,2,2,293,66,1,17,85,26,4
FI_398,Lahti / Lahtis,99768,37305,166,0,63,2349,62,9556,2649,7151,50,180,73,103,6301,2315,67,350,5367,376,127
FI_433,Loppi,6192,2409,23,0,10,430,2,500,94,421,1,10,8,7,493,140,4,24,217,22,3
FI_560,Orimattila,12841,4429,19,0,8,745,4,867,220,737,6,15,7,18,1014,192,5,61,445,51,15
FI_576,Padasjoki,2630,956,5,0,3,126,0,249,76,166,1,2,3,1,182,29,3,14,70,26,0
FI_694,Riihimäki,23086,8913,50,0,18,564,14,2186,525,1655,12,44,25,29,1569,776,9,61,1268,91,17
FI_781,Sysmä,3328,1312,3,0,6,327,2,300,65,206,1,1,5,1,249,30,2,5,94,13,2
FI_834,Tammela,4923,2028,17,0,4,466,0,463,75,290,0,12,9,6,356,102,4,22,177,21,4
FI_981,Ypäjä,2013,764,7,0,5,202,1,157,30,86,0,5,7,2,130,48,0,13,57,11,3
