gisco_id,name,registered,turnout,invalid,blank,ÖVP,SPÖ,FPÖ,GRÜNE,BZÖ,NEOS,REKOS,ANDERS,EUSTOP
AT_10511,Königsdorf,619,278,20,0,77,91,57,14,1,6,3,4,5
AT_10512,Mühlgraben,353,160,4,0,26,83,30,8,0,6,0,1,2
AT_10599,Briefwahlkarten - Jennersdorf,0,625,16,0,185,158,89,88,0,59,0,13,17
AT_10601,Draßburg,928,540,21,0,87,297,69,34,3,13,3,2,11
AT_10602,Forchtenstein,2280,1060,30,0,310,335,220,70,3,50,8,12,22
AT_10603,Hirm,731,455,23,0,48,256,60,37,1,15,1,4,10
AT_10604,Loipersbach im Burgenland,987,477,25,0,71,206,104,36,0,21,2,6,6
AT_10605,Marz,1637,886,53,0,305,252,156,63,1,38,2,5,11
AT_10606,Mattersburg,5580,2375,118,0,589,737,422,245,3,154,15,29,63
AT_10607,Neudörfl,3281,1450,66,0,244,507,345,102,7,102,14,21,42
AT_10608,Pöttelsdorf,594,285,6,0,95,86,42,28,0,15,3,5,5
AT_10609,Pöttsching,2333,1227,38,0,245,426,223,146,3,73,7,30,36
AT_10610,Rohrbach bei Mattersburg,2167,1154,51,0,294,467,217,65,0,32,6,10,12
AT_10611,Bad Sauerbrunn,1692,751,18,0,143,209,177,111,3,55,5,12,18
AT_10612,Schattendorf,1987,1170,65,0,147,655,163,65,0,39,3,4,29
AT_10613,Sieggraben,1057,506,22,0,190,147,102,11,2,18,3,5,6
AT_10614,Sigleß,958,578,26,0,114,240,86,49,3,27,8,7,18
AT_10615,Wiesen,2267,904,33,0,306,162,228,80,2,51,5,15,22
AT_10616,Antau,603,376,19,0,125,98,94,16,1,12,0,4,7
AT_10617,Baumgarten,706,403,10,0,83,196,48,40,1,19,3,1,2
AT_10618,Zemendorf-Stöttera,1002,532,22,0,240,155,48,30,0,26,0,2,9
AT_10619,Krensdorf,488,291,10,0,119,86,39,20,1,9,0,5,2
AT_10699,Briefwahlkarten - Mattersburg,0,1234,31,0,285,510,132,146,2,76,10,17,25
AT_10701,Andau,2007,998,22,0,290,441,167,28,0,18,3,5,24
AT_10702,Apetlon,1567,706,31,0,272,214,125,22,1,20,5,6,10
AT_10703,Bruckneudorf,2343,1017,43,0,127,287,284,128,0,77,3,26,42
AT_10704,Deutsch Jahrndorf,473,259,15,0,73,73,69,8,0,8,0,1,12
AT_10705,Frauenkirchen,2399,1121,56,0,276,430,203,68,2,41,11,17,17
AT_10706,Gattendorf,933,462,26,0,162,143,84,19,0,7,2,4,15
AT_10707,Gols,3032,1420,83,0,328,421,303,126,5,71,4,13,66
AT_10708,Halbturn,1598,849,37,0,351,207,157,46,1,31,4,6,9
AT_10709,Illmitz,2052,1137,61,0,382,334,214,61,3,34,7,11,30
AT_10710,Jois,1189,628,15,0,213,173,103,41,2,33,7,14,27
