gisco_id,name,registered,turnout,invalid,blank,SPÖ,ÖVP,FPÖ,GRÜNE,NEOS,JETZT,GILT,FPS,KPÖ,WEIßE,SLP,EUAUS,M,CPÖ,NBZ,DU
AT_10609,Pöttsching,2369,1844,18,0,651,514,454,41,60,72,13,1,14,6,0,0,0,0,0,0
AT_10610,Rohrbach bei Mattersburg,2179,1663,27,0,642,506,359,20,38,43,8,14,5,1,0,0,0,0,0,0
AT_10611,Bad Sauerbrunn,1732,1263,12,0,369,351,322,45,58,82,19,0,3,2,0,0,0,0,0,0
AT_10612,Schattendorf,1950,1515,29,0,725,331,325,31,30,28,9,0,6,1,0,0,0,0,0,0
AT_10613,Sieggraben,1016,787,9,0,224,279,233,3,17,13,7,1,1,0,0,0,0,0,0,0
AT_10614,Sigleß,970,794,6,0,367,189,156,17,31,17,8,0,3,0,0,0,0,0,0,0
AT_10615,Wiesen,2193,1704,20,0,348,697,474,20,56,72,8,3,5,1,0,0,0,0,0,0
AT_10616,Antau,613,471,2,0,114,188,134,6,7,15,4,0,1,0,0,0,0,0,0,0
AT_10617,Baumgarten,708,548,4,0,279,140,71,14,16,21,1,0,1,1,0,0,0,0,0,0
AT_10618,Zemendorf-Stöttera,992,781,2,0,247,343,141,6,20,13,9,0,0,0,0,0,0,0,0,0
AT_10619,Krensdorf,488,416,8,0,137,153,97,5,11,4,1,0,0,0,0,0,0,0,0,0
AT_10699,Briefwahlkarten - Mattersburg,0,2508,16,0,988,786,383,57,115,118,15,9,14,7,0,0,0,0,0,0
AT_10701,Andau,1937,1589,15,0,595,473,453,12,17,15,2,2,2,3,0,0,0,0,0,0
AT_10702,Apetlon,1542,1220,12,0,376,473,303,10,20,14,6,1,3,2,0,0,0,0,0,0
AT_10703,Bruckneudorf,2278,1658,13,0,585,329,545,33,69,51,25,0,4,4,0,0,0,0,0,0
AT_10704,Deutsch Jahrndorf,448,369,5,0,133,107,106,1,5,7,1,0,1,3,0,0,0,0,0,0
AT_10705,Frauenkirchen,2363,1752,21,0,621,517,456,27,54,33,13,0,8,2,0,0,0,0,0,0
AT_10706,Gattendorf,944,750,6,0,245,232,219,4,16,14,4,2,5,3,0,0,0,0,0,0
AT_10707,Gols,3076,2372,22,0,743,629,716,75,75,68,27,3,7,7,0,0,0,0,0,0
AT_10708,Halbturn,1575,1276,20,0,300,544,306,30,28,27,7,1,11,2,0,0,0,0,0,0
AT_10709,Illmitz,2050,1665,15,0,622,573,363,13,41,32,2,0,3,1,0,0,0,0,0,0
AT_10710,Jois,1233,946,6,0,272,346,254,7,21,30,2,3,5,0,0,0,0,0,0,0
AT_10711,Kittsee,1488,1117,14,0,341,391,300,13,24,29,4,0,0,1,0,0,0,0,0,0
AT_10712,Mönchhof,1825,1389,16,0,345,537,409,17,36,20,6,0,3,0,0,0,0,0,0,0
AT_10713,Neusiedl am See,6003,4312,39,0,1130,1480,997,149,267,185,27,7,22,9,0,0,0,0,0,0
AT_10714,Nickelsdorf,1251,988,11,0,355,254,276,28,13,37,5,0,8,1,0,0,0,0,0,0
AT_10715,Pama,856,700,3,0,261,289,117,3,9,13,2,0,3,0,0,0,0,0,0,0
AT_10716,Pamhagen,1412,1037,11,0,301,428,237,8,25,10,11,0,4,2,0,0,0,0,0,0
AT_10717,Parndorf,3190,2237,24,0,793,430,789,58,45,69,23,0,5,1,0,0,0,0,0,0
AT_10718,Podersdorf am See,1750,1315,14,0,301,579,287,23,56,48,5,0,1,1,0,0,0,0,0,0
AT_10719,Sankt Andrä am Zicksee,1150,928,11,0,271,373,226,6,22,12,3,1,3,0,0,0,0,0,0,0
AT_10720,Tadten,1015,783,4,0,269,355,120,5,20,7,2,1,0,0,0,0,0,0,0,0
AT_10721,Wallern im Burgenland,1451,1149,20,0,413,348,302,17,21,16,8,2,2,0,0,0,0,0,0,0
AT_10722,Weiden am See,1929,1508,11,0,381,474,448,37,74,66,10,2,4,1,0,0,0,0,0,0
AT_10723,Winden am See,1087,814,4,0,321,211,207,19,17,27,5,0,3,0,0,0,0,0,0,0
AT_10724,Zurndorf,1688,1364,9,0,483,300,451,22,44,43,3,4,4,1,0,0,0,0,0,0
AT_10725,Neudorf,576,435,8,0,119,166,108,3,14,10,5,1,1,0,0,0,0,0,0,0
AT_10726,Potzneusiedl,425,339,3,0,121,62,132,10,5,6,0,0,0,0,0,0,0,0,0,0
AT_10727,Edelstal,492,378,2,0,103,153,99,4,5,11,0,0,1,0,0,0,0,0,0,0
AT_10799,Briefwahlkarten - Neusiedel am See,0,3499,23,0,1058,1163,718,143,158,178,24,7,21,6,0,0,0,0,0,0
AT_10801,Deutschkreutz,2549,1892,16,0,543,785,401,17,47,36,10,33,3,1,0,0,0,0,0,0
AT_10802,Draßmarkt,1168,929,8,0,302,393,150,23,25,14,9,1,4,0,0,0,0,0,0,0
AT_10803,Frankenau-Unterpullendorf,957,700,5,0,214,314,100,24,18,18,3,1,2,1,0,0,0,0,0,0
AT_10804,Großwarasdorf,1158,883,8,0,267,389,150,25,17,16,2,0,6,3,0,0,0,0,0,0
AT_10805,Horitschon,1509,1209,11,0,375,478,284,13,22,20,2,0,4,0,0,0,0,0,0,0
AT_10806,Kaisersdorf,488,400,2,0,179,83,101,5,8,17,1,3,1,0,0,0,0,0,0,0
AT_10807,Kobersdorf,1555,1247,10,0,525,324,325,19,19,12,8,1,2,2,0,0,0,0,0,0
AT_10808,Lackenbach,940,665,9,0,241,207,169,6,15,5,7,2,2,2,0,0,0,0,0,0
AT_10809,Lockenhaus,1654,1238,12,0,376,446,311,23,26,30,7,2,1,4,0,0,0,0,0,0
AT_10810,Lutzmannsburg,706,559,6,0,163,214,144,6,13,6,2,1,2,2,0,0,0,0,0,0
AT_10811,Mannersdorf an der Rabnitz,1503,1194,16,0,418,367,331,9,18,21,10,0,3,1,0,0,0,0,0,0
AT_10812,Markt Sankt Martin,993,808,8,0,312,267,158,18,12,17,11,0,5,0,0,0,0,0,0,0
AT_10813,Neckenmarkt,1391,1141,17,0,369,458,239,14,22,20,1,1,0,0,0,0,0,0,0,0
AT_10814,Neutal,884,752,13,0,414,163,127,3,7,17,2,2,4,0,0,0,0,0,0,0
AT_10815,Nikitsch,1174,907,11,0,274,413,142,17,17,20,5,1,7,0,0,0,0,0,0,0
AT_10816,Oberpullendorf,2510,1610,15,0,464,587,377,46,53,53,3,4,6,2,0,0,0,0,0,0
AT_10817,Pilgersdorf,1408,1083,10,0,273,539,209,9,17,21,4,0,0,1,0,0,0,0,0,0
AT_10818,Piringsdorf,710,582,13,0,228,195,106,7,16,15,2,0,0,0,0,0,0,0,0,0
AT_10819,Raiding,721,511,3,0,218,177,96,1,4,7,3,1,1,0,0,0,0,0,0,0
AT_10820,Ritzing,737,577,5,0,215,156,147,9,12,26,2,1,4,0,0,0,0,0,0,0
AT_10821,Steinberg-Dörfl,1063,837,5,0,281,303,181,12,32,19,4,0,0,0,0,0,0,0,0,0
AT_10822,Stoob,1156,916,16,0,378,266,203,15,18,13,5,1,0,1,0,0,0,0,0,0
AT_10823,Weppersdorf,1503,1180,10,0,546,222,324,17,21,18,14,1,4,3,0,0,0,0,0,0
AT_10824,Lackendorf,503,392,3,0,160,108,98,2,6,9,5,1,0,0,0,0,0,0,0,0
AT_10825,Unterfrauenhaid,537,412,3,0,146,146,97,4,6,8,2,0,0,0,0,0,0,0,0,0
AT_10826,Unterrabnitz-Schwendgraben,527,426,1,0,117,200,90,9,6,1,2,0,0,0,0,0,0,0,0,0
AT_10827,Weingraben,284,232,3,0,100,73,40,3,4,6,1,0,2,0,0,0,0,0,0,0
AT_10828,Oberloisdorf,677,536,12,0,196,174,123,7,8,10,4,1,1,0,0,0,0,0,0,0
AT_10899,Briefwahlkarten - Oberpullendorf,0,2638,25,0,920,898,432,91,84,116,31,19,16,6,0,0,0,0,0,0
AT_10901,Bad Tatzmannsdorf,1240,889,9,0,236,337,236,10,28,28,3,1,0,1,0,0,0,0,0,0
AT_10902,Bernstein,1805,1325,14,0,536,359,351,17,16,16,12,1,2,1,0,0,0,0,0,0
AT_10903,Deutsch Schützen-Eisenberg,969,782,10,0,123,352,248,6,13,19,5,1,1,4,0,0,0,0,0,0
AT_10904,Grafenschachen,1045,844,15,0,388,175,240,6,8,9,2,0,1,0,0,0,0,0,0,0
AT_10905,Großpetersdorf,2893,2049,23,0,804,583,507,33,43,43,7,0,3,3,0,0,0,0,0,0
AT_10906,Hannersdorf,659,510,5,0,190,180,115,6,8,5,0,0,1,0,0,0,0,0,0,0
AT_10907,Kemeten,1236,926,5,0,311,186,362,16,16,24,1,0,5,0,0,0,0,0,0,0
AT_10908,Kohfidisch,1218,971,9,0,323,311,269,8,16,16,11,2,3,3,0,0,0,0,0,0
AT_10909,Litzelsdorf,957,735,5,0,225,188,266,21,5,17,2,2,3,1,0,0,0,0,0,0
AT_10910,Loipersdorf-Kitzladen,1042,839,5,0,315,240,249,8,8,9,3,0,2,0,0,0,0,0,0,0
AT_10911,Mariasdorf,967,754,12,0,238,202,245,10,18,24,2,2,0,1,0,0,0,0,0,0
AT_10912,Markt Allhau,1496,1173,11,0,327,377,336,21,48,39,9,0,4,1,0,0,0,0,0,0
