gisco_id,name,registered,turnout,invalid,blank,Eestimaa Ühendatud Vasakpartei,Sotsiaaldemokraatlik Erakond,Erakond Eestimaa Rohelised,Erakond Isamaa ja Res Publica Liit,Eesti Keskerakond,Eesti Konservatiivne Rahvaerakond,Eesti Reformierakond,Eesti Iseseisvuspartei,IMRE MÜRK,KRISTIINA OJULAND,KRISTA MULENOK,ROMAN UBAKIVI,TAIRA AASA,DMITRI SILBER,OLGA SÕTNIK,JEVGENI KRIŠTAFOVITŠ,LANCE GARETH EDWARD BOXALL,RENE KUULMANN,INDREK TARAND,TANEL TALVE,SVETLANA IVNITSKAJA,ANDRES INN,SILVER MEIKAR,JOERI WIERSMA
EE_0741,Sindi,3074,0,0,0,2,95,1,134,261,59,225,15,1,7,2,0,0,0,0,0,0,0,133,30,0,0,9,0
EE_0751,Sonda,658,0,0,0,0,23,0,43,62,6,50,1,1,6,2,0,0,0,0,1,0,1,42,11,0,0,3,0
EE_0756,Surju,792,0,0,0,0,40,0,26,24,17,56,7,0,5,1,0,0,0,0,0,0,1,70,16,0,0,3,0
EE_0758,Suure-Jaani,4493,0,0,0,1,181,5,217,157,47,337,9,1,14,7,0,0,0,1,1,0,0,243,58,0,6,20,1
EE_0767,Sõmerpalu,1471,0,0,0,0,96,1,40,34,13,136,10,0,5,4,1,0,0,0,0,0,0,65,24,0,0,9,0
EE_0770,Sõmeru,2742,0,0,0,0,109,3,101,74,40,222,16,0,18,6,1,0,0,0,1,0,1,151,46,0,0,18,0
EE_0773,Tabivere,1718,0,0,0,0,86,1,42,51,22,121,6,1,7,6,0,1,0,0,2,0,1,72,22,1,0,14,0
EE_0779,Taheva,653,0,0,0,0,39,1,64,19,12,39,4,0,1,0,0,0,0,0,0,0,0,28,5,0,0,0,0
EE_0848,Tahkuranna,1809,0,0,0,0,59,3,43,57,39,174,8,0,7,1,0,0,0,0,2,0,0,110,31,0,1,6,0
EE_0784,Tallinn,262361,116239,1892,0,67,13634,327,16411,36160,3693,25230,1155,72,765,281,36,82,58,186,261,19,292,11731,1762,72,18,2023,12
