gisco_id,name,registered,turnout,invalid,blank,Eestimaa Ühendatud Vasakpartei,Sotsiaaldemokraatlik Erakond,Erakond Eestimaa Rohelised,Erakond Isamaa ja Res Publica Liit,Eesti Keskerakond,Eesti Konservatiivne Rahvaerakond,Eesti Reformierakond,Eesti Iseseisvuspartei,IMRE MÜRK,KRISTIINA OJULAND,KRISTA MULENOK,ROMAN UBAKIVI,TAIRA AASA,DMITRI SILBER,OLGA SÕTNIK,JEVGENI KRIŠTAFOVITŠ,LANCE GARETH EDWARD BOXALL,RENE KUULMANN,INDREK TARAND,TANEL TALVE,SVETLANA IVNITSKAJA,ANDRES INN,SILVER MEIKAR,JOERI WIERSMA
EE_0297,Kernu,1493,0,0,0,0,60,3,90,33,22,133,10,0,7,5,0,0,0,0,2,0,1,96,28,0,0,13,1
EE_0301,Kihelkonna,675,0,0,0,0,45,0,15,33,19,52,6,0,5,1,0,0,0,0,0,0,1,35,14,1,0,4,0
EE_0303,Kihnu,600,0,0,0,0,23,1,31,19,5,48,1,1,4,0,0,1,0,0,0,0,0,23,16,0,0,9,0
EE_0304,Kiili,3217,0,0,0,0,182,2,219,71,71,480,24,4,13,11,0,0,0,0,1,0,3,194,47,0,0,39,0
EE_0309,Kiviõli,3559,0,0,0,0,71,2,98,712,19,149,8,0,36,2,1,0,1,0,2,1,0,77,30,0,0,15,0
EE_0314,Koeru,1701,0,0,0,0,66,0,73,54,25,136,8,0,3,1,0,0,0,0,0,0,1,83,32,0,0,4,0
EE_0317,Kohila vald,5090,0,0,0,0,214,7,317,164,75,417,28,3,18,9,1,1,0,1,1,0,3,290,73,2,0,45,0
EE_0320,Kohtla,898,0,0,0,1,47,2,38,77,5,48,2,0,7,1,0,0,1,0,0,0,0,29,5,0,0,2,0
EE_0322,Kohtla-Järve,14743,0,0,0,5,310,7,207,3268,38,370,14,0,47,3,4,0,7,2,5,1,0,182,30,3,2,25,0
EE_0323,Kohtla-Nõmme,706,0,0,0,0,35,1,41,38,3,61,6,0,12,0,0,0,0,0,0,0,0,43,9,0,0,2,0
EE_0325,Koigi,784,0,0,0,0,34,2,22,25,29,58,6,0,1,2,0,0,0,2,0,0,0,57,20,0,0,3,0
EE_0328,Kolga-Jaani,1219,0,0,0,0,55,0,57,47,22,94,8,0,3,4,0,0,0,0,0,0,0,92,32,0,0,7,0
EE_0331,Konguta,1163,0,0,0,0,69,3,55,19,18,95,17,1,4,2,0,0,0,0,0,0,0,63,26,0,0,4,0
EE_0334,Koonga,940,0,0,0,0,33,1,31,42,21,72,7,0,1,2,0,0,0,0,0,0,0,63,19,1,0,2,0
EE_0338,Kose,5501,0,0,0,0,298,5,239,106,81,509,25,5,21,20,0,0,0,1,1,0,8,336,172,0,0,29,1
EE_0342,Kullamaa,907,0,0,0,0,38,0,28,38,32,68,7,1,6,4,0,0,0,0,0,0,1,47,12,0,0,1,0
EE_0345,Kunda,2112,0,0,0,0,69,2,59,196,23,128,4,0,12,5,0,0,0,0,0,0,1,70,24,0,1,2,0
EE_0349,Kuressaare,11290,0,0,0,2,535,6,434,355,138,1017,48,2,20,18,3,0,0,0,5,2,2,469,64,1,0,75,0
EE_0353,Kuusalu,5027,0,0,0,0,255,8,280,133,101,517,44,2,40,10,0,0,0,1,9,0,1,369,83,1,0,27,0
EE_0368,Käina,1789,0,0,0,0,109,0,80,46,26,164,12,0,3,0,1,0,0,2,1,0,5,110,22,0,0,16,0
EE_0373,Kärla,1163,0,0,0,0,53,0,38,40,16,93,4,0,4,4,0,0,0,0,0,0,2,55,18,1,0,3,0
EE_0375,Käru,509,0,0,0,0,15,0,39,8,8,52,1,0,0,0,2,0,0,0,0,0,0,43,6,0,0,1,0
EE_0354,Kõlleste,844,0,0,0,0,44,2,22,29,30,67,6,0,3,0,0,0,0,0,0,0,0,27,15,0,1,2,0
EE_0357,Kõo,893,0,0,0,0,36,1,36,23,9,55,6,0,5,0,0,0,0,0,0,0,1,56,16,0,3,2,1
EE_0360,Kõpu,553,0,0,0,0,34,0,14,18,6,48,1,1,1,1,0,0,0,0,0,0,0,33,13,0,0,1,0
EE_0381,Laekvere,1300,0,0,0,0,70,5,79,51,14,82,7,1,6,0,0,0,0,0,0,0,0,99,21,1,0,1,0
EE_0383,Laeva,650,0,0,0,0,30,0,14,18,9,45,0,0,2,0,0,0,0,0,0,0,0,44,12,0,0,6,0
EE_0385,Laheda,970,0,0,0,0,76,1,16,52,13,39,5,2,1,2,0,0,0,0,0,0,0,32,17,0,0,0,0
EE_0386,Laimjala,612,0,0,0,0,38,0,19,5,11,45,7,0,0,5,0,0,0,0,0,0,0,39,5,0,0,3,0
EE_0389,Lasva,1353,0,0,0,1,106,3,47,52,23,54,5,0,2,5,0,0,0,0,0,0,0,54,31,0,0,0,0
EE_0403,Leisi,1712,0,0,0,0,61,1,41,44,15,151,6,0,5,1,0,0,0,0,0,0,0,72,24,0,0,9,0
EE_0411,Lihula,1985,0,0,0,0,110,4,62,47,48,125,9,0,6,3,0,0,0,0,2,0,0,100,19,0,0,13,1
EE_0420,Lohusuu,593,0,0,0,0,23,0,18,41,4,62,0,0,1,0,0,0,0,0,0,0,0,28,14,0,0,2,0
EE_0424,Loksa linn,1137,0,0,0,0,32,0,54,176,11,57,6,0,2,0,0,0,0,3,2,1,0,36,16,0,0,10,0
EE_0432,Luunja,2853,0,0,0,0,87,4,109,77,39,266,18,4,8,8,0,0,0,1,0,0,1,143,44,0,1,30,0
EE_0436,Lääne-Nigula,3292,0,0,0,0,158,1,132,77,116,287,26,0,8,7,1,0,0,1,0,0,0,215,42,0,0,10,0
EE_0438,Lüganuse,2304,0,0,0,0,98,0,89,122,26,184,7,0,17,2,0,0,0,0,2,2,0,119,52,0,0,8,1
EE_0440,Lümanda,728,0,0,0,0,60,0,37,24,12,79,10,0,4,1,0,0,0,0,0,0,1,59,12,0,0,4,0
EE_0446,Maardu,6588,0,0,0,76,143,5,133,1242,40,233,15,1,16,3,1,1,1,3,1,0,4,110,28,1,0,9,0
EE_0452,Martna,700,0,0,0,0,13,0,21,20,43,44,9,0,1,2,0,0,0,0,0,0,0,44,14,0,0,1,0
EE_0454,Meeksi,552,0,0,0,0,23,0,10,35,6,32,2,2,2,2,0,0,0,1,1,0,0,36,12,0,0,1,0
EE_0460,Meremäe,949,0,0,0,0,62,2,35,37,22,47,4,0,1,1,0,0,0,1,1,0,1,16,5,0,0,1,0
EE_0465,Mikitamäe,868,0,0,0,0,29,0,21,63,4,33,1,0,0,0,0,0,0,0,1,0,0,33,13,0,0,0,0
EE_0468,Misso,602,0,0,0,0,42,0,27,32,18,20,4,0,1,2,0,0,0,3,0,0,0,31,7,0,0,2,0
EE_0473,Mooste,1187,0,0,0,0,54,2,38,28,9,73,4,1,3,0,0,1,0,0,0,0,0,56,16,0,0,1,0
EE_0478,Muhu,1661,0,0,0,1,124,0,105,47,23,148,6,0,1,1,0,0,0,0,0,0,1,84,21,1,0,12,0
EE_0483,Mustjala,588,0,0,0,0,15,1,24,27,8,31,4,0,1,0,0,0,0,0,0,0,1,21,8,0,0,2,0
EE_0485,Mustvee,1172,0,0,0,0,25,2,20,168,9,64,1,0,1,0,0,0,0,0,0,0,0,33,6,0,0,2,0
EE_0498,Mäetaguse,1077,0,0,0,0,44,2,40,51,5,55,4,0,10,3,0,0,0,0,0,0,0,53,18,0,0,2,0
EE_0501,Mäksa,1354,0,0,0,1,39,3,41,47,26,145,6,0,2,7,0,1,0,0,0,0,2,73,33,1,0,11,0
EE_0504,Märjamaa vald,5400,0,0,0,0,218,3,246,146,101,477,37,2,19,11,0,0,0,3,4,0,6,327,74,2,0,31,0
EE_0490,Mõisaküla,730,0,0,0,0,18,0,41,60,8,35,8,0,3,2,0,0,0,0,0,0,0,54,17,0,0,2,0
EE_0493,Mõniste,754,0,0,0,0,35,0,28,32,13,33,3,0,3,2,0,0,0,0,0,1,0,45,20,0,0,1,0
EE_0511,Narva,21165,0,0,0,14,781,11,75,4457,10,180,5,1,9,0,0,1,6,5,3,1,4,63,7,4,0,3,5
EE_0513,Narva-Jõesuu,1285,0,0,0,0,52,1,30,251,3,27,1,0,3,2,0,0,0,1,0,1,1,15,3,0,0,1,0
EE_0518,Nissi,2254,0,0,0,1,86,2,147,80,56,203,15,1,7,4,0,1,0,0,0,0,0,128,30,0,0,7,0
EE_0520,Noarootsi,716,0,0,0,0,41,0,34,25,15,70,0,0,1,2,0,0,0,0,0,0,0,41,10,0,0,4,0
EE_0528,Nõo,3050,0,0,0,0,172,6,147,74,55,280,13,3,9,4,0,0,0,1,0,0,1,168,44,0,0,30,1
EE_0531,Nõva,340,0,0,0,0,16,0,15,19,12,30,4,0,0,0,0,0,0,0,0,0,0,53,5,1,0,3,0
EE_0547,Orava,633,0,0,0,0,27,0,14,38,29,42,2,0,2,1,0,0,0,1,0,0,0,38,11,0,0,4,0
EE_0550,Orissaare,1640,0,0,0,0,136,1,81,65,20,136,8,2,2,3,0,0,0,1,1,0,3,82,16,0,0,8,0
EE_0636,Otepää,3293,0,0,0,0,162,0,173,121,50,336,24,0,12,9,0,0,0,2,1,1,2,154,36,0,0,44,0
EE_0562,Padise,1404,0,0,0,0,59,0,66,36,23,113,5,0,2,1,0,0,0,1,0,0,0,150,23,0,0,8,0
EE_0566,Paide linn,6674,0,0,0,0,322,10,335,363,115,621,33,5,21,8,0,0,0,2,3,0,2,359,79,4,0,28,0
EE_0565,Paide vald,1380,0,0,0,0,38,0,52,38,19,96,2,0,4,2,0,0,0,0,1,0,1,61,10,0,0,4,0
EE_0568,Paikuse,2803,0,0,0,0,102,1,149,77,43,269,20,0,7,3,0,0,0,0,1,0,1,134,42,0,0,17,0
EE_0573,Pajusi,1073,0,0,0,0,54,0,26,37,25,55,9,0,5,1,0,0,0,0,1,0,1,54,29,0,0,1,0
