gisco_id,name,registered,turnout,invalid,blank,Eesti Keskerakond,Indrek Tarand,Eesti Reformierakond,Erakond Isamaa ja Res Publica Liit,Sotsiaaldemokraatlik Erakond,Erakond Eestimaa Rohelised,Martin Helme,Eestimaa Rahvaliit,Dimitri Klenski,Eestimaa Ühendatud Vasakpartei,Libertas Eesti Erakond,Erakond Eesti Kristlikud Demokraadid,Vene Erakond Eestis,Põllumeeste Kogu,Juri Žuravljov,Märt Õigus,Taira Aasa
EE_MA07,Läänemaa,20962,7841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0437,Lüganuse,0,0,0,0,39,105,49,24,22,8,12,22,1,1,0,0,0,0,0,0,0
EE_0440,Lümanda,0,0,0,0,34,67,28,12,42,8,6,10,0,0,0,1,0,1,0,0,0
EE_0446,Maardu,0,0,0,0,1821,228,157,104,79,25,20,5,188,436,9,8,16,3,10,0,2
EE_0449,Maidla,0,0,0,0,20,79,42,51,10,10,8,3,1,0,0,0,0,4,0,0,0
EE_0452,Martna,0,0,0,0,40,59,29,7,12,9,12,7,0,0,0,1,0,0,0,0,0
EE_0454,Meeksi,0,0,0,0,63,50,22,2,17,1,4,6,0,1,0,0,2,2,0,0,0
EE_0460,Meremäe,0,0,0,0,36,50,27,47,52,8,3,58,1,0,1,0,2,1,0,0,0
EE_0465,Mikitamäe,0,0,0,0,119,45,32,11,23,7,8,37,0,0,1,2,1,2,1,0,0
EE_0468,Misso,0,0,0,0,35,57,22,23,41,6,12,5,0,0,4,1,0,0,0,0,0
EE_0473,Mooste,0,0,0,0,70,67,51,28,47,10,10,20,0,1,1,3,0,0,0,1,0
EE_0478,Muhu,0,0,0,0,74,184,83,55,43,23,11,15,0,0,6,5,0,0,0,0,1
EE_0483,Mustjala,0,0,0,0,34,34,22,17,7,7,0,8,1,0,0,3,0,0,0,0,1
EE_0485,Mustvee,0,0,0,0,222,66,41,30,10,2,6,36,14,46,0,0,3,0,1,0,0
EE_0498,Mäetaguse,0,0,0,0,53,73,56,22,23,15,10,6,6,5,0,0,0,2,0,0,1
EE_0501,Mäksa,0,0,0,0,62,124,85,36,34,14,11,7,2,0,5,2,0,2,0,1,0
EE_0504,Märjamaa vald,0,0,0,0,226,694,286,193,132,70,74,24,1,1,12,5,0,0,3,1,1
EE_0490,Mõisaküla,0,0,0,0,84,115,33,22,23,4,4,3,3,1,0,3,0,0,1,0,0
EE_0493,Mõniste,0,0,0,0,30,59,16,16,49,4,3,19,1,0,0,1,0,1,0,1,2
EE_0511,Narva,0,0,0,0,7701,108,165,93,151,53,19,114,733,647,5,12,190,8,77,4,6
EE_0513,Narva-Jõesuu,0,0,0,0,399,25,23,18,19,10,1,8,35,33,0,11,14,0,1,1,0
EE_0518,Nissi,0,0,0,0,132,328,137,89,49,17,17,45,1,1,5,6,0,2,0,1,2
EE_0520,Noarootsi,0,0,0,0,44,76,37,26,22,12,5,2,0,2,2,1,0,1,0,1,0
EE_0528,Nõo,0,0,0,0,113,302,163,127,111,39,33,32,2,1,11,2,1,4,0,3,0
EE_0531,Nõva,0,0,0,0,15,70,22,15,14,4,6,5,1,0,0,1,0,0,0,0,0
EE_0547,Orava,0,0,0,0,63,49,40,6,34,5,2,16,0,0,0,3,0,1,0,1,0
EE_0550,Orissaare,0,0,0,0,91,139,81,67,65,24,16,34,0,0,1,5,0,3,0,1,0
EE_0552,Oru,0,0,0,0,18,93,43,28,23,14,6,3,0,0,4,4,0,1,0,1,0
EE_0636,Otepää,0,0,0,0,162,407,228,115,170,25,31,24,0,1,7,4,1,3,0,1,1
EE_0562,Padise,0,0,0,0,40,228,87,46,30,7,15,3,1,0,1,2,0,1,0,0,0
EE_0566,Paide linn,0,0,0,0,419,768,415,292,202,58,82,22,4,3,14,4,5,9,3,1,2
EE_0565,Paide vald,0,0,0,0,56,140,77,41,30,12,17,5,0,0,0,1,0,1,0,0,1
EE_0568,Paikuse,0,0,0,0,98,346,189,124,73,20,45,26,7,0,3,7,1,2,0,0,0
EE_0570,Paistu,0,0,0,0,55,142,45,43,44,11,6,11,1,0,0,1,1,1,1,0,0
EE_0573,Pajusi,0,0,0,0,49,90,55,25,58,11,1,41,0,2,0,0,1,3,0,2,0
EE_0576,Pala,0,0,0,0,37,104,62,13,28,8,3,52,0,0,1,0,0,3,1,3,0
EE_0578,Palamuse,0,0,0,0,99,181,59,32,86,13,13,134,0,0,3,2,0,4,0,1,0
EE_0580,Paldiski,0,0,0,0,335,78,85,20,22,7,4,1,27,46,2,3,1,1,4,1,1
EE_0582,Palupera,0,0,0,0,28,45,17,11,16,2,3,45,0,0,4,1,0,0,0,0,1
EE_0587,Peipsiääre,0,0,0,0,128,5,4,2,4,0,0,16,11,52,0,1,5,0,0,2,0
EE_0592,Pihtla,0,0,0,0,56,98,46,25,57,15,10,10,0,0,2,8,0,0,0,0,0
EE_0595,Piirissaare,0,0,0,0,31,0,1,22,0,0,4,0,3,1,0,0,0,0,1,0,0
EE_0605,Puhja,0,0,0,0,112,156,96,54,63,18,22,12,0,7,7,0,4,4,2,1,0
EE_0608,Puka,0,0,0,0,97,122,85,42,34,15,13,9,0,1,1,8,0,2,0,0,0
EE_0611,Puurmani,0,0,0,0,37,131,88,42,49,10,8,56,0,1,1,3,0,0,0,0,2
EE_0625,Pärnu,0,0,0,0,2317,3776,1702,1441,879,246,535,190,95,88,117,57,63,6,5,7,3
EE_MA08,Pärnumaa,69440,26509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0629,Pärsti,0,0,0,0,103,348,150,83,83,30,28,29,0,5,5,5,1,3,0,1,0
EE_0613,Põdrala,0,0,0,0,38,71,30,14,20,4,2,4,0,0,0,1,0,2,0,1,0
EE_0617,Põltsamaa linn,0,0,0,0,250,402,262,220,163,39,52,108,0,0,7,6,0,2,0,1,1
EE_0616,Põltsamaa vald,0,0,0,0,177,245,160,68,89,21,26,108,0,0,4,1,0,2,0,0,1
EE_0620,Põlva linn,0,0,0,0,314,440,258,127,218,55,39,38,4,2,12,13,1,3,1,1,1
EE_0619,Põlva vald,0,0,0,0,163,235,135,68,171,31,30,17,0,2,0,3,1,1,0,0,1
EE_MA09,Põlvamaa,25051,8630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0634,Pöide,0,0,0,0,58,61,28,13,40,5,5,10,0,0,1,0,0,0,0,1,1
EE_0639,Pühalepa,0,0,0,0,47,169,61,50,42,15,6,12,0,0,1,8,0,1,0,0,1
EE_0645,Püssi,0,0,0,0,132,66,28,28,17,9,6,14,6,9,0,0,0,1,0,0,0
EE_0651,Raasiku,0,0,0,0,124,488,291,190,125,52,48,19,1,1,13,9,1,4,0,1,3
EE_0653,Rae,0,0,0,0,439,941,734,443,240,89,108,31,26,6,20,12,2,3,0,8,4
EE_0654,Raikküla,0,0,0,0,44,176,90,57,40,16,12,17,2,1,4,2,0,0,1,1,1
EE_0660,Rakke,0,0,0,0,59,116,67,32,43,13,16,337,1,0,1,1,1,4,0,0,0
EE_0663,Rakvere linn,0,0,0,0,876,1224,648,644,429,111,103,86,15,17,17,18,6,5,2,4,3
EE_0662,Rakvere vald,0,0,0,0,70,134,67,47,50,11,18,7,2,1,4,1,0,1,0,0,0
EE_0666,Rannu,0,0,0,0,49,108,48,41,49,9,14,89,0,1,3,1,0,1,0,0,0
EE_0669,Rapla vald,0,0,0,0,325,944,538,349,212,94,94,19,2,3,18,14,3,4,1,5,1
EE_MA10,Raplamaa,28992,11376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0674,Ridala,0,0,0,0,104,201,137,68,46,28,38,3,3,1,4,3,0,2,0,0,0
EE_0680,Risti,0,0,0,0,40,91,50,21,38,13,16,38,0,1,1,3,1,0,0,0,0
EE_0684,Roosna-Alliku,0,0,0,0,97,109,62,46,18,5,15,4,1,1,0,2,0,2,0,0,0
EE_0689,Ruhnu,0,0,0,0,4,8,1,7,3,6,2,0,0,0,0,0,0,0,0,0,0
EE_0702,Rägavere,0,0,0,0,52,81,27,27,34,11,4,10,0,0,1,0,0,1,2,0,1
EE_0707,Räpina vald,0,0,0,0,321,352,250,98,191,54,38,111,5,5,7,9,1,7,1,3,2
EE_0694,Rõngu,0,0,0,0,167,202,118,56,90,28,19,20,0,3,4,6,0,0,0,0,0
EE_0697,Rõuge,0,0,0,0,92,121,39,42,252,12,5,41,0,0,2,2,0,0,0,0,0
EE_0710,Saarde,0,0,0,0,197,456,203,96,128,35,35,35,1,0,7,8,1,7,0,0,3
EE_0713,Saare,0,0,0,0,57,108,43,30,39,13,5,57,0,1,2,2,0,4,0,0,0
EE_MA11,Saaremaa,29064,9472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0715,Saarepeedi,0,0,0,0,22,106,63,52,37,5,3,33,0,0,1,0,0,5,0,0,0
EE_0718,Saku,0,0,0,0,204,871,487,388,255,81,118,23,11,10,18,16,1,6,1,4,0
EE_0721,Salme,0,0,0,0,50,98,60,32,46,10,10,10,0,1,1,2,0,2,2,0,0
EE_0724,Sangaste,0,0,0,0,62,112,43,27,54,11,12,5,1,0,2,1,0,4,0,0,0
EE_0728,Saue linn,0,0,0,0,221,645,444,331,167,70,88,16,6,8,33,5,0,2,0,0,2
EE_0727,Saue vald,0,0,0,0,307,825,557,393,226,103,79,30,9,4,23,17,4,2,3,1,0
EE_0730,Sauga,0,0,0,0,108,274,158,72,62,28,48,7,0,1,4,5,0,1,1,1,0
EE_0735,Sillamäe,0,0,0,0,1375,18,30,7,10,9,3,3,213,77,1,3,13,0,18,0,0
EE_0741,Sindi,0,0,0,0,283,370,171,121,77,22,46,14,7,6,2,4,3,3,2,2,0
EE_0751,Sonda,0,0,0,0,86,87,42,35,11,2,11,6,8,2,0,0,2,0,1,0,1
EE_0756,Surju,0,0,0,0,28,92,27,22,32,10,13,33,0,1,0,0,0,3,0,0,0
