gisco_id,name,registered,turnout,invalid,blank,FBP,VU,FL
LI_00007001,Vaduz,2232,1853,26,240,884,609,94
LI_00007003,Balzers,2300,1977,14,309,746,796,112
LI_00007006,Planken,206,182,1,19,101,52,9
LI_00007005,Schaan,2649,2319,27,330,1027,789,146
LI_00007002,Triesen,2057,1649,23,211,694,625,96
LI_00007004,Triesenberg,1517,1313,17,170,484,590,52
LI_00007007,Eschen,1788,1596,20,215,692,621,48
LI_00007009,Gamprin,612,565,3,77,284,189,12
LI_00007008,Mauren,1566,1408,15,209,761,371,52
LI_00007010,Ruggell,930,859,10,106,402,316,25
LI_00007011,Schellenberg,493,457,4,75,230,132,16
