gisco_id,name,registered,turnout,invalid,blank,PiS,PJN,SLD,Ruch PL,PSL,PPP,PO,Samoobrona,NP (2011),PR (2007),MN
PL_430591505,Opalenica,12603,6046,391,0,1177,99,512,649,714,28,2476,0,0,0,0
PL_430591506,Zbąszyń,10607,5086,356,0,732,46,236,353,756,20,2587,0,0,0,0
PL_430611601,Oborniki,25915,12980,812,0,1962,220,1447,1161,2428,64,4886,0,0,0,0
PL_430611602,Rogoźno,13695,6080,440,0,1131,104,558,666,511,75,2595,0,0,0,0
PL_430611603,Ryczywół,5655,2338,221,0,395,61,206,168,492,31,764,0,0,0,0
PL_430571701,Ostrów Wielkopolski,59880,31171,1423,0,7014,541,3644,3410,1773,120,12690,0,556,0,0
PL_430571702,Nowe Skalmierzyce,12069,4947,329,0,1381,79,374,496,784,20,1412,0,72,0,0
PL_430571703,Odolanów,11156,4915,436,0,1843,91,272,336,703,19,1145,0,70,0,0
PL_430571704,Ostrów Wielkopolski,14577,6414,435,0,1816,134,502,542,1385,23,1488,0,89,0,0
PL_430571705,Przygodzice,9203,4300,307,0,1207,65,324,352,791,21,1160,0,73,0,0
PL_430571706,Raszków,9069,3682,217,0,1062,73,251,328,684,29,992,0,46,0,0
PL_430571707,Sieroszewice,7566,2794,234,0,787,49,294,261,563,19,560,0,27,0,0
PL_430571708,Sośnie,5123,2045,202,0,566,30,155,198,318,14,532,0,30,0,0
PL_430571801,Czajków,2009,722,46,0,194,10,105,56,171,2,134,0,4,0,0
PL_430571802,Doruchów,4024,1586,139,0,353,25,240,140,390,12,280,0,7,0,0
PL_430571803,Grabów nad Prosną,6164,2753,182,0,588,30,311,268,899,8,437,0,30,0,0
PL_430571804,Kobyla Góra,4712,1996,144,0,412,38,352,195,250,24,549,0,32,0,0
PL_430571805,Kraszewice,2837,1129,112,0,297,15,240,94,174,4,184,0,9,0,0
PL_430571806,Mikstat,4913,1777,156,0,535,43,278,196,223,17,312,0,17,0,0
PL_430571807,Ostrzeszów,18821,8568,465,0,1626,121,1928,755,933,35,2582,0,123,0,0
PL_430601901,Piła,58966,31751,1238,0,6165,1023,3225,4074,952,171,14903,0,0,0,0
PL_430601902,Białośliwie,3762,1656,127,0,389,58,138,159,290,19,476,0,0,0,0
PL_430601903,Kaczory,6038,3065,260,0,595,104,285,369,361,28,1063,0,0,0,0
PL_430601904,Łobżenica,7610,3113,293,0,1092,55,272,206,491,27,677,0,0,0,0
PL_430601905,Miasteczko Krajeńskie,2545,1087,64,0,218,19,117,99,181,8,381,0,0,0,0
