gisco_id,name,registered,turnout,invalid,blank,KE,Razem,POLEXIT,JN,PiS,RPE,Wiosna,Konf,K’15,PO
PL_1005261530106,Stopnica,6260,2675,29,0,610,13,3,0,1841,0,50,64,62,3
PL_1005261530107,Tuczępy,3066,1285,19,0,200,3,9,0,967,0,27,32,23,4
PL_1005261530108,Wiślica,4619,1812,13,0,389,6,8,0,1295,0,23,31,45,2
PL_1005261530201,Imielno,3616,1450,30,0,292,10,5,0,1039,0,23,19,26,6
PL_1005261530202,Jędrzejów,22624,10190,107,0,3068,70,24,0,5871,0,376,299,328,47
PL_1005261530203,Małogoszcz,9290,4076,34,0,650,18,3,0,3064,0,88,111,99,9
PL_1005261530204,Nagłowice,4027,1668,19,0,324,11,5,0,1169,0,39,55,44,2
PL_1005261530205,Oksa,3802,1695,15,0,344,2,3,0,1232,0,19,38,40,2
PL_1005261530206,Sędziszów,10283,4378,51,0,1129,24,6,0,2785,0,128,115,129,10
PL_1005261530207,Słupia,3545,1370,10,0,268,3,3,0,988,0,37,26,34,1
PL_1005261530208,Sobków,6850,3050,30,0,565,19,6,0,2147,0,79,115,80,9
PL_1005261530209,Wodzisław,5890,2582,29,0,530,16,6,0,1792,0,64,58,72,15
PL_1005261530301,Bejsce,3404,1188,16,0,317,6,3,0,740,0,19,31,53,3
PL_1005261530302,Czarnocin,3233,1273,21,0,322,7,2,0,846,0,16,27,28,4
PL_1005261530303,Kazimierza Wielka,13383,5236,62,0,1457,23,10,0,3196,0,121,126,225,16
PL_1005261530304,Opatowiec,3038,1123,11,0,390,4,1,0,624,0,26,43,20,3
PL_1005261530305,Skalbmierz,5351,2025,21,0,407,6,4,0,1445,0,37,42,62,1
PL_1005261520401,Bieliny,8117,3633,29,0,557,6,5,0,2699,0,69,151,85,32
PL_1005261520402,Bodzentyn,9339,3822,52,0,887,12,8,0,2528,0,74,146,101,14
PL_1005261520403,Chęciny,12400,5683,56,0,1405,41,11,0,3536,0,145,271,189,29
PL_1005261520404,Chmielnik,9076,3982,46,0,840,25,6,0,2694,0,80,149,124,18
PL_1005261520405,Daleszyce,12613,5384,63,0,1281,16,4,0,3465,0,90,268,179,18
PL_1005261520406,Górno,11286,5311,44,0,988,19,8,0,3705,0,120,252,150,25
PL_1005261520407,Łagów,5582,2257,29,0,324,12,8,0,1720,0,24,78,54,8
PL_1005261520408,Łopuszno,7320,3530,24,0,666,18,0,0,2508,0,58,134,109,13
PL_1005261520409,Masłów,8730,4201,29,0,1333,26,7,0,2339,0,144,181,128,14
PL_1005261520410,Miedziana Góra,9145,4376,40,0,1405,27,10,0,2406,0,141,173,151,23
PL_1005261520411,Mniów,7501,3338,42,0,497,3,3,0,2575,0,51,93,63,11
PL_1005261520412,Morawica,13481,6140,47,0,1902,37,18,0,3450,0,213,253,194,26
PL_1005261520413,Nowa Słupia,7948,3074,38,0,633,12,7,0,2161,0,54,85,73,11
PL_1005261520414,Piekoszów,13164,5714,57,0,1155,30,9,0,3894,0,129,232,180,28
PL_1005261520415,Pierzchnica,3993,1708,26,0,308,9,6,0,1212,0,34,44,67,2
PL_1005261520416,Raków,4696,1913,30,0,384,6,6,0,1350,0,42,44,45,6
PL_1005261520417,Sitkówka-Nowiny,6017,2906,21,0,1043,13,10,0,1475,0,109,132,85,18
PL_1005261520418,Strawczyn,8471,3994,29,0,676,13,4,0,2899,0,58,167,133,15
PL_1005261520419,Zagnańsk,10579,5033,46,0,1418,29,8,0,2911,0,206,219,169,27
PL_1005261520501,Fałków,3743,1485,23,0,232,13,2,0,1124,0,38,30,20,3
PL_1005261520502,Gowarczów,3857,1580,19,0,274,6,2,0,1132,0,58,43,37,9
PL_1005261520503,Końskie,29330,13458,139,0,4290,78,25,0,7585,0,452,439,376,74
PL_1005261520504,Radoszyce,7383,3048,46,0,533,10,4,0,2237,0,44,104,65,5
PL_1005261520505,Ruda Maleniecka,2633,1263,14,0,301,4,1,0,864,0,21,37,16,5
PL_1005261520506,Słupia Konecka,2736,1148,21,0,216,7,7,0,834,0,19,13,27,4
PL_1005261520507,Smyków,3058,1338,14,0,213,7,2,0,1004,0,28,49,19,2
PL_1005261520508,Stąporków,14309,5540,73,0,1604,72,17,0,3209,0,147,176,216,26
PL_1005261530601,Baćkowice,4015,1734,30,0,218,3,2,0,1345,0,29,54,49,4
PL_1005261530602,Iwaniska,5472,2240,38,0,370,11,9,0,1670,0,28,61,48,5
PL_1005261530603,Lipnik,4458,1569,28,0,262,4,7,0,1126,0,41,42,53,6
PL_1005261530604,Opatów,9783,4206,57,0,1055,35,16,0,2596,0,157,133,142,15
PL_1005261530605,Ożarów,8797,3549,64,0,1032,36,15,0,2064,0,110,105,102,21
PL_1005261530606,Sadowie,3333,1389,10,0,259,9,2,0,985,0,34,44,43,3
PL_1005261530607,Tarłów,4466,1688,36,0,259,15,6,0,1218,0,34,58,48,14
PL_1005261530608,Wojciechowice,3369,1334,25,0,368,12,3,0,810,0,39,31,41,5
PL_1005261520701,Ostrowiec Świętokrzyski,55530,23407,171,0,9237,191,76,0,10930,0,1139,883,686,94
PL_1005261520702,Bałtów,3026,1141,17,0,318,9,4,0,682,0,22,47,38,4
PL_1005261520703,Bodzechów,11075,4456,70,0,1370,34,16,0,2408,0,178,211,147,22
PL_1005261520704,Ćmielów,6035,2065,26,0,602,30,6,0,1176,0,53,91,78,3
PL_1005261520705,Kunów,8087,3160,51,0,778,29,11,0,1905,0,134,106,132,14
PL_1005261520706,Waśniów,5498,2052,19,0,328,7,3,0,1549,0,30,59,51,6
PL_1005261530801,Działoszyce,4255,1582,17,0,429,13,3,0,1022,0,28,38,29,3
PL_1005261530802,Kije,3713,1616,11,0,325,10,2,0,1095,0,42,68,55,8
PL_1005261530803,Michałów,3829,1601,16,0,405,9,2,0,1063,0,33,32,39,2
PL_1005261530804,Pińczów,18055,7272,78,0,2322,58,23,0,4059,0,205,272,224,28
PL_1005261530805,Złota,3809,1416,17,0,412,4,3,0,907,0,24,25,19,5
PL_1005261530901,Sandomierz,19739,8677,55,0,3556,66,39,0,3768,0,527,336,290,40
PL_1005261530902,Dwikozy,7250,2687,25,0,894,16,1,0,1488,0,89,81,81,12
PL_1005261530903,Klimontów,6668,2453,44,0,528,16,8,0,1671,0,48,72,62,4
PL_1005261530904,Koprzywnica,5560,2469,34,0,598,11,5,0,1628,0,34,89,59,11
PL_1005261530905,Łoniów,6124,2634,45,0,584,11,6,0,1780,0,43,96,63,5
PL_1005261530906,Obrazów,5326,2012,15,0,516,6,1,0,1271,0,60,77,60,6
PL_1005261530907,Samborzec,7063,2949,23,0,824,21,8,0,1783,0,62,142,79,7
PL_1005261530908,Wilczyce,3127,1164,13,0,319,10,2,0,694,0,36,47,38,5
PL_1005261530909,Zawichost,3646,1429,20,0,444,7,0,0,844,0,41,22,42,9
PL_1005261521001,Skarżysko-Kamienna,37375,16882,124,0,6840,124,50,0,7733,0,740,657,523,87
PL_1005261521002,Bliżyn,6815,2771,45,0,733,19,7,0,1682,0,90,83,102,10
PL_1005261521003,Łączna,4199,1782,16,0,304,11,4,0,1228,0,49,83,78,9
PL_1005261521004,Skarżysko Kościelne,5048,2128,14,0,575,12,3,0,1255,0,66,104,91,8
PL_1005261521005,Suchedniów,8464,3809,39,0,1388,25,9,0,1864,0,161,163,136,24
PL_1005261521101,Starachowice,40033,18161,182,0,7163,202,72,0,8176,0,849,755,649,111
PL_1005261521102,Brody,8918,3612,37,0,760,23,12,0,2310,0,111,141,200,18
PL_1005261521103,Mirzec,6753,3026,42,0,580,18,9,0,2075,0,52,102,135,13
PL_1005261521104,Pawłów,12116,4901,50,0,643,10,8,0,3828,0,67,171,113,11
PL_1005261521105,Wąchock,5691,2483,39,0,703,20,5,0,1418,0,110,85,87,16
PL_1005261531201,Bogoria,6342,2605,32,0,421,9,9,0,1937,0,42,91,51,13
PL_1005261531202,Łubnice,3431,1457,13,0,178,4,4,0,1141,0,23,49,42,3
PL_1005261531203,Oleśnica,3197,1184,15,0,261,6,1,0,825,0,14,22,35,5
PL_1005261531204,Osiek,6315,2966,25,0,282,10,4,0,2447,0,46,73,71,8
PL_1005261531205,Połaniec,9573,4417,31,0,1094,29,11,0,2808,0,124,176,126,18
PL_1005261531206,Rytwiany,5251,2120,26,0,387,9,3,0,1476,0,62,80,68,9
PL_1005261531207,Staszów,21490,9037,78,0,2526,47,34,0,5452,0,273,333,265,29
PL_1005261531208,Szydłów,3910,1723,29,0,419,8,7,0,1106,0,32,61,55,6
PL_1005261531301,Kluczewsko,4291,1974,22,0,337,7,5,0,1467,0,33,53,37,13
PL_1005261531302,Krasocin,8584,3792,31,0,687,17,7,0,2718,0,65,135,114,18
