gisco_id,name,registered,turnout,invalid,blank,PiS,PO,Razem,NN,PSL,ZL,K’15,.N,JOW,SPP,RS RP,ZdŚ,Samoobrona,SB!,KNP,MN,OdP
PL_212230304,Libiąż,18126,9898,313,0,4421,2350,362,412,99,669,795,477,0,0,0,0,0,0,0,0,0
PL_212230305,Trzebinia,27717,14816,449,0,5303,3498,667,755,381,1375,1475,913,0,0,0,0,0,0,0,0,0
PL_212240401,Bolesław,2336,865,24,0,439,40,11,39,222,17,64,7,0,0,0,0,0,1,1,0,0
PL_212240402,Dąbrowa Tarnowska,16785,8068,217,0,4750,627,110,391,1039,169,460,278,0,0,0,0,0,16,11,0,0
PL_212240403,Gręboszów,2887,1309,21,0,646,43,12,22,478,24,50,10,0,0,0,0,0,2,1,0,0
PL_212240404,Mędrzechów,2852,1206,62,0,613,91,16,45,246,32,82,15,0,0,0,0,0,3,1,0,0
PL_212240405,Olesno,6315,2864,94,0,1862,155,49,102,308,50,195,43,0,0,0,0,0,3,3,0,0
PL_212240406,Radgoszcz,5776,2734,118,0,1754,102,40,104,342,31,177,58,0,0,0,0,0,5,3,0,0
PL_212240407,Szczucin,10603,4450,183,0,2400,369,114,179,506,151,376,144,0,0,0,0,0,15,13,0,0
PL_212220501,Gorlice,23127,11763,246,0,5410,2545,314,542,289,855,932,559,0,42,0,0,0,0,29,0,0
PL_212220502,Biecz,13706,6392,190,0,3654,648,161,258,469,252,530,185,0,29,0,0,0,0,16,0,0
PL_212220503,Bobowa,7304,3860,162,0,2445,267,50,127,415,52,261,50,0,15,0,0,0,0,16,0,0
PL_212220504,Gorlice,13643,6823,245,0,3851,872,142,259,330,233,654,182,0,34,0,0,0,0,21,0,0
PL_212220505,Lipinki,5500,2732,65,0,1743,235,57,90,107,151,229,38,0,10,0,0,0,0,7,0,0
PL_212220506,Łużna,6587,3086,110,0,1802,306,72,121,243,97,224,69,0,11,0,0,0,0,31,0,0
PL_212220507,Moszczenica,3813,1732,53,0,1133,131,37,54,107,61,103,40,0,9,0,0,0,0,4,0,0
PL_212220508,Ropa,4027,2096,73,0,1407,178,37,70,102,39,149,25,0,8,0,0,0,0,8,0,0
PL_212220509,Sękowa,4015,1850,70,0,781,477,50,66,125,68,142,55,0,6,0,0,0,0,10,0,0
PL_212220510,Uście Gorlickie,5407,2283,114,0,946,456,71,99,251,83,160,80,0,13,0,0,0,0,10,0,0
PL_212200601,Czernichów,11135,5665,172,0,2809,922,189,346,220,228,421,334,0,0,0,0,0,10,14,0,0
PL_212200602,Igołomia-Wawrzeńczyce,6140,2528,94,0,1178,358,59,81,318,97,248,76,0,0,0,0,0,6,13,0,0
PL_212200603,Iwanowice,7029,3643,113,0,1779,408,95,160,551,102,258,155,0,0,0,0,0,8,14,0,0
PL_212200604,Jerzmanowice-Przeginia,8746,4562,197,0,2309,560,125,266,194,210,410,253,0,0,0,0,0,26,12,0,0
PL_212200605,Kocmyrzów-Luborzyca,11494,6009,179,0,2621,1099,162,306,571,233,477,334,0,0,0,0,0,19,8,0,0
PL_212200606,Krzeszowice,26240,14257,383,0,6096,2727,544,735,538,813,1408,921,0,0,0,0,0,46,46,0,0
PL_212200607,Liszki,13115,6973,186,0,3823,1067,170,352,285,188,477,389,0,0,0,0,0,13,23,0,0
PL_212200608,Michałowice,7517,4299,92,0,1816,881,130,258,180,161,320,445,0,0,0,0,0,9,7,0,0
PL_212200609,Mogilany,10276,6092,129,0,2673,1281,168,327,279,198,435,573,0,0,0,0,0,15,14,0,0
PL_212200610,Skała,8258,4317,124,0,1985,601,138,247,514,144,319,230,0,0,0,0,0,10,5,0,0
PL_212200611,Skawina,33741,18122,451,0,8634,3639,577,1041,424,727,1338,1170,0,0,0,0,0,64,57,0,0
PL_212200612,Słomniki,10965,5233,162,0,2732,647,131,252,435,187,429,233,0,0,0,0,0,10,15,0,0
PL_212200613,Sułoszowa,4661,2504,84,0,1436,188,54,84,378,60,151,56,0,0,0,0,0,7,6,0,0
PL_212200614,Świątniki Górne,7718,4148,88,0,2039,812,77,231,61,109,428,281,0,0,0,0,0,14,8,0,0
PL_212200615,Wielka Wieś,8719,5233,131,0,2235,1025,140,352,199,215,409,515,0,0,0,0,0,8,4,0,0
PL_212200616,Zabierzów,20153,12437,333,0,5019,2956,392,740,325,518,912,1182,0,0,0,0,0,29,31,0,0
PL_212200617,Zielonki,15494,9621,183,0,3462,2228,317,566,324,448,649,1396,0,0,0,0,0,28,20,0,0
PL_212220701,Limanowa,11979,7113,189,0,3916,1033,157,274,241,193,800,275,0,19,0,0,0,0,16,0,0
PL_212220702,Mszana Dolna,6113,3410,78,0,1862,612,94,122,75,88,275,186,0,9,0,0,0,0,9,0,0
PL_212220703,Dobra,7639,3629,139,0,2115,416,96,183,172,92,302,92,0,16,0,0,0,0,6,0,0
PL_212220704,Jodłownik,6523,3243,165,0,2011,276,65,106,240,54,251,48,0,14,0,0,0,0,13,0,0
PL_212220705,Kamienica,5841,2953,140,0,1867,210,46,83,271,30,243,51,0,6,0,0,0,0,6,0,0
PL_212220706,Laskowa,5840,3721,111,0,2839,150,51,122,120,38,225,50,0,11,0,0,0,0,4,0,0
PL_212220707,Limanowa,18637,10750,354,0,7196,662,187,306,830,142,791,217,0,44,0,0,0,0,21,0,0
PL_212220708,Łukowica,7291,4028,151,0,2621,348,58,181,267,71,233,75,0,8,0,0,0,0,15,0,0
PL_212220709,Mszana Dolna,13101,6725,278,0,4580,790,90,179,186,62,351,129,0,62,0,0,0,0,18,0,0
PL_212220710,Niedźwiedź,5380,2212,100,0,1402,277,46,71,62,30,134,35,0,45,0,0,0,0,10,0,0
PL_212220711,Słopnice,4592,2578,93,0,1888,156,49,63,81,11,189,35,0,9,0,0,0,0,4,0,0
PL_212220712,Tymbark,4945,3040,85,0,2087,293,58,141,74,34,203,50,0,10,0,0,0,0,5,0,0
PL_212200801,Charsznica,6193,2547,77,0,1187,235,80,125,333,179,239,70,0,0,0,0,0,18,4,0,0
PL_212200802,Gołcza,5040,2425,90,0,1481,186,50,69,231,98,151,61,0,0,0,0,0,5,3,0,0
PL_212200803,Kozłów,3957,1488,75,0,780,108,44,63,152,84,143,29,0,0,0,0,0,6,4,0,0
PL_212200804,Książ Wielki,4369,1933,64,0,962,134,38,78,295,104,189,54,0,0,0,0,0,9,6,0,0
PL_212200805,Miechów,16087,7773,161,0,3344,1200,200,377,717,567,831,355,0,0,0,0,0,10,11,0,0
PL_212200806,Racławice,2082,743,23,0,343,72,12,22,167,37,51,15,0,0,0,0,0,0,1,0,0
PL_212200807,Słaboszów,3065,1133,56,0,492,69,27,47,264,63,91,20,0,0,0,0,0,4,0,0,0
PL_212200901,Dobczyce,11621,6441,178,0,3376,1039,198,434,152,195,598,271,0,0,0,0,0,0,0,0,0
PL_212200902,Lubień,7516,4202,139,0,2937,332,74,174,78,63,301,104,0,0,0,0,0,0,0,0,0
PL_212200903,Myślenice,33827,19670,410,0,10739,3355,440,981,350,605,1400,1390,0,0,0,0,0,0,0,0,0
PL_212200904,Pcim,8440,4819,191,0,3292,503,77,181,74,74,286,141,0,0,0,0,0,0,0,0,0
PL_212200905,Raciechowice,4993,2454,100,0,1345,308,39,93,204,67,233,65,0,0,0,0,0,0,0,0,0
PL_212200906,Siepraw,6636,3562,58,0,2107,462,79,199,55,79,300,223,0,0,0,0,0,0,0,0,0
PL_212200907,Sułkowice,11357,5578,230,0,2981,804,148,311,87,178,511,328,0,0,0,0,0,0,0,0,0
PL_212200908,Tokarnia,6560,3651,144,0,2514,325,59,144,61,53,236,115,0,0,0,0,0,0,0,0,0
PL_212200909,Wiśniowa,5534,3103,132,0,2001,250,69,121,155,39,262,74,0,0,0,0,0,0,0,0,0
PL_212221001,Grybów,4807,2813,69,0,1678,285,42,143,55,61,392,65,0,10,0,0,0,0,13,0,0
PL_212221002,Chełmiec,20806,12164,364,0,7958,1215,222,605,377,203,838,301,0,39,0,0,0,0,42,0,0
PL_212221003,Gródek nad Dunajcem,6921,3601,142,0,2317,235,83,104,373,47,198,74,0,20,0,0,0,0,8,0,0
PL_212221004,Grybów,18404,11260,345,0,8020,701,184,448,322,121,925,147,0,30,0,0,0,0,17,0,0
PL_212221005,Kamionka Wielka,7522,4467,152,0,2952,357,74,235,165,72,367,62,0,14,0,0,0,0,17,0,0
PL_212221006,Korzenna,10741,6049,223,0,4154,377,97,195,408,62,412,92,0,20,0,0,0,0,9,0,0
PL_212221007,Krynica-Zdrój,14233,7505,225,0,3511,1509,236,331,267,346,570,447,0,39,0,0,0,0,24,0,0
PL_212221008,Łabowa,4227,2141,95,0,1498,156,27,77,75,38,119,41,0,7,0,0,0,0,8,0,0
PL_212221009,Łącko,12095,6475,280,0,4180,484,82,250,438,72,473,178,0,28,0,0,0,0,10,0,0
PL_212221010,Łososina Dolna,7962,4744,135,0,3514,296,72,154,197,50,224,75,0,15,0,0,0,0,12,0,0
