gisco_id,name,registered,turnout,invalid,blank,PiS,PO,Razem,NN,PSL,ZL,K’15,.N,JOW,SPP,RS RP,ZdŚ,Samoobrona,SB!,KNP,MN,OdP
PL_502010101,Bolesławiec,31388,15365,360,0,4579,4416,520,969,425,1751,1154,1191,0,0,0,0,0,0,0,0,0
PL_502010102,Bolesławiec,10953,4715,154,0,1591,1090,140,292,227,338,502,381,0,0,0,0,0,0,0,0,0
PL_502010103,Gromadka,4509,1866,107,0,796,382,60,48,98,149,164,62,0,0,0,0,0,0,0,0,0
PL_502010104,Nowogrodziec,11915,4252,221,0,1595,834,153,245,208,227,531,238,0,0,0,0,0,0,0,0,0
PL_502010105,Osiecznica,5456,2136,98,0,609,512,90,149,102,197,246,133,0,0,0,0,0,0,0,0,0
PL_502010106,Warta Bolesławiecka,6705,2564,87,0,962,584,90,119,110,203,277,132,0,0,0,0,0,0,0,0,0
PL_502030201,Bielawa,25042,10978,353,0,3393,2857,421,457,99,1620,915,726,137,0,0,0,0,0,0,0,0
PL_502030202,Dzierżoniów,27607,13619,361,0,4186,4426,447,498,158,1244,1075,1114,110,0,0,0,0,0,0,0,0
PL_502030203,Pieszyce,7670,3183,128,0,1119,864,95,149,214,205,226,157,26,0,0,0,0,0,0,0,0
PL_502030204,Piława Górna,5279,2161,80,0,779,485,98,108,41,135,215,207,13,0,0,0,0,0,0,0,0
PL_502030205,Dzierżoniów,7666,3356,153,0,1230,812,113,118,98,201,405,194,32,0,0,0,0,0,0,0,0
PL_502030206,Łagiewniki,6085,2513,109,0,1002,562,88,102,100,152,238,137,23,0,0,0,0,0,0,0,0
PL_502030207,Niemcza,4750,1936,77,0,625,492,55,79,111,155,190,144,8,0,0,0,0,0,0,0,0
PL_502020301,Głogów,53869,27822,666,0,10653,7307,979,876,369,3101,2121,1750,0,0,0,0,0,0,0,0,0
PL_502020302,Głogów,5190,2639,113,0,1082,564,110,110,70,205,199,186,0,0,0,0,0,0,0,0,0
PL_502020303,Jerzmanowa,3563,1933,62,0,733,399,76,92,77,190,155,149,0,0,0,0,0,0,0,0,0
PL_502020304,Kotla,3410,1358,63,0,580,294,56,30,44,119,106,66,0,0,0,0,0,0,0,0,0
PL_502020305,Pęcław,1779,749,41,0,341,123,19,18,94,38,61,14,0,0,0,0,0,0,0,0,0
PL_502020306,Żukowice,2768,1147,50,0,444,267,30,35,53,86,139,43,0,0,0,0,0,0,0,0,0
PL_502020401,Góra,16082,6466,222,0,1981,2270,196,198,403,343,538,262,0,46,0,0,0,7,0,0,0
PL_502020402,Jemielno,2479,851,37,0,293,155,11,21,172,51,78,26,0,7,0,0,0,0,0,0,0
PL_502020403,Niechlów,3936,1325,72,0,492,261,51,61,160,62,106,49,0,8,0,0,0,3,0,0,0
PL_502020404,Wąsosz,5865,2126,102,0,706,472,72,71,195,144,241,109,0,10,0,0,0,4,0,0,0
PL_502010501,Jawor,19624,9136,205,0,3487,2014,300,416,260,819,1014,621,0,0,0,0,0,0,0,0,0
PL_502010502,Bolków,8691,3397,145,0,952,704,117,126,457,387,323,186,0,0,0,0,0,0,0,0,0
PL_502010503,Męcinka,3939,1644,56,0,775,240,35,59,131,110,161,77,0,0,0,0,0,0,0,0,0
PL_502010504,Mściwojów,3272,1372,49,0,429,289,45,46,190,122,130,72,0,0,0,0,0,0,0,0,0
PL_502010505,Paszowice,3201,1327,39,0,523,232,36,77,115,92,123,90,0,0,0,0,0,0,0,0,0
PL_502010506,Wądroże Wielkie,3299,1306,57,0,406,227,41,32,260,77,149,57,0,0,0,0,0,0,0,0,0
PL_502010601,Karpacz,4424,2184,40,0,404,815,97,128,95,226,155,224,0,0,0,0,0,0,0,0,0
PL_502010602,Kowary,9068,3889,155,0,999,1229,179,182,117,376,345,307,0,0,0,0,0,0,0,0,0
PL_502010603,Piechowice,5246,2455,72,0,632,749,94,141,108,211,221,227,0,0,0,0,0,0,0,0,0
PL_502010604,Szklarska Poręba,5506,2593,66,0,643,842,123,90,104,268,232,225,0,0,0,0,0,0,0,0,0
PL_502010605,Janowice Wielkie,3485,1539,66,0,407,484,74,45,54,119,127,163,0,0,0,0,0,0,0,0,0
PL_502010606,Jeżów Sudecki,5617,2620,64,0,660,848,106,93,109,225,178,337,0,0,0,0,0,0,0,0,0
PL_502010607,Mysłakowice,8183,3629,147,0,977,1064,156,144,189,236,352,364,0,0,0,0,0,0,0,0,0
PL_502010608,Podgórzyn,6628,3007,95,0,658,826,110,99,484,225,246,264,0,0,0,0,0,0,0,0,0
PL_502010609,Stara Kamienica,4205,1730,45,0,482,502,73,65,133,131,180,119,0,0,0,0,0,0,0,0,0
PL_502010701,Kamienna Góra,16272,7317,227,0,2259,2410,261,254,105,694,641,466,0,0,0,0,0,0,0,0,0
PL_502010702,Kamienna Góra,7013,3138,141,0,1028,935,121,109,89,175,355,185,0,0,0,0,0,0,0,0,0
PL_502010703,Lubawka,9124,4195,179,0,1115,1485,142,177,80,464,319,234,0,0,0,0,0,0,0,0,0
PL_502010704,Marciszów,3734,1391,62,0,445,375,54,57,62,109,140,87,0,0,0,0,0,0,0,0,0
PL_502030801,Duszniki-Zdrój,4177,1999,71,0,581,642,89,112,28,180,131,153,12,0,0,0,0,0,0,0,0
PL_502030802,Kłodzko,22731,10910,290,0,3299,3343,375,482,438,1002,958,639,84,0,0,0,0,0,0,0,0
PL_502030803,Kudowa-Zdrój,8560,4096,102,0,1499,1193,123,149,63,414,300,231,22,0,0,0,0,0,0,0,0
PL_502030804,Nowa Ruda,19014,8177,265,0,2138,3399,222,296,111,755,658,274,59,0,0,0,0,0,0,0,0
PL_502030805,Polanica-Zdrój,5899,2995,87,0,993,956,79,114,81,233,224,222,6,0,0,0,0,0,0,0,0
PL_502030806,Bystrzyca Kłodzka,15861,6877,242,0,2581,1813,229,244,290,496,572,362,48,0,0,0,0,0,0,0,0
PL_502030807,Kłodzko,13864,5876,259,0,1916,1084,144,224,1158,309,518,232,32,0,0,0,0,0,0,0,0
PL_502030808,Lądek-Zdrój,7298,3335,128,0,1021,997,103,160,94,297,283,222,30,0,0,0,0,0,0,0,0
PL_502030809,Lewin Kłodzki,1593,605,15,0,234,142,23,22,37,40,55,29,8,0,0,0,0,0,0,0,0
PL_502030810,Międzylesie,6030,2294,101,0,689,597,103,101,94,200,263,126,20,0,0,0,0,0,0,0,0
PL_502030811,Nowa Ruda,9730,3815,140,0,1107,1216,104,160,286,301,325,138,38,0,0,0,0,0,0,0,0
PL_502030812,Radków,7470,2918,139,0,1035,830,88,114,146,165,255,119,27,0,0,0,0,0,0,0,0
PL_502030813,Stronie Śląskie,6086,2522,100,0,652,810,102,123,48,292,241,130,24,0,0,0,0,0,0,0,0
PL_502030814,Szczytna,5936,2323,81,0,622,713,87,128,102,199,249,118,24,0,0,0,0,0,0,0,0
PL_502020901,Chojnów,11068,4766,140,0,1597,1160,193,258,136,450,483,349,0,0,0,0,0,0,0,0,0
PL_502020902,Chojnów,7615,2965,132,0,1245,460,95,121,255,190,281,186,0,0,0,0,0,0,0,0,0
PL_502020903,Krotoszyce,2553,1184,50,0,513,228,39,38,73,62,131,50,0,0,0,0,0,0,0,0,0
PL_502020904,Kunice,4966,2594,42,0,781,604,75,88,163,189,246,406,0,0,0,0,0,0,0,0,0
PL_502020905,Legnickie Pole,3778,1765,58,0,694,343,55,100,106,131,192,86,0,0,0,0,0,0,0,0,0
PL_502020906,Miłkowice,5181,2482,84,0,890,562,91,101,164,166,266,158,0,0,0,0,0,0,0,0,0
PL_502020907,Prochowice,6033,2752,138,0,859,536,105,114,436,135,248,181,0,0,0,0,0,0,0,0,0
PL_502020908,Ruja,2144,685,28,0,237,132,18,15,98,55,77,25,0,0,0,0,0,0,0,0,0
PL_502011001,Lubań,17744,8030,163,0,2457,2206,315,357,174,1119,715,524,0,0,0,0,0,0,0,0,0
PL_502011002,Świeradów-Zdrój,3727,1640,47,0,461,478,72,73,48,157,146,158,0,0,0,0,0,0,0,0,0
PL_502011003,Leśna,8132,3216,125,0,884,815,198,155,151,335,392,161,0,0,0,0,0,0,0,0,0
PL_502011004,Lubań,5202,2074,90,0,664,462,90,74,177,154,245,118,0,0,0,0,0,0,0,0,0
PL_502011005,Olszyna,5347,2081,72,0,585,506,74,99,95,314,215,121,0,0,0,0,0,0,0,0,0
PL_502011006,Platerówka,1307,564,10,0,244,114,20,19,21,38,76,22,0,0,0,0,0,0,0,0,0
PL_502011007,Siekierczyn,4085,1773,99,0,597,360,36,64,96,270,162,89,0,0,0,0,0,0,0,0,0
PL_502021101,Lubin,58343,32059,732,0,13704,6336,900,1214,632,3569,3145,1827,0,0,0,0,0,0,0,0,0
PL_502021102,Lubin,11686,6181,194,0,2615,1103,210,247,248,556,553,455,0,0,0,0,0,0,0,0,0
PL_502021103,Rudna,6131,3076,149,0,1437,476,109,95,139,264,296,111,0,0,0,0,0,0,0,0,0
PL_502021104,Ścinawa,8102,3770,159,0,1839,557,96,151,180,243,377,168,0,0,0,0,0,0,0,0,0
PL_502011201,Gryfów Śląski,8103,3254,121,0,959,760,150,130,190,482,299,163,0,0,0,0,0,0,0,0,0
PL_502011202,Lubomierz,4920,1835,80,0,558,434,71,71,129,137,259,96,0,0,0,0,0,0,0,0,0
PL_502011203,Lwówek Śląski,14138,5678,155,0,1803,1488,214,264,293,499,619,343,0,0,0,0,0,0,0,0,0
PL_502011204,Mirsk,7048,2760,150,0,850,535,88,111,277,218,395,136,0,0,0,0,0,0,0,0,0
PL_502011205,Wleń,3619,1499,72,0,484,396,65,54,97,121,135,75,0,0,0,0,0,0,0,0,0
PL_502041301,Cieszków,3748,1653,47,0,656,279,34,54,260,115,138,61,0,6,0,0,0,3,0,0,0
PL_502041302,Krośnice,6383,2600,127,0,1120,522,61,89,189,169,200,101,0,20,0,0,0,2,0,0,0
PL_502041303,Milicz,19443,8644,318,0,3175,2328,276,277,342,648,652,526,0,79,0,0,0,23,0,0,0
PL_502041401,Oleśnica,30167,15445,365,0,4801,4829,605,799,260,1190,1231,1237,0,105,0,0,0,23,0,0,0
PL_502041402,Bierutów,8109,3200,181,0,1098,832,95,127,160,173,338,162,0,28,0,0,0,6,0,0,0
PL_502041403,Dobroszyce,5181,2219,82,0,786,524,88,113,113,105,248,140,0,15,0,0,0,5,0,0,0
PL_502041404,Dziadowa Kłoda,3640,1293,63,0,296,498,36,34,123,62,104,66,0,8,0,0,0,3,0,0,0
PL_502041405,Międzybórz,3989,1584,71,0,399,525,72,53,129,63,173,88,0,5,0,0,0,6,0,0,0
PL_502041406,Oleśnica,9989,4118,156,0,1400,1077,142,198,188,212,402,300,0,33,0,0,0,10,0,0,0
PL_502041407,Syców,13281,6172,199,0,1786,2098,226,300,254,361,485,410,0,32,0,0,0,21,0,0,0
PL_502041408,Twardogóra,10396,4540,249,0,1340,1368,192,208,220,261,358,293,0,34,0,0,0,17,0,0,0
PL_502041501,Oława,25751,13969,327,0,4513,4496,437,603,201,978,1238,1066,0,71,0,0,0,39,0,0,0
PL_502041502,Domaniów,4200,1815,99,0,639,529,38,77,108,84,156,57,0,11,0,0,0,17,0,0,0
PL_502041503,Jelcz-Laskowice,18057,9006,246,0,3430,2330,291,468,269,456,828,587,0,80,0,0,0,21,0,0,0
PL_502041504,Oława,11734,5736,220,0,2154,1478,176,256,166,263,596,363,0,51,0,0,0,13,0,0,0
PL_502021601,Chocianów,10276,5105,203,0,2617,688,149,212,211,338,488,199,0,0,0,0,0,0,0,0,0
PL_502021602,Gaworzyce,3122,1548,61,0,570,150,29,47,463,84,110,34,0,0,0,0,0,0,0,0,0
PL_502021603,Grębocice,4178,1724,78,0,751,292,53,56,155,147,149,43,0,0,0,0,0,0,0,0,0
PL_502021604,Polkowice,20807,10905,421,0,4708,1791,360,532,419,1233,948,493,0,0,0,0,0,0,0,0,0
PL_502021605,Przemków,6939,3000,143,0,1270,596,80,161,128,255,257,110,0,0,0,0,0,0,0,0,0
PL_502021606,Radwanice,3716,1691,53,0,645,280,46,57,198,165,177,70,0,0,0,0,0,0,0,0,0
PL_502041701,Borów,4326,1988,80,0,906,335,49,57,199,62,190,89,0,16,0,0,0,5,0,0,0
PL_502041702,Kondratowice,3666,1376,63,0,527,370,52,31,91,60,133,39,0,4,0,0,0,6,0,0,0
PL_502041703,Przeworno,4044,1521,81,0,611,316,46,40,128,59,162,62,0,14,0,0,0,2,0,0,0
PL_502041704,Strzelin,18301,8710,273,0,2833,2493,220,294,713,626,771,435,0,36,0,0,0,16,0,0,0
PL_502041705,Wiązów,5939,2495,96,0,1158,496,70,63,164,92,243,96,0,15,0,0,0,2,0,0,0
PL_502041801,Kostomłoty,5736,2301,111,0,869,399,78,88,235,145,226,127,0,15,0,0,0,8,0,0,0
PL_502041802,Malczyce,4759,1962,89,0,679,478,72,101,65,136,235,96,0,8,0,0,0,3,0,0,0
PL_502041803,Miękinia,11146,5548,182,0,1685,1785,213,261,87,274,514,501,0,23,0,0,0,23,0,0,0
PL_502041804,Środa Śląska,15693,6934,178,0,2213,2156,207,256,237,439,757,429,0,43,0,0,0,19,0,0,0
PL_502041805,Udanin,4440,1705,66,0,657,321,48,46,275,79,149,56,0,3,0,0,0,5,0,0,0
PL_502031901,Świdnica,47190,24766,590,0,7039,7699,753,1120,238,2331,2023,2701,272,0,0,0,0,0,0,0,0
PL_502031902,Świebodzice,18384,8746,273,0,2443,2550,308,396,95,681,1038,588,374,0,0,0,0,0,0,0,0
PL_502031903,Dobromierz,4304,1770,86,0,717,487,48,42,57,97,165,57,14,0,0,0,0,0,0,0,0
PL_502031904,Jaworzyna Śląska,8356,3493,112,0,1290,821,124,160,54,242,369,261,60,0,0,0,0,0,0,0,0
PL_502031905,Marcinowice,5177,2288,96,0,857,524,71,115,139,126,216,117,27,0,0,0,0,0,0,0,0
PL_502031906,Strzegom,21414,9325,380,0,3041,2490,270,578,402,667,817,566,114,0,0,0,0,0,0,0,0
PL_502031907,Świdnica,13417,6019,278,0,1778,1722,203,228,204,390,602,560,54,0,0,0,0,0,0,0,0
PL_502031908,Żarów,10124,4487,153,0,1436,1221,140,227,104,387,402,293,124,0,0,0,0,0,0,0,0
PL_502042001,Oborniki Śląskie,15618,8237,203,0,2685,2502,322,354,205,422,679,814,0,37,0,0,0,14,0,0,0
PL_502042002,Prusice,7502,2975,114,0,1143,727,108,111,233,115,290,105,0,23,0,0,0,6,0,0,0
PL_502042003,Trzebnica,18430,8859,204,0,3180,2457,286,493,245,533,758,626,0,49,0,0,0,28,0,0,0
PL_502042004,Wisznia Mała,7755,4131,103,0,1435,1140,172,177,79,195,325,469,0,23,0,0,0,13,0,0,0
PL_502042005,Zawonia,4664,1855,94,0,608,491,87,78,87,103,169,118,0,14,0,0,0,6,0,0,0
PL_502042006,Żmigród,11827,4615,183,0,1300,1105,165,215,675,269,434,228,0,26,0,0,0,15,0,0,0
PL_502032101,Boguszów-Gorce,12747,4991,181,0,1337,1858,170,186,94,499,382,249,35,0,0,0,0,0,0,0,0
PL_502032102,Jedlina-Zdrój,3927,1758,62,0,454,647,72,91,40,137,146,98,11,0,0,0,0,0,0,0,0
PL_502032103,Szczawno-Zdrój,4952,2797,68,0,654,1168,99,92,42,290,143,208,33,0,0,0,0,0,0,0,0
PL_502032104,Czarny Bór,3859,1856,83,0,580,485,70,70,205,122,138,93,10,0,0,0,0,0,0,0,0
PL_502032105,Głuszyca,7221,2993,104,0,793,1089,112,292,62,161,220,141,19,0,0,0,0,0,0,0,0
PL_502032106,Mieroszów,5632,2165,70,0,509,836,64,102,106,183,161,114,20,0,0,0,0,0,0,0,0
PL_502032107,Stare Bogaczowice,3346,1472,62,0,397,543,58,52,39,90,137,87,7,0,0,0,0,0,0,0,0
PL_502032108,Walim,4617,1883,82,0,548,626,74,112,40,144,133,117,7,0,0,0,0,0,0,0,0
PL_502042201,Brzeg Dolny,12967,6050,199,0,1805,2173,242,234,76,367,534,373,0,35,0,0,0,12,0,0,0
PL_502042202,Wińsko,6927,2683,141,0,1229,608,54,92,156,116,212,60,0,10,0,0,0,5,0,0,0
PL_502042203,Wołów,19544,8660,331,0,3041,2478,279,323,254,594,784,517,0,40,0,0,0,19,0,0,0
PL_502042301,Czernica,10278,6354,105,0,1974,1920,205,341,170,296,486,812,0,33,0,0,0,12,0,0,0
PL_502042302,Długołęka,21625,12325,294,0,4067,3317,477,607,314,509,1069,1553,0,95,0,0,0,23,0,0,0
PL_502042303,Jordanów Śląski,2568,1151,58,0,447,243,39,40,64,41,145,65,0,6,0,0,0,3,0,0,0
PL_502042304,Kąty Wrocławskie,16877,9017,199,0,2810,2316,306,370,566,382,940,1066,0,42,0,0,0,20,0,0,0
PL_502042305,Kobierzyce,13794,7569,191,0,2031,2204,284,395,204,359,682,1155,0,44,0,0,0,20,0,0,0
PL_502042306,Mietków,3179,1466,48,0,498,350,42,54,109,102,160,93,0,6,0,0,0,4,0,0,0
PL_502042307,Sobótka,10368,4799,160,0,1607,1307,177,246,155,278,462,346,0,54,0,0,0,7,0,0,0
PL_502042308,Siechnice,14805,8820,149,0,2628,2349,354,500,423,429,837,1083,0,51,0,0,0,17,0,0,0
PL_502042309,Żórawina,7963,3963,137,0,1198,1009,158,164,203,169,422,465,0,23,0,0,0,15,0,0,0
PL_502032401,Bardo,4415,1922,67,0,629,485,79,57,91,179,223,98,14,0,0,0,0,0,0,0,0
PL_502032402,Ciepłowody,2550,902,24,0,315,245,22,25,79,27,118,34,13,0,0,0,0,0,0,0,0
PL_502032403,Kamieniec Ząbkowicki,6844,2932,188,0,981,671,82,96,111,256,318,196,33,0,0,0,0,0,0,0,0
PL_502032404,Stoszowice,4460,1758,64,0,569,374,57,48,295,107,121,76,47,0,0,0,0,0,0,0,0
PL_502032405,Ząbkowice Śląskie,18174,8369,261,0,2747,2514,241,225,419,567,802,505,88,0,0,0,0,0,0,0,0
PL_502032406,Ziębice,14389,5675,206,0,1997,1883,153,167,276,301,419,238,35,0,0,0,0,0,0,0,0
PL_502032407,Złoty Stok,3808,1495,46,0,499,479,54,61,45,107,124,73,7,0,0,0,0,0,0,0,0
PL_502012501,Zawidów,3411,1468,68,0,523,342,65,33,19,159,173,86,0,0,0,0,0,0,0,0,0
PL_502012502,Zgorzelec,25747,12711,267,0,4032,3266,425,460,143,1995,1373,750,0,0,0,0,0,0,0,0,0
PL_502012503,Bogatynia,19161,8381,309,0,3422,1571,397,354,268,826,796,438,0,0,0,0,0,0,0,0,0
PL_502012504,Pieńsk,7320,2609,140,0,762,681,128,161,50,268,283,136,0,0,0,0,0,0,0,0,0
PL_502012505,Sulików,4871,2028,86,0,877,386,65,66,74,159,253,62,0,0,0,0,0,0,0,0,0
PL_502012506,Węgliniec,6919,2725,135,0,875,722,102,132,77,226,315,141,0,0,0,0,0,0,0,0,0
PL_502012507,Zgorzelec,6714,2770,102,0,905,583,97,134,83,337,364,165,0,0,0,0,0,0,0,0,0
PL_502012601,Wojcieszów,3052,1117,46,0,281,355,61,38,46,96,85,109,0,0,0,0,0,0,0,0,0
PL_502012602,Złotoryja,13374,6130,196,0,1878,1743,240,325,134,705,444,465,0,0,0,0,0,0,0,0,0
PL_502012603,Pielgrzymka,3721,1392,61,0,516,346,51,47,109,69,123,70,0,0,0,0,0,0,0,0,0
PL_502012604,Świerzawa,6187,2323,112,0,674,670,106,85,129,193,214,140,0,0,0,0,0,0,0,0,0
PL_502012605,Zagrodno,4432,1796,74,0,784,319,33,80,142,131,163,70,0,0,0,0,0,0,0,0,0
PL_502012606,Złotoryja,5656,2339,82,0,913,525,90,92,99,174,236,128,0,0,0,0,0,0,0,0,0
PL_502016101,Jelenia Góra,65949,33249,632,0,8824,10353,1202,1320,785,3751,2589,3793,0,0,0,0,0,0,0,0,0
PL_502026201,Legnica,78856,39702,741,0,13340,10308,1358,1699,757,4463,3690,3346,0,0,0,0,0,0,0,0,0
PL_502056401,Wrocław,500890,303661,3806,0,86434,94866,14148,17303,3280,18941,24848,37975,0,1342,0,0,0,718,0,0,0
PL_502036501,Wałbrzych,91890,41585,1023,0,10618,16774,1472,1593,414,3831,3121,2400,339,0,0,0,0,0,0,0,0
PL_604080101,Aleksandrów Kujawski,9904,4299,122,0,1301,1146,169,154,192,593,356,250,0,12,0,0,4,0,0,0,0
PL_604080102,Ciechocinek,10135,6236,146,0,2163,1893,168,159,164,725,391,404,0,21,0,0,2,0,0,0,0
PL_604080103,Nieszawa,1607,765,35,0,218,153,20,31,55,84,127,31,0,8,0,0,3,0,0,0,0
PL_604080104,Aleksandrów Kujawski,8959,3457,139,0,1334,680,123,114,259,304,319,152,0,19,0,0,14,0,0,0,0
PL_604080105,Bądkowo,3554,1427,92,0,483,187,47,50,236,163,112,44,0,5,0,0,8,0,0,0,0
PL_604080106,Koneck,2701,955,46,0,494,114,20,26,115,55,67,15,0,3,0,0,0,0,0,0,0
PL_604080107,Raciążek,2572,1081,55,0,381,210,34,44,49,113,134,54,0,4,0,0,3,0,0,0,0
PL_604080108,Waganiec,3635,1446,78,0,639,218,42,35,101,122,142,57,0,7,0,0,5,0,0,0,0
PL_604080109,Zakrzewo,2917,1150,71,0,427,143,35,15,192,133,82,41,0,6,0,0,5,0,0,0,0
PL_604070201,Brodnica,21558,10573,246,0,3489,2564,277,295,750,969,1353,587,0,37,0,0,6,0,0,0,0
PL_604070202,Bobrowo,5053,1946,101,0,677,294,48,48,348,155,202,62,0,8,0,0,3,0,0,0,0
PL_604070203,Brodnica,6025,2532,108,0,789,408,74,78,342,162,413,153,0,4,0,0,1,0,0,0,0
PL_604070204,Brzozie,2906,1235,70,0,535,150,30,24,204,55,132,28,0,3,0,0,4,0,0,0,0
PL_604070205,Górzno,3170,1324,73,0,485,142,20,34,313,58,154,39,0,5,0,0,1,0,0,0,0
PL_604070206,Bartniczka,3673,1541,81,0,595,191,33,32,305,59,199,36,0,6,0,0,4,0,0,0,0
PL_604070207,Jabłonowo Pomorskie,7166,2825,180,0,980,492,85,95,425,172,309,70,0,13,0,0,4,0,0,0,0
PL_604070208,Osiek,3215,1131,70,0,401,101,23,50,253,66,131,29,0,6,0,0,1,0,0,0,0
PL_604070209,Świedziebnia,4172,1778,58,0,629,103,21,28,720,54,146,17,0,0,0,0,2,0,0,0,0
PL_604070210,Zbiczno,3844,1632,59,0,467,289,47,37,297,124,238,69,0,4,0,0,1,0,0,0,0
PL_604060301,Białe Błota,14747,8237,153,0,2048,2393,351,481,231,768,677,1069,0,66,0,0,0,0,0,0,0
PL_604060302,Dąbrowa Chełmińska,6220,2577,80,0,735,577,113,115,328,168,255,181,0,25,0,0,0,0,0,0,0
PL_604060303,Dobrcz,8498,4067,143,0,1123,1021,167,197,446,299,364,281,0,26,0,0,0,0,0,0,0
PL_604060304,Koronowo,19307,7953,272,0,2269,2183,281,333,513,721,894,440,0,47,0,0,0,0,0,0,0
PL_604060305,Nowa Wieś Wielka,7511,3425,86,0,979,891,152,194,130,309,307,334,0,43,0,0,0,0,0,0,0
PL_604060306,Osielsko,9480,5962,97,0,1338,2110,178,307,203,397,376,921,0,35,0,0,0,0,0,0,0
PL_604060307,Sicienko,7817,3461,131,0,911,992,131,188,261,244,263,298,0,42,0,0,0,0,0,0,0
PL_604060308,Solec Kujawski,12766,6219,157,0,1794,1820,260,350,171,541,627,465,0,34,0,0,0,0,0,0,0
PL_604070401,Chełmno,15418,7134,252,0,1972,2454,245,277,160,726,512,484,0,41,0,0,11,0,0,0,0
PL_604070402,Chełmno,4424,1526,45,0,444,414,41,55,147,109,173,83,0,10,0,0,5,0,0,0,0
PL_604070403,Kijewo Królewskie,3506,1426,58,0,455,346,48,49,135,99,156,65,0,10,0,0,5,0,0,0,0
PL_604070404,Lisewo,4083,1584,81,0,497,316,46,52,187,105,153,129,0,13,0,0,5,0,0,0,0
PL_604070405,Papowo Biskupie,3451,1161,37,0,360,237,34,34,200,95,123,36,0,2,0,0,3,0,0,0,0
PL_604070406,Stolno,4052,1501,68,0,506,302,59,41,168,127,152,63,0,8,0,0,7,0,0,0,0
PL_604070407,Unisław,5369,2288,79,0,764,510,99,102,164,195,217,136,0,16,0,0,6,0,0,0,0
PL_604070501,Golub-Dobrzyń,9959,4375,138,0,1478,1081,131,135,198,554,413,211,0,29,0,0,7,0,0,0,0
PL_604070502,Ciechocin,3170,1338,62,0,588,207,50,46,143,85,108,43,0,6,0,0,0,0,0,0,0
PL_604070503,Golub-Dobrzyń,6949,2606,114,0,1002,506,85,73,242,195,276,91,0,10,0,0,12,0,0,0,0
PL_604070504,Kowalewo Pomorskie,9157,3902,125,0,1226,710,93,128,788,288,400,121,0,17,0,0,6,0,0,0,0
PL_604070505,Radomin,3315,1315,41,0,589,129,30,43,208,99,137,21,0,10,0,0,8,0,0,0,0
PL_604070506,Zbójno,3494,1217,69,0,468,149,54,32,140,135,113,20,0,8,0,0,29,0,0,0,0
PL_604070601,Grudziądz,9289,3972,101,0,1220,1032,129,211,279,315,339,261,0,16,0,0,69,0,0,0,0
PL_604070602,Gruta,5201,1969,69,0,669,390,68,96,225,172,174,81,0,14,0,0,11,0,0,0,0
PL_604070603,Łasin,6445,2355,97,0,783,652,72,75,189,187,142,94,0,16,0,0,48,0,0,0,0
PL_604070604,Radzyń Chełmiński,3776,1252,60,0,458,208,52,51,119,99,137,46,0,16,0,0,6,0,0,0,0
PL_604070605,Rogóźno,3225,1204,42,0,446,186,46,37,151,86,143,42,0,1,0,0,24,0,0,0,0
PL_604070606,Świecie nad Osą,3358,1007,40,0,379,152,42,39,123,79,108,25,0,9,0,0,11,0,0,0,0
PL_604670701,Inowrocław,61235,30234,790,0,8531,10126,1144,979,924,3732,2065,1774,0,169,0,0,0,0,0,0,0
PL_604670702,Dąbrowa Biskupia,4067,1367,61,0,468,222,32,47,127,246,111,38,0,15,0,0,0,0,0,0,0
PL_604670703,Gniewkowo,11409,4505,170,0,1402,1158,159,179,244,434,497,233,0,29,0,0,0,0,0,0,0
PL_604670704,Inowrocław,9312,3856,149,0,1328,888,145,139,349,312,319,192,0,35,0,0,0,0,0,0,0
PL_604670705,Janikowo,10887,4599,182,0,1534,979,150,178,476,425,395,249,0,31,0,0,0,0,0,0,0
PL_604670706,Kruszwica,15737,6360,258,0,2134,1250,181,214,1074,647,377,190,0,35,0,0,0,0,0,0,0
PL_604670707,Pakość,7922,3284,125,0,983,884,141,129,283,282,271,169,0,17,0,0,0,0,0,0,0
PL_604670708,Rojewo,3715,1488,93,0,559,279,42,36,187,86,133,61,0,12,0,0,0,0,0,0,0
PL_604670709,Złotniki Kujawskie,7367,2873,146,0,819,648,95,124,241,321,284,161,0,34,0,0,0,0,0,0,0
PL_604080801,Lipno,11457,4953,173,0,1699,979,154,143,727,512,351,172,0,40,0,0,3,0,0,0,0
PL_604080802,Bobrowniki,2465,1059,66,0,289,187,39,35,296,56,48,34,0,4,0,0,5,0,0,0,0
PL_604080803,Chrostkowo,2422,831,49,0,325,69,13,21,263,31,33,23,0,3,0,0,1,0,0,0,0
PL_604080804,Dobrzyń nad Wisłą,6326,2260,145,0,847,285,59,88,391,216,155,52,0,15,0,0,7,0,0,0,0
PL_604080805,Kikół,5708,2288,135,0,685,221,38,50,903,87,121,37,0,5,0,0,6,0,0,0,0
PL_604080806,Lipno,9202,3280,196,0,1062,396,88,106,897,179,244,81,0,23,0,0,8,0,0,0,0
PL_604080807,Skępe,6034,2279,99,0,805,458,67,78,336,201,155,65,0,15,0,0,0,0,0,0,0
PL_604080808,Tłuchowo,3672,1396,54,0,554,149,37,49,308,69,115,45,0,12,0,0,4,0,0,0,0
PL_604080809,Wielgie,5261,1900,99,0,603,221,49,47,435,243,147,39,0,11,0,0,6,0,0,0,0
