gisco_id,name,registered,turnout,invalid,blank,AB,AD,MPM,PL,PN,Ind.
MT_01,DISTRICT 1,26598,24452,256,0,27,147,80,13844,10094,4
MT_02,DISTRICT 2,26396,24635,269,0,0,174,78,17353,6761,0
MT_03,DISTRICT 3,25404,23647,284,0,0,152,73,16328,6775,35
MT_04,DISTRICT 4,26095,24488,292,0,0,171,114,16383,7528,0
MT_05,DISTRICT 5,25295,23576,361,0,0,156,80,15259,7720,0
MT_06,DISTRICT 6,24884,23322,246,0,16,94,85,13717,9164,0
MT_07,DISTRICT 7,27106,25276,397,0,29,218,81,14042,10509,0
MT_08,DISTRICT 8,25982,24082,277,0,0,267,117,10830,12591,0
MT_09,DISTRICT 9,25636,23399,282,0,36,297,65,9712,13007,0
MT_10,DISTRICT 10,26460,23585,266,0,41,273,74,8873,14058,0
MT_11,DISTRICT 11,26244,24198,288,0,30,290,101,10282,13207,0
MT_12,DISTRICT 12,27076,23779,389,0,42,199,97,11120,11921,11
MT_13,DISTRICT 13,28680,26257,424,0,0,126,72,13233,12361,41
