gisco_id,name,registered,turnout,invalid,blank,Ν.Δ. (1974),ΠΑ.ΣΟ.Κ.,Κ.Κ.Ε.,ΛΑ.Ο.Σ.,ΣΥ.ΡΙΖ.Α.,Ο.Π.,ΔΗ.ΑΝΑ.,Ε.Κ.,Κ.Κ.Ε. (μ-λ),ΕΝ.ΑΝΤΙ.Α.,Μ.-Λ. Κ.Κ.Ε.,Α.Σ.Κ.Ε.,ΦΙ.ΣΥ.,Ο.Α.Κ.Κ.Ε.,Κ.Φ.,Ε.Ο. (1986),Φ.Α.Δ.,Π.Α.Α.,Δ.Π.Ε. [Δημοκρατική Παγκόσμιος Ελλάς],Ν.Κ.Σ.Χ.Δ.,Ανεξ.
EL_380603,Αποδοτίας,4275,2009,34,5,860,861,92,40,102,2,4,4,0,3,1,0,1,0,0,0,0,0,0,0,0
EL_380203,Αρακύνθου,7339,5468,88,18,2701,2161,256,109,88,14,13,3,7,3,3,2,1,1,0,0,0,0,0,0,0
EL_380701,Αστακού,9493,7056,100,34,3214,2800,503,171,154,13,27,10,8,8,5,1,4,1,0,0,0,0,0,0,3
EL_380500,Θέρμου,10973,7494,83,32,3228,3442,315,147,148,26,27,14,9,6,5,3,6,0,0,0,0,0,0,0,3
EL_380204,Θεστιέων,8009,6460,136,27,2679,2713,549,97,164,45,15,8,9,5,3,4,1,2,0,0,0,0,0,0,3
EL_380402,Ινάχου,8442,6397,84,26,2624,3117,273,86,128,10,28,4,8,2,4,2,1,0,0,0,0,0,0,0,0
EL_380303,Παλαίρου,4724,3530,45,17,1646,1462,147,54,109,15,5,7,5,4,9,0,1,4,0,0,0,0,0,0,0
EL_380205,Μακρυνείας,5835,4595,68,15,2280,1809,219,84,83,13,9,6,2,4,0,1,1,1,0,0,0,0,0,0,0
EL_380302,Μεδεώνος,6032,4431,52,10,1998,2030,164,92,57,8,7,4,3,3,1,2,0,0,0,0,0,0,0,0,0
EL_380403,Μενιδίου,3199,2288,35,7,1002,1006,94,33,84,7,3,0,3,7,2,3,1,1,0,0,0,0,0,0,0
EL_380101,Ιεράς Πόλης Μεσολογγίου,17166,12966,233,66,5622,5350,764,264,450,67,68,15,12,16,14,4,13,4,0,0,0,0,0,0,4
EL_380601,Ναυπάκτου,16385,11897,183,70,5578,4606,466,299,486,84,67,15,6,13,8,5,6,3,0,0,0,0,0,0,2
EL_380206,Νεάπολης (Δυτικης Ελλαδας),5827,4904,60,21,2000,2485,158,45,83,13,16,5,6,5,3,2,1,1,0,0,0,0,0,0,0
EL_380103,Οινιάδων,11165,8667,86,41,4223,3379,468,143,211,24,42,12,7,12,10,3,2,2,0,0,0,0,0,0,2
EL_380207,Παναιτωλικού,2120,1678,18,6,769,750,60,20,33,7,9,2,0,1,0,2,0,1,0,0,0,0,0,0,0
EL_380208,Παραβόλας,5671,4430,52,15,1865,2090,208,58,107,9,12,3,3,4,0,0,1,2,0,0,0,0,0,0,1
EL_380209,Παρακαμπυλίων,4718,3114,45,10,1386,1409,78,57,77,14,22,3,4,4,3,0,2,0,0,0,0,0,0,0,0
EL_380604,Πλατάνου,4492,1452,13,2,616,649,74,24,41,3,10,2,1,5,0,1,0,0,0,0,0,0,0,0,11
EL_380605,Πυλλήνης,3163,2067,26,3,873,900,114,49,63,14,13,2,2,3,0,1,1,0,0,0,0,0,0,0,3
EL_380210,Στράτου,6960,5830,64,18,2561,2623,356,96,76,5,12,4,9,4,1,1,0,0,0,0,0,0,0,0,0
EL_380703,Φυτειών,3370,2748,35,17,1121,1308,148,49,41,15,4,3,2,1,1,1,1,0,0,0,0,0,0,0,1
EL_380606,Χάλκειας,4021,2926,35,10,1180,1333,133,85,92,14,23,3,7,4,2,2,2,0,0,0,0,0,0,0,1
EL_410202,Αλέας,1629,798,7,5,388,348,14,22,5,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EL_410201,Άργους,24285,18818,358,116,8870,6875,745,622,782,211,116,39,18,26,15,0,21,4,0,0,0,0,0,0,0
EL_410102,Ασίνης,5016,4048,43,22,2296,1309,101,135,81,29,13,7,6,1,3,0,2,0,0,0,0,0,0,0,0
EL_410301,Ασκληπιείου,5073,3840,50,22,2002,1419,93,106,91,14,25,4,1,6,2,0,4,1,0,0,0,0,0,0,0
EL_410203,Αχλαδοκάμπου,1216,614,11,3,361,192,12,19,10,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0
EL_410302,Επιδαύρου,4092,3120,49,14,1765,969,90,74,108,24,13,2,2,5,2,0,1,2,0,0,0,0,0,0,0
EL_410402,Ερμιόνης,3969,3236,58,14,1564,1054,217,145,135,20,10,7,6,3,3,0,0,0,0,0,0,0,0,0,0
EL_410204,Κουτσοποδίου,3657,2934,33,20,1626,996,80,92,46,15,16,3,1,1,2,0,0,3,0,0,0,0,0,0,0
EL_410401,Κρανιδίου,8912,6686,103,35,2962,2561,371,240,270,60,37,19,9,3,8,0,6,2,0,0,0,0,0,0,0
EL_410205,Λέρνας,2753,2223,27,8,978,994,71,40,65,7,17,8,1,2,2,0,3,0,0,0,0,0,0,0,0
EL_410206,Λυρκείας,4409,3054,47,17,1568,1125,137,60,60,13,11,6,3,2,4,0,1,0,0,0,0,0,0,0,0
EL_410103,Μιδέας,6822,5672,64,21,2517,2393,371,89,140,31,15,8,5,5,7,0,3,3,0,0,0,0,0,0,0
EL_410207,Μυκηναίων,4751,3711,56,22,1621,1551,237,54,114,18,15,10,1,3,4,0,3,2,0,0,0,0,0,0,0
EL_410101,Ναυπλίέων,13582,10716,218,82,5060,3397,613,453,618,130,63,27,12,14,11,0,16,2,0,0,0,0,0,0,0
EL_410208,Νέας Κίου,2477,2092,37,10,719,931,232,58,60,27,8,1,6,0,1,0,2,0,0,0,0,0,0,0,0
EL_410104,Νέας Τίρυνθας,3406,2802,46,14,1304,1092,125,76,86,16,16,5,4,4,8,0,3,3,0,0,0,0,0,0,0
EL_400503,Τυρού,2453,1664,50,19,806,628,40,36,55,9,5,7,5,0,3,0,1,0,0,0,0,0,0,0,0
EL_400102,Βαλτετσίου,4069,2030,40,5,1015,770,96,34,45,9,3,2,2,3,3,0,2,1,0,0,0,0,0,0,0
EL_400200,Βόρειας Κυνουρίας,15450,10575,159,47,5194,3985,407,182,418,65,43,20,14,10,9,0,19,3,0,0,0,0,0,0,0
EL_400302,Βυτίνας,3070,1845,31,17,811,703,84,37,111,23,18,3,1,2,1,0,2,1,0,0,0,0,0,0,0
EL_400402,Γόρτυνος,2084,1377,13,8,562,553,117,37,63,6,5,5,3,1,3,0,0,1,0,0,0,0,0,0,0
EL_400301,Δημητσάνης,2493,1662,30,5,713,679,59,64,74,12,9,6,3,4,1,0,2,1,0,0,0,0,0,0,0
EL_400303,Ηραίας,3967,2389,27,5,1068,1035,87,53,84,8,6,1,5,4,3,0,1,2,0,0,0,0,0,0,0
EL_400304,Κλείτορος (Πελοποννησου),4086,2367,30,12,1006,959,166,94,65,17,13,2,1,1,1,0,0,0,0,0,0,0,0,0,0
EL_400305,Κοντοβαζαίνης,4013,2221,24,6,990,937,124,48,61,6,9,5,2,3,3,0,1,2,0,0,0,0,0,0,0
EL_400103,Κορυθίου,3512,2304,26,20,1097,890,100,62,64,13,10,5,4,7,5,0,1,0,0,0,0,0,0,0,0
EL_400502,Κοσμά,1235,489,15,2,221,134,69,10,19,2,5,2,4,1,5,0,0,0,0,0,0,0,0,0,0
EL_400306,Λαγκαδίων,3254,1828,17,13,825,713,81,48,95,14,7,3,1,5,3,0,2,1,0,0,0,0,0,0,0
EL_400104,Λεβιδίου,9539,4052,70,25,1670,1781,151,113,175,33,12,9,2,7,2,0,1,1,0,0,0,0,0,0,0
EL_400501,Λεωνιδίου,8183,4526,59,33,2583,1266,235,121,135,26,23,16,10,7,3,0,5,4,0,0,0,0,0,0,0
EL_400105,Μαντινείας,7886,2900,63,17,1288,1178,139,79,83,14,13,11,4,3,5,0,3,0,0,0,0,0,0,0,0
EL_400401,Μεγαλόπολης,9865,6463,126,46,2725,2446,546,194,267,44,23,6,17,13,4,0,4,2,0,0,0,0,0,0,0
EL_100317,Σκυρίτιδας,3341,1750,33,8,747,690,122,44,71,7,11,4,5,1,2,0,3,2,0,0,0,0,0,0,0
EL_400107,Τεγέας,6503,3803,55,29,1859,1351,153,146,127,31,19,8,8,7,8,0,2,0,0,0,0,0,0,0,0
EL_400307,Τρικολώνων,1697,1116,22,9,415,484,67,36,63,9,2,1,3,3,1,0,0,1,0,0,0,0,0,0,0
EL_400101,Τρίπολης,23674,17348,332,117,7738,6176,867,746,948,192,118,34,21,26,13,0,10,10,0,0,0,0,0,0,0
EL_400308,Τροπαίων,6695,4787,77,26,1883,2077,391,115,151,21,13,3,12,9,4,0,3,2,0,0,0,0,0,0,0
EL_400403,Φαλαισίας,5184,2626,40,10,1375,864,86,134,77,14,4,9,1,4,3,0,0,5,0,0,0,0,0,0,0
EL_400108,Φαλάνθου,2536,1453,12,7,663,602,46,38,62,12,3,2,0,5,0,0,1,0,0,0,0,0,0,0,0
EL_190302,Αγνάντων,4696,3448,40,19,1326,1636,226,54,92,15,14,5,8,8,3,0,2,0,0,0,0,0,0,0,0
EL_190301,Αθαμανίας,7500,5359,78,34,2670,2000,260,90,153,13,18,8,15,11,3,0,5,1,0,0,0,0,0,0,0
EL_190102,Αμβρακικού,5407,4192,86,15,1553,1782,499,36,157,19,17,2,14,4,2,0,6,0,0,0,0,0,0,0,0
EL_190402,Αράχθου,6412,5006,96,14,2948,1547,178,72,102,13,3,10,13,3,4,0,1,2,0,0,0,0,0,0,0
EL_190101,Αρταίων,19526,15314,284,77,6523,5851,1049,229,937,97,67,31,90,59,7,0,9,4,0,0,0,0,0,0,0
EL_190103,Βλαχερνών,3629,2973,57,17,1752,868,119,61,69,4,8,8,6,0,2,0,2,0,0,0,0,0,0,0,0
EL_190202,Γεωργίου Καραϊσκάκη,4009,2980,30,8,1474,1196,154,42,50,7,9,2,5,0,2,0,1,0,0,0,0,0,0,0,0
EL_190201,Ηρακλείας (Ηπειρου),2652,1901,43,8,1075,623,55,35,33,9,1,3,6,6,0,0,3,1,0,0,0,0,0,0,0
EL_190303,Θεοδωριάνων,1107,820,14,4,312,385,55,21,16,7,1,0,1,0,2,0,2,0,0,0,0,0,0,0,0
EL_190403,Κομμένου,771,628,14,0,328,221,19,16,26,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
EL_190404,Κομποτίου,3620,2783,45,12,1366,913,207,56,118,19,11,3,13,16,1,0,3,0,0,0,0,0,0,0,0
EL_190304,Μελισσουργών,896,622,13,0,133,269,104,10,77,5,1,1,8,0,1,0,0,0,0,0,0,0,0,0,0
EL_190104,Ξηροβουνίου,4965,3708,60,12,1717,1364,330,66,111,23,4,2,10,1,4,0,4,0,0,0,0,0,0,0,0
EL_190401,Πέτα,4542,3702,75,21,1604,1481,286,32,157,7,15,1,7,12,4,0,0,0,0,0,0,0,0,0,0
EL_190203,Τετραφυλίας,4979,3342,34,13,1712,1343,93,41,79,6,4,3,4,8,1,0,1,0,0,0,0,0,0,0,0
EL_190105,Φιλοθέης (Ηπειρου),6049,4982,48,25,2306,1900,384,54,217,12,11,1,14,4,3,0,2,1,0,0,0,0,0,0,0
EL_490502,Αγίου Κωνσταντίνου (Αττικης),576,479,13,2,142,220,57,9,22,8,0,3,0,1,0,0,1,0,1,0,0,0,0,0,0
EL_490301,Αγίου Στεφάνου,5702,5084,109,25,1801,1785,499,215,447,80,56,19,9,15,5,2,7,2,8,0,0,0,0,0,0
EL_491102,Αναβύσσου,5298,4725,103,33,2175,1544,295,193,256,54,31,14,9,3,4,2,9,0,0,0,0,0,0,0,0
EL_490902,Ανθούσας,1460,1296,22,6,504,401,167,78,73,13,9,12,4,1,1,1,2,1,1,0,0,0,0,0,0
EL_490302,Ανοίξεως,3320,2954,52,20,1199,915,253,133,263,59,30,10,2,7,2,1,5,0,3,0,0,0,0,0,0
EL_491202,Αρτέμιδος,11609,10019,195,57,3428,3700,1073,642,600,140,80,36,31,11,10,1,8,1,6,0,0,0,0,0,0
EL_491302,Αυλώνος (Αττικης),3040,2709,59,17,1206,1044,165,72,94,18,15,5,6,2,2,1,1,0,2,0,0,0,0,0,0
EL_491303,Αφιδνών,2104,1828,36,23,816,525,119,111,137,30,15,7,3,0,1,0,3,0,2,0,0,0,0,0,0
EL_490101,Αχαρνών,57058,45740,1547,381,12548,19240,5351,3576,1671,491,286,213,196,55,56,29,44,21,35,0,0,0,0,0,0
EL_490202,Βάρης,7581,6463,126,46,2867,1893,494,295,480,129,67,18,12,8,9,0,10,2,7,0,0,0,0,0,0
EL_490602,Βαρνάβα,1613,1411,29,7,521,529,162,75,57,10,11,1,2,3,2,0,2,0,0,0,0,0,0,0,0
EL_490201,Βούλας,16619,13410,249,95,6623,3137,755,692,1237,331,140,52,21,29,7,4,27,3,8,0,0,0,0,0,0
EL_490203,Βουλιαγμένης,6169,4876,88,47,2478,1100,310,283,363,123,40,20,6,7,0,0,7,1,3,0,0,0,0,0,0
EL_490901,Γέρακα,10415,9235,194,72,3085,3466,941,444,695,132,92,37,38,10,4,4,11,1,9,0,0,0,0,0,0
EL_490802,Γλυκών Νερών,5499,4761,121,21,1595,1667,546,255,360,77,51,28,16,6,4,1,5,1,7,0,0,0,0,0,0
EL_490603,Γραμματικού,1629,1335,31,6,627,474,59,64,51,7,9,2,1,1,0,1,1,0,1,0,0,0,0,0,0
EL_490303,Διονύσου,3488,3043,53,36,1404,726,172,123,360,86,43,9,2,9,0,1,16,0,3,0,0,0,0,0,0
EL_490304,Δροσιάς,3317,2870,46,19,1262,778,194,110,330,59,38,12,1,10,0,1,7,1,2,0,0,0,0,0,0
EL_490102,Θρακομακεδόνων,3659,3217,54,25,1346,840,243,176,349,91,36,15,3,16,1,3,15,2,2,0,0,0,0,0,0
EL_491304,Καλάμου (Αττικης),2627,2247,39,5,1312,615,59,87,77,22,15,5,4,1,1,1,1,1,2,0,0,0,0,0,0
EL_491101,Καλυβίων Θορικού,6905,5964,127,41,2232,2032,607,307,401,95,50,32,8,12,5,3,6,2,4,0,0,0,0,0,0
EL_491305,Καπανδριτίου,2503,2101,33,10,850,697,162,109,163,23,31,12,5,4,0,0,0,0,2,0,0,0,0,0,0
EL_490503,Κερατέας,9115,7705,169,40,3369,2607,525,401,375,87,55,25,25,15,1,2,1,1,7,0,0,0,0,0,0
EL_491103,Κουβαρά,1486,1274,13,9,608,423,60,71,45,21,14,2,2,1,3,0,1,0,1,0,0,0,0,0,0
EL_490305,Κρυονερίου,2397,2188,41,13,761,704,293,110,192,30,19,8,11,0,0,0,3,1,2,0,0,0,0,0,0
EL_490400,Κρωπίας,17156,14332,367,120,6369,4369,962,771,758,200,250,52,40,20,11,6,14,7,16,0,0,0,0,0,0
EL_490501,Λαυρεωτικής,9511,7824,248,55,2548,3142,912,356,381,74,41,16,21,7,9,3,5,1,5,0,0,0,0,0,0
EL_491306,Μαλακάσης,1227,1083,27,3,440,413,79,36,50,13,9,1,3,1,0,0,8,0,0,0,0,0,0,0,0
EL_490601,Μαραθώνος,6327,5438,104,37,2799,1424,453,316,177,51,35,7,14,9,2,5,3,0,2,0,0,0,0,0,0
EL_490700,Μαρκοπούλου Μεσογαίας,10563,9087,169,55,3980,2983,644,447,518,122,81,31,17,15,2,6,10,2,5,0,0,0,0,0,0
EL_491307,Μαρκοπούλου Ωρωπού,2090,1784,36,7,811,574,117,77,98,25,9,2,8,10,2,0,6,0,2,0,0,0,0,0,0
EL_490604,Νέας Μάκρης,11442,9772,182,61,4377,2981,710,359,758,156,90,23,22,13,8,10,14,2,6,0,0,0,0,0,0
EL_490801,Παιανίας,9564,8293,152,45,3869,2383,605,457,445,131,103,37,16,8,4,1,26,1,10,0,0,0,0,0,0
EL_491104,Παλαιάς Φωκαίας,2466,2200,26,21,949,722,160,112,131,48,14,7,3,3,1,0,2,0,1,0,0,0,0,0,0
EL_490903,Παλλήνης (Αττικης),11653,10215,225,75,3527,3520,1040,568,805,184,131,46,20,30,7,2,19,3,13,0,0,0,0,0,0
EL_491002,Πικερμίου,2239,2020,20,14,951,468,145,100,220,32,41,10,3,8,2,0,5,0,1,0,0,0,0,0,0
EL_491308,Πολυδενδρίου,938,860,16,5,319,332,57,44,59,12,5,3,1,1,0,1,3,1,1,0,0,0,0,0,0
EL_491001,Ραφήνας,7958,6887,103,50,2965,1817,856,333,555,85,45,21,9,16,6,11,12,0,3,0,0,0,0,0,0
EL_490306,Ροδοπόλεως,1445,1283,27,11,576,380,60,83,88,26,18,8,0,2,0,2,0,1,1,0,0,0,0,0,0
EL_491105,Σαρωνίδος,1550,1332,35,16,656,308,96,68,94,25,13,3,3,9,0,1,4,0,1,0,0,0,0,0,0
EL_491201,Σπάτων - Λούτσας,8204,6972,116,60,3409,1911,373,566,332,71,66,26,12,10,3,1,8,1,7,0,0,0,0,0,0
EL_490307,Σταμάτας,1816,1604,25,11,826,376,117,77,108,19,12,18,1,5,3,0,3,1,2,0,0,0,0,0,0
EL_491309,Συκαμίνου,1098,985,22,5,455,351,60,37,35,7,4,2,7,0,0,0,0,0,0,0,0,0,0,0,0
EL_491301,Ωρωπίων,6216,5424,107,31,2351,1905,334,211,314,37,43,17,26,6,4,1,33,1,3,0,0,0,0,0,0
EL_500501,Άνω Λιοσίων,22020,18207,667,152,5194,7450,2140,1043,960,215,94,80,77,26,17,35,25,7,25,0,0,0,0,0,0
EL_500200,Ασπροπύργου,22315,17447,660,159,5450,7422,1647,1213,445,127,55,53,101,15,45,16,15,10,14,0,0,0,0,0,0
EL_500302,Βιλίων,4033,3118,64,19,1349,990,222,117,266,28,28,14,7,0,7,1,0,1,5,0,0,0,0,0,0
EL_500101,Ελευσίνος,20347,16400,465,136,5308,5953,2067,848,1100,221,78,78,52,25,23,7,21,5,13,0,0,0,0,0,0
EL_500303,Ερυθρών,3724,2845,61,21,1150,937,267,138,203,30,16,3,8,2,4,2,1,0,2,0,0,0,0,0,0
EL_500502,Ζεφυρίου,5651,4776,261,32,1116,2183,613,214,215,45,17,26,17,4,10,9,5,4,5,0,0,0,0,0,0
EL_500102,Μαγούλας,2991,2627,59,14,838,1082,299,158,103,36,8,10,13,1,1,0,2,2,1,0,0,0,0,0,0
EL_500301,Μάνδρας,8964,7329,200,45,2796,2815,567,392,336,57,33,18,22,11,11,8,9,3,6,0,0,0,0,0,0
EL_500401,Μεγαρέων,20504,16421,342,86,6798,6454,752,963,600,133,119,55,39,22,8,15,11,12,12,0,0,0,0,0,0
EL_500402,Νέας Περάμου,6048,5107,125,30,1728,2071,409,319,263,73,33,18,14,3,7,0,5,1,8,0,0,0,0,0,0
EL_500304,Οινόης,813,691,8,2,205,302,75,39,44,9,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0
EL_500503,Φυλής,2801,2356,86,17,920,848,170,151,83,26,19,16,8,0,1,0,6,0,5,0,0,0,0,0,0
EL_370202,Αιγείρας,2984,2384,26,7,1018,1019,77,64,125,18,13,5,5,3,1,1,2,0,0,0,0,0,0,0,0
EL_370201,Αιγίου,27173,20426,310,117,8475,8313,1382,495,843,196,127,53,35,28,19,7,24,2,0,0,0,0,0,0,0
EL_370203,Ακράτας,5800,4129,50,19,2016,1566,145,74,197,28,16,4,3,1,4,1,4,1,0,0,0,0,0,0,0
EL_370502,Αροανίας,3545,2502,38,8,1052,1100,127,51,81,16,12,2,3,3,4,2,0,3,0,0,0,0,0,0,0
EL_370102,Βραχναιίκων,4258,3606,66,9,1147,1744,231,85,220,33,34,11,6,4,5,10,1,0,0,0,0,0,0,0,0
EL_370204,Διακοπτού,6954,5223,84,27,2236,2244,221,120,195,42,13,17,3,8,5,2,6,0,0,0,0,0,0,0,0
EL_370301,Δύμης,9124,7382,154,30,3322,3075,320,124,243,38,19,13,8,20,7,2,5,2,0,0,0,0,0,0,0
EL_370205,Ερινεού,3881,3084,52,14,1396,1271,159,60,80,16,14,9,0,3,3,4,3,0,0,0,0,0,0,0,0
EL_370501,Καλαβρύτων,8796,6223,94,30,2571,2731,306,127,266,27,30,11,8,6,5,4,6,1,0,0,0,0,0,0,0
EL_370402,Καλεντζίου,651,591,0,0,39,535,7,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EL_370302,Λαρισσού,8016,6589,88,18,2925,3125,162,87,120,25,19,6,1,3,4,4,2,0,0,0,0,0,0,0,0
EL_370403,Λεοντίου,906,718,9,2,261,371,34,21,9,5,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0
EL_370503,Κλείτορος (Δυτικης Ελλαδας),4921,3142,43,13,1387,1360,155,95,50,18,5,7,3,1,2,2,1,0,0,0,0,0,0,0,0
