gisco_id,name,registered,turnout,invalid,blank,ΠΑ.ΣΟ.Κ.,Ν.Δ. (1974),ΛΑ.Ο.Σ.,Κ.Κ.Ε.,ΣΥ.ΡΙΖ.Α.,Ο.Π.,Κ.Ε.Κ.Α.,ΠΑ.Μ.ΜΕ.,Ο.Ε.,Ε.Ο. (1986),ΦΙ.ΣΥ.,Χ.Α.,Μ.-Λ. Κ.Κ.Ε.,ΑΝΤ.ΑΡ.ΣΥ.Α.,Ε.Κ.,Α.Σ.Κ.Ε.,Ε.Κ.Α.Δ.,Κ.Φ.,Ε.Ε.Κ.,ΕΛ.ΕΝ.,Ο.Τ.,Κ.Π.Σ.Κ.,Ο.Α.Κ.Κ.Ε.,Λ.Ε.Υ.Κ.Ο.,ΠΑ.ΝΑ.Κ,Κ.Ν.
EL_600500,Φολεγάνδρου,770,440,1,13,187,145,15,12,20,18,8,1,3,1,11,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0
EL_670204,Ηράκλειας,162,98,2,2,37,34,5,7,2,4,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
EL_600102,Οίας,1780,710,11,19,255,267,33,18,33,27,6,2,6,4,6,0,0,3,4,3,2,0,5,2,2,0,0,0,0,2
EL_600101,Θήρας,11583,6470,80,110,2271,2077,430,440,183,260,206,39,84,32,72,73,15,20,19,6,12,9,7,3,4,10,7,0,0,1
EL_700103,Πανόρμου,908,444,11,1,205,76,14,53,37,22,7,1,6,3,1,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0
EL_220201,Αγιάς,6470,4061,51,36,1408,1501,190,458,122,108,32,17,29,17,9,14,14,14,13,4,4,1,3,0,2,8,5,0,0,1
EL_220304,Καρυάς (Θεσσαλιας),1510,725,11,4,317,194,42,94,28,9,7,3,4,2,3,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0
EL_220505,Νέσσωνος,5652,3516,34,42,1144,1225,169,507,121,96,18,28,19,15,16,5,18,32,5,5,5,2,2,2,0,2,2,0,0,2
EL_220502,Αμπελακίων (Θεσσαλιας),1052,587,11,5,212,202,42,43,28,8,6,7,3,2,8,5,0,1,2,2,0,0,0,0,0,0,0,0,0,0
EL_220504,Κάτω Ολύμπου,5594,3098,46,34,1032,1092,174,355,80,71,24,48,14,18,12,16,14,10,11,9,10,4,9,4,0,5,6,0,0,0
EL_220401,Νίκαιας,7888,5094,75,41,1783,1836,309,480,187,154,62,32,20,21,18,16,8,16,5,2,10,1,8,2,3,5,0,0,0,0
EL_220602,Αμπελώνος,8486,4706,61,36,1393,1653,238,696,178,116,28,29,28,27,22,11,31,112,14,6,8,3,8,3,0,4,1,0,0,0
EL_220403,Κιλελέρ,3247,2071,21,15,723,900,130,81,47,52,31,13,8,9,9,5,2,3,3,0,2,1,1,2,3,6,0,0,0,4
EL_220306,Ολύμπου (Θεσσαλιας),4876,2871,36,20,1197,1009,120,272,105,30,4,8,10,6,4,5,10,7,6,0,6,2,5,1,0,2,3,0,0,3
EL_220302,Αντιχασίων,4233,2750,17,20,837,1318,177,121,66,92,19,6,15,9,11,4,6,8,4,2,6,2,3,1,0,1,1,0,0,4
EL_220103,Κοιλάδας,4350,2692,36,31,950,1162,184,120,71,56,7,11,9,8,10,5,6,4,6,1,5,1,2,0,1,2,2,0,0,2
EL_220405,Πλατυκάμπου,8603,5287,62,46,1815,1806,392,531,237,151,21,31,37,24,18,37,18,13,8,2,7,4,8,5,2,8,2,0,0,2
EL_220402,Αρμενίου,2571,1766,21,11,689,686,154,68,37,31,20,11,9,4,5,5,4,1,2,0,2,1,1,0,0,2,1,0,0,1
EL_220404,Κραννώνος,4880,3023,33,19,1035,1352,226,118,58,74,18,15,12,8,11,6,4,7,9,2,5,2,1,5,1,1,0,0,0,1
