gisco_id,name,registered,turnout,invalid,blank,M,C,FP,KD,S,V,MP,SD,FI,PP,SPI,JL,SJVP,ÖVR
SE_0862,Emmaboda,7310,5998,4,143,1032,812,163,451,2647,238,205,185,20,35,6,34,0,23
SE_0880,Kalmar,47801,40166,14,724,9785,2982,2596,2575,15584,1878,2053,1176,198,224,89,146,1,141
SE_0881,Nybro,15452,12665,3,231,2355,1493,452,865,5505,656,334,376,34,87,195,50,6,23
SE_0882,Oskarshamn,20486,16794,4,362,3482,990,797,1389,7273,1114,461,665,47,136,22,40,2,10
SE_0883,Västervik,28927,23251,11,394,4586,2116,1438,1328,10347,1258,950,478,90,86,32,104,8,25
SE_0884,Vimmerby,12004,9734,2,233,1768,1633,387,784,3755,391,328,290,26,58,16,39,6,18
SE_0885,Borgholm,9020,7341,1,110,1892,1555,325,580,1938,276,287,250,41,26,21,23,0,16
SE_0980,Gotland,45205,36780,30,1000,7715,6883,1554,1374,12464,2145,2237,566,332,245,100,75,8,52
SE_1060,Olofström,10081,8036,5,166,1142,543,416,410,4059,496,192,482,44,24,14,38,1,4
SE_1080,Karlskrona,47554,40237,15,725,9330,2810,2956,2297,15782,1761,1623,2325,199,199,38,124,2,51
SE_1081,Ronneby,22398,18525,6,351,3888,1634,1067,824,7570,1128,618,1065,90,118,14,117,6,29
SE_1082,Karlshamn,24616,20265,6,450,3912,1288,1179,898,8827,1332,834,1252,118,68,20,57,3,21
SE_1083,Sölvesborg,12994,10671,5,224,2837,580,487,535,4294,476,238,821,53,64,12,25,3,17
SE_1214,Svalöv,9488,7633,4,142,1713,1030,444,321,2672,225,228,729,24,44,25,25,1,6
SE_1230,Staffanstorp,15102,13127,7,220,4642,671,1102,551,4132,287,425,668,76,77,209,41,5,14
SE_1231,Burlöv,11183,8974,5,116,2188,285,655,295,3742,377,277,709,48,44,83,19,1,130
SE_1233,Vellinge,24160,21624,7,234,11952,781,1878,1205,3599,225,408,900,52,26,281,58,1,17
SE_1256,Östra Göinge,10527,8447,3,211,1527,676,471,574,3785,301,219,485,35,49,47,35,3,26
SE_1257,Örkelljunga,7149,5601,0,101,1455,428,331,763,1631,131,106,411,19,33,158,17,1,16
SE_1260,Bjuv,10107,7769,4,146,1578,336,370,326,3673,227,152,785,23,49,71,21,4,4
SE_1261,Kävlinge,19995,17187,5,270,5380,942,1457,705,5973,377,432,1176,108,118,154,63,11,16
SE_1262,Lomma,14339,12864,0,152,5664,665,1398,673,2841,201,371,499,58,50,235,47,3,7
SE_1263,Svedala,13861,11849,5,194,3537,532,953,451,4245,257,316,1083,63,79,74,44,7,9
SE_1264,Skurup,10696,8621,1,159,2453,747,549,389,2978,236,248,656,40,49,86,10,8,12
SE_1265,Sjöbo,13429,10436,6,231,3018,1070,530,602,3284,304,275,912,40,38,36,57,3,30
SE_1266,Hörby,11011,8677,4,169,2274,1052,599,537,2451,208,265,681,56,33,295,42,2,9
SE_1267,Höör,10942,8801,4,140,2442,742,624,491,2658,332,446,664,37,47,115,28,5,26
SE_1270,Tomelilla,9964,7679,2,152,2079,886,393,399,2458,244,245,632,40,56,30,41,13,9
SE_1272,Bromölla,9361,7612,3,183,1180,347,406,335,3851,429,173,549,26,45,32,28,7,18
SE_1273,Osby,9710,7778,4,136,1465,757,420,592,3259,314,221,493,34,17,26,31,1,8
SE_1275,Perstorp,5207,3948,0,58,913,278,216,224,1591,211,66,237,16,20,100,11,2,5
SE_1276,Klippan,12146,9284,3,191,2457,660,489,590,3482,264,232,681,35,28,80,30,1,61
SE_1277,Åstorp,9873,7569,7,151,1734,425,376,370,3354,215,133,625,27,56,65,17,1,13
SE_1278,Båstad,11487,9497,5,143,3908,1191,720,782,1704,165,349,336,40,37,68,29,2,18
SE_1280,Malmö,203308,157691,73,2316,44232,4475,13769,5373,54732,8468,9425,7708,1834,951,3496,370,88,381
SE_1281,Lund,79065,67829,35,1025,19883,4780,8233,2952,17189,3934,6093,1695,907,598,199,192,25,89
SE_1282,Landskrona,29228,23369,10,303,5581,687,2809,633,9398,889,673,1900,103,113,149,74,14,33
SE_1283,Helsingborg,94195,75004,54,1185,23235,2814,6389,3699,24494,2547,3038,4668,398,454,1595,242,44,148
SE_1284,Höganäs,18315,15335,7,214,5637,874,1273,1180,4117,357,604,632,99,94,168,46,15,18
SE_1285,Eslöv,22393,18062,7,326,3933,1649,1249,682,7117,624,555,1490,91,108,131,67,19,14
SE_1286,Ystad,21752,17601,20,327,5467,1102,1113,872,6354,469,568,800,117,67,238,66,11,10
SE_1287,Trelleborg,30409,24646,7,398,5775,1176,1554,1430,9638,630,668,2174,121,120,868,64,0,23
SE_1290,Kristianstad,58804,47795,16,1071,12347,3506,4580,2218,17039,1754,1737,2040,313,293,584,198,22,77
SE_1291,Simrishamn,15591,12411,5,251,3752,1181,745,817,3672,425,580,536,127,75,18,66,146,15
SE_1292,Ängelholm,30221,24745,3,471,8684,1718,1741,1791,6666,666,896,1141,92,128,605,70,21,52
SE_1293,Hässleholm,37806,30030,11,551,7445,2783,1785,2538,10302,997,1094,1895,190,163,123,91,25,37
SE_1315,Hylte,7589,6081,4,112,1292,938,306,407,2294,196,169,245,6,49,27,28,1,7
SE_1380,Halmstad,68826,56649,15,1125,15383,3755,4327,3398,20045,2445,2410,1439,245,328,1381,237,35,81
SE_1381,Laholm,17817,14495,4,311,3958,2247,783,906,4076,523,487,867,34,36,150,84,3,26
SE_1382,Falkenberg,30566,25094,6,603,6018,3632,1649,1396,8590,920,961,733,80,80,254,102,4,66
SE_1383,Varberg,42814,35912,12,925,8976,4301,2354,2165,12158,1653,1519,989,162,153,310,155,12,68
SE_1384,Kungsbacka,51800,44985,17,612,17630,3716,4379,3715,9584,1373,1690,950,272,270,525,160,17,75
SE_1401,Härryda,22879,19620,7,341,5711,1339,2056,1421,5620,1050,1055,523,120,143,54,106,48,26
SE_1402,Partille,24340,20535,12,273,5726,931,2163,1707,6158,1242,1058,571,135,136,251,107,46,19
SE_1407,Öckerö,9250,8151,1,153,2271,268,743,1733,1922,326,357,181,70,49,5,40,29,3
SE_1415,Stenungsund,17093,14314,2,256,3907,1040,1269,1030,4420,710,708,372,106,122,229,74,40,29
SE_1419,Tjörn,11616,9901,1,166,2871,618,1080,1546,2416,387,407,193,58,51,37,37,25,8
SE_1421,Orust,11997,9966,3,190,2517,1139,783,784,3027,495,467,255,68,50,66,36,64,22
SE_1427,Sotenäs,7535,6188,1,100,1837,387,626,589,1929,223,201,131,27,31,6,37,58,5
SE_1430,Munkedal,7895,6209,3,160,1214,860,354,483,2316,286,198,200,8,26,10,34,49,8
SE_1435,Tanum,9513,7618,6,189,1991,1409,649,528,1874,259,352,160,49,35,14,49,39,15
SE_1438,Dals-Ed,3568,2801,1,53,543,471,129,331,931,84,77,53,8,8,0,90,16,6
SE_1439,Färgelanda,5208,4181,2,98,714,764,259,230,1556,153,87,171,17,15,7,74,32,2
SE_1440,Ale,19235,15717,7,305,3272,1071,1116,1094,6164,1102,645,606,89,96,15,81,28,26
SE_1441,Lerum,26595,23143,7,383,6815,1441,2320,1999,6251,1272,1450,575,159,118,198,85,30,40
SE_1442,Vårgårda,8021,6777,5,109,1225,909,505,1107,1968,279,311,211,28,39,15,43,14,9
SE_1443,Bollebygd,6108,5266,0,95,1399,484,342,441,1676,289,182,195,50,30,23,40,15,5
SE_1444,Grästorp,4478,3715,5,61,1075,598,165,233,1190,130,88,83,12,25,2,16,11,21
SE_1445,Essunga,4415,3648,1,77,977,651,165,269,1065,154,108,103,12,27,2,22,6,9
SE_1446,Karlsborg,5530,4641,0,137,996,607,275,334,1773,172,127,118,16,25,11,30,16,4
SE_1447,Gullspång,4243,3498,1,57,612,384,160,242,1482,181,104,126,11,7,29,87,8,7
SE_1452,Tranemo,8898,7382,2,142,1532,1271,417,473,2612,256,222,281,25,41,48,28,24,8
SE_1460,Bengtsfors,7864,6201,1,104,1009,878,297,418,2608,338,247,128,33,3,6,98,19,14
SE_1461,Mellerud,7335,5786,4,125,1161,901,301,532,1934,284,177,241,30,13,12,36,30,5
SE_1462,Lilla Edet,9462,7533,5,139,1309,671,402,404,3140,583,280,381,62,52,19,37,25,24
SE_1463,Mark,25279,20937,9,436,4182,2424,1093,1597,7851,1306,819,595,86,144,137,129,91,38
SE_1465,Svenljunga,7878,6241,3,141,1464,992,381,467,2083,157,134,177,24,32,79,62,39,6
SE_1466,Herrljunga,7096,5977,2,126,1246,904,402,622,1814,288,188,211,38,20,55,47,4,10
SE_1470,Vara,12419,10100,3,184,2832,1587,483,772,3187,409,230,222,48,53,6,39,12,33
SE_1471,Götene,9773,8186,26,147,1684,876,441,867,3090,379,312,205,34,59,4,37,7,18
SE_1472,Tibro,8156,6678,3,112,1291,642,458,675,2642,299,188,217,32,62,3,37,9,8
SE_1473,Töreboda,7171,5619,2,119,1167,770,221,380,2191,286,170,165,24,32,17,44,20,11
