gisco_id,name,registered,turnout,invalid,blank,M,C,FP,KD,S,V,MP,SD,FI,PP,SPI,JL,SJVP,ÖVR
SE_2463,Åsele,2601,2099,0,28,206,337,99,134,1048,144,22,33,10,9,1,20,0,8
SE_2480,Umeå,84680,71798,39,1085,11681,7429,4845,3963,27279,6058,6416,643,898,757,33,342,25,305
SE_2481,Lycksele,9922,7908,4,110,952,678,476,727,3906,568,210,132,23,52,7,26,2,35
SE_2482,Skellefteå,56159,46790,21,788,5076,4624,2750,2891,23134,4111,1959,631,178,274,28,246,35,44
SE_2505,Arvidsjaur,5496,4501,1,62,465,334,172,95,2550,553,76,46,15,20,4,28,71,9
SE_2506,Arjeplog,2539,1989,0,34,210,202,119,93,879,283,62,34,8,11,2,11,34,7
SE_2510,Jokkmokk,4388,3480,3,52,371,190,200,79,1636,505,223,35,27,40,4,35,71,9
SE_2513,Överkalix,3136,2461,1,20,173,279,62,64,1427,307,51,19,9,10,1,16,20,2
SE_2514,Kalix,13508,11079,0,155,1123,766,365,363,6547,766,509,189,63,62,11,72,84,4
SE_2518,Övertorneå,3765,2821,1,35,354,416,88,127,1222,327,75,28,6,10,0,15,117,0
SE_2521,Pajala,5319,4100,1,50,406,193,91,226,1859,924,85,55,21,6,1,10,168,4
SE_2523,Gällivare,15004,11540,4,116,1361,298,269,323,6034,2037,329,268,61,89,6,79,254,12
SE_2560,Älvsbyn,6765,5548,2,66,425,470,168,256,3105,617,114,85,22,42,3,31,140,2
SE_2580,Luleå,56252,47345,13,564,7959,3065,2802,2069,21982,3964,2682,607,379,445,15,235,348,216
SE_2581,Piteå,32014,27488,17,326,2856,1914,1095,1371,15380,2305,1028,219,206,154,14,130,421,52
SE_2582,Boden,21774,18063,8,224,3201,979,756,835,8723,1576,517,326,101,128,12,110,529,38
SE_2583,Haparanda,6132,4207,1,52,714,509,94,152,2134,261,88,57,16,30,3,22,74,0
SE_2584,Kiruna,17704,13942,9,171,1308,450,433,536,7127,2069,511,334,158,101,5,104,547,79
