gisco_id,name,registered,turnout,invalid,blank,DL,ADR,KPL,DP,PPLU,déi gréng,LSAP,CSV,PID
LU_0708,Useldange,1020,980,48,47,26,63,5,199,22,121,111,302,31
LU_0610,Vallée de l'Ernz,1110,1048,66,57,15,46,9,273,27,60,141,320,29
LU_0903,Vianden,799,682,49,22,6,24,3,124,13,31,157,232,16
LU_0709,Vichten,601,578,43,27,15,27,4,123,17,55,63,144,56
LU_0710,Wahl,553,514,34,23,13,48,4,112,11,45,44,157,19
LU_1008,Waldbillig,867,808,50,19,28,71,12,126,23,112,100,246,17
LU_1208,Waldbredimus,534,511,22,13,17,32,4,84,12,69,52,196,5
LU_0310,Walferdange,3206,2871,162,203,114,116,17,664,61,257,350,897,23
LU_0311,Weiler-la-Tour,1113,1051,66,116,37,41,11,202,26,113,154,270,9
LU_0505,Weiswampach,751,692,36,36,10,44,1,190,22,33,58,238,19
LU_0807,Wiltz,2117,1871,172,97,37,93,21,257,46,78,576,455,35
LU_0502,Wincrange,2478,2306,128,96,24,219,20,537,69,104,390,666,48
LU_0808,Winseler,569,536,46,20,4,23,6,94,10,28,109,179,10
LU_1108,Wormeldange,1289,1208,63,40,31,97,9,197,24,137,117,472,17
