gisco_id,name,registered,turnout,invalid,blank,ADR,DP,LSAP,déi gréng,CSV,DL,KPL
LU_0210,Reckange-sur-Mess,446,417,38,25,25,36,62,76,142,8,2
LU_1307,Stadtbredimus,713,683,50,40,69,108,72,82,242,11,5
LU_0211,Roeser,2128,2007,142,127,90,197,471,307,631,24,14
LU_0407,Lintgen,2308,2143,150,101,109,341,474,324,601,29,11
LU_0408,Lorentzweiler,2608,2423,191,117,118,504,321,376,747,27,19
LU_0609,Schieren,1246,1154,104,86,116,136,158,129,406,11,3
LU_0511,Tuntange,562,542,37,30,44,71,77,109,167,3,1
LU_0811,Useldange,845,793,68,51,72,80,97,130,280,7,5
LU_1003,Berdorf,758,646,57,47,41,67,155,69,202,4,1
LU_0812,Vichten,560,543,34,40,70,76,52,79,181,4,3
LU_0813,Wahl,495,473,52,24,71,66,43,43,158,8,4
LU_1108,Wormeldange,659,629,45,28,70,69,78,101,224,7,4
LU_1308,Waldbredimus,478,447,31,20,35,69,65,52,166,4,2
LU_0409,Mersch,3351,3098,269,115,190,542,446,501,960,51,20
LU_0410,Nommern,833,770,31,37,64,119,127,149,232,7,1
LU_0610,Vallée de l'Ernz,671,620,51,42,66,96,38,41,275,8,0
LU_1309,Wellenstein,680,638,45,47,78,86,57,56,259,4,3
LU_0911,Wiltz,2245,1991,198,100,154,193,515,150,633,32,13
LU_0912,Wilwerwiltz,391,369,30,24,32,44,55,45,131,3,2
LU_0601,Bettendorf,2168,2067,191,151,284,346,200,130,725,19,16
LU_0913,Winseler,495,475,23,29,45,54,68,54,190,2,6
LU_1208,Waldbredimus,1317,1246,100,85,78,278,119,121,444,12,6
