gisco_id,name,registered,turnout,invalid,blank,M,C,FP,KD,S,V,MP,SD,FI,PP,OVR
SE_2584,Kiruna,17998,6637,69,0,368,216,232,296,2312,1006,830,706,406,150,46
SE_2580,Luleå,59783,32324,266,0,2787,1443,1832,1294,12469,2553,4861,1976,1752,912,179
SE_2521,Pajala,5069,2017,16,0,162,45,56,139,786,432,124,157,60,33,7
SE_2581,Piteå,33092,17199,162,0,1000,805,682,913,7525,1751,2101,1009,793,274,184
SE_2560,Älvsbyn,6431,2680,17,0,99,179,116,140,1115,361,176,321,67,68,21
SE_2513,Överkalix,2850,1218,10,0,41,100,35,26,612,145,78,127,31,7,6
SE_2518,Övertorneå,3499,1410,8,0,74,158,59,84,540,165,118,131,44,16,13
SE_1260,Bjuv,10630,3859,66,0,385,184,205,145,1343,181,319,839,96,74,22
SE_1272,Bromölla,9501,4941,178,0,521,184,271,167,1620,271,426,1103,101,63,36
SE_1231,Burlöv,12152,5279,53,0,764,173,477,139,1420,249,710,940,196,136,22
SE_1278,Båstad,11694,5925,81,0,1381,587,786,374,734,132,901,647,187,83,32
SE_1285,Eslöv,24023,10560,145,0,1273,966,883,353,2644,497,1308,1735,384,273,99
SE_1283,Helsingborg,102488,48612,618,0,8471,2044,4737,2389,10900,2202,7479,6701,1784,1005,282
SE_1293,Hässleholm,39001,17253,296,0,1889,1356,1127,1388,3712,648,2278,3472,566,324,197
SE_1284,Höganäs,19457,11946,321,0,2638,574,1517,957,1996,359,1653,1293,413,164,61
SE_1266,Hörby,11520,4819,77,0,518,654,345,223,937,222,580,984,145,77,57
SE_1267,Höör,11926,5634,74,0,742,508,494,286,993,319,954,834,236,133,61
SE_1276,Klippan,12578,4879,82,0,570,333,294,331,1227,236,490,1062,125,88,41
SE_1290,Kristianstad,62134,26702,360,0,4132,1616,2668,1447,6009,1012,3453,4458,922,487,138
SE_1261,Kävlinge,21870,11068,184,0,2180,739,1229,367,2290,298,1593,1515,329,253,91
SE_1282,Landskrona,31489,13685,223,0,1601,525,1846,410,3921,594,1559,2043,574,295,94
SE_1262,Lomma,16752,10504,96,0,2956,582,1730,536,1498,187,1596,837,265,167,54
SE_1281,Lund,87782,56022,478,0,7599,2990,7497,2282,8407,3553,12650,3320,4487,2221,538
SE_1280,Malmö,228392,112854,1056,0,17242,3154,10761,3567,23851,8836,18684,11526,10191,2972,1014
SE_1273,Osby,9803,4169,56,0,371,325,213,278,1237,229,402,867,92,65,34
SE_1275,Perstorp,5287,2074,47,0,223,137,156,105,562,105,203,437,48,42,9
SE_1291,Simrishamn,15714,7386,91,0,1288,645,681,272,1289,324,1039,1036,589,94,38
SE_1265,Sjöbo,14325,5857,115,0,794,750,371,234,1026,236,606,1387,193,106,39
SE_1264,Skurup,11345,5021,79,0,716,459,433,144,1088,243,555,983,171,106,44
SE_1230,Staffanstorp,16724,8971,118,0,2010,601,970,379,1756,253,1257,1069,280,226,52
SE_1214,Svalöv,9946,4568,76,0,557,589,336,158,1002,203,454,848,218,107,20
SE_1263,Svedala,14777,6985,106,0,1188,434,699,254,1576,201,854,1288,189,137,59
SE_1270,Tomelilla,10050,4121,65,0,543,580,254,127,876,175,400,836,179,61,25
SE_1287,Trelleborg,32682,14418,208,0,2287,862,1171,626,3832,496,1544,2700,388,225,79
