gisco_id,name,registered,turnout,invalid,blank,M,C,FP,KD,S,V,MP,JL,SD,PP,FI,ÖVR
SE_0604,Aneby,4976,2095,42,0,218,265,220,383,464,76,147,61,120,87,9,3
SE_0686,Eksjö,12892,5341,138,0,902,621,573,675,1109,203,469,161,168,281,41,0
SE_0662,Gislaved,21779,8940,242,0,1538,840,872,770,2763,297,518,317,275,460,41,7
SE_0617,Gnosjö,6974,3082,96,0,485,168,333,664,749,88,136,129,81,137,14,2
SE_0643,Habo,21549,9794,191,0,2140,405,1336,941,2039,420,832,394,294,688,102,12
SE_0680,Jönköping,96554,47236,882,0,7611,1968,5159,7566,10875,2387,4532,1863,1131,2791,426,45
SE_0642,Mullsjö,5313,2566,62,0,356,108,248,574,592,100,200,90,63,148,25,0
SE_0682,Nässjö,22486,9305,245,0,1313,646,818,1190,2525,500,711,268,442,605,42,0
SE_0684,Sävsjö,8244,3451,105,0,476,374,270,672,616,174,182,143,254,170,15,0
SE_0687,Tranås,14057,6036,138,0,937,364,605,716,1561,342,548,232,233,303,57,0
SE_0665,Vaggeryd,9708,4430,97,0,569,312,383,746,1273,207,253,207,165,189,23,6
SE_0685,Vetlanda,20220,7483,185,0,1140,785,749,967,1665,417,475,360,304,396,36,4
SE_0683,Värnamo,24946,11559,272,0,1736,1018,1245,1590,3052,573,688,374,422,538,50,1
SE_0885,Borgholm,8909,4834,245,0,810,869,506,274,1021,182,367,134,146,210,65,5
SE_0862,Emmaboda,7302,3064,95,0,360,340,196,152,1076,204,220,117,98,176,26,4
SE_0860,Hultsfred,10965,3950,118,0,422,482,272,318,1270,242,251,185,125,219,34,12
SE_0821,Högsby,4516,1632,33,0,198,203,123,119,512,88,110,32,78,127,6,3
SE_0880,Kalmar,48969,22683,590,0,3930,1496,2360,1197,6134,1169,2558,598,659,1658,317,17
SE_0861,Mönsterås,10266,3916,131,0,436,510,309,236,1290,199,263,127,163,229,21,2
SE_0840,Mörbylånga,10858,6653,363,0,1042,827,614,309,1920,241,518,159,175,403,78,4
SE_0881,Nybro,15557,6625,209,0,800,711,484,435,2191,528,381,225,182,439,36,4
SE_0882,Oskarshamn,20663,7752,236,0,1199,419,805,609,2396,497,522,250,276,498,40,5
SE_0834,Torsås,5556,2155,55,0,286,375,201,162,569,83,145,76,60,129,14,0
SE_0884,Vimmerby,12099,4576,110,0,538,656,346,430,1243,232,317,242,163,243,17,39
SE_0883,Västervik,29166,11905,312,0,1929,1233,1185,527,3271,674,1037,431,401,719,120,66
SE_0764,Alvesta,14227,5629,146,0,859,615,473,283,1375,586,416,210,332,309,21,4
SE_0761,Lessebo,6011,2349,55,0,287,154,185,61,820,271,165,83,112,142,14,0
SE_0781,Ljungby,21099,8268,180,0,1265,821,851,681,2018,585,588,277,389,510,102,1
SE_0767,Markaryd,7270,2616,60,0,339,225,203,296,697,100,127,137,211,203,18,0
SE_0763,Tingsryd,9784,3329,87,0,560,550,256,180,740,229,221,129,177,169,29,2
SE_0760,Uppvidinge,6990,2747,87,0,338,345,234,128,692,234,160,135,215,163,14,2
