gisco_id,name,registered,turnout,invalid,blank,M,C,FP,KD,S,V,MP,JL,SD,PP,FI,ÖVR
SE_1880,Örebro,101910,49572,1049,0,7430,1689,5987,3382,13093,2859,5846,1468,1938,3395,1362,74
SE_0560,Boxholm,4152,1650,29,0,179,193,82,65,653,109,157,52,39,89,3,0
SE_0562,Finspång,16251,7159,146,0,739,622,563,384,2626,437,671,306,174,381,98,12
SE_0513,Kinda,7657,3301,77,0,443,506,280,208,843,133,358,130,94,185,41,3
SE_0580,Linköping,109859,55520,933,0,10527,4245,6785,2738,11428,2269,7864,1451,1216,5210,770,84
SE_0586,Mjölby,19977,8301,180,0,1354,931,660,418,2544,379,694,311,232,542,55,1
SE_0583,Motala,32639,13314,302,0,1953,963,1314,546,4402,662,1188,474,442,952,106,10
SE_0581,Norrköping,97992,41995,719,0,6964,3003,4169,1721,10932,2252,4958,1657,1275,3509,788,48
SE_0582,Söderköping,10907,4723,92,0,815,823,422,218,972,173,550,191,125,292,48,2
SE_0584,Vadstena,5977,2812,57,0,628,262,313,179,653,103,294,80,84,125,32,2
SE_0563,Valdemarsvik,6353,2628,43,0,319,704,149,110,724,106,139,114,81,120,17,2
SE_0512,Ydre,2954,1378,57,0,142,271,113,184,275,56,138,49,37,48,8,0
SE_0561,Åtvidaberg,9029,3697,67,0,486,548,283,152,1136,162,396,108,105,218,29,7
SE_0509,Ödeshög,4144,1793,51,0,254,285,128,218,390,61,152,83,55,94,22,0
