gisco_id,name,registered,turnout,invalid,blank,VVD,PvdA,D66,SP,CDA,PVV,GL,PvdD,50PLUS,CU-SGP,Artikel50,PPNL,AeuP,DG,Ikkiesvooreerlijk.eu,AeE,LDP,Jezus Leeft,IQ
NL_1773,Olst-Wijhe,13810,5374,8,20,687,653,730,458,1433,413,329,190,178,183,18,32,13,11,6,2,2,7,2
NL_0175,Ommen,13436,5972,14,15,643,321,589,293,2111,430,158,158,132,1028,11,23,10,11,3,2,5,14,2
NL_0881,Onderbanken,6356,2207,6,5,177,142,224,300,436,557,73,95,131,15,11,13,6,6,3,3,0,5,3
NL_1586,Oost Gelre,23049,8013,18,27,1036,627,864,688,3003,745,231,187,337,92,45,41,19,8,13,4,14,10,4
NL_0826,Oosterhout,41715,13918,34,51,2183,1008,2246,1567,2136,2330,773,481,660,170,75,72,33,29,19,10,10,29,2
NL_0085,Ooststellingwerf,20392,8052,18,20,1218,1121,781,834,1389,936,465,405,234,452,26,57,30,23,17,5,7,14,0
NL_0431,Oostzaan,7128,2742,8,5,407,302,345,249,197,539,219,155,145,86,26,38,11,5,5,5,5,5,5
NL_0432,Opmeer,8717,3091,9,12,524,269,345,234,752,450,108,117,175,35,12,23,9,5,3,0,5,3,3
NL_0086,Opsterland,23099,9215,18,31,1044,1417,962,1052,1573,749,538,335,273,1052,34,33,27,22,5,9,13,23,5
NL_0828,Oss,65324,23585,40,84,2558,1734,3164,4136,4002,3533,1152,741,1836,192,83,167,47,37,18,9,26,24,2
NL_0584,Oud-Beijerland,18243,7020,15,13,836,510,922,530,830,1064,300,319,202,1349,32,38,12,13,11,4,6,12,2
NL_1509,Oude IJsselstreek,31555,10352,16,28,1166,1026,1171,1122,2852,1388,376,356,469,224,34,45,25,24,7,7,6,7,3
NL_0437,Ouder-Amstel,9958,4629,13,12,732,483,949,279,627,468,397,232,171,131,34,45,18,13,2,4,6,12,2
NL_0644,Ouderkerk,6231,2924,3,6,329,191,221,200,322,422,79,89,59,952,13,20,6,2,0,0,2,9,0
NL_0589,Oudewater,7540,3082,6,13,427,190,347,157,832,391,112,71,88,386,17,13,11,3,6,2,2,8,2
NL_1734,Overbetuwe,35309,12821,30,38,1557,1008,2187,1229,2536,1471,793,412,413,911,68,66,24,17,17,18,8,16,2
NL_0590,Papendrecht,24773,9105,13,16,1098,673,1076,756,1215,1430,262,412,333,1550,64,65,31,15,19,6,17,51,3
