gisco_id,name,registered,turnout,invalid,blank,PvdA,VVD,SP,D66,PVV,CDA,GL,PvdD,CU,50PLUS,SGP,MenS,PPNL,DPK,PvdT,LP,NL,LibDem,AeuP,NXD
NL_1680,Aa en Hunze,20373,16379,21,16,6063,4725,1320,1170,990,850,344,290,232,207,46,40,29,19,7,4,3,2,2,0
NL_0738,Aalburg,9474,7641,23,7,662,1778,413,183,834,856,49,102,851,104,1757,2,9,4,4,2,2,0,0,0
NL_0358,Aalsmeer,22193,17696,35,25,2646,8058,746,1326,1610,1495,218,306,633,354,134,24,38,18,22,5,0,3,0,0
NL_0197,Aalten,20804,15918,21,17,3728,3485,1941,888,1176,3059,258,196,710,263,93,26,29,8,9,3,5,3,0,0
NL_0059,Achtkarspelen,21458,15647,33,22,4622,2329,1368,433,1463,2760,133,165,1811,144,272,17,32,10,13,14,3,2,2,0
NL_0482,Alblasserdam,13960,11055,20,10,2406,2205,712,420,1070,923,101,158,1016,194,1761,4,28,5,11,6,3,3,3,0
NL_0613,Albrandswaard,18933,14259,27,20,2616,5293,941,922,1931,1048,190,315,345,290,205,31,37,12,11,4,18,2,2,0
NL_0361,Alkmaar,72284,54354,99,142,16567,12941,6280,4749,4795,2906,1701,1497,687,1310,79,189,218,60,49,37,8,19,21,0
NL_0141,Almelo,54264,37172,102,70,10744,8054,4235,2131,4657,3739,529,538,1192,686,181,77,106,50,29,17,12,12,11,0
NL_0034,Almere,137698,95130,279,199,27154,26928,9245,6163,13132,2576,1825,2258,1749,2307,259,200,465,114,138,49,24,30,36,0
NL_0484,Alphen aan den Rijn,54900,41788,81,94,9113,13639,3101,3606,3852,3231,860,820,1658,776,607,71,159,32,45,17,7,10,9,0
NL_1723,Alphen-Chaam,7461,5854,12,7,923,2249,554,383,486,878,82,83,15,131,4,18,8,6,8,2,2,0,3,0
NL_0060,Ameland,2699,3138,0,3,803,932,241,215,192,484,71,47,65,45,14,11,10,2,2,0,2,0,2,0
NL_0307,Amersfoort,108542,84763,162,171,21573,22517,6997,8831,6174,5481,3083,1703,5128,1320,914,196,297,53,55,56,18,16,18,0
NL_0362,Amstelveen,58658,46201,100,80,10779,16170,3009,5814,3214,2587,1188,1094,643,992,152,91,171,22,38,31,5,12,9,0
NL_0363,Amsterdam,560467,392013,1738,999,139820,75670,36438,59005,23696,8517,21079,12143,3126,5241,539,701,2064,183,434,279,68,135,76,62
NL_0200,Apeldoorn,122034,92282,156,124,24302,24117,7933,7407,7504,7810,1969,1773,3860,1676,2947,206,250,51,83,41,13,22,38,0
NL_0003,Appingedam,9627,6731,10,14,2670,991,888,277,615,633,84,99,281,110,18,5,20,4,4,0,4,4,6,0
NL_0202,Arnhem,113562,80717,197,154,25574,15886,10454,8510,7060,3704,3231,2207,1483,1273,225,226,329,47,72,39,11,22,13,0
NL_0106,Assen,51055,38766,61,54,13737,7434,4006,2614,2466,2825,872,624,3080,434,303,67,93,25,32,8,10,12,9,0
NL_0743,Asten,12503,9846,18,12,1632,3262,1268,686,986,1393,135,107,29,238,9,16,25,10,14,3,2,0,2,0
NL_0744,Baarle-Nassau,5277,3767,6,3,580,1271,398,206,448,560,54,71,26,116,4,4,11,2,5,0,0,2,2,0
NL_0308,Baarn,18927,14623,24,24,2890,5154,887,1570,1127,1127,427,314,537,254,168,29,52,8,8,15,2,2,5,0
NL_0489,Barendrecht,34610,26750,30,49,5130,8910,1642,1699,3378,2055,399,559,954,558,1241,36,56,19,10,10,7,4,4,0
NL_0203,Barneveld,38677,32661,47,25,2723,9053,1190,957,2485,4589,240,240,3488,385,7079,30,46,26,24,12,11,4,7,0
NL_0005,Bedum,8168,6545,7,9,1887,1038,603,363,316,1034,169,99,810,82,96,3,14,4,5,2,3,2,0,0
NL_0888,Beek,13195,9972,28,21,2116,2417,1246,687,1763,1032,150,165,35,232,6,20,33,8,7,5,0,5,0,0
NL_0370,Beemster,6805,5477,8,11,1075,2413,346,410,410,439,110,105,27,73,11,7,13,12,5,2,2,0,0,0
NL_0889,Beesel,10696,7564,16,13,1570,1785,973,401,1528,798,103,105,22,186,4,23,19,8,4,2,2,0,2,0
NL_0007,Bellingwedde,7367,5571,21,12,2116,995,807,216,625,243,75,152,142,76,29,16,12,0,8,6,19,6,0,0
NL_0491,Bergambacht,7480,6179,9,1,1123,1977,292,313,489,521,57,95,362,91,822,6,8,6,3,2,2,0,0,0
NL_1724,Bergeijk,14080,10868,18,10,1705,3428,1406,632,1196,1828,124,142,48,256,10,13,22,12,11,2,2,3,2,0
NL_0373,Bergen (NH.),10413,7410,10,12,1225,1786,1548,341,1151,925,90,82,23,159,8,5,20,11,11,2,0,0,2,0
NL_0893,Bergen (L.),24288,19915,27,23,4395,7091,1396,1946,1574,1481,569,600,132,454,24,97,62,10,19,4,5,3,3,0
NL_0748,Bergen op Zoom,50329,35361,118,42,8629,9848,4064,2627,4968,2377,547,655,277,917,58,41,88,27,39,15,16,3,5,0
NL_1859,Berkelland,34990,27599,46,30,7597,7649,2969,1833,1973,3709,398,330,328,493,56,64,57,23,19,6,11,6,7,0
NL_1721,Bernheze,22521,16879,22,23,2903,5331,2792,1172,1433,2330,225,174,45,309,18,19,45,16,14,6,0,6,6,0
NL_0568,Bernisse,9895,7606,18,12,1412,2639,556,380,1077,721,95,126,250,166,94,16,25,4,11,0,3,0,3,0
NL_0753,Best,21532,16405,35,31,3353,5098,2032,1217,1578,1515,236,226,267,682,28,16,51,10,16,5,5,3,3,0
NL_0209,Beuningen,19611,15045,35,16,3722,4373,2166,1092,1554,1111,232,229,91,310,22,17,44,8,6,10,3,2,2,0
NL_0375,Beverwijk,29607,20771,38,34,5543,5592,2049,1434,2754,1196,459,552,185,662,38,50,95,32,22,15,9,4,8,0
NL_0585,Binnenmaas,22658,17899,30,18,3591,5548,1220,928,2043,1643,208,358,805,276,1119,29,36,18,14,7,2,2,4,0
NL_1728,Bladel,15084,11218,14,22,1936,3518,1695,675,1148,1499,144,133,38,312,3,18,25,8,17,2,6,4,2,0
