gisco_id,name,registered,turnout,invalid,blank,PvdA,VVD,SP,CDA,GL,PVV,CU,D66,PvdD,EénNL,LPF,SGP,PVN,Lijst 14,LDP,NVT,VSP,ABC,CDDP,ID,GVIP,TOP,LRVP,SMP
NL_0086,Opsterland,22274,18822,0,24,5745,2151,3175,4352,705,451,1528,247,217,38,21,119,6,2,0,2,11,12,0,0,16,0,0,0
NL_0828,Oss,57660,45777,0,69,7117,5877,14261,12514,1300,2595,434,745,501,176,76,24,21,3,6,3,48,0,7,0,0,0,0,0
NL_0584,Oud-Beijerland,18059,15187,0,17,2398,2454,1951,3940,487,1076,1025,202,241,205,42,1106,7,6,0,8,10,9,0,3,0,0,0,0
NL_1509,Oude IJsselstreek,30460,24570,0,28,5010,2811,4529,9137,616,1058,428,364,274,81,40,13,9,21,3,2,24,9,0,105,8,0,0,0
NL_0437,Ouder-Amstel,9721,8230,0,7,1605,1803,901,2183,495,392,200,259,218,54,21,57,6,2,2,2,14,6,0,0,4,0,0,0
NL_0644,Ouderkerk,6133,5330,0,3,861,780,492,1405,114,294,517,45,59,51,17,684,0,2,2,2,0,2,2,0,0,0,0,0
NL_0589,Oudewater,7448,6424,0,4,712,1051,551,2821,163,367,386,74,65,56,10,149,3,0,2,2,7,2,0,2,0,0,0,0
NL_1734,Overbetuwe,31718,26237,0,12,4990,3626,4171,8789,974,1263,934,476,354,81,33,462,14,7,4,7,19,13,0,7,4,0,0,0
NL_0590,Papendrecht,23888,19866,0,25,3686,3089,2750,5427,488,1257,1494,274,350,245,61,665,9,6,2,4,22,10,0,2,0,0,0,0
NL_0765,Pekela,10049,7818,0,9,3247,540,1948,1006,240,345,311,29,69,29,15,15,8,2,0,2,2,2,0,0,0,0,0,0
NL_1926,Pijnacker-Nootdorp,29862,25574,0,28,3429,5719,2546,8698,1019,1660,857,510,486,303,71,192,10,11,6,6,0,13,4,6,0,0,0,0
NL_0439,Purmerend,58617,46028,0,56,10780,8640,8539,8411,1818,4066,856,707,1234,352,157,39,24,29,11,11,199,47,11,0,51,0,0,0
NL_0273,Putten,17151,14908,0,10,1418,1811,931,6545,238,655,1858,100,169,33,24,1098,4,0,0,2,6,6,0,0,0,0,0,0
NL_0177,Raalte,27935,23893,0,27,3662,2416,3337,12027,631,670,561,211,163,66,47,17,5,0,0,4,30,11,4,0,7,0,0,0
NL_0595,Reeuwijk,9500,8405,0,16,848,1831,620,3037,245,443,509,104,112,64,13,542,5,2,2,2,0,8,2,2,0,0,0,0
NL_1661,Reiderland,5509,4271,0,4,1820,336,1296,272,142,165,49,21,106,17,14,9,5,0,2,2,7,5,0,0,0,0,0,0
NL_0703,Reimerswaal,15180,12888,0,5,1491,1214,1296,3591,146,673,648,83,132,35,29,3518,8,3,0,3,13,0,0,0,0,0,0,0
NL_0274,Renkum,24587,20847,0,32,4483,3663,3050,5540,1331,675,702,530,592,79,31,81,6,2,2,6,26,6,0,4,7,0,0,0
NL_0339,Renswoude,3164,2783,0,2,189,341,156,1361,29,124,190,13,21,18,2,334,2,0,2,0,0,2,0,0,0,0,0,0
NL_1667,Reusel-De Mierden,9515,7492,0,6,986,885,1300,3611,123,333,56,54,67,31,12,6,8,3,3,3,8,0,3,0,0,0,0,0
NL_0275,Rheden,34591,28860,0,30,7022,4102,5730,6716,1471,1294,975,558,667,101,30,64,15,9,7,2,22,13,0,19,13,0,0,0
NL_0340,Rhenen,13912,11882,0,16,2111,1676,1085,3228,430,742,674,144,181,50,18,1487,3,2,2,3,24,6,0,0,0,0,0,0
NL_0597,Ridderkerk,35306,28998,0,26,5628,3633,4330,6896,563,2346,1928,323,524,401,78,2225,13,5,4,4,46,20,4,4,0,0,0,0
NL_0196,Rijnwaarden,8417,6666,0,7,1721,714,1326,2028,155,425,58,58,93,28,17,6,4,8,2,2,12,2,0,0,2,0,0,0
NL_1672,Rijnwoude,14268,12371,0,24,1685,2084,1323,4442,389,708,624,184,169,87,18,616,3,5,3,3,0,4,3,3,0,0,0,0
NL_1742,Rijssen-Holten,26515,23861,0,15,2930,1933,1537,7801,274,752,3035,200,152,45,25,5119,10,0,6,7,8,6,6,0,10,0,0,0
NL_0603,Rijswijk,37361,29512,0,43,5413,5684,4250,7092,1384,2659,789,685,924,286,68,97,29,3,5,11,44,18,10,18,0,0,0,0
NL_1669,Roerdalen,7907,6325,0,9,1011,815,1112,2085,173,834,54,44,119,20,14,2,5,0,0,2,14,13,0,0,0,0,0,0
NL_0957,Roermond,34179,25431,0,36,5293,3707,4766,5855,1059,3079,353,546,484,101,44,12,10,9,0,9,50,18,0,0,0,0,0,0
NL_1670,Roggel en Neer,6404,5131,0,14,658,685,784,1947,149,638,59,54,71,13,17,6,2,2,0,2,21,10,0,0,0,0,0,0
NL_1674,Roosendaal,57900,43771,0,41,8501,6856,8113,12851,1192,3631,600,705,704,280,133,18,0,8,9,15,46,27,4,16,21,0,0,0
NL_0599,Rotterdam,421162,298478,0,787,86935,35331,52440,42695,14988,25316,8323,9990,7300,9519,1116,1891,302,92,100,69,0,232,21,979,0,0,0,52
NL_0600,Rozenburg,9743,7597,0,15,1528,953,1554,1804,170,767,328,65,153,140,34,53,2,2,0,2,13,6,0,10,0,0,0,0
NL_0277,Rozendaal,1175,1098,0,0,136,378,80,317,67,31,18,27,32,6,0,5,0,0,0,0,0,0,0,5,0,0,0,0
NL_0840,Rucphen,17868,12904,0,16,3075,1587,2275,3445,138,1935,75,50,184,48,30,3,0,3,3,5,18,7,3,3,7,0,0,0
NL_0441,Schagen,14431,11617,0,20,2487,2345,2189,2706,468,575,259,177,231,75,21,11,6,0,6,2,20,9,2,0,9,0,0,0
