gisco_id,name,registered,turnout,invalid,blank,VVD,D66,GL-PvdA,PVV,CDA,BBB,JA21,FvD,SP,PvdD,50PLUS,CU,Volt,SGP,NSC,DENK,BVNL,VvD,BIJ1,LP,FNP,PPNL,NVPLAN,VV,PvdR,DE LINIE,ELLECT
NL_0171,Noordoostpolder,35665,29143,59,100,3984,2805,1924,4978,5040,1701,1809,2092,438,297,339,1229,130,1609,115,287,55,28,33,16,32,32,0,6,0,0,5
NL_0575,Noordwijk,34674,29007,67,98,6571,4882,2445,4659,3457,671,2478,1496,357,414,390,186,224,108,98,191,63,39,27,34,0,31,8,8,0,13,0
NL_0820,"Nuenen, Gerwen en Nederwetten",18847,16306,27,56,3070,3633,1985,1995,2539,260,960,510,217,225,270,80,216,27,58,73,27,17,17,16,4,14,4,4,0,8,0
NL_0302,Nunspeet,22440,19689,34,49,2026,1318,860,2794,2793,490,1057,1137,130,111,123,1603,66,4901,52,67,22,24,13,6,4,8,0,4,0,0,0
NL_0579,Oegstgeest,18253,15947,20,42,2863,4299,2769,1172,1999,151,691,401,145,381,106,263,274,67,42,116,37,25,44,9,0,13,8,4,0,6,0
NL_0823,Oirschot,15681,13268,33,62,2326,2027,863,2514,2414,695,991,525,154,155,213,44,102,7,32,28,29,17,7,12,3,7,2,2,0,6,0
NL_0824,Oisterwijk,25906,21759,24,79,4985,4141,2009,2987,3245,619,1417,731,318,266,341,82,181,22,71,126,32,22,13,17,3,12,4,5,0,7,0
NL_1895,Oldambt,32032,23887,64,115,3077,2701,2778,6439,2189,1009,955,1660,1125,318,403,416,102,193,99,74,57,38,18,23,12,22,0,0,0,0,0
NL_0269,Oldebroek,18760,16190,29,34,1413,922,616,3317,2852,678,755,903,114,82,144,1727,48,2413,53,32,13,14,5,13,7,6,0,5,0,0,0
NL_0173,Oldenzaal,25636,21135,50,81,3568,3395,1754,3593,3606,594,1713,1108,354,192,319,100,149,27,180,230,37,23,12,22,7,14,0,2,0,5,0
NL_1773,Olst-Wijhe,15186,12965,28,50,1841,1936,1578,1924,2006,1083,760,584,191,223,193,166,140,62,88,31,19,14,15,10,3,13,0,3,0,6,0
NL_0175,Ommen,14917,13126,23,37,1700,1432,886,1659,2883,1188,797,745,172,130,123,802,79,301,78,17,23,12,7,7,6,9,0,3,0,7,0
NL_1586,Oost Gelre,24127,20608,39,81,3518,3010,1332,2938,4163,1619,1632,1013,282,150,324,53,142,22,114,98,30,17,9,5,4,12,0,4,0,0,0
NL_0826,Oosterhout,45105,34567,59,131,6435,6040,3272,7046,3908,645,2243,1369,575,474,555,170,255,81,106,945,68,48,65,10,6,24,9,4,0,24,0
NL_0085,Ooststellingwerf,20906,16972,36,68,2117,1991,1880,3192,2190,1277,894,1394,405,262,282,342,79,188,75,21,46,42,20,14,138,15,0,4,4,0,0
NL_0431,Oostzaan,7555,6387,12,33,1204,999,766,1339,385,200,444,371,104,138,91,56,42,27,18,66,25,10,33,5,2,11,2,0,0,5,0
NL_0432,Opmeer,9740,8042,16,29,1440,1259,566,1340,1190,520,590,561,106,87,141,32,58,14,30,15,19,2,5,6,3,7,2,0,0,5,0
NL_0086,Opsterland,24068,19878,31,64,2352,2463,2418,3201,2842,1281,1108,1420,428,244,239,727,115,369,90,28,57,17,10,23,330,14,0,4,3,0,0
NL_0828,Oss,71971,56251,141,253,8524,8619,5062,13341,6513,1464,3749,2607,1929,637,893,160,425,54,159,1369,85,51,82,26,4,59,10,4,0,31,0
NL_1509,Oude IJsselstreek,32132,25930,47,88,4015,3439,2320,4735,4261,1599,1820,1351,466,281,394,186,132,66,107,477,30,31,32,14,18,16,0,5,0,0,0
NL_0437,Ouder-Amstel,10212,8460,28,31,1479,2085,1492,804,733,181,389,249,110,232,102,92,133,53,30,122,13,15,68,9,0,8,2,2,0,0,0
NL_0589,Oudewater,8159,7005,13,30,1235,827,478,1058,1207,326,648,396,43,65,74,191,36,270,28,31,16,9,6,3,3,8,2,2,0,2,0
NL_1734,Overbetuwe,38300,31964,78,121,5428,6109,3352,5278,4232,766,1972,1357,487,445,446,518,274,551,121,246,49,43,35,23,9,20,0,4,0,0,0
NL_0590,Papendrecht,25123,19856,58,67,2897,2652,1430,3783,2681,302,1591,1047,258,260,429,750,85,999,60,370,41,22,31,7,4,15,0,4,0,16,0
NL_1894,Peel en Maas,35333,28654,56,139,4632,3510,1727,7142,4907,1207,2392,1166,363,247,487,58,131,24,99,212,49,34,18,17,3,12,0,0,0,22,0
NL_0765,Pekela,9709,7106,20,41,655,533,609,2539,678,344,284,563,355,68,118,95,23,90,22,21,13,14,6,5,5,10,0,0,0,0,0
NL_1926,Pijnacker-Nootdorp,42967,35773,85,113,6264,7157,3604,5545,4726,559,2796,1404,403,549,462,536,399,246,128,532,49,43,75,21,0,35,21,4,0,17,0
NL_0439,Purmerend,73318,55065,165,251,9252,8335,6214,12823,3779,1737,3663,2833,1028,1012,1042,400,407,128,187,1130,106,108,245,38,18,85,41,0,0,38,0
NL_0273,Putten,19356,16955,34,39,2253,1264,651,2952,3128,725,1007,911,105,119,116,1154,71,2253,43,55,31,10,8,7,5,11,0,3,0,0,0
NL_0177,Raalte,31044,26503,36,77,4313,3613,1895,3337,5854,2492,1938,1184,286,209,292,259,138,84,287,96,34,27,9,11,9,12,0,2,0,9,0
NL_0703,Reimerswaal,16000,13479,25,25,1173,693,524,2317,1328,277,659,731,101,62,130,375,44,4863,22,66,21,12,10,5,2,14,0,0,0,0,0
NL_0274,Renkum,25368,21312,40,70,3064,4607,4230,2302,2586,291,877,752,412,636,250,348,348,117,76,111,26,72,39,21,13,19,0,5,0,0,0
NL_0339,Renswoude,4199,3737,5,6,452,189,99,605,528,220,284,240,24,29,21,177,9,830,3,3,6,3,3,5,3,3,3,3,0,3,0
NL_1667,Reusel-De Mierden,10568,8752,15,31,1482,1079,499,1867,1678,462,673,386,118,75,210,30,55,7,17,19,15,8,3,11,2,4,2,2,0,4,0
NL_0275,Rheden,34867,27868,80,101,3736,5364,4672,4305,3138,520,1317,1155,615,732,418,400,446,139,113,368,47,69,49,35,11,33,0,5,0,0,0
NL_0340,Rhenen,15799,13375,18,48,1749,1590,1223,2323,1448,269,751,565,124,151,131,496,102,2082,35,177,33,12,11,12,2,15,2,2,0,6,0
NL_0597,Ridderkerk,37095,28003,72,112,3240,2980,1969,6240,3497,316,2288,1433,399,315,566,1026,133,2408,78,712,35,40,72,11,3,27,0,9,0,22,0
NL_1742,Rijssen-Holten,29550,26281,52,67,2504,1672,1028,3868,4193,1353,1411,1368,194,109,208,1659,74,6179,120,140,27,13,17,7,3,9,0,3,0,6,0
NL_0603,Rijswijk,42767,31464,104,120,4406,6076,4480,5604,2801,358,1906,1242,461,630,582,355,397,116,106,1426,40,53,117,24,7,34,0,7,0,12,0
NL_1669,Roerdalen,16505,12946,33,66,1749,1482,1085,3947,1704,489,807,681,185,151,260,43,70,15,43,58,29,20,4,11,4,2,0,0,0,8,0
NL_0957,Roermond,45703,32549,72,185,4716,5047,3522,7721,3506,512,1898,1546,676,561,515,126,270,33,132,1221,46,66,91,20,8,30,0,0,0,29,0
NL_1674,Roosendaal,57916,42159,119,112,7382,6241,3672,9025,5052,915,3058,1878,698,502,863,179,230,86,140,1675,82,47,60,20,3,37,12,8,0,63,0
NL_0599,Rotterdam,460532,291356,1450,1174,29040,51983,49405,43121,20210,2070,16563,9826,6797,10405,3986,4367,4476,1960,921,27171,428,668,4351,265,0,330,200,51,0,101,37
NL_0277,Rozendaal,1347,1291,3,2,337,374,160,66,150,13,51,34,8,34,9,16,18,5,3,2,2,3,2,2,2,2,0,2,0,0,0
NL_0840,Rucphen,19080,14730,26,41,2118,1002,515,6776,1304,488,983,746,131,95,246,32,39,19,35,64,25,15,7,6,3,12,3,3,0,3,0
