gisco_id,name,registered,turnout,invalid,blank,VVD,D66,GL-PvdA,PVV,CDA,BBB,JA21,FvD,SP,PvdD,50PLUS,CU,Volt,SGP,NSC,DENK,BVNL,VvD,BIJ1,LP,FNP,PPNL,NVPLAN,VV,PvdR,DE LINIE,ELLECT
NL_0293,Westervoort,11976,9307,29,35,1327,1590,1138,1941,1040,199,590,438,166,158,192,101,74,41,36,140,18,19,20,3,3,6,0,3,0,0,0
NL_1950,Westerwolde,20396,15858,172,82,1871,1385,1515,4218,1756,1070,678,1410,560,262,253,235,72,119,65,22,25,46,6,16,5,15,0,0,0,0,0
NL_1783,Westland,86056,71174,136,199,13616,8155,3377,15037,11547,1467,7117,4293,556,697,992,1019,354,1064,205,887,180,67,58,55,19,34,0,8,0,35,0
NL_0098,Weststellingwerf,21368,17335,33,75,2371,1939,1745,3634,2107,1418,1032,1338,344,206,299,238,91,111,62,98,33,30,8,10,84,23,0,4,2,0,0
NL_0189,Wierden,19908,17575,34,40,2925,1526,767,2827,3954,1032,1380,908,166,92,158,704,55,800,111,33,22,7,11,7,4,10,0,4,0,4,0
NL_0296,Wijchen,33579,27811,62,113,4974,5286,2784,5362,3525,632,1975,1048,482,326,435,136,226,26,74,178,48,30,36,18,8,17,0,8,0,0,2
NL_1696,Wijdemeren,19458,16632,29,43,3723,3050,1551,2361,2047,473,1175,859,181,290,170,187,136,111,49,82,36,31,17,18,0,11,2,2,0,0,0
NL_0352,Wijk bij Duurstede,18822,16009,42,75,2615,2729,1731,2797,2047,391,1048,757,247,253,230,247,150,406,55,89,21,14,25,8,2,14,5,2,0,10,0
NL_0294,Winterswijk,23174,18765,58,67,3055,2920,2128,2615,2667,1280,1105,958,401,201,324,165,133,81,316,177,35,20,17,22,3,13,0,4,0,0,0
NL_0873,Woensdrecht,16247,12570,21,45,2334,1645,717,3347,1517,383,1026,679,188,136,262,46,57,17,37,45,19,18,6,2,2,10,6,2,0,5,0
NL_0632,Woerden,41118,34518,63,103,5368,6291,3729,4148,5559,945,2206,1167,401,533,349,1053,374,1239,101,634,45,40,58,31,13,31,13,12,0,12,0
NL_0880,Wormerland,12963,10660,22,38,1821,1959,1365,1718,1017,372,696,526,241,217,187,100,78,68,40,90,24,19,24,12,2,17,2,0,0,6,0
NL_0351,Woudenberg,11010,9478,12,27,1199,1011,590,1130,1404,244,512,508,81,93,76,537,59,1856,28,37,18,15,10,12,2,7,5,2,0,4,0
NL_0479,Zaanstad,115954,83419,281,390,10954,13909,12573,15044,5713,1653,4795,4034,2101,2285,1576,839,720,364,324,4573,190,172,535,106,20,147,45,0,0,76,0
NL_0297,Zaltbommel,22155,18773,39,48,2296,2335,1524,3229,2306,353,1126,879,202,215,216,653,141,2809,43,241,55,24,8,15,2,13,0,2,0,0,2
NL_0473,Zandvoort,13481,10558,34,42,2424,1754,1018,2130,662,274,793,569,143,213,152,36,106,22,26,52,29,36,15,17,0,6,3,2,0,0,0
NL_0050,Zeewolde,17665,14794,36,59,2476,2131,985,2474,1941,699,1094,901,160,177,210,706,124,337,70,111,32,17,20,10,4,17,0,3,0,0,3
NL_0355,Zeist,50054,40603,111,131,6237,9660,6985,4010,4297,419,1665,1124,602,1203,435,885,715,542,124,1066,46,56,152,34,26,50,10,2,0,16,0
NL_0299,Zevenaar,36409,29047,71,115,4821,4642,2773,6091,3809,940,1935,1530,514,390,470,160,167,52,115,250,49,33,38,24,19,35,0,4,0,0,0
NL_0637,Zoetermeer,97898,72762,219,373,10652,12314,8349,14236,7191,1045,5044,3573,1327,1338,1420,1127,602,762,298,2148,131,135,217,46,0,96,63,11,0,45,0
NL_0638,Zoeterwoude,8194,6798,10,29,983,1353,789,991,968,276,498,272,105,140,75,58,73,37,11,72,12,10,11,9,0,9,5,5,0,5,0
NL_1892,Zuidplas,36326,29586,71,72,4742,4259,2110,4839,3805,509,2646,1502,315,368,422,1095,204,1893,81,431,57,41,62,20,0,15,10,3,0,14,0
NL_0879,Zundert,17537,14155,32,51,2770,1830,764,2957,2144,813,1134,718,191,150,257,53,75,22,49,61,31,10,7,13,3,10,3,3,0,6,0
NL_0301,Zutphen,39221,31703,80,141,3408,6222,6249,4289,3093,698,1500,1498,974,1007,481,511,423,144,130,521,56,90,92,43,12,38,0,3,0,0,0
NL_1896,Zwartewaterland,17276,15332,31,30,1346,940,682,2484,2428,565,755,844,153,63,100,1328,39,3425,47,22,14,11,4,7,2,7,0,2,0,4,0
NL_0642,Zwijndrecht,34295,25426,68,110,3384,3121,2020,5348,3234,329,1991,1322,373,314,554,886,134,1136,88,816,41,38,57,14,8,22,0,4,0,14,0
NL_0193,Zwolle,102781,84965,214,378,9588,17604,14229,9218,10672,1413,3973,3107,1873,2424,859,4646,1206,1074,457,1200,127,123,316,64,37,98,0,16,0,49,0
