gisco_id,name,registered,turnout,invalid,blank,PvdA,VVD,CDA,PVV,D66,GL,SP,PvdD,CU-SGP,EKP,Newropeans,LDP,Libertas,DG,EV&D,PEP,Solidara
NL_0885,Arcen en Velden,6694,2577,2,14,187,202,1030,635,162,114,122,51,20,13,7,6,8,6,6,6,6
NL_0202,Arnhem,110898,35785,71,68,4902,3364,4259,5013,5721,5532,3398,1534,1059,153,217,99,131,127,39,17,81
NL_0106,Assen,50110,18797,32,34,3488,1812,3127,2086,1799,1794,1573,606,2167,65,58,31,39,32,10,13,31
NL_0743,Asten,12390,5316,4,7,281,2302,1195,648,200,233,273,87,16,13,12,9,6,10,4,4,15
NL_0744,Baarle-Nassau,5299,1885,0,1,118,151,761,383,137,77,148,56,2,15,9,8,12,5,2,0,2
NL_0308,Baarn,18818,8306,18,18,837,1448,1342,1357,1147,787,436,280,493,34,28,20,36,9,3,6,7
NL_0489,Barendrecht,33755,12691,28,20,1146,1563,2304,2821,1200,728,624,442,1587,57,48,33,42,9,10,4,25
NL_0203,Barneveld,37288,17202,24,23,633,1314,4196,2454,596,396,353,206,6800,80,32,30,27,8,12,2,16
NL_0005,Bedum,8025,3655,1,9,576,255,1038,276,230,302,237,81,626,11,3,2,2,2,3,0,2
NL_0888,Beek,13158,4980,5,8,464,417,1586,1358,344,253,308,130,33,17,23,11,11,5,3,0,4
NL_0370,Beemster,6622,2990,5,3,388,514,559,611,292,208,195,124,31,16,6,11,13,4,3,5,2
NL_0889,Beesel,10669,3328,1,2,312,240,1093,985,168,181,199,84,18,9,14,3,11,2,5,2,0
NL_0007,Bellingwedde,7474,2668,1,4,548,241,353,549,186,176,345,139,77,19,7,2,8,9,2,2,2
NL_0491,Bergambacht,7260,3504,10,2,419,457,599,492,227,124,141,73,927,13,7,3,5,4,3,0,0
NL_1724,Bergeijk,13781,4690,1,4,374,572,1899,766,338,184,356,104,28,17,12,3,21,3,4,2,2
NL_0893,Bergen,10356,2999,4,5,234,252,1160,766,156,120,206,43,10,5,5,3,11,5,2,2,10
NL_0373,Bergen,24557,10807,21,27,1261,1695,1647,1996,1453,1122,651,568,93,64,50,40,57,44,9,6,3
NL_0748,Bergen op Zoom,49558,15098,28,32,1807,1944,2818,3494,1567,1023,1232,553,209,182,47,35,56,18,8,9,36
NL_1859,Berkelland,34888,13145,14,27,1993,1748,3958,1657,1137,816,1069,340,227,39,37,16,28,22,7,6,4
NL_1721,Bernheze,22219,6736,6,19,563,681,2664,866,526,332,783,147,33,28,23,12,29,10,4,6,4
