gisco_id,name,registered,turnout,invalid,blank,GL-PvdA,VVD,CDA,FvD,D66,PvdD,50PLUS,PVV,JA21,NVPLAN,CU,SGP,BBB,MDD,SP,VdR,Volt,BVNL,NSC,PPNL
NL_0243,Harderwijk,37623,18199,24,24,2757,2200,2284,418,1352,585,103,3074,154,37,1768,855,849,35,257,7,629,65,671,51
NL_0437,Ouder-Amstel,10339,5994,8,10,1643,830,373,115,711,318,46,716,51,6,60,72,251,14,99,2,450,21,180,18
NL_0197,Aalten,21758,10886,9,19,1513,928,2573,220,551,213,68,1545,57,4,328,130,1679,15,192,9,286,41,492,14
NL_0482,Alblasserdam,15139,7622,16,10,831,647,722,210,310,177,62,1348,46,8,526,2002,207,11,102,3,112,11,249,12
NL_0971,Stein,20500,8121,13,10,1098,795,1145,309,469,272,154,2544,36,9,39,13,321,15,196,29,233,38,361,22
NL_1992,Voorne aan Zee,58562,24732,46,28,3511,4104,1941,930,1605,842,262,6887,293,20,304,179,1191,67,535,9,708,133,1071,66
NL_1926,Pijnacker-Nootdorp,42483,21786,34,34,3998,3511,2300,476,2350,723,168,3982,187,39,504,309,811,37,292,9,1098,76,772,76
NL_0163,Hellendoorn,28826,14793,23,18,1711,1274,2402,312,712,278,95,2533,79,18,526,267,2114,24,225,8,348,53,1740,33
NL_0222,Doetinchem,47567,21146,28,30,4159,2368,2648,616,1616,681,177,3729,118,24,379,449,1468,35,577,83,758,79,1025,99
NL_0335,Montfoort,10725,5964,8,13,783,833,724,99,369,115,35,1103,44,11,229,558,507,9,79,1,191,22,217,14
NL_1771,Geldrop-Mierlo,31107,13802,17,36,2738,1710,1718,321,1205,528,241,2771,83,20,126,46,483,16,349,3,731,70,542,48
NL_0532,Stede Broec,17021,7305,10,10,1056,1007,746,272,460,217,89,1776,68,10,73,71,599,9,183,7,257,47,304,34
NL_0627,Waddinxveen,25143,12234,25,13,1510,1398,1191,279,832,323,115,2259,108,15,916,1768,428,19,180,3,320,46,449,37
NL_0226,Duiven,19971,8982,10,9,1620,1259,1046,176,740,289,84,1902,73,13,114,56,530,12,197,13,323,38,449,29
NL_0542,Krimpen aan den IJssel,22845,11931,23,14,1418,1196,919,317,581,329,97,2358,108,10,536,2781,262,13,179,3,291,35,429,32
NL_1714,Sluis,17457,8565,14,14,1335,1393,913,252,422,267,116,1664,51,8,102,155,1120,13,197,1,228,44,232,24
NL_0415,Landsmeer,8839,4654,9,6,1164,644,199,128,415,296,24,943,55,4,37,22,167,5,124,1,279,20,99,13
NL_0397,Heemstede,20551,12752,13,11,2866,2587,949,171,2077,514,94,1182,101,13,110,41,206,22,119,9,1206,47,381,33
NL_1911,Hollands Kroon,37839,17373,27,16,2128,1907,1700,628,875,478,191,3494,103,20,239,137,3842,41,295,6,512,73,606,55
NL_1963,Hoeksche Waard,71570,34351,50,36,4347,4145,3534,974,1975,1005,350,6888,295,79,1249,4890,1540,30,494,10,886,136,1364,74
