gisco_id,name,registered,turnout,invalid,blank,GL-PvdA,VVD,CDA,FvD,D66,PvdD,50PLUS,PVV,JA21,NVPLAN,CU,SGP,BBB,MDD,SP,VdR,Volt,BVNL,NSC,PPNL
NL_0216,Culemborg,22876,11523,15,24,3525,1221,774,223,1031,597,92,1757,64,13,257,170,324,39,222,3,728,39,352,53
NL_1959,Altena,44388,21485,28,24,1796,1979,2743,514,650,424,132,4519,114,20,1618,4204,1201,17,251,5,390,102,715,39
NL_1742,Rijssen-Holten,29233,17424,30,12,1035,1002,1590,296,407,196,67,2300,69,13,1307,5627,1907,13,107,1,221,32,1180,12
NL_0845,Sint-Michielsgestel,23537,10810,18,17,2157,1538,1367,191,1178,348,177,1802,59,23,59,28,548,18,267,0,555,43,389,28
NL_0180,Staphorst,12688,8927,16,9,295,318,639,313,116,66,21,1253,43,2,682,3951,840,7,41,0,59,47,198,11
NL_1896,Zwartewaterland,17155,10126,12,4,673,491,1071,172,173,107,54,1480,47,10,1227,3193,812,7,93,0,121,19,351,9
NL_0553,Lisse,18098,9211,22,12,1308,1345,1009,228,707,290,124,1881,86,15,221,602,453,14,98,3,352,57,360,24
NL_0268,Nijmegen,146220,76567,115,131,30675,5196,3665,1159,9280,6273,394,6128,320,89,674,183,786,113,2256,23,6885,183,1676,363
NL_0473,Zandvoort,13555,6626,12,15,956,1101,359,220,575,310,66,1864,79,8,35,23,224,32,103,2,340,37,246,19
NL_0293,Westervoort,11933,5025,10,5,1088,555,494,138,423,190,50,1150,23,6,92,33,171,2,164,11,196,21,187,16
NL_0420,Medemblik,34976,16003,27,31,2269,2123,1931,528,1026,531,181,3190,139,18,318,324,1643,45,284,3,579,94,673,46
NL_0262,Lochem,27945,16893,19,24,3703,2166,1601,306,1348,628,93,1794,106,9,239,66,2561,39,304,4,1047,61,740,35
NL_0384,Diemen,21159,9885,38,9,3277,973,389,225,936,764,88,1343,54,23,90,42,187,20,329,3,725,32,275,63
NL_0957,Roermond,45974,16421,32,36,3025,1922,2255,451,1308,654,215,3891,100,30,88,34,512,34,454,6,647,72,586,69
NL_1883,Sittard-Geleen,74153,27742,56,60,4967,2502,4239,909,2082,1219,378,6790,173,32,151,45,773,44,656,221,1123,142,1089,91
NL_0327,Leusden,24639,14415,14,10,3094,2006,1505,264,1405,545,92,1778,87,19,722,376,681,59,245,3,814,51,595,50
NL_1960,West Betuwe,40728,22007,28,33,2767,2426,1926,504,1186,537,161,4999,119,16,699,3198,1627,29,265,6,666,89,684,42
NL_NLYY98,NBSB,90357,44345,191,21,13924,5800,1860,1474,5925,2180,242,4094,311,47,724,466,864,113,656,9,3917,129,1143,255
NL_0202,Arnhem,125314,52863,85,97,16823,4699,2657,1276,5585,4415,310,6312,231,71,1032,319,990,120,1799,34,4023,173,1511,301
NL_0148,Dalfsen,23160,13341,11,6,1514,1151,1978,245,603,234,63,1775,55,8,978,531,3036,43,128,8,315,33,604,22
NL_0352,Wijk bij Duurstede,18951,9459,13,19,1838,1213,972,212,721,338,78,1695,48,10,232,379,561,29,172,5,462,40,391,31
NL_0450,Uitgeest,10511,5406,15,12,1132,781,515,127,609,199,58,997,48,11,41,16,268,8,90,1,200,28,232,18
NL_0274,Renkum,25363,14871,18,13,4471,1796,1227,320,1534,787,100,1620,97,4,347,135,353,55,300,5,1106,25,501,57
NL_0317,Eemnes,7558,4184,2,6,674,689,419,132,375,146,32,759,29,13,75,67,292,9,63,1,203,19,166,13
NL_0861,Veldhoven,34809,15338,25,23,2616,2328,1716,384,1371,441,431,3007,83,50,153,65,522,18,396,5,943,53,673,35
NL_0289,Wageningen,30030,19482,30,35,7811,1222,1070,238,2248,1420,84,1134,59,24,518,262,355,25,395,3,1923,25,482,119
NL_0086,Opsterland,24006,12042,9,20,2400,954,1235,416,933,340,87,1835,59,9,839,408,1341,25,299,10,317,70,409,27
NL_0794,Helmond,69418,24068,50,46,5131,3229,2163,786,1672,704,482,5879,153,41,171,36,725,39,756,12,927,91,896,79
NL_0537,Katwijk,50333,27326,51,93,2296,2656,4104,781,1067,626,223,6765,227,48,1700,3445,1281,22,262,9,530,125,939,76
NL_0221,Doesburg,9123,4051,9,7,902,460,455,123,336,164,31,719,20,0,61,10,203,2,153,3,206,11,161,15
NL_0090,Smallingerland,44400,20295,25,24,3947,1531,2456,776,1280,600,143,3360,86,26,2058,704,1086,23,593,8,522,97,907,43
NL_0263,Maasdriel,19431,9034,13,7,1071,1183,967,215,511,204,124,2628,59,8,89,314,763,8,155,1,317,30,342,25
NL_0340,Rhenen,15637,8736,9,20,1379,814,709,164,468,224,40,1533,55,8,354,1903,359,12,81,3,278,26,269,28
NL_0687,Middelburg,37942,18744,39,27,4399,1645,1753,460,1227,890,176,2169,87,12,881,2544,744,30,334,8,662,53,549,55
NL_1507,Horst aan de Maas,33778,14897,14,34,2092,1537,2807,364,1020,402,179,3080,77,13,66,41,1559,17,456,9,439,108,555,28
NL_0820,"Nuenen, Gerwen en Nederwetten",18878,10072,14,20,2250,1618,1253,170,1093,272,128,1483,51,10,67,12,275,15,184,0,723,29,381,24
NL_0394,Haarlemmermeer,117510,51031,91,71,8554,8345,4152,1580,4599,2008,613,11181,514,120,1040,708,1955,112,919,17,2157,241,1845,209
NL_0356,Nieuwegein,49942,20945,37,45,4547,2497,1768,542,1714,890,233,4569,138,35,496,221,565,26,591,6,945,71,920,89
NL_0453,Velsen,53213,22742,54,47,4546,2947,1491,730,2396,964,282,4984,204,41,448,142,789,49,510,9,1070,115,836,88
NL_1655,Halderberge,24162,9237,19,12,1166,1440,1153,260,613,240,144,2489,67,12,71,29,596,12,211,6,277,52,350,18
NL_1949,Waadhoeke,36866,16634,23,13,3178,1343,2445,549,879,499,142,2726,81,22,1028,189,1801,32,417,5,440,85,687,50
NL_0809,Loon op Zand,18811,8012,15,13,1213,1239,989,183,574,217,139,2068,45,11,79,64,385,4,207,3,231,24,288,21
NL_0141,Almelo,56672,20331,43,41,3269,2234,1886,610,1146,588,136,4908,115,18,632,242,1314,33,484,7,704,69,1788,64
NL_0718,Vlissingen,34376,13233,22,24,2629,1423,1193,438,884,598,152,2649,100,21,384,583,628,27,423,5,409,71,516,54
NL_0388,Enkhuizen,14251,6237,7,14,1242,748,560,218,497,293,78,1113,53,12,87,154,271,16,193,1,344,37,274,25
NL_0275,Rheden,34799,17449,26,15,4666,1892,1591,434,1616,933,174,2488,94,24,378,131,618,25,528,9,1052,63,627,65
NL_0715,Terneuzen,40976,16799,40,17,2331,1696,1839,542,783,420,288,3832,87,22,681,1202,1468,28,440,9,423,97,511,43
NL_1955,Montferland,29874,13262,29,21,1727,1351,2636,364,642,288,126,3198,81,13,63,48,1434,18,218,13,355,45,550,42
NL_1525,Teylingen,29442,15862,18,31,2851,2800,1708,393,1780,587,142,2600,124,23,242,92,653,28,197,2,865,61,614,51
NL_0431,Oostzaan,7567,3573,3,8,737,516,159,104,235,197,22,915,36,3,50,28,167,4,83,1,145,28,116,16
NL_0629,Wassenaar,18479,10389,20,11,1402,2640,997,253,1095,323,67,1810,105,7,120,64,288,11,105,3,653,31,352,32
NL_0080,Leeuwarden,100108,45567,48,79,13260,3719,3962,1458,3832,2576,318,6287,243,59,1896,346,1937,73,1299,19,2082,207,1624,243
NL_1842,Midden-Delfland,14897,8706,55,11,1316,1377,1365,171,827,245,53,1385,51,14,269,112,613,13,99,0,335,32,335,28
NL_0606,Schiedam,56259,19155,45,70,4323,2072,1225,588,1452,1127,229,4503,169,35,290,164,426,26,580,1,952,69,691,118
NL_1721,Bernheze,25261,10974,17,15,1532,1479,1815,191,899,228,169,2198,64,17,53,22,957,12,414,2,414,20,433,23
NL_1734,Overbetuwe,38035,17989,24,28,3652,2359,1969,366,1652,521,182,3091,104,19,428,487,1135,28,356,6,768,56,712,46
NL_1891,Dantumadiel,15087,7300,7,5,783,288,1132,237,206,149,34,1555,37,10,884,664,679,9,130,1,119,54,289,28
NL_0668,West Maas en Waal,16140,7649,12,13,1059,1005,927,171,457,220,103,1919,37,6,50,38,907,19,153,1,247,22,260,23
NL_0983,Venlo,76240,28619,64,72,4889,3150,4282,771,1912,896,484,7781,158,52,171,48,970,29,700,19,943,121,1014,93
NL_0402,Hilversum,66045,34074,84,52,9104,4461,2033,811,4209,2026,314,4239,202,54,657,283,677,94,678,11,2729,151,1026,179
NL_0744,Baarle-Nassau,5554,2615,4,4,295,278,338,74,121,69,43,653,20,1,20,5,461,2,49,1,66,7,98,6
NL_0855,Tilburg,168131,62326,119,90,17088,7182,4963,1318,6541,3868,1058,9353,397,106,400,150,1328,110,1834,19,3881,189,2019,313
NL_1904,Stichtse Vecht,49810,25298,29,33,4958,3943,2194,504,2482,943,269,4111,156,29,626,850,1136,40,332,4,1465,76,1041,77
NL_1892,Zuidplas,35816,16928,20,20,2197,2266,1663,450,1168,517,146,3182,148,20,1004,1922,690,24,263,5,518,60,599,46
NL_1581,Utrechtse Heuvelrug,39414,23774,36,23,5752,3088,2119,448,2556,1173,158,2658,146,17,691,1166,746,57,283,3,1672,70,840,72
NL_0106,Assen,54483,24855,36,36,6225,2448,2024,654,1851,1012,241,3448,120,41,1929,482,1119,45,780,13,1002,103,1177,69
NL_0798,Hilvarenbeek,12858,6450,3,6,1186,924,1051,109,545,190,81,967,27,12,34,5,655,5,123,5,250,15,244,13
NL_0074,Heerenveen,40976,18994,33,31,4293,2069,1819,594,1586,703,139,2912,92,23,762,197,1516,38,520,9,723,90,778,67
NL_0114,Emmen,87478,32996,58,43,5688,2671,3376,1336,1437,886,631,8990,185,59,814,400,2636,59,986,12,772,134,1756,67
NL_0944,Mook en Middelaar,6639,3906,2,9,1178,487,352,51,401,180,37,514,15,4,11,9,142,9,81,1,282,8,125,8
NL_0158,Haaksbergen,19540,9528,17,17,1091,978,1184,203,541,168,77,1858,53,6,80,26,1454,8,152,4,272,33,1286,20
NL_1701,Westerveld,16605,10009,9,8,2286,1061,849,244,575,503,67,1505,55,4,190,136,1471,22,247,1,354,39,353,30
NL_0093,Terschelling,4062,3660,5,5,1217,364,311,65,318,217,15,368,23,2,76,18,223,8,61,0,215,22,112,15
NL_1970,Noardeast-Fryslân,36133,16347,19,22,2043,850,2617,609,580,469,86,3015,84,13,2083,474,1882,10,341,8,311,89,719,23
NL_1969,Westerkwartier,50786,25690,27,26,5108,1909,3157,623,1326,823,211,3730,123,30,2192,982,2771,27,651,5,783,84,1045,57
NL_0310,De Bilt,33164,20584,22,16,5706,2957,1587,362,2458,957,110,1963,97,14,477,849,413,33,343,5,1508,84,562,61
NL_0385,Edam-Volendam,29466,14394,24,20,1809,1407,957,776,611,392,86,5555,185,26,77,35,1177,19,170,3,454,119,459,33
NL_0273,Putten,19270,11061,12,4,754,961,1422,211,323,202,46,1941,66,8,1058,2302,1066,21,75,2,214,31,332,10
NL_1658,Heeze-Leende,13410,6926,8,12,1214,1103,1005,131,614,190,96,1098,44,10,41,11,500,12,132,2,366,32,287,18
NL_1667,Reusel-De Mierden,10463,4267,2,12,531,483,706,91,247,83,111,1016,26,6,15,5,551,4,80,0,151,7,132,8
NL_0569,Nieuwkoop,22912,11587,16,14,1373,1694,1560,296,825,315,128,2445,146,13,237,341,1099,14,136,1,332,46,526,30
NL_0339,Renswoude,4129,2517,5,0,122,205,253,36,64,39,14,446,9,0,118,760,318,0,12,0,32,15,69,0
NL_0088,Schiermonnikoog,803,887,1,1,276,72,69,7,94,75,2,76,1,0,22,6,47,5,18,0,89,0,22,4
NL_0355,Zeist,50925,28000,35,40,7457,3853,2057,482,3646,1556,197,2917,175,32,802,618,470,45,409,15,2220,77,773,124
NL_0269,Oldebroek,18530,10102,14,15,664,558,1145,237,239,104,36,1884,40,8,1467,2192,910,18,61,0,121,39,339,11
NL_0363,Amsterdam,612694,287646,988,600,106978,23472,6534,5297,34606,31968,1212,20551,1307,508,2284,660,2725,791,8396,100,30666,687,4606,2710
NL_1641,Maasgouw,20010,8057,17,17,1016,859,1652,238,475,253,121,2130,49,6,37,24,448,16,124,12,241,45,251,26
NL_1966,Het Hogeland,38478,19414,24,30,4687,1148,2204,469,886,920,139,2493,55,12,1553,633,2027,21,719,8,591,59,686,50
NL_0677,Hulst,20505,9063,34,11,1272,1095,1150,289,495,232,160,2027,55,5,62,39,1262,16,276,12,191,41,302,37
NL_NLZZSE,Sint Eustatius,1918,189,0,1,42,7,9,5,107,1,0,4,0,1,1,1,4,0,1,0,1,0,3,1
NL_0361,Alkmaar,86775,43354,97,150,10982,4992,3060,1401,4205,2599,590,6687,336,75,556,162,1914,116,1095,20,2401,222,1397,297
NL_1945,Berg en Dal,28757,14645,30,21,3851,1620,1402,270,1110,732,159,2793,84,23,76,25,683,20,352,7,746,45,543,53
NL_0302,Nunspeet,22154,13558,21,20,848,862,1208,243,382,202,62,2124,71,10,1346,4557,840,9,120,11,227,35,344,16
NL_0096,Vlieland,977,880,1,1,275,100,68,17,94,44,11,84,4,1,16,2,40,0,18,1,60,2,35,6
NL_1708,Steenwijkerland,35905,18203,26,29,2851,1764,2039,471,847,490,132,3490,110,21,931,508,2585,31,308,4,515,78,915,58
NL_0777,Etten-Leur,34723,13362,21,19,2156,2038,1591,359,1113,381,164,3007,104,29,120,30,704,23,283,4,451,68,659,38
NL_1980,Dijk en Waard,68295,29429,49,49,5258,4018,3391,1053,2367,1166,611,5599,243,47,540,189,1530,77,641,11,1242,152,1085,111
NL_0796,s-Hertogenbosch,124226,55799,88,84,14156,7232,4354,1076,6762,2751,921,8652,295,73,396,111,1184,95,1677,13,3835,155,1674,215
NL_0301,Zutphen,39037,19650,25,29,6207,1663,1249,522,1684,1299,130,2294,78,26,439,140,926,45,760,11,1167,82,785,89
NL_1729,Gulpen-Wittem,11675,6368,12,18,1259,580,1176,148,353,239,81,1215,32,3,34,22,481,6,122,5,237,20,314,11
NL_0946,Nederweert,13885,6428,6,18,648,555,1563,206,387,158,78,1540,28,5,15,9,691,7,111,1,161,35,199,7
NL_1719,Drimmelen,22335,9778,13,20,1471,1459,1087,218,664,304,129,2341,81,13,59,37,851,18,209,2,355,44,374,29
NL_0331,Lopik,11425,6001,9,15,463,632,742,117,224,109,33,1370,48,1,323,797,717,5,61,3,122,33,174,3
NL_0308,Baarn,19545,10682,20,16,2277,1739,863,219,1226,496,194,1346,68,9,291,186,306,31,173,2,788,47,359,26
NL_0637,Zoetermeer,96853,39895,47,74,7422,5309,3628,1358,3179,1625,452,9254,343,98,928,718,1081,69,948,6,1489,145,1561,161
NL_0119,Meppel,27772,13631,15,21,2590,1522,1411,374,982,551,118,2302,87,13,685,212,1074,35,323,4,594,41,651,26
NL_1724,Bergeijk,15149,6837,6,11,931,857,1269,145,415,188,114,1342,38,9,35,13,747,10,131,0,274,32,256,14
NL_NLZZSA,Saba,915,156,1,0,32,8,2,1,73,5,0,13,0,0,2,0,3,1,4,0,7,0,3,1
NL_0153,Enschede,120992,48624,113,98,10942,4281,2884,1453,4066,2011,280,7947,239,66,1588,380,1687,80,1124,22,3140,185,5796,242
NL_1652,Gemert-Bakel,23916,10239,12,27,1430,1161,1678,210,585,264,160,2400,61,7,45,22,1127,18,250,2,341,47,370,22
NL_1735,Hof van Twente,28476,15164,15,15,1921,1576,1706,297,773,243,56,2147,75,15,147,107,4013,22,182,3,446,51,1329,25
NL_0589,Oudewater,7982,4233,3,8,492,516,613,104,251,80,27,792,45,4,182,274,488,6,42,1,137,11,148,9
NL_1740,Neder-Betuwe,18327,10580,9,3,746,581,580,189,216,92,45,1933,54,3,384,4744,550,3,84,1,131,20,202,10
NL_0867,Waalwijk,37522,14321,25,32,2005,2006,1652,341,960,363,225,3565,109,19,296,620,633,22,300,1,472,46,588,41
NL_0828,Oss,71909,28639,53,52,5046,3603,3026,696,2299,863,351,6595,179,35,140,52,1566,45,1735,14,1080,107,1013,89
NL_0579,Oegstgeest,18454,12098,19,14,3197,1891,1025,191,1880,490,73,1145,115,7,254,77,150,24,111,5,1045,50,301,34
NL_NLZZBO,Bonaire,15013,1806,13,9,730,151,61,53,342,37,9,172,4,3,57,10,26,7,15,2,47,31,17,10
NL_1952,Midden-Groningen,48868,18359,30,31,4049,1645,1315,559,996,718,302,3441,88,11,1020,358,1540,23,824,9,523,68,738,71
NL_0664,Goes,31136,14615,21,22,2525,1570,1866,401,899,521,100,2138,130,14,635,1595,822,15,292,8,409,55,515,62
NL_0758,Breda,143422,62282,97,102,14496,9653,6623,1312,7603,3224,566,8331,388,77,412,134,1277,93,1439,17,4205,203,1778,252
NL_1982,Land van Cuijk,73173,34868,58,67,5527,4240,5194,766,2427,950,562,7060,221,45,167,84,3512,46,1136,8,1262,100,1335,101
NL_1706,Cranendonck,16344,7215,11,13,817,1031,1030,181,448,185,81,1921,51,7,31,31,615,10,124,3,270,50,284,21
NL_0209,Beuningen,21196,9705,9,20,1917,1493,879,209,827,291,129,2047,68,14,69,47,478,14,251,4,419,42,449,29
NL_0498,Drechterland,15708,7492,12,13,1110,1041,882,261,518,238,98,1405,92,15,37,57,840,24,138,6,345,54,288,18
NL_0502,Capelle aan den IJssel,50580,19920,43,17,3537,2327,1377,630,1433,800,212,4205,307,37,731,1765,408,36,458,3,727,78,715,74
NL_1723,Alphen-Chaam,8334,4357,4,1,537,720,620,88,291,125,57,847,36,5,28,12,609,8,51,1,154,22,129,12
NL_0014,Groningen,183746,97817,135,137,35222,7748,5149,1775,11120,7681,421,7096,513,128,3156,863,1783,196,3417,33,7784,251,2748,461
NL_1978,Molenlanden,34377,20814,12,13,1631,1736,2539,436,652,369,113,3205,159,18,1911,5435,1343,24,210,12,325,74,575,22
NL_1509,Oude IJsselstreek,32065,14411,32,10,2204,1524,2194,340,741,373,132,2693,69,14,154,67,2160,18,349,11,381,67,833,45
NL_0893,Bergen (L.),10642,4309,9,3,619,430,581,109,210,112,46,1235,19,4,19,13,519,2,96,1,79,20,172,11
NL_0060,Ameland,2984,2048,4,2,377,232,277,33,121,52,10,316,24,1,48,12,295,2,29,0,104,4,99,6
NL_1696,Wijdemeren,19425,10773,17,14,1817,1911,1021,289,939,376,90,2003,90,12,189,123,723,29,138,5,533,61,370,23
NL_0888,Beek,13024,5694,12,17,835,623,1117,150,400,199,80,1413,31,4,32,8,206,6,93,12,188,34,220,14
NL_0109,Coevorden,28913,13553,23,14,2143,1523,1499,416,673,417,143,2717,90,18,214,180,2002,17,338,5,397,48,647,29
NL_0233,Ermelo,21924,12223,22,17,1607,1136,1686,276,665,370,55,1759,63,12,1250,1488,704,27,139,4,395,44,487,17
NL_0858,Valkenswaard,25044,10654,16,21,1686,1505,1449,274,772,272,239,2437,52,17,60,25,525,18,263,2,471,62,455,33
NL_0642,Zwijndrecht,34347,13287,22,27,1800,1608,1474,373,751,424,147,3098,109,28,701,1097,331,18,252,2,329,62,599,35
NL_1773,Olst-Wijhe,15049,7882,9,7,1663,734,1016,130,440,274,56,999,40,11,139,57,1427,23,115,2,315,16,386,23
NL_0907,Gennep,14015,5950,12,6,1152,648,819,170,442,213,66,1292,43,7,28,18,344,5,174,0,215,21,258,17
NL_0503,Delft,77280,41091,83,70,12420,3743,2343,703,5847,2212,223,4607,233,48,987,276,607,67,896,12,4243,105,1136,230
NL_0118,Hoogeveen,43880,19205,25,20,2417,1508,2689,843,727,409,133,4563,142,16,1155,798,1819,23,434,5,390,103,953,33
NL_0851,Steenbergen,19092,7685,7,13,764,1038,763,256,408,208,85,2467,50,18,97,156,647,14,156,3,188,39,289,19
NL_1991,Maashorst,46160,19144,30,34,2960,2874,2535,397,1617,440,268,3994,133,26,95,40,1346,22,733,6,751,63,728,52
NL_1640,Leudal,28813,12940,18,26,1509,1287,2885,278,798,342,182,2834,92,16,62,39,1414,25,220,3,356,60,468,26
NL_0279,Scherpenzeel,7788,4625,3,0,285,422,464,75,147,44,27,788,32,3,280,1433,376,2,23,0,56,16,144,5
NL_1711,Echt-Susteren,25921,10698,11,16,1373,930,2202,308,561,310,149,3116,73,7,55,16,574,4,225,12,254,48,428,26
NL_1621,Lansingerland,47731,23721,36,22,3461,3946,2889,526,2373,824,204,4278,331,37,1174,441,809,28,275,12,1007,85,880,83
NL_0375,Beverwijk,31466,12086,23,13,2170,1390,740,515,1828,530,158,2758,101,36,87,33,446,22,301,5,404,63,392,71
NL_0166,Kampen,42102,22629,35,34,2618,1350,3059,580,745,447,101,3727,116,21,2503,3870,1682,49,296,3,465,63,817,48
NL_0852,Waterland,13680,8069,9,10,1911,1000,666,205,683,407,55,1408,86,9,93,39,551,15,138,1,485,30,230,38
NL_0994,Valkenburg aan de Geul,13489,6474,16,16,1101,805,1122,167,404,230,114,1416,40,3,40,20,236,11,114,3,303,19,270,24
NL_0303,Dronten,33006,15430,15,17,1977,2069,1928,466,853,401,111,3025,113,23,807,391,1829,25,240,4,391,53,637,55
NL_0928,Kerkrade,34520,11837,51,40,1651,869,1476,518,459,380,526,4134,53,18,61,47,275,14,346,5,313,57,484,60
