gisco_id,name,registered,turnout,invalid,blank,Maldeikienė,Radžvilas,TTS,DP,LLS,LVŽS,LSDP,LRLS,LŽP,TS-LKD,LRP,Paksas,LŠ,LLRA-KŠS,SLVE
LT_32,Akmenės rajono savivaldybė,17813,9032,571,0,334,202,566,856,80,1730,2348,446,240,858,248,378,59,48,68
LT_11,Alytaus miesto savivaldybė,46111,23663,1622,0,1357,693,2309,1576,227,3125,4730,1083,425,3912,550,584,942,100,428
LT_33,Alytaus rajono savivaldybė,24127,12368,769,0,519,258,1172,1002,104,2267,1990,432,364,2295,317,380,262,37,200
LT_0934,Alnykščių,22799,11947,726,0,476,378,716,1246,126,1963,2249,609,284,2297,315,314,90,43,115
LT_12,Birštono savivaldybė,4049,2448,151,0,111,87,191,96,22,194,684,105,37,432,236,46,32,7,17
LT_36,Biržų rajono savivaldybė,22398,11574,682,0,521,479,826,1313,109,1876,2406,472,252,1550,382,429,82,44,151
LT_15,Druskininkų savivaldybė,18137,10065,693,0,670,298,771,724,127,1338,1852,436,288,1793,295,361,118,129,172
LT_42,Elektrėnų savivaldybė,20343,10348,573,0,618,214,791,1172,215,1492,1530,898,229,1404,254,474,105,233,146
LT_45,Ignalinos rajono savivaldybė,14482,8085,448,0,322,142,417,957,82,1903,1577,230,190,901,208,350,59,199,100
LT_46,Jonavos rajono savivaldybė,35954,16667,975,0,950,412,1019,1912,216,2245,3632,987,327,2215,641,532,119,232,253
