gisco_id,name,registered,turnout,invalid,blank,PPD/PSD,PS,CDS-PP,B.E.,CDU,MEP,PCTP/MRPP,PPM,POUS,PH,E,MPT,PLD
PT_180402,Bustelo,156,42,0,0,19,14,4,0,1,0,1,0,0,0,0,1,2
PT_180403,Cinfães,2889,881,16,34,300,301,66,80,50,7,9,2,1,4,1,3,7
PT_180404,Espadanedo,1219,337,5,10,171,96,25,15,4,3,3,1,0,1,0,0,3
PT_180405,Ferreiros De Tendais,682,183,7,4,62,45,54,3,4,1,2,0,0,0,0,0,1
PT_180406,Fornelos,712,200,4,4,61,83,28,5,4,2,2,1,1,2,0,2,1
PT_180407,Gralheira,206,61,2,1,27,15,7,4,0,4,0,0,0,0,0,1,0
PT_180408,Moimenta,431,171,7,0,64,74,10,6,3,1,1,1,1,2,0,0,1
PT_180409,Nespereira,2202,538,9,18,257,148,44,21,25,3,1,1,0,2,3,4,2
PT_180410,Oliveira Do Douro,1527,311,8,6,93,118,16,24,25,0,9,2,2,2,1,2,3
PT_180411,Ramires,131,46,2,0,12,28,2,0,0,1,0,0,0,0,0,1,0
PT_180412,Santiago De Piães,1789,337,7,10,136,93,49,13,14,5,3,2,2,1,1,1,0
PT_180413,São Cristovão De Nogueira,1843,387,4,5,128,186,15,17,17,3,3,3,0,0,0,4,2
PT_180414,Souselo,2817,707,11,19,272,240,59,52,26,2,10,1,1,2,1,3,8
PT_180415,Tarouquela,1071,202,2,11,73,72,18,14,6,3,1,0,0,0,0,0,2
PT_180416,Tendais,825,235,3,7,139,50,12,7,9,1,0,1,2,2,0,2,0
PT_180417,Travanca,826,237,9,6,52,139,8,11,2,2,4,1,1,2,0,0,0
PT_180502,Avões,638,242,12,6,60,51,11,12,84,0,3,2,0,1,0,0,0
PT_180503,Bigorne,52,27,0,0,14,3,5,3,0,0,2,0,0,0,0,0,0
PT_180504,Britiande,998,290,6,10,138,74,21,20,10,5,1,2,0,1,0,2,0
PT_180505,Cambres,2341,491,13,20,136,168,58,36,39,2,7,2,2,3,3,2,0
PT_180506,Cepões,959,361,3,3,151,46,32,29,87,3,4,2,0,0,0,1,0
PT_180507,Ferreirim,1100,314,10,12,137,77,38,12,9,5,4,0,0,3,2,3,2
PT_180508,Ferreiros De Avões,530,217,3,5,70,33,63,10,21,1,4,4,0,2,1,0,0
PT_180509,Figueira,458,143,3,1,61,27,31,4,9,0,1,3,0,0,1,0,2
PT_180510,Lalim,914,289,3,9,132,76,21,22,15,0,4,1,0,1,1,1,3
PT_180501,Lamego (Almacave),7464,2924,51,69,1176,603,386,307,198,53,33,6,3,13,7,9,10
PT_180521,Lamego (Sé),3462,1383,22,28,608,303,155,132,64,25,17,4,0,9,4,7,5
PT_180511,Lazarim,613,218,9,6,108,39,27,15,5,3,1,0,1,3,0,1,0
PT_180512,Magueija,714,289,4,12,121,61,36,26,18,3,4,1,1,0,0,0,2
PT_180513,Meijinhos,113,65,1,1,38,14,4,3,3,0,0,0,0,1,0,0,0
PT_180514,Melcões,128,60,1,0,22,14,16,1,2,1,1,2,0,0,0,0,0
PT_180515,Parada Do Bispo,194,111,0,2,36,46,12,6,1,5,1,0,0,1,0,1,0
PT_180516,Penajóia,1237,348,4,4,125,63,116,15,10,3,2,2,0,2,0,1,1
PT_180517,Penude,1696,509,10,12,256,97,68,34,12,10,2,1,0,1,1,2,3
PT_180518,Pretarouca,100,50,2,2,19,13,4,7,1,0,1,1,0,0,0,0,0
PT_180519,Samodães,244,67,0,0,22,22,11,4,1,4,1,0,0,0,0,2,0
PT_180520,Sande,946,275,7,7,77,120,29,15,11,4,2,0,0,0,1,0,2
PT_180522,Valdigem,1175,251,3,3,107,88,19,11,9,5,3,0,0,0,1,0,2
PT_180523,Várzea De Abrunhais,455,173,3,4,75,52,12,9,11,2,3,0,0,0,1,1,0
PT_180524,Vila Nova De Souto Del-Rei,773,237,13,10,135,29,18,14,13,1,1,1,0,0,1,0,1
PT_180601,Abrunhosa-a-Velha,645,159,3,8,56,59,10,14,3,2,1,0,0,1,1,1,0
PT_180602,Alcafache,1022,330,11,11,137,108,17,24,15,1,2,1,0,0,1,1,1
PT_180603,Chãs De Tavares,1202,374,7,8,201,103,27,13,8,1,3,1,0,0,0,1,1
PT_180604,Cunha Alta,201,71,1,4,14,42,3,4,1,0,1,1,0,0,0,0,0
PT_180605,Cunha Baixa,1231,403,11,15,189,93,50,18,16,3,1,2,1,1,0,2,1
PT_180606,Espinho,1203,327,9,5,144,108,26,16,8,3,1,2,0,2,0,1,2
PT_180607,Fornos De Maceira Dão,1626,429,3,14,170,152,38,23,22,1,3,0,1,1,0,1,0
PT_180608,Freixiosa,326,117,1,3,82,23,3,2,2,0,0,0,0,0,0,1,0
PT_180609,Lobelhe Do Mato,325,169,1,6,81,40,12,7,9,2,3,3,1,2,0,2,0
PT_180610,Mangualde,8945,2782,47,113,914,971,266,233,152,28,18,7,3,8,9,5,8
PT_180611,Mesquitela,841,330,6,22,108,113,21,25,16,3,2,5,0,1,2,4,2
PT_180612,Moimenta De Maceira Dão,655,259,4,14,105,90,21,10,8,4,2,0,0,0,0,1,0
PT_180613,Póvoa De Cervães,254,114,2,1,45,41,15,1,6,0,1,0,0,0,0,1,1
