gisco_id,name,registered,turnout,invalid,blank,PPD/PSD,PS,CDS-PP,B.E.,CDU,MEP,PCTP/MRPP,PPM,POUS,PH,E,MPT,PLD
PT_430101,Altares,830,250,4,11,103,99,15,10,3,2,2,1,0,0,0,0,0
PT_430102,Angra (Nossa Senhora Da Conceição),4015,875,4,62,293,251,100,101,41,4,3,4,1,2,1,7,1
PT_430103,Angra (Santa Luzia),2529,638,4,39,182,208,81,78,20,6,2,4,0,6,1,3,4
PT_430104,Angra (São Pedro),3547,998,11,80,364,255,153,87,26,9,2,8,0,1,1,1,0
PT_430105,Angra (Sé),1371,402,2,17,175,92,53,39,11,6,1,3,0,1,1,0,1
PT_430106,Cinco Ribeiras,591,210,0,7,89,57,29,16,6,1,1,2,0,0,0,1,1
PT_430107,Doze Ribeiras,534,178,1,8,67,74,15,5,3,0,1,1,0,0,1,1,1
PT_430108,Feteira,948,272,2,16,127,71,31,17,5,0,0,2,0,0,0,1,0
PT_430109,Porto Judeu,2379,408,2,19,202,112,37,19,7,1,3,0,0,2,0,2,2
PT_430110,Posto Santo,918,265,3,18,81,98,27,22,6,5,1,1,0,1,1,0,1
PT_430111,Raminho,529,203,6,14,90,69,13,6,3,0,0,0,1,0,0,1,0
PT_430112,Ribeirinha,2374,905,7,29,402,361,60,19,7,6,4,5,1,0,1,1,2
PT_430113,Santa Bárbara,1174,356,1,13,160,92,56,16,9,2,3,2,0,1,0,1,0
PT_430114,São Bartolomeu De Regatos,1580,352,3,21,164,97,36,14,4,3,2,2,1,3,0,1,1
PT_430115,São Bento,1782,514,5,39,155,208,53,29,14,3,2,1,0,1,0,3,1
PT_430116,São Mateus Da Calheta,2929,604,7,27,137,296,42,53,26,4,1,2,1,1,0,4,3
PT_430117,Serreta,395,161,3,18,60,46,26,4,0,0,0,0,0,3,0,0,1
PT_430118,Terra Chã,2450,593,10,34,180,198,74,54,22,7,1,5,0,1,3,1,3
PT_430119,Vila De São Sebastião,2007,426,2,17,165,153,58,13,8,1,1,4,0,1,1,2,0
PT_450101,Calheta,1313,304,5,11,121,125,13,11,8,3,1,1,0,1,3,1,0
PT_450102,Norte Pequeno,227,118,0,6,74,25,7,3,1,0,1,0,0,1,0,0,0
PT_450103,Ribeira Seca,1094,225,1,3,135,50,23,5,4,1,0,1,1,1,0,0,0
PT_450104,Santo Antão,847,206,2,9,133,41,13,1,4,0,0,1,1,1,0,0,0
PT_450105,Topo (Nossa Senhora Do Rosário),528,138,0,2,79,40,11,5,0,0,0,0,0,0,1,0,0
PT_490101,Corvo,351,200,3,8,37,75,13,4,1,0,1,56,1,0,0,1,0
PT_470101,Capelo,461,121,1,13,47,39,6,3,7,0,1,0,0,3,0,1,0
PT_470102,Castelo Branco,1196,338,6,23,146,100,13,16,25,2,1,2,0,1,1,1,1
PT_470103,Cedros,893,307,1,16,192,58,16,8,11,0,0,2,0,2,0,1,0
PT_470104,Feteira,1432,254,3,19,87,96,14,15,16,1,1,0,0,2,0,0,0
PT_470105,Flamengos,1314,289,0,11,129,112,6,9,14,3,2,1,0,2,0,0,0
PT_470106,Horta (Angústias),2447,522,5,36,175,198,14,33,43,3,3,3,0,0,0,4,5
PT_470107,Horta (Conceição),1069,252,1,17,108,85,7,6,21,4,0,1,0,0,0,0,2
PT_470108,Horta (Matriz),2144,533,1,44,224,133,32,36,40,2,7,4,0,2,0,5,3
PT_470109,Pedro Miguel,637,190,3,15,65,53,5,9,34,1,2,0,0,1,0,1,1
PT_470110,Praia Do Almoxarife,663,158,1,5,64,67,8,1,11,0,0,0,0,1,0,0,0
PT_470111,Praia Do Norte,231,111,0,7,61,22,12,3,2,1,0,0,0,0,2,1,0
PT_470112,Ribeirinha,407,104,0,14,47,28,3,3,9,0,0,0,0,0,0,0,0
PT_470113,Salão,372,138,0,2,93,26,4,4,6,0,1,0,0,0,0,1,1
PT_420101,Água De Pau,2998,333,3,11,121,147,20,18,6,0,0,0,1,1,0,4,1
PT_420102,Cabouco,1433,249,3,11,94,89,19,15,9,0,3,0,0,0,0,6,0
PT_420103,Lagoa (Nossa Senhora Do Rosário),4733,884,15,53,299,293,82,76,29,8,7,3,2,1,0,13,3
PT_420104,Lagoa (Santa Cruz),3039,465,8,25,173,171,20,28,17,5,8,2,0,3,0,5,0
PT_420105,Ribeira Chã,438,108,1,10,29,57,7,3,0,0,0,1,0,0,0,0,0
PT_480101,Fajã Grande,181,79,2,3,50,15,0,2,3,2,0,0,0,0,0,2,0
PT_480102,Fajãzinha,87,45,3,4,19,15,1,0,3,0,0,0,0,0,0,0,0
PT_480103,Fazenda,242,102,1,7,44,33,3,8,6,0,0,0,0,0,0,0,0
PT_480104,Lajedo,97,51,1,6,29,10,1,1,3,0,0,0,0,0,0,0,0
PT_480105,Lajes Das Flores,485,148,4,11,72,26,12,9,7,0,3,1,1,1,0,1,0
PT_480106,Lomba,167,59,1,12,25,6,7,1,3,1,0,1,1,0,0,1,0
PT_480107,Mosteiro,41,17,0,3,6,3,3,0,1,0,1,0,0,0,0,0,0
PT_460101,Calheta De Nesquim,349,93,0,7,51,31,2,1,0,0,1,0,0,0,0,0,0
PT_460102,Lajes Do Pico,1635,440,6,31,151,182,29,19,11,1,1,1,0,1,0,5,2
PT_460103,Piedade,826,246,2,16,112,86,15,9,3,0,1,0,0,0,0,2,0
PT_460104,Ribeiras,950,253,2,8,121,92,8,12,5,1,0,2,0,1,1,0,0
PT_460105,Ribeirinha,392,131,2,7,55,53,5,3,1,0,1,1,0,2,0,0,1
PT_460106,São João,438,130,1,8,63,44,4,5,3,2,0,0,0,0,0,0,0
PT_460201,Bandeiras,494,97,3,5,52,22,1,6,4,0,1,2,0,1,0,0,0
PT_460202,Candelária,825,220,2,19,75,90,9,8,8,1,3,2,1,0,0,1,1
PT_460203,Criação Velha,668,164,2,15,102,28,7,2,4,3,0,0,0,1,0,0,0
PT_460204,Madalena,2168,444,1,43,212,112,32,21,14,0,1,4,0,1,1,1,1
PT_460205,São Caetano,487,154,1,3,92,40,10,3,2,1,0,1,0,0,0,1,0
PT_460206,São Mateus,730,252,2,11,134,87,5,9,2,0,0,0,0,0,0,2,0
PT_420201,Achada,472,174,0,9,60,90,6,4,1,0,1,0,1,0,0,2,0
PT_420202,Achadinha,507,207,3,6,81,82,19,4,7,1,2,1,0,1,0,0,0
PT_420208,Algarvia,371,137,4,1,75,44,4,2,2,0,1,0,0,2,1,1,0
PT_420203,Lomba Da Fazenda,917,262,7,11,132,74,8,13,6,1,3,0,0,2,0,5,0
PT_420204,Nordeste,1254,361,12,20,175,79,21,32,6,1,5,1,1,0,0,4,4
PT_420206,Salga,475,133,0,8,59,50,6,6,3,0,1,0,0,0,0,0,0
PT_420207,Santana,404,182,2,2,78,80,12,5,0,0,1,0,0,0,0,2,0
PT_420209,Santo António de Nordestinho,357,132,5,1,66,40,11,2,2,0,0,1,1,1,0,1,1
PT_420210,São Pedro de Nordestinho,315,114,2,11,54,32,7,2,1,1,0,1,0,2,1,0,0
PT_420323,Ajuda da Bretanha,685,94,1,2,53,22,8,4,0,0,0,2,0,2,0,0,0
PT_420301,Arrifes,6292,937,12,26,373,312,46,58,35,7,17,20,3,4,3,20,1
PT_420303,Candelária,1048,128,0,4,61,37,9,7,3,1,1,0,0,1,0,3,1
PT_420304,Capelas,3598,657,4,47,224,246,48,37,17,3,8,4,1,3,2,11,2
PT_420305,Covoada,1111,191,6,4,74,64,11,15,7,1,1,1,1,1,2,2,1
PT_420306,Fajã De Baixo,4227,949,9,53,336,282,85,116,35,7,3,3,2,4,0,13,1
PT_420307,Fajã De Cima,3263,531,7,26,216,155,34,47,23,2,1,1,1,3,1,10,4
PT_420308,Fenais Da Luz,1680,266,3,11,129,60,15,27,10,2,2,0,1,1,0,5,0
PT_420309,Feteiras,1511,177,1,7,69,70,10,7,3,0,2,0,1,1,2,3,1
PT_420310,Ginetes,1151,206,3,10,88,67,15,7,8,0,1,2,0,0,0,4,1
PT_420311,Mosteiros,1207,228,2,5,116,62,16,7,13,0,4,2,0,0,0,1,0
PT_420324,Pilar da Bretanha,609,123,0,4,51,28,20,3,5,2,1,0,2,0,0,5,2
PT_420313,Ponta Delgada (São José),5914,1304,13,62,544,340,98,137,58,6,8,4,0,6,1,18,9
PT_420314,Ponta Delgada (São Pedro),7376,1731,14,81,675,460,129,216,80,14,8,8,0,3,3,35,5
PT_420312,Ponta Delgada (São Sebastião),4607,1175,21,74,527,256,87,104,42,23,5,11,1,6,1,17,0
PT_420315,Relva,2376,448,6,18,216,116,30,38,16,2,0,1,0,0,0,4,1
PT_420316,Remédios,911,216,3,11,85,65,18,17,8,2,4,2,0,1,0,0,0
PT_420317,Rosto Do Cão (Livramento),3470,573,8,33,246,140,52,58,14,5,8,0,0,3,1,5,0
PT_420318,Rosto Do Cão (São Roque),4170,541,9,36,214,166,38,41,19,6,3,2,0,0,1,6,0
PT_420319,Santa Bárbara,800,197,2,8,71,79,14,9,7,1,1,2,0,0,0,2,1
PT_420325,Santa Clara,2585,522,9,29,198,167,30,47,28,0,2,0,2,1,0,8,1
PT_420320,Santo António,1880,334,5,8,127,105,49,13,10,1,7,2,0,2,0,4,1
PT_420321,São Vicente Ferreira,1764,320,6,20,144,90,18,17,9,0,1,2,0,1,3,8,1
PT_420322,Sete Cidades,728,135,0,5,43,68,7,2,6,1,1,0,0,0,0,1,1
PT_420401,Água Retorta,440,158,3,5,74,63,5,2,4,1,0,0,1,0,0,0,0
PT_420402,Faial Da Terra,383,103,1,8,41,43,1,2,1,1,0,2,0,0,0,2,1
PT_420403,Furnas,1600,380,9,24,134,144,17,27,8,2,1,3,0,5,0,5,1
PT_420404,Nossa Senhora Dos Remédios,1082,302,2,13,150,106,16,2,7,0,1,0,0,2,0,2,1
PT_420405,Povoação,2146,496,3,23,200,210,17,11,13,3,4,3,1,0,1,6,1
PT_420406,Ribeira Quente,849,147,3,5,43,77,5,3,3,1,3,0,0,1,0,3,0
PT_420501,Calheta,668,143,2,1,50,63,6,12,6,0,1,2,0,0,0,0,0
PT_420502,Fenais Da Ajuda,1033,247,4,8,93,105,18,5,7,2,0,1,0,2,1,1,0
PT_420503,Lomba Da Maia,1155,194,4,9,75,59,11,13,10,2,3,1,0,2,1,4,0
PT_420504,Lomba De São Pedro,305,107,1,3,33,56,5,3,2,1,1,0,0,2,0,0,0
PT_420505,Maia,1945,409,3,20,144,177,18,20,15,2,4,0,1,2,1,1,1
PT_420506,Pico Da Pedra,2168,495,13,34,132,179,28,58,33,3,3,5,0,0,0,7,0
PT_420507,Porto Formoso,1211,247,3,6,45,153,7,16,7,1,4,1,0,0,0,2,2
PT_420508,Rabo De Peixe,6309,580,15,23,223,146,32,99,21,3,4,2,0,3,1,5,3
PT_420509,Ribeira Grande (Conceição),1895,345,11,23,106,130,14,45,11,1,0,1,0,1,0,1,1
PT_420510,Ribeira Grande (Matriz),3654,526,2,24,208,156,31,60,23,1,7,2,1,0,2,7,2
PT_420511,Ribeira Seca,2575,437,7,15,217,102,29,36,15,1,4,2,0,4,1,4,0
PT_420512,Ribeirinha,2120,220,4,8,90,77,7,17,10,0,4,0,0,2,0,1,0
PT_420513,Santa Bárbara,1128,195,2,10,100,52,9,14,5,0,1,1,0,0,0,1,0
PT_420514,São Brás,614,156,2,4,62,69,5,5,1,0,1,1,1,2,0,3,0
PT_440101,Guadalupe,1278,391,4,12,240,117,5,8,3,1,0,0,1,0,0,0,0
PT_440102,Luz,744,208,4,7,103,84,3,5,1,1,0,0,0,0,0,0,0
PT_440103,São Mateus,803,256,2,7,101,138,3,4,0,0,0,0,0,1,0,0,0
PT_440104,Santa Cruz Da Graciosa,1611,385,3,17,138,179,11,22,11,1,1,1,0,0,0,1,0
PT_480201,Caveira,69,32,0,1,7,15,3,2,4,0,0,0,0,0,0,0,0
PT_480202,Cedros,132,37,0,3,8,10,8,0,8,0,0,0,0,0,0,0,0
PT_480203,Ponta Delgada,364,106,1,6,30,31,29,4,2,1,0,1,0,0,0,1,0
PT_480204,Santa Cruz Das Flores,1471,350,2,18,91,118,75,20,16,2,4,4,0,0,0,0,0
PT_460301,Prainha,549,171,0,16,69,54,17,7,3,0,0,4,0,1,0,0,0
PT_460302,Santa Luzia,400,98,0,7,39,44,1,2,1,1,1,1,0,0,0,0,1
PT_460303,Santo Amaro,315,129,0,12,50,48,4,14,0,0,0,1,0,0,0,0,0
PT_460304,Santo António,698,115,2,16,35,33,7,9,7,4,1,1,0,0,0,0,0
PT_460305,São Roque Do Pico,1264,320,6,25,140,103,11,18,9,2,1,1,0,3,0,0,1
PT_450201,Manadas (Santa Bárbara),434,112,1,2,55,42,8,3,0,0,0,0,0,0,0,1,0
PT_450202,Norte Grande (Neves),630,192,2,4,57,83,33,4,4,1,0,3,0,1,0,0,0
PT_450203,Rosais,727,170,1,13,44,40,62,1,5,1,2,0,0,0,0,1,0
PT_450204,Santo Amaro,830,221,1,6,89,70,35,8,4,2,2,0,1,1,0,1,1
PT_450205,Urzelina (São Mateus),816,189,3,9,89,51,15,12,7,2,0,0,0,0,0,0,1
PT_450206,Velas (São Jorge),1761,392,7,10,142,128,57,27,15,0,2,2,0,2,0,0,0
PT_430201,Agualva,1385,387,0,6,195,148,21,6,4,3,1,0,0,1,1,1,0
PT_430202,Biscoitos,1356,304,4,18,120,114,15,24,3,3,0,0,0,1,1,1,0
PT_430203,Cabo Da Praia,590,147,1,9,55,34,31,12,4,0,0,0,0,0,0,1,0
PT_430204,Fonte Do Bastardo,1090,218,4,14,94,56,29,7,7,0,4,1,0,2,0,0,0
PT_430205,Fontinhas,1384,363,4,18,167,110,41,15,2,0,1,1,0,2,0,2,0
PT_430206,Lajes,3434,644,9,13,277,214,64,38,11,4,1,3,0,7,0,3,0
PT_430211,Porto Martins,812,250,4,15,78,84,50,10,4,1,1,0,0,2,0,1,0
PT_430207,Praia Da Vitória (Santa Cruz),6210,1158,14,49,424,356,165,87,27,12,6,3,2,4,1,5,3
PT_430208,Quatro Ribeiras,488,142,3,7,47,72,3,7,2,0,0,1,0,0,0,0,0
PT_430209,São Brás,962,250,4,9,87,104,23,15,1,3,1,0,0,0,0,2,1
PT_430210,Vila Nova,1703,371,4,20,149,151,23,7,3,3,1,1,0,3,0,3,3
PT_410101,Almagreira,476,83,1,5,38,24,3,4,6,0,1,1,0,0,0,0,0
PT_410102,Santa Bárbara,512,118,1,12,41,36,10,9,5,2,0,1,0,0,0,0,1
PT_410103,Santo Espírito,715,128,2,3,49,60,2,3,6,1,0,0,0,0,0,2,0
PT_410104,São Pedro,696,119,1,6,34,46,9,11,7,0,2,1,0,1,1,0,0
PT_410105,Vila Do Porto,2858,608,15,54,210,204,21,52,34,2,5,3,0,3,2,3,0
PT_420601,Água D'alto,1584,270,3,12,100,118,13,10,8,1,1,0,0,0,0,4,0
PT_420602,Ponta Garça,3281,638,8,14,300,211,59,20,6,3,5,1,2,2,2,3,2
PT_420603,Ribeira Das Taínhas,760,316,5,21,61,174,25,16,3,2,2,2,0,2,0,3,0
PT_420606,Ribeira Seca,712,120,0,3,45,42,12,3,7,2,3,0,0,1,0,1,1
PT_420604,Vila Franca Do Campo (São Miguel),2821,387,6,19,170,116,34,17,14,3,3,2,0,1,1,1,0
PT_420605,Vila Franca Do Campo (São Pedro),1101,192,0,6,68,82,10,16,6,2,0,0,0,1,1,0,0
PT_010101,Agadão,489,142,1,6,78,27,16,5,4,2,1,1,0,0,0,0,1
PT_010102,Aguada De Baixo,1628,556,7,40,218,114,90,37,10,28,4,2,1,1,0,0,4
PT_010103,Aguada De Cima,3699,1041,15,76,435,255,116,70,34,11,6,3,1,3,0,4,12
PT_010104,Águeda,10518,3430,52,238,1113,936,332,340,236,61,36,11,8,12,9,21,25
PT_010105,Barrô,1727,517,10,42,224,124,45,37,6,8,5,2,0,4,0,5,5
PT_010106,Belazaima Do Chão,586,226,5,28,80,75,14,9,6,2,2,0,1,1,0,0,3
PT_010120,Borralha,2114,844,16,64,243,250,116,73,39,12,9,4,0,7,1,5,5
PT_010107,Castanheira Do Vouga,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT_010108,Espinhel,2508,743,18,46,239,220,68,77,39,12,10,1,1,2,2,1,7
PT_010109,Fermentelos,2765,1061,15,64,572,85,198,69,32,14,1,2,0,3,0,2,4
PT_010110,Lamas Do Vouga,714,228,3,8,82,79,20,20,9,2,2,0,0,0,0,1,2
PT_010111,Macieira De Alcoba,135,48,1,1,28,6,7,4,0,0,0,0,0,0,1,0,0
PT_010112,Macinhata Do Vouga,3172,901,24,55,327,212,94,77,55,10,10,5,1,2,8,4,17
PT_010113,Óis Da Ribeira,664,308,2,26,112,91,33,27,7,2,3,2,0,1,0,1,1
PT_010114,Préstimo,886,241,5,11,78,47,35,29,24,4,4,0,0,0,1,2,1
PT_010115,Recardães,2859,1042,19,85,345,289,108,97,41,11,17,4,0,2,4,7,13
PT_010116,Segadães,817,310,1,16,85,85,68,27,14,6,1,2,1,0,0,1,3
PT_010117,Travassô,1496,533,9,27,204,143,71,38,17,9,6,1,1,3,0,2,2
PT_010118,Trofa,2664,1079,12,76,364,285,91,102,89,19,9,6,1,5,4,9,7
PT_010119,Valongo Do Vouga,4541,1257,30,94,390,354,121,121,90,21,15,3,2,4,0,2,10
PT_010201,Albergaria-a-Velha,7085,2356,50,149,850,430,403,237,126,43,22,12,0,4,3,11,16
PT_010202,Alquerubim,2142,634,9,26,266,163,84,48,19,3,7,1,0,1,1,2,4
PT_010203,Angeja,2128,830,11,29,278,204,124,65,74,14,11,3,3,5,1,3,5
PT_010204,Branca,4879,1516,37,100,652,269,202,129,65,11,16,7,0,3,5,8,12
PT_010205,Frossos,887,318,12,13,107,82,56,14,16,0,6,2,0,0,1,0,9
PT_010206,Ribeira De Fráguas,1680,630,12,44,206,149,116,47,18,12,4,2,1,6,3,6,4
PT_010207,São João De Loure,1895,702,15,30,325,94,131,65,18,3,8,1,1,6,1,3,1
PT_010208,Valmaior,1795,583,10,41,222,124,75,51,38,9,6,1,0,0,0,2,4
PT_010315,Aguim,1150,417,12,10,184,107,34,55,5,4,2,0,1,0,0,2,1
PT_010301,Amoreira Da Gândara,1284,478,5,46,197,90,77,29,16,5,5,3,1,1,0,1,2
PT_010302,Ancas,748,287,6,28,130,53,31,18,9,4,1,1,0,2,0,1,3
PT_010303,Arcos,4761,1713,32,116,621,375,186,188,124,23,19,3,2,4,2,8,10
PT_010304,Avelãs De Caminho,1246,447,8,27,186,106,64,29,14,2,7,1,0,0,0,1,2
PT_010305,Avelãs De Cima,2186,737,12,40,413,82,99,35,19,5,4,5,2,4,2,7,8
PT_010306,Mogofores,1017,416,7,21,150,116,52,34,15,9,3,0,1,2,3,1,2
PT_010307,Moita,2502,816,9,52,386,147,81,73,29,9,5,4,1,1,2,9,8
PT_010308,Óis Do Bairro,475,196,1,12,93,43,19,17,3,4,0,0,1,1,1,0,1
PT_010314,Paredes Do Bairro,1095,450,7,33,278,42,41,25,11,2,3,1,1,1,0,3,2
PT_010309,Sangalhos,4254,1581,29,107,629,261,164,146,153,26,26,4,2,13,2,6,13
PT_010310,São Lourenço Do Bairro,2373,759,19,42,342,167,81,58,23,8,4,2,0,4,1,3,5
PT_010311,Tamengos,1558,560,8,34,242,118,62,55,12,9,3,4,1,2,1,3,6
PT_010312,Vila Nova De Monsarros,1812,487,9,31,213,129,24,36,29,2,2,2,2,0,1,1,6
PT_010313,Vilarinho Do Bairro,3109,1047,32,57,612,147,110,42,18,5,6,0,1,0,2,5,10
PT_010401,Albergaria Da Serra,163,40,3,0,15,16,2,1,0,0,1,0,0,0,1,1,0
PT_010402,Alvarenga,1275,459,10,26,213,110,55,17,16,2,3,2,0,1,0,0,4
PT_010403,Arouca,2655,1097,14,69,430,268,117,101,29,21,9,0,2,2,0,6,29
PT_010404,Burgo,1912,733,7,32,317,149,112,50,21,8,7,2,2,5,1,2,18
PT_010405,Cabreiros,203,57,0,4,27,16,2,3,1,0,2,0,1,0,0,0,1
PT_010406,Canelas,750,245,4,4,126,46,35,9,13,0,3,0,1,2,0,1,1
PT_010407,Chave,1233,530,6,18,190,102,80,50,29,2,4,6,1,1,3,4,34
PT_010408,Covelo de Paivó,154,38,0,0,18,9,2,5,0,0,0,0,0,1,0,2,1
PT_010409,Escariz,1934,747,14,12,330,107,92,38,18,3,2,2,0,2,0,4,123
PT_010410,Espiunca,425,156,3,3,90,29,18,2,5,1,2,2,0,0,0,0,1
PT_010411,Fermedo,1428,522,8,8,219,118,75,17,19,5,6,2,1,5,0,0,39
PT_010412,Janarde,162,48,1,0,31,11,2,1,1,1,0,0,0,0,0,0,0
PT_010413,Mansores,1089,349,7,8,189,47,54,17,6,1,2,1,1,1,0,2,13
PT_010414,Moldes,1306,434,10,22,193,100,49,20,21,1,2,3,0,2,2,2,7
PT_010415,Rossas,1499,532,6,20,287,61,90,25,20,3,6,2,0,2,0,2,8
PT_010416,Santa Eulália,2122,791,7,40,372,135,104,51,32,7,9,2,0,4,0,6,22
PT_010417,São Miguel Do Mato,770,255,3,6,141,39,44,8,7,0,0,0,0,0,0,1,6
PT_010418,Tropeço,1146,387,6,11,217,57,48,22,7,3,1,1,1,1,1,2,9
PT_010419,Urrô,1103,358,8,22,178,69,38,20,10,1,0,1,0,0,1,3,7
PT_010420,Várzea,487,247,6,8,122,60,27,7,6,0,1,1,0,0,1,2,6
PT_010501,Aradas,7229,2519,56,167,962,479,353,279,101,51,18,10,3,4,5,12,19
PT_010502,Cacia,6251,2268,51,163,697,541,211,297,167,35,25,16,7,8,14,12,24
PT_010503,Eirol,686,350,9,38,121,60,69,14,13,13,1,2,0,5,2,3,0
PT_010504,Eixo,4565,1504,34,87,450,289,206,213,113,32,20,13,2,7,4,13,21
PT_010505,Esgueira,10715,4122,77,316,1125,911,451,646,295,126,51,15,4,17,15,20,53
PT_010506,Glória,9647,3951,62,234,1230,789,508,602,232,161,39,19,2,10,8,21,34
PT_010507,Nariz,1350,478,17,30,228,43,85,31,9,10,7,2,1,3,2,4,6
PT_010514,Nossa Senhora De Fátima,1706,627,9,45,295,71,136,40,11,4,3,0,0,3,3,2,5
PT_010508,Oliveirinha,4610,1588,29,100,766,223,216,130,42,22,12,3,1,7,3,13,21
PT_010509,Requeixo,1098,425,8,11,233,41,78,22,23,2,3,0,0,1,1,0,2
PT_010513,Santa Joana,7300,2731,41,163,1129,461,340,301,157,38,24,8,4,8,5,10,42
PT_010510,São Bernardo,4051,1615,29,123,557,271,251,217,67,49,9,4,2,2,2,17,15
PT_010511,São Jacinto,991,298,4,12,70,103,35,37,14,6,6,4,0,3,2,0,2
PT_010512,Vera Cruz,7389,3449,50,188,1047,763,423,540,226,120,15,8,1,16,8,11,33
PT_010601,Bairros,1716,480,19,20,232,144,18,19,14,1,2,3,0,1,0,3,4
PT_010602,Fornos,1415,434,9,11,158,175,22,25,13,4,6,2,1,3,1,4,0
PT_010603,Paraíso,864,316,14,8,144,81,22,10,10,9,7,3,1,2,2,1,2
PT_010604,Pedorido,1427,318,4,12,105,141,10,21,17,2,2,0,1,1,0,0,2
PT_010605,Raiva,2173,581,10,27,155,221,29,83,31,1,8,3,0,4,1,6,2
PT_010606,Real,1212,347,10,10,130,132,15,28,8,1,3,0,0,2,1,2,5
PT_010607,Santa Maria De Sardoura,2328,785,17,19,424,201,43,33,24,7,7,2,0,1,2,0,5
PT_010608,São Martinho De Sardoura,1632,594,9,20,331,134,33,26,18,6,7,2,0,0,0,6,2
PT_010609,Sobrado,2353,861,15,37,364,236,60,85,28,6,11,2,2,3,2,4,6
PT_010701,Anta,9590,4485,210,264,1282,1150,314,484,529,56,89,18,2,25,11,16,35
PT_010702,Espinho,11060,5306,67,264,2057,1131,551,583,452,48,29,19,4,18,15,15,53
PT_010703,Guetim,1339,617,20,34,238,149,39,51,58,4,12,1,0,6,0,1,4
PT_010704,Paramos,3439,1430,33,74,380,414,123,134,188,7,26,10,2,10,6,7,16
PT_010705,Silvalde,6535,2773,63,136,590,1038,147,221,421,20,61,10,5,17,3,16,25
PT_010801,Avanca,5933,1963,40,132,730,427,202,185,115,35,26,5,3,10,11,14,28
PT_010802,Beduído,7155,2508,40,130,893,607,211,268,218,60,28,6,1,6,7,12,21
PT_010803,Canelas,1296,505,7,32,218,68,72,50,32,8,4,3,1,1,1,2,6
PT_010804,Fermelã,1376,545,11,22,212,128,66,47,37,6,3,2,0,0,2,3,6
PT_010805,Pardilhó,3915,1032,21,59,421,203,101,103,81,13,9,3,2,5,0,6,5
PT_010806,Salreu,3690,1236,18,53,613,202,168,86,41,13,10,3,3,1,5,10,10
PT_010807,Veiros,2162,515,11,17,261,77,58,25,34,3,14,3,1,3,0,3,5
PT_011002,Gafanha Da Encarnação,4883,1181,16,66,527,177,151,101,64,21,16,9,0,7,1,12,13
PT_011003,Gafanha Da Nazaré,13122,4219,61,305,1528,820,483,536,226,82,45,24,4,16,12,31,46
PT_011001,Gafanha Do Carmo,1700,458,13,26,202,101,55,27,11,4,5,0,1,2,3,3,5
PT_011004,Ílhavo (São Salvador),14667,4721,73,261,1800,965,482,585,288,99,45,13,6,19,16,21,48
PT_011101,Antes,863,344,6,19,143,112,25,26,8,1,3,0,0,0,0,0,1
PT_011102,Barcouço,1890,574,8,29,139,222,29,61,65,4,4,2,0,2,1,3,5
PT_011103,Casal Comba,3099,892,22,59,229,345,49,104,49,6,10,2,2,3,2,5,5
PT_011104,Luso,2566,867,16,62,216,301,42,128,69,12,8,1,2,4,0,2,4
PT_011105,Mealhada,3643,1261,25,95,385,346,93,171,95,14,9,2,0,2,7,9,8
PT_011106,Pampilhosa,3611,1163,20,88,259,367,76,171,135,5,13,3,0,2,5,5,14
PT_011107,Vacariça,1987,563,8,33,171,226,19,48,39,4,6,2,1,5,0,1,0
PT_011108,Ventosa Do Bairro,1224,331,6,26,161,86,22,16,3,2,2,1,2,0,1,1,2
PT_011201,Bunheiro,2694,854,10,46,491,99,87,46,32,9,8,4,0,4,1,6,11
PT_011202,Monte,1549,413,2,26,212,66,29,38,24,2,5,3,0,3,0,0,3
PT_011203,Murtosa,3518,906,20,31,563,98,44,56,40,18,5,2,2,8,2,4,13
PT_011204,Torreira,2581,622,19,20,291,116,59,51,29,10,10,2,0,5,0,6,4
PT_011301,Carregosa,3257,1489,53,77,552,296,199,113,58,17,21,8,8,5,5,6,71
PT_011302,Cesar,2750,1177,22,71,400,316,128,92,54,12,17,5,4,7,0,5,44
PT_011303,Fajões,2997,1023,28,37,431,203,110,84,47,11,16,2,5,5,2,2,40
PT_011304,Loureiro,3006,1231,13,56,683,192,143,49,29,8,5,3,4,8,3,12,23
PT_011305,Macieira De Sarnes,1841,745,11,28,231,217,39,77,93,7,13,6,0,5,3,2,13
PT_011306,Macinhata Da Seixa,1272,545,11,30,190,149,83,31,23,4,9,1,1,4,1,2,6
PT_011307,Madail,748,345,2,15,175,68,36,18,7,8,3,0,1,1,1,2,8
PT_011308,Nogueira Do Cravo,2445,1115,24,68,361,319,90,106,95,8,15,2,0,3,3,8,13
PT_011309,Oliveira De Azeméis,9701,3927,92,200,1370,893,582,418,148,57,42,12,4,15,3,14,77
PT_011310,Ossela,2039,780,30,15,352,166,102,49,23,10,8,3,2,5,5,1,9
PT_011311,Palmaz,1948,700,9,25,266,220,94,46,19,4,5,4,0,0,0,3,5
PT_011312,Pindelo,2340,958,43,42,344,240,83,84,47,17,12,3,1,8,3,3,28
PT_011313,Pinheiro Da Bemposta,3178,1072,27,73,436,245,142,81,24,7,13,2,1,8,2,3,8
PT_011314,Santiago De Riba-Ul,3354,1329,30,84,435,380,143,117,77,10,14,3,2,9,2,6,17
