gisco_id,name,registered,turnout,invalid,blank,PPD/PSD,PS,CDS-PP,B.E.,CDU,PPM,PAN,PCTP/MRPP,PDA,PTP,E,MPT,MEP,PPV/CDC,PH,POUS,PND
PT_041212,Montouto,177,56,1,1,10,35,4,0,1,0,0,2,0,1,0,0,1,0,0,0,0
PT_041213,Nunes,185,108,3,3,44,35,18,2,1,0,0,1,0,0,0,1,0,0,0,0,0
PT_041214,Ousilhão,149,63,1,4,35,10,9,0,2,0,0,0,1,0,0,0,0,0,1,0,0
PT_041215,Paçó,285,122,1,0,69,16,31,1,1,0,0,0,0,0,0,1,0,0,2,0,0
PT_041216,Penhas Juntas,349,121,0,0,70,25,19,0,1,0,0,1,1,1,0,0,1,0,2,0,0
PT_041217,Pinheiro Novo,149,52,1,1,18,30,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
PT_041218,Quirás,329,86,2,0,44,26,9,0,0,2,0,1,0,0,1,0,1,0,0,0,0
PT_041219,Rebordelo,743,390,2,3,208,134,18,7,7,3,0,0,3,0,0,0,1,0,4,0,0
PT_041220,Santa Cruz,80,49,0,0,28,2,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PT_041221,Santalha,402,180,0,3,113,39,17,2,2,1,0,0,0,0,2,1,0,0,0,0,0
PT_041222,São Jomil,72,32,0,1,16,12,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PT_041223,Sobreiro De Baixo,468,197,2,2,104,61,13,0,4,1,0,2,1,0,2,1,2,0,2,0,0
PT_041224,Soeira,145,69,4,1,22,28,8,0,3,1,0,0,1,0,1,0,0,0,0,0,0
PT_041225,Travanca,124,64,0,6,23,27,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PT_041226,Tuizelo,538,212,9,1,134,29,22,3,4,1,0,3,0,0,0,2,4,0,0,0,0
PT_041227,Vale Das Fontes,472,253,3,1,152,64,24,3,2,0,0,0,0,0,0,1,1,0,2,0,0
PT_041228,Vale De Janeiro,188,89,2,0,48,26,5,1,0,0,0,1,0,2,0,2,0,0,2,0,0
