gisco_id,name,registered,turnout,invalid,blank,PS,PPD/PSD-CDS-PP-PPM,CH,B.E.,IL,ADN,PAN,R.I.R.,L,CDU,E,MAS,MPT,PCTP/MRPP,Volt,PPD/PSD,CDS-PP,JPP,PTP,A,NC,PPD/PSD-CDS-PP,PPM
PT_020910,"São Miguel do Pinheiro, São Pedro de Solis e São Sebastião dos Carros",799,429,4,12,231,0,14,7,3,0,1,1,4,98,0,0,1,3,0,49,1,0,0,0,0,0,0
PT_020905,Santana De Cambas,654,369,4,8,172,0,26,7,4,0,5,0,3,74,2,1,0,5,0,58,0,0,0,0,0,0,0
PT_020906,São João Dos Caldeireiros,467,263,2,7,73,0,23,5,3,0,2,0,6,104,0,0,0,1,0,33,4,0,0,0,0,0,0
PT_021001,Amareleja,1905,845,5,8,331,0,168,21,8,0,3,3,5,187,1,0,3,12,0,80,10,0,0,0,0,0,0
PT_021002,Póvoa De São Miguel,692,375,7,5,176,0,110,4,4,0,0,1,2,18,0,0,0,1,0,42,5,0,0,0,0,0,0
PT_021010,Safara e Santo Aleixo da Restauração,1375,727,11,4,346,0,131,10,9,0,4,0,0,138,0,0,0,6,0,63,4,0,1,0,0,0,0
PT_021009,Moura (Santo Agostinho e São João Baptista) e Santo Amador,7241,3588,22,30,1540,0,593,102,63,0,15,2,9,546,4,2,1,20,3,606,26,0,4,0,0,0,0
PT_021008,Sobral Da Adiça,787,386,1,2,189,0,77,2,3,0,2,2,1,72,1,1,1,1,0,29,2,0,0,0,0,0,0
PT_021116,Boavista Dos Pinheiros,1282,793,10,18,422,0,58,45,26,0,12,2,6,95,0,1,1,3,1,87,6,0,0,0,0,0,0
PT_021118,Colos,788,473,3,2,223,0,49,19,18,0,6,2,5,70,0,2,0,2,1,64,6,0,1,0,0,0,0
PT_021117,Longueira/Almograve,1010,548,8,12,194,0,63,35,43,0,1,1,7,50,1,1,1,3,0,123,5,0,0,0,0,0,0
PT_021115,Luzianes-Gare,263,151,0,2,55,0,6,1,3,0,3,0,1,61,0,0,0,3,1,15,0,0,0,0,0,0,0
PT_021102,Relíquias,667,337,10,4,197,0,14,16,5,0,6,0,1,53,0,0,0,1,1,27,2,0,0,0,0,0,0
PT_021103,Sabóia,749,447,7,2,249,0,41,16,5,0,9,2,1,29,1,1,2,4,1,74,3,0,0,0,0,0,0
PT_021119,Santa Clara-a-Velha,543,344,11,2,202,0,20,7,6,0,4,0,2,30,0,1,1,1,0,54,3,0,0,0,0,0,0
PT_021106,São Luís,1574,907,8,9,425,0,60,46,14,0,5,4,9,159,3,0,0,2,3,148,10,0,2,0,0,0,0
PT_021107,São Martinho Das Amoreiras,667,393,7,8,233,0,21,13,3,0,1,3,3,34,1,2,1,1,0,55,6,0,1,0,0,0,0
PT_021120,São Salvador e Santa Maria,2505,1509,19,17,666,0,78,73,60,0,15,4,17,246,1,2,2,7,1,289,10,0,2,0,0,0,0
PT_021121,São Teotónio,4467,2522,49,37,1222,0,200,129,86,0,28,13,44,265,4,7,8,23,6,374,23,0,4,0,0,0,0
PT_021122,Vale de Santiago,788,467,3,5,238,0,46,13,9,0,4,3,5,70,0,0,1,6,1,62,1,0,0,0,0,0,0
PT_021111,Vila Nova De Milfontes,4373,2243,18,32,920,0,231,141,102,0,38,20,26,199,5,4,5,15,6,456,22,0,3,0,0,0,0
PT_021207,Garvão e Santa Luzia,774,461,5,6,197,0,32,8,10,0,6,0,1,52,1,1,1,3,0,136,2,0,0,0,0,0,0
PT_021203,Ourique,2367,1383,18,20,587,0,102,28,26,0,18,1,14,91,7,1,0,2,0,456,9,0,3,0,0,0,0
PT_021208,Panóias e Conceição,472,298,2,0,141,0,20,12,3,0,2,0,2,50,0,0,0,0,0,66,0,0,0,0,0,0,0
PT_021206,Santana Da Serra,612,341,3,3,159,0,25,9,2,0,1,1,0,6,0,0,3,1,3,121,4,0,0,0,0,0,0
PT_021302,Brinches,839,432,2,1,186,0,60,12,2,0,1,1,1,114,0,0,0,5,1,43,2,0,1,0,0,0,0
PT_021303,Pias,2173,1271,12,14,347,0,140,32,19,0,5,3,4,592,0,0,1,9,1,87,4,0,1,0,0,0,0
PT_021308,Serpa (Salvador e Santa Maria),5051,2779,16,28,1164,0,377,90,64,0,19,4,26,439,1,1,6,8,17,488,30,0,1,0,0,0,0
PT_021309,Vila Nova de São Bento e Vale de Vargo,3261,1810,15,11,616,0,229,40,17,0,7,4,7,598,7,0,3,23,4,219,9,0,1,0,0,0,0
PT_021307,Vila Verde De Ficalho,1133,707,6,9,344,0,53,10,11,0,2,0,3,170,3,0,0,6,1,89,0,0,0,0,0,0,0
PT_021401,Pedrógão,843,468,3,2,222,0,26,11,7,0,1,1,3,172,0,1,0,1,0,17,1,0,0,0,0,0,0
PT_021402,Selmes,676,350,2,2,194,0,41,12,5,0,4,0,1,63,0,1,0,2,1,20,2,0,0,0,0,0,0
PT_021403,Vidigueira,2349,1339,16,16,560,0,170,39,21,0,11,3,12,223,1,1,3,6,1,245,11,0,0,0,0,0,0
PT_021404,Vila De Frades,753,456,7,8,237,0,35,6,12,0,5,1,1,79,0,0,5,8,0,50,2,0,0,0,0,0,0
PT_030125,Amares e Figueiredo,2610,1625,15,32,700,0,135,60,59,0,19,8,14,29,2,3,1,0,1,526,15,5,1,0,0,0,0
PT_030102,Barreiros,693,442,6,4,167,0,36,8,10,0,4,2,0,7,0,0,0,0,0,184,13,0,1,0,0,0,0
PT_030104,Bico,691,441,4,5,188,0,54,18,13,0,7,3,2,4,0,0,0,0,0,126,15,1,1,0,0,0,0
PT_030119,Bouro (Santa Maria),699,434,1,6,185,0,29,7,8,0,1,0,2,3,0,1,0,0,1,176,13,0,1,0,0,0,0
PT_030120,Bouro (Santa Marta),461,290,2,2,132,0,15,9,9,0,1,0,0,3,0,0,0,0,0,112,5,0,0,0,0,0,0
PT_030105,Caires,806,526,3,9,232,0,35,4,15,0,2,4,3,6,0,0,1,0,0,194,16,1,1,0,0,0,0
PT_030126,"Caldelas, Sequeiros e Paranhos",1063,676,5,7,267,0,42,14,14,0,7,1,5,7,1,0,0,0,2,286,15,1,2,0,0,0,0
PT_030107,Carrazedo,720,465,1,11,195,0,30,8,16,0,6,3,2,7,0,0,0,0,0,180,5,1,0,0,0,0,0
PT_030108,Dornelas,495,307,1,8,105,0,25,6,18,0,5,0,0,4,1,0,1,0,0,124,8,0,1,0,0,0,0
PT_030127,"Ferreiros, Prozelo e Besteiros",4167,2466,30,34,1127,0,180,61,74,0,27,16,22,55,1,2,2,0,0,765,63,2,4,1,0,0,0
PT_030111,Fiscal,665,418,2,10,162,0,34,6,18,0,5,0,1,9,1,0,2,0,1,153,13,0,0,1,0,0,0
PT_030112,Goães,541,325,0,8,119,0,20,10,3,0,4,5,1,2,0,0,0,0,0,141,12,0,0,0,0,0,0
PT_030113,Lago,1754,1079,11,10,458,0,100,42,52,0,19,5,6,29,1,0,1,0,0,318,24,2,1,0,0,0,0
PT_030118,Rendufe,1028,651,9,8,232,0,52,16,36,0,3,1,2,10,0,1,0,0,0,260,20,0,1,0,0,0,0
PT_030128,Torre e Portela,557,349,3,4,121,0,35,3,15,0,2,0,2,4,0,0,0,0,0,141,18,0,1,0,0,0,0
PT_030129,"Vilela, Seramil e Paredes Secas",515,343,1,12,96,0,26,6,16,0,2,2,0,1,0,2,1,0,1,146,30,1,0,0,0,0,0
PT_030201,Abade De Neiva,1821,1280,10,15,478,0,77,41,53,0,14,6,12,17,3,2,1,0,1,534,12,2,1,1,0,0,0
PT_030202,Aborim,741,477,5,8,207,0,51,18,7,0,3,4,5,4,0,0,1,0,0,158,5,0,1,0,0,0,0
PT_030203,Adães,661,482,1,4,203,0,25,22,17,0,2,2,7,9,1,0,1,0,0,180,5,1,1,1,0,0,0
PT_030205,Airó,901,664,10,9,258,0,32,17,11,0,4,2,2,5,0,2,0,0,1,298,11,0,1,1,0,0,0
PT_030206,Aldreu,714,441,3,8,188,0,27,8,10,0,7,1,2,1,0,1,0,0,0,181,3,1,0,0,0,0,0
PT_030290,Alheira e Igreja Nova,1460,826,5,10,230,0,39,12,27,0,3,1,5,7,0,1,1,0,0,475,10,0,0,0,0,0,0
PT_030208,Alvelos,1869,1321,14,14,566,0,58,34,35,0,4,4,12,13,1,4,2,0,0,546,11,2,1,0,0,0,0
PT_030291,Alvito (São Pedro e São Martinho) e Couto,1283,847,10,12,268,0,56,26,22,0,7,4,6,14,0,0,1,0,1,393,24,1,2,0,0,0,0
PT_030209,Arcozelo,11139,6934,54,102,3113,0,387,442,325,0,112,19,68,220,6,59,2,0,4,1912,90,6,6,7,0,0,0
PT_030210,Areias,918,624,2,6,207,0,51,22,22,0,16,5,6,7,0,0,1,0,1,264,8,4,2,0,0,0,0
PT_030292,Areias de Vilar e Encourados,1625,1032,12,12,382,0,46,28,22,0,10,5,5,20,1,1,1,0,0,453,30,1,3,0,0,0,0
PT_030212,Balugães,760,533,2,7,148,0,22,17,28,0,5,1,0,2,1,1,0,0,1,287,10,1,0,0,0,0,0
PT_030213,Barcelinhos,1643,1169,7,19,465,0,58,57,52,0,13,3,7,28,0,2,2,0,0,437,17,1,0,1,0,0,0
PT_030293,"Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro)",9976,6772,49,89,2719,0,316,366,310,0,86,21,71,210,6,21,5,0,6,2374,116,3,3,1,0,0,0
PT_030215,Barqueiros,1713,954,10,18,373,0,75,14,20,0,1,1,7,21,0,0,0,0,1,396,14,1,0,2,0,0,0
PT_030216,Cambeses,1200,789,3,8,425,0,35,16,31,0,3,2,5,24,3,0,0,0,0,223,4,3,4,0,0,0,0
PT_030294,Campo e Tamel (São Pedro Fins),1363,946,11,15,269,0,83,15,23,0,13,1,5,12,1,0,0,0,1,481,14,2,0,0,0,0,0
PT_030218,Carapeços,1955,1347,8,12,458,0,119,39,46,0,15,2,5,20,0,0,1,0,1,602,17,0,1,1,0,0,0
PT_030295,Carreira e Fonte Coberta,1809,1257,11,23,589,0,60,30,41,0,4,4,10,18,3,2,3,0,1,420,32,2,3,1,0,0,0
PT_030220,Carvalhal,1176,834,9,8,312,0,38,25,27,0,3,2,8,12,0,0,2,0,0,371,17,0,0,0,0,0,0
PT_030221,Carvalhas,669,431,2,3,180,0,24,11,6,0,2,4,1,3,0,1,0,0,0,186,7,0,0,1,0,0,0
PT_030296,"Chorente, Góios, Courel, Pedra Furada e Gueral",2284,1596,12,19,458,0,83,22,51,0,9,3,4,8,2,2,4,0,1,878,33,1,5,1,0,0,0
PT_030224,Cossourado,766,476,3,4,152,0,41,6,21,0,5,1,1,8,2,0,1,0,1,207,22,0,0,1,0,0,0
PT_030297,Creixomil e Mariz,1075,788,5,11,304,0,39,24,46,0,6,2,8,7,1,1,0,0,1,300,31,2,0,0,0,0,0
PT_030228,Cristelo,1639,954,3,15,258,0,66,18,22,0,5,4,3,10,2,0,0,0,2,517,26,1,2,0,0,0,0
PT_030298,Durrães e Tregosa,1257,824,8,23,303,0,51,20,17,0,12,2,5,13,1,1,1,0,0,349,15,1,2,0,0,0,0
PT_030234,Fornelos,716,461,2,6,164,0,29,5,13,0,4,2,0,1,0,0,1,0,0,206,27,1,0,0,0,0,0
PT_030235,Fragoso,1956,1188,12,20,481,0,82,28,26,0,5,6,6,12,0,1,0,0,2,493,10,3,1,0,0,0,0
PT_030268,Galegos (Santa Maria),2511,1807,14,20,578,0,110,60,109,0,26,12,16,21,3,3,0,0,2,798,29,2,4,0,0,0,0
PT_030272,Galegos (São Martinho),1718,1107,9,19,389,0,99,39,37,0,8,2,10,12,2,5,1,0,1,460,12,1,0,1,0,0,0
PT_030299,Gamil e Midões,1253,902,6,6,407,0,46,41,35,0,5,5,1,12,3,1,0,0,1,318,11,1,3,0,0,0,0
PT_030237,Gilmonde,1428,994,9,15,304,0,61,37,43,0,13,1,7,15,0,0,1,0,0,468,17,0,2,1,0,0,0
PT_030242,Lama,1136,777,7,9,229,0,77,21,26,0,7,4,3,10,0,1,0,0,1,363,19,0,0,0,0,0,0
PT_030243,Lijó,2165,1527,17,21,501,0,75,44,72,0,15,7,10,16,1,1,4,0,0,707,31,3,2,0,0,0,0
PT_030244,Macieira De Rates,1603,1123,9,12,222,0,58,24,30,0,9,7,6,8,0,2,1,0,1,675,55,2,1,1,0,0,0
PT_030245,Manhente,1649,1118,22,7,360,0,68,64,43,0,11,6,9,15,0,5,4,0,1,494,5,1,2,1,0,0,0
PT_030247,Martim,1993,1305,16,11,541,0,97,40,41,0,10,3,9,27,0,1,2,0,2,482,16,3,2,2,0,0,0
PT_0302FA,"Milhazes, Vilar de Figos e Faria",1858,1308,11,11,360,0,94,30,45,0,9,2,14,8,2,1,0,0,0,696,22,1,1,1,0,0,0
PT_030252,Moure,813,578,4,4,228,0,32,17,19,0,5,2,5,13,1,0,1,0,0,237,10,0,0,0,0,0,0
PT_0302FB,Negreiros e Chavão,2067,1431,16,5,285,0,113,29,54,0,4,6,6,5,1,0,1,0,0,891,14,0,1,0,0,0,0
PT_030254,Oliveira,939,603,9,10,160,0,48,18,20,0,4,1,5,6,0,1,0,0,0,313,6,1,1,0,0,0,0
PT_030255,Palme,934,557,6,6,187,0,23,8,13,0,2,2,0,2,0,0,0,0,0,293,14,0,0,1,0,0,0
PT_030256,Panque,610,368,2,2,102,0,29,2,7,0,2,0,0,5,1,0,0,0,0,198,18,0,0,0,0,0,0
PT_030257,Paradela,704,457,2,7,115,0,25,9,5,0,2,2,1,2,0,0,0,0,0,281,4,1,1,0,0,0,0
PT_030259,Pereira,1121,849,5,11,351,0,40,30,21,0,7,4,3,5,1,0,0,0,0,336,33,2,0,0,0,0,0
PT_030260,Perelhal,1556,989,16,17,349,0,64,34,35,0,7,5,3,8,2,0,0,0,2,429,14,2,2,0,0,0,0
PT_030261,Pousa,2003,1303,7,15,583,0,73,42,36,0,25,7,14,15,3,0,1,0,1,450,29,0,2,0,0,0,0
PT_0302FC,Quintiães e Aguiar,1008,687,3,7,197,0,68,20,19,0,7,1,2,6,1,0,0,0,1,339,15,0,1,0,0,0,0
PT_030263,Remelhe,1191,795,9,19,228,0,43,31,28,0,10,0,4,13,1,1,1,0,1,373,32,1,0,0,0,0,0
PT_030265,Rio Covo (Santa Eugénia),1390,951,7,18,377,0,59,35,53,0,11,5,9,17,0,2,1,0,0,347,8,0,1,1,0,0,0
PT_030264,Roriz,1889,1234,11,21,347,0,105,35,59,0,2,2,13,18,1,1,1,0,0,580,37,0,0,1,0,0,0
PT_0302FD,Sequeade e Bastuço (São João e Santo Estevão),1721,1116,12,12,489,0,85,29,26,0,17,6,5,20,2,2,1,0,1,386,21,1,1,0,0,0,0
PT_030279,Silva,812,616,3,5,274,0,39,19,13,0,7,5,5,7,1,0,0,0,0,230,7,1,0,0,0,0,0
PT_0302FE,Silveiros e Rio Covo (Santa Eulália),1826,1210,10,15,527,0,82,19,48,0,7,5,8,29,3,0,1,0,1,434,18,0,2,1,0,0,0
PT_0302FF,Tamel (Santa Leocádia) e Vilar do Monte,1195,853,8,7,311,0,47,39,32,0,8,7,5,15,0,0,2,0,1,355,12,1,3,0,0,0,0
PT_030277,Tamel (São Veríssimo),2694,1760,17,23,742,0,130,103,64,0,23,9,9,31,1,6,3,0,0,577,16,4,2,0,0,0,0
PT_030282,Ucha,1303,876,6,22,353,0,59,20,26,0,7,3,4,14,1,1,2,0,0,336,20,1,0,1,0,0,0
PT_030283,Várzea,1586,1052,13,3,491,0,64,27,52,0,15,4,6,7,1,4,1,0,0,353,10,1,0,0,0,0,0
PT_0302FG,"Viatodos, Grimancelos, Minhotães e Monte de Fralães",3419,2430,10,23,925,0,131,65,82,0,21,4,13,17,8,4,2,0,1,1074,45,2,1,2,0,0,0
PT_0302FH,Vila Cova e Feitos,2203,1367,16,24,450,0,98,31,58,0,8,6,9,21,2,2,4,0,3,596,39,0,0,0,0,0,0
PT_030287,Vila Seca,987,656,5,9,207,0,31,20,24,0,3,4,2,4,0,0,0,0,1,333,13,0,0,0,0,0,0
PT_030301,Adaúfe,3518,2045,18,28,1060,0,95,73,78,0,20,6,12,66,4,2,0,0,3,555,22,1,2,0,0,0,0
PT_030363,Arentim e Cunha,1344,999,6,33,458,0,89,24,43,0,10,7,6,22,4,1,1,0,1,273,19,1,0,1,0,0,0
PT_030364,"Braga (Maximinos, Sé e Cividade)",13107,7749,84,108,3116,0,458,489,414,0,167,18,118,424,14,12,9,0,7,2136,153,4,6,12,0,0,0
PT_030365,Braga (São José de São Lázaro e São João do Souto),12641,7540,52,88,2915,0,396,461,427,0,145,13,116,338,2,7,8,0,4,2388,162,9,2,7,0,0,0
PT_030349,Braga (São Vicente),11431,7135,61,102,2709,0,403,431,435,0,131,13,108,355,4,3,2,0,6,2212,101,5,4,50,0,0,0
PT_030351,Braga (São Vítor),25365,14666,130,169,5415,0,781,911,979,0,302,33,264,672,15,27,10,0,9,4705,209,11,6,18,0,0,0
PT_030366,Cabreiros e Passos (São Julião),1973,1393,10,12,574,0,76,34,55,0,20,6,6,50,1,1,2,0,1,493,45,4,3,0,0,0,0
PT_030367,"Celeirós, Aveleda e Vimieiro",6036,3946,37,58,1769,0,258,142,197,0,47,15,23,122,2,2,5,0,0,1204,52,4,6,3,0,0,0
PT_030368,Crespos e Pousada,1220,781,10,12,363,0,46,17,17,0,7,0,6,13,1,0,1,0,0,275,9,3,1,0,0,0,0
PT_030369,Escudeiros e Penso (Santo Estêvão e São Vicente),1701,1147,20,19,547,0,64,36,44,0,8,10,6,18,2,1,1,0,1,343,25,1,1,0,0,0,0
PT_030312,Espinho,1064,694,5,2,328,0,50,24,19,0,3,2,0,21,0,1,1,0,0,216,16,5,0,1,0,0,0
