gisco_id,name,registered,turnout,invalid,blank,PPD/PSD,PS,CDS-PP,B.E.,PND,CDU,PCTP/MRPP,E,PH,POUS,PDA
PT_040228,Paradinha Nova,245,104,4,3,37,43,13,1,2,0,0,0,1,0,0
PT_040229,Parâmio,371,165,3,0,40,97,4,1,1,13,5,0,1,0,0
PT_040230,Pinela,392,143,6,4,61,44,13,4,3,3,3,1,1,0,0
PT_040231,Pombares,83,30,0,0,22,6,0,1,0,0,1,0,0,0,0
PT_040232,Quintanilha,352,219,4,2,62,112,21,8,1,4,3,0,2,0,0
PT_040233,Quintela De Lampaças,363,184,8,5,56,88,15,5,1,2,1,2,1,0,0
PT_040234,Rabal,294,156,2,4,77,42,17,5,2,2,1,3,1,0,0
PT_040235,Rebordaínhos,276,148,1,0,70,57,14,2,2,2,0,0,0,0,0
PT_040236,Rebordãos,563,314,4,10,134,133,20,4,2,4,1,1,1,0,0
PT_040237,Rio Frio,343,214,4,2,99,88,9,6,2,2,1,1,0,0,0
PT_040238,Rio De Onor,148,95,1,0,48,41,1,0,0,4,0,0,0,0,0
PT_040239,Salsas,574,275,2,1,114,122,17,7,4,3,2,2,1,0,0
PT_040240,Samil,583,385,10,7,118,167,41,15,8,16,0,1,2,0,0
PT_040241,Santa Comba De Rossas,401,213,4,2,85,98,12,5,1,1,3,1,1,0,0
PT_040242,Bragança (Santa Maria),3072,1693,15,36,539,818,118,93,13,51,7,2,1,0,0
PT_040243,São Julião De Palácios,394,221,6,5,116,51,30,5,1,4,0,2,1,0,0
PT_040244,São Pedro De Sarracenos,365,175,0,3,55,74,13,8,5,13,3,1,0,0,0
PT_040245,Bragança (Sé),13190,7809,61,176,2378,3933,534,400,62,206,31,13,15,0,0
PT_040246,Sendas,295,166,6,1,97,45,9,3,0,3,0,2,0,0,0
PT_040247,Serapicos,352,165,3,2,88,40,25,2,2,2,1,0,0,0,0
PT_040248,Sortes,348,161,4,1,48,94,5,2,1,2,2,0,2,0,0
PT_040249,Zóio,269,143,2,1,62,55,19,2,1,0,0,0,1,0,0
PT_040301,Amedo,341,177,3,4,48,53,53,4,1,8,1,0,2,0,0
PT_040302,Beira Grande,213,118,4,2,75,24,10,0,1,0,1,0,1,0,0
PT_040303,Belver,327,193,5,4,100,65,14,0,3,1,1,0,0,0,0
PT_040304,Carrazeda De Ansiães,1330,828,12,20,301,380,62,27,5,17,3,1,0,0,0
PT_040305,Castanheiro,607,340,7,2,154,130,22,11,1,9,2,2,0,0,0
PT_040306,Fonte Longa,377,205,1,2,134,36,26,3,2,1,0,0,0,0,0
PT_040307,Lavandeira,289,140,0,1,74,40,16,0,1,5,3,0,0,0,0
PT_040308,Linhares,678,338,11,6,155,114,26,7,7,7,2,1,2,0,0
PT_040309,Marzagão,311,174,7,0,83,70,6,3,0,1,2,2,0,0,0
PT_040310,Mogo De Malta,142,81,0,0,43,31,3,1,2,1,0,0,0,0,0
PT_040311,Parambos,351,197,5,1,81,87,13,3,1,1,4,0,1,0,0
PT_040312,Pereiros,353,211,5,2,66,103,23,3,4,2,2,0,1,0,0
PT_040313,Pinhal Do Norte,371,218,0,3,113,58,29,5,1,4,2,0,3,0,0
PT_040314,Pombal,461,178,10,6,66,59,26,3,1,3,2,1,1,0,0
PT_040315,Ribalonga,163,93,0,0,38,40,6,3,1,3,1,1,0,0,0
PT_040316,Seixo De Ansiães,420,209,1,1,81,100,16,1,2,3,2,0,2,0,0
PT_040317,Selores,201,104,4,4,50,29,8,0,2,7,0,0,0,0,0
PT_040318,Vilarinho da Castanheira,666,312,9,2,143,95,38,5,2,12,3,1,2,0,0
PT_040319,Zedes,254,138,3,1,53,46,31,0,2,0,1,0,1,0,0
PT_040401,Fornos,284,179,4,2,76,69,11,7,0,5,5,0,0,0,0
PT_040402,Freixo De Espada à Cinta,1875,1131,10,13,380,639,46,13,4,18,5,2,1,0,0
PT_040403,Lagoaça,560,345,5,1,120,191,15,4,3,2,1,0,3,0,0
PT_040404,Ligares,511,288,1,2,129,114,8,7,3,18,2,1,3,0,0
PT_040405,Mazouco,265,167,3,6,100,40,4,4,5,2,2,0,1,0,0
PT_040406,Poiares,501,295,4,5,109,151,16,5,2,2,0,0,1,0,0
PT_040501,Ala,546,275,4,3,83,132,41,4,2,2,1,3,0,0,0
PT_040502,Amendoeira,473,271,4,9,92,91,56,7,4,3,2,2,1,0,0
PT_040503,Arcas,439,227,3,5,122,62,32,3,0,0,0,0,0,0,0
PT_040504,Bagueixe,237,137,1,2,47,66,9,1,0,7,0,2,2,0,0
PT_040505,Bornes,523,258,4,3,115,88,35,5,0,1,2,4,1,0,0
PT_040506,Burga,114,47,0,0,15,23,6,1,0,1,0,0,1,0,0
PT_040507,Carrapatas,258,156,2,10,72,47,13,7,0,4,0,0,1,0,0
PT_040508,Castelãos,429,258,4,3,124,47,66,5,0,8,0,0,1,0,0
PT_040509,Chacim,412,207,3,2,77,105,8,5,2,3,2,0,0,0,0
PT_040510,Cortiços,445,255,3,2,79,132,12,6,1,18,2,0,0,0,0
PT_040511,Corujas,247,145,0,0,42,49,48,0,4,1,0,0,1,0,0
PT_040512,Edroso,168,77,0,3,42,13,18,0,0,0,1,0,0,0,0
PT_040513,Espadanedo,221,113,4,1,35,41,27,1,3,0,0,1,0,0,0
PT_040514,Ferreira,321,160,3,1,42,42,69,1,1,1,0,0,0,0,0
PT_040515,Grijó De Vale Benfeito,474,277,4,4,115,110,30,10,1,0,2,1,0,0,0
PT_040516,Lagoa,452,252,0,9,120,68,42,4,5,1,1,2,0,0,0
PT_040517,Lamalonga,586,285,7,8,75,141,46,1,1,1,2,2,1,0,0
PT_040518,Lamas De Podence,335,181,5,0,112,22,40,0,0,1,1,0,0,0,0
PT_040519,Lombo,367,239,2,5,73,107,38,5,3,2,0,1,3,0,0
PT_040520,Macedo De Cavaleiros,4844,3015,44,61,1108,1221,373,95,26,65,15,3,4,0,0
PT_040521,Morais,722,336,7,5,131,138,34,5,6,4,2,3,1,0,0
PT_040522,Murçós,271,130,1,3,46,63,14,0,1,1,1,0,0,0,0
PT_040523,Olmos,283,147,4,2,58,55,19,2,0,6,0,1,0,0,0
PT_040524,Peredo,343,199,1,4,66,102,17,2,2,1,3,0,1,0,0
PT_040525,Podence,373,216,3,1,82,82,36,4,3,1,1,2,1,0,0
PT_040526,Salselas,549,273,9,6,105,107,27,6,0,3,6,1,3,0,0
PT_040527,Santa Combinha,88,52,0,0,6,26,20,0,0,0,0,0,0,0,0
PT_040528,Sezulfe,325,165,4,2,86,43,17,6,3,3,1,0,0,0,0
PT_040529,Soutelo Mourisco,135,57,1,0,25,19,2,5,0,3,2,0,0,0,0
PT_040530,Talhas,570,255,4,3,75,121,30,8,5,3,3,1,2,0,0
PT_040531,Talhinhas,296,158,2,1,47,90,6,3,5,2,0,0,2,0,0
PT_040532,Vale Benfeito,256,136,2,0,67,43,17,3,1,1,1,0,1,0,0
PT_040533,Vale Da Porca,394,213,3,1,74,97,28,1,1,4,3,0,1,0,0
PT_040534,Vale De Prados,337,184,2,4,32,98,35,1,0,7,2,1,2,0,0
PT_040535,Vilar Do Monte,185,96,1,1,32,48,9,0,0,5,0,0,0,0,0
PT_040536,Vilarinho De Agrochão,289,165,3,2,89,56,14,0,0,0,1,0,0,0,0
PT_040537,Vilarinho Do Monte,102,61,1,0,6,41,10,1,0,1,0,1,0,0,0
PT_040538,Vinhas,399,166,2,3,54,86,15,3,0,0,1,1,1,0,0
PT_040601,Atenor,214,109,3,0,52,50,3,1,0,0,0,0,0,0,0
PT_040602,Cicouro,139,68,1,0,32,23,10,0,1,0,1,0,0,0,0
PT_040603,Constantim,178,105,1,3,48,40,7,1,0,4,1,0,0,0,0
PT_040604,Duas Igrejas,768,428,10,4,182,169,53,2,2,1,2,1,2,0,0
PT_040605,Genísio,329,167,0,0,61,77,18,8,0,1,1,0,1,0,0
PT_040606,Ifanes,234,147,0,4,68,54,16,2,0,0,1,1,1,0,0
PT_040607,Malhadas,424,224,5,3,75,123,7,5,3,1,1,1,0,0,0
PT_040608,Miranda Do Douro,1633,1019,8,20,377,482,89,21,5,10,1,5,1,0,0
PT_040609,Palaçoulo,522,309,5,12,132,116,27,6,1,4,1,1,4,0,0
PT_040610,Paradela,186,122,3,3,54,48,8,2,0,2,1,0,1,0,0
PT_040611,Picote,355,220,12,3,39,138,18,6,0,0,1,1,2,0,0
PT_040612,Póvoa,279,162,6,8,71,49,15,7,1,2,0,2,1,0,0
PT_040613,São Martinho De Angueira,459,238,2,3,91,111,20,4,1,0,0,5,1,0,0
PT_040614,Sendim,1297,818,18,12,260,428,61,18,5,9,3,3,1,0,0
PT_040615,Silva,399,176,6,5,74,57,18,6,3,3,0,2,2,0,0
PT_040616,Vila Chã De Braciosa,454,240,4,3,111,90,19,7,0,4,0,2,0,0,0
PT_040617,Águas Vivas,282,124,1,1,71,31,11,2,0,2,3,2,0,0,0
PT_040701,Abambres,383,230,5,5,120,54,25,5,3,7,3,1,2,0,0
PT_040702,Abreiro,347,191,3,3,104,43,27,0,1,6,2,2,0,0,0
PT_040703,Aguieiras,479,211,5,0,127,39,36,1,0,2,0,0,1,0,0
PT_040704,Alvites,383,177,2,0,86,49,28,3,1,7,0,0,1,0,0
PT_040705,Avantos,182,98,1,1,46,38,7,0,0,5,0,0,0,0,0
PT_040706,Avidagos,350,198,2,2,105,54,22,5,3,1,2,1,1,0,0
PT_040707,Barcel,216,120,2,0,44,61,12,1,0,0,0,0,0,0,0
PT_040708,Bouça,430,220,3,1,116,58,36,1,0,2,2,1,0,0,0
PT_040709,Cabanelas,393,212,2,4,114,48,35,2,1,5,1,0,0,0,0
PT_040710,Caravelas,321,166,8,5,61,34,44,6,1,2,1,2,2,0,0
PT_040711,Carvalhais,1350,734,9,11,193,342,51,42,6,67,9,3,1,0,0
PT_040712,Cedães,601,278,2,1,107,113,34,4,3,7,5,0,2,0,0
PT_040713,Cobro,262,142,1,1,75,30,28,0,0,5,1,0,1,0,0
PT_040714,Fradizela,346,191,0,6,88,61,32,1,1,2,0,0,0,0,0
PT_040715,Franco,338,189,5,1,67,63,39,3,2,6,2,0,1,0,0
PT_040716,Frechas,1199,749,7,6,268,338,72,11,3,34,7,2,1,0,0
PT_040717,Freixeda,134,80,0,2,50,15,11,0,0,2,0,0,0,0,0
PT_040718,Lamas De Orelhão,525,304,5,3,191,34,63,3,3,1,0,0,1,0,0
PT_040719,Marmelos,215,107,2,0,53,23,23,0,4,2,0,0,0,0,0
PT_040720,Mascarenhas,744,425,4,7,178,148,61,11,2,9,4,0,1,0,0
PT_040721,Mirandela,8102,4996,50,88,1614,2080,664,161,41,249,33,6,10,0,0
PT_040722,Múrias,408,223,1,1,118,66,35,0,0,1,0,0,1,0,0
PT_040723,Navalho,107,82,2,1,43,25,3,1,0,2,2,1,2,0,0
PT_040724,Passos,562,315,2,0,145,95,53,6,3,5,3,2,1,0,0
PT_040725,Pereira,266,148,1,1,58,33,48,5,0,2,0,0,0,0,0
PT_040726,Romeu,339,198,2,6,105,54,22,4,2,3,0,0,0,0,0
PT_040727,São Pedro Velho,454,223,7,5,99,54,40,5,2,5,0,3,3,0,0
PT_040728,São Salvador,267,191,1,0,61,106,14,5,1,3,0,0,0,0,0
PT_040729,Sucçães,776,429,6,5,205,139,42,16,1,12,0,0,3,0,0
PT_040730,Torre de D. Chama,1334,755,20,6,172,179,359,10,5,2,1,0,1,0,0
PT_040731,Vale De Asnes,396,214,2,4,122,40,35,2,0,6,1,0,2,0,0
PT_040732,Vale De Gouvinhas,447,210,5,5,92,60,40,2,2,0,2,1,1,0,0
PT_040733,Vale De Salgueiro,504,341,5,1,177,91,44,4,2,13,3,1,0,0,0
PT_040734,Vale De Telhas,333,211,2,3,94,66,31,3,2,6,2,0,2,0,0
PT_040735,Valverde,205,90,1,2,42,28,7,6,3,0,0,0,1,0,0
PT_040736,Vila Boa,186,99,1,0,61,10,20,0,0,2,2,3,0,0,0
PT_040737,Vila Verde,114,79,1,0,51,17,4,4,0,1,0,1,0,0,0
PT_040801,Azinhoso,431,259,4,6,120,103,13,4,2,3,4,0,0,0,0
PT_040802,Bemposta,718,382,3,7,171,168,17,5,7,0,1,2,1,0,0
PT_040803,Bruçó,317,198,1,1,62,116,10,0,0,1,1,2,4,0,0
PT_040804,Brunhoso,298,147,5,0,91,33,12,2,1,2,0,0,1,0,0
PT_040805,Brunhozinho,182,95,1,1,50,35,5,0,0,3,0,0,0,0,0
PT_040806,Castanheira,120,85,2,0,56,22,1,1,2,0,0,0,1,0,0
PT_040807,Castelo Branco,688,403,4,4,129,222,27,6,3,7,1,0,0,0,0
PT_040808,Castro Vicente,482,264,1,5,179,49,23,4,2,0,0,1,0,0,0
PT_040809,Meirinhos,378,221,0,1,65,136,11,3,0,1,1,3,0,0,0
PT_040810,Mogadouro,2717,1534,28,30,689,603,111,28,18,18,2,1,6,0,0
PT_040811,Paradela,209,135,2,3,54,60,11,1,0,2,1,1,0,0,0
PT_040812,Penas Roias,538,285,2,3,144,114,8,6,1,3,2,1,1,0,0
PT_040813,Peredo Da Bemposta,302,199,1,2,104,73,14,3,1,1,0,0,0,0,0
PT_040814,Remondes,380,167,0,1,102,50,7,5,0,2,0,0,0,0,0
PT_040815,Saldanha,243,152,2,0,124,13,12,0,0,0,0,1,0,0,0
PT_040816,Sanhoane,186,111,0,5,34,55,9,3,2,2,0,1,0,0,0
PT_040817,São Martinho Do Peso,507,266,1,2,100,133,19,1,0,4,0,2,4,0,0
PT_040818,Soutelo,203,133,5,1,85,21,16,0,0,4,1,0,0,0,0
PT_040819,Tó,224,172,4,1,125,30,8,1,3,0,0,0,0,0,0
PT_040820,Travanca,254,154,1,2,77,60,7,0,1,2,3,1,0,0,0
PT_040821,Urrós,437,268,9,4,134,82,20,5,4,1,1,6,2,0,0
PT_040822,Vale Da Madre,204,120,0,2,49,47,10,6,1,2,2,1,0,0,0
PT_040823,Vale De Porco,167,95,1,5,38,38,7,2,1,1,1,1,0,0,0
PT_040824,Valverde,262,165,0,4,96,49,12,3,0,1,0,0,0,0,0
PT_040825,Ventozelo,255,126,3,4,49,46,20,0,1,3,0,0,0,0,0
PT_040826,Vila De Ala,361,236,2,2,175,20,25,5,2,1,2,1,1,0,0
PT_040827,Vilar De Rei,103,59,1,0,33,17,7,0,0,1,0,0,0,0,0
PT_040828,Vilarinho Dos Galegos,291,155,2,0,52,90,5,0,1,2,2,0,1,0,0
PT_040901,Açoreira,494,239,11,2,70,134,8,9,1,2,2,0,0,0,0
PT_040902,Adeganha,547,274,2,3,136,92,33,3,2,1,2,0,0,0,0
PT_040903,Cabeça Boa,448,262,2,3,126,86,38,2,0,2,0,0,3,0,0
PT_040904,Cardanha,333,193,1,2,71,83,18,8,2,2,1,3,2,0,0
PT_040905,Carviçais,998,541,14,2,210,257,34,8,4,5,4,2,1,0,0
PT_040906,Castedo,282,152,4,0,61,65,14,4,3,1,0,0,0,0,0
PT_040907,Felgar,972,573,9,8,175,300,38,14,3,19,6,1,0,0,0
PT_040908,Felgueiras,421,241,5,1,74,139,14,5,1,1,0,0,1,0,0
PT_040909,Horta Da Vilariça,458,232,9,3,98,81,23,4,2,8,3,1,0,0,0
PT_040910,Larinho,489,277,7,0,119,122,17,4,1,3,1,1,2,0,0
PT_040911,Lousa,559,250,4,4,121,72,24,5,1,14,1,3,1,0,0
PT_040912,Maçores,272,163,5,3,32,108,7,3,3,1,0,0,1,0,0
PT_040913,Mós,317,193,1,1,52,119,11,1,1,4,0,1,2,0,0
PT_040914,Peredo Dos Castelhanos,218,123,0,2,32,70,9,4,0,2,2,0,2,0,0
PT_040915,Souto Da Velha,200,116,1,1,46,60,5,1,0,2,0,0,0,0,0
PT_040916,Torre De Moncorvo,2631,1595,16,35,580,719,138,54,6,31,5,4,7,0,0
PT_040917,Urros,349,148,0,1,34,84,23,2,2,1,0,0,1,0,0
PT_041001,Assares,192,102,0,1,25,48,8,8,1,9,2,0,0,0,0
PT_041002,Benlhevai,236,148,4,6,52,63,10,7,1,4,0,0,1,0,0
PT_041003,Candoso,223,126,0,2,49,54,10,5,0,2,2,1,1,0,0
PT_041004,Carvalho De Egas,141,86,2,2,31,39,6,2,1,2,1,0,0,0,0
PT_041005,Freixiel,842,467,5,2,176,223,29,13,6,9,4,0,0,0,0
PT_041006,Lodões,153,77,1,0,23,49,3,0,0,0,0,0,1,0,0
PT_041007,Mourão,176,120,1,3,61,40,7,1,1,5,0,0,1,0,0
PT_041008,Nabo,269,155,0,1,68,75,6,2,2,1,0,0,0,0,0
PT_041009,Roios,216,135,4,5,51,43,20,2,0,6,1,1,2,0,0
PT_041010,Samões,371,209,5,0,74,88,33,5,1,1,0,0,2,0,0
PT_041011,Sampaio,216,107,0,0,59,32,12,2,1,1,0,0,0,0,0
PT_041012,Santa Comba De Vilariça,463,274,5,2,81,152,14,10,0,6,4,0,0,0,0
PT_041013,Seixo De Manhoses,581,371,5,1,162,106,69,8,5,11,1,1,2,0,0
PT_041014,Trindade,171,122,1,1,65,21,28,1,3,1,0,0,1,0,0
PT_041015,Vale Frechoso,241,158,1,0,64,81,3,4,2,2,0,1,0,0,0
PT_041016,Valtorno,392,189,0,3,104,52,19,3,3,2,2,1,0,0,0
PT_041017,Vila Flor,1913,1192,19,11,379,614,74,30,7,43,9,3,3,0,0
PT_041018,Vilarinho Das Azenhas,194,97,3,0,37,45,7,1,0,1,3,0,0,0,0
PT_041019,Vilas Boas,754,431,8,5,185,169,35,6,3,12,6,2,0,0,0
PT_041101,Algoso,386,209,6,2,145,34,12,1,0,1,1,6,1,0,0
PT_041102,Angueira,261,116,3,2,24,63,11,3,1,6,2,1,0,0,0
PT_041103,Argozelo,986,459,11,5,190,232,10,3,1,3,0,2,2,0,0
PT_041104,Avelanoso,262,110,3,0,33,66,1,3,1,1,1,0,1,0,0
PT_041105,Caçarelhos,326,188,8,0,101,61,14,1,0,1,0,2,0,0,0
PT_041106,Campo De Víboras,312,144,4,0,92,40,5,0,2,0,1,0,0,0,0
PT_041107,Carção,604,291,8,4,139,121,13,2,3,1,0,0,0,0,0
PT_041108,Matela,399,192,2,1,109,52,17,3,3,2,2,1,0,0,0
PT_041109,Pinelo,323,159,4,2,86,54,5,5,0,2,1,0,0,0,0
PT_041110,Santulhão,657,292,7,4,163,90,6,10,0,5,3,3,1,0,0
PT_041111,Uva,254,111,1,1,48,53,3,2,2,1,0,0,0,0,0
PT_041112,Vale De Frades,375,179,1,0,103,56,11,2,1,0,1,4,0,0,0
PT_041113,Vilar Seco,235,118,2,1,51,52,9,1,2,0,0,0,0,0,0
PT_041114,Vimioso,1049,621,12,6,242,306,21,17,3,12,1,1,0,0,0
PT_041201,Agrochão,383,166,3,3,73,62,11,5,2,3,3,0,1,0,0
PT_041202,Alvaredos,119,80,0,1,67,4,7,0,0,1,0,0,0,0,0
PT_041203,Candedo,476,246,5,3,89,105,22,3,1,11,1,3,3,0,0
PT_041204,Celas,447,151,0,2,62,53,20,7,2,3,1,1,0,0,0
PT_041205,Curopos,398,146,0,2,66,61,14,1,0,1,0,0,1,0,0
PT_041206,Edral,297,123,2,1,37,72,7,1,0,1,1,0,1,0,0
PT_041207,Edrosa,225,126,2,0,52,58,12,0,0,0,1,1,0,0,0
PT_041208,Ervedosa,593,310,0,2,120,150,25,7,3,0,1,0,2,0,0
PT_041209,Fresulfe,116,60,0,1,25,32,0,0,1,0,1,0,0,0,0
PT_041210,Mofreita,75,41,0,1,11,28,0,0,0,1,0,0,0,0,0
PT_041211,Moimenta,191,116,1,3,33,67,7,2,2,0,1,0,0,0,0
PT_041212,Montouto,186,66,0,0,14,48,2,1,0,1,0,0,0,0,0
PT_041213,Nunes,202,136,1,3,39,73,13,2,1,2,1,1,0,0,0
PT_041214,Ousilhão,201,73,1,3,29,26,7,0,1,5,0,1,0,0,0
PT_041215,Paçó,282,122,1,4,53,39,19,1,3,1,0,1,0,0,0
PT_041216,Penhas Juntas,353,127,2,1,81,18,23,2,0,0,0,0,0,0,0
PT_041217,Pinheiro Novo,144,78,1,0,18,53,2,0,0,0,3,1,0,0,0
PT_041218,Quirás,311,124,2,2,38,67,6,5,1,0,2,0,1,0,0
PT_041219,Rebordelo,757,406,2,2,173,202,15,8,1,1,1,0,1,0,0
PT_041220,Santa Cruz,86,54,0,0,27,15,8,1,2,0,0,0,1,0,0
PT_041221,Santalha,418,202,4,1,105,76,10,4,1,0,0,1,0,0,0
PT_041222,São Jomil,89,36,0,0,8,19,6,1,0,1,0,0,1,0,0
PT_041223,Sobreiro De Baixo,406,196,1,2,71,91,20,4,0,2,3,0,2,0,0
PT_041224,Soeira,148,82,0,3,25,44,4,1,3,1,1,0,0,0,0
PT_041225,Travanca,122,81,0,3,12,59,2,1,2,1,0,0,1,0,0
PT_041226,Tuizelo,543,219,1,3,114,68,21,7,0,0,0,3,2,0,0
PT_041227,Vale Das Fontes,509,293,0,2,145,120,17,2,1,4,2,0,0,0,0
PT_041228,Vale De Janeiro,198,103,3,3,36,51,5,1,0,1,1,1,1,0,0
PT_041229,Vila Boa De Ousilhão,230,103,3,4,19,50,13,5,3,4,1,1,0,0,0
PT_041230,Vila Verde,255,115,4,2,44,46,8,3,0,5,1,2,0,0,0
PT_041231,Vilar De Lomba,267,99,5,4,30,50,3,1,1,1,1,1,2,0,0
PT_041232,Vilar De Ossos,353,178,3,1,61,83,16,8,1,3,0,1,1,0,0
PT_041233,Vilar De Peregrinos,249,103,1,0,48,33,13,3,3,2,0,0,0,0,0
PT_041234,Vilar Seco De Lomba,371,179,2,1,65,91,14,5,0,1,0,0,0,0,0
PT_041235,Vinhais,2108,1246,17,15,384,665,80,48,6,15,5,5,6,0,0
PT_050101,Belmonte,2330,1596,22,15,338,967,50,78,4,104,10,3,5,0,0
PT_050102,Caria,1888,1140,8,8,231,763,36,40,4,32,9,4,5,0,0
PT_050103,Colmeal Da Torre,747,516,13,12,128,305,20,12,7,13,3,3,0,0,0
PT_050104,Inguias,703,462,7,4,81,316,20,9,4,13,6,1,1,0,0
PT_050105,Maçainhas,362,253,2,8,45,179,5,7,0,6,1,0,0,0,0
PT_050201,Alcains,4123,2675,25,47,466,1797,84,147,8,84,9,2,6,0,0
PT_050202,Almaceda,1063,572,6,9,164,319,24,16,0,24,8,0,2,0,0
PT_050203,Benquerenças,711,501,2,5,89,329,19,29,7,16,4,1,0,0,0
PT_050204,Cafede,283,199,2,3,32,133,6,10,0,9,3,1,0,0,0
PT_050205,Castelo Branco,24491,16704,175,307,4211,9266,955,964,77,578,101,34,36,0,0
PT_050206,Cebolais De Cima,1264,910,10,21,145,534,58,55,3,72,10,0,2,0,0
PT_050207,Escalos De Baixo,829,581,6,1,56,466,8,26,3,6,2,5,2,0,0
PT_050208,Escalos De Cima,1109,739,7,7,114,546,15,26,5,11,6,1,1,0,0
PT_050209,Freixial Do Campo,522,367,4,4,64,258,2,17,3,9,4,2,0,0,0
PT_050210,Juncal Do Campo,534,368,9,6,72,229,10,17,1,13,7,3,1,0,0
PT_050211,Lardosa,938,583,7,8,119,361,26,18,12,28,1,2,1,0,0
PT_050212,Louriçal Do Campo,783,456,9,5,155,225,22,10,0,25,3,0,2,0,0
PT_050213,Lousa,756,505,12,9,77,345,19,21,1,9,10,2,0,0,0
PT_050214,Malpica Do Tejo,776,483,8,4,57,344,11,9,0,39,7,1,3,0,0
PT_050215,Mata,588,366,6,2,66,237,13,21,2,10,3,2,4,0,0
PT_050216,Monforte Da Beira,542,319,2,2,69,226,6,4,0,7,3,0,0,0,0
PT_050217,Ninho Do Açor,535,353,6,5,57,245,15,10,3,6,4,1,1,0,0
PT_050218,Póvoa De Rio De Moinhos,671,442,9,10,103,257,26,14,2,6,9,2,4,0,0
PT_050219,Retaxo,919,661,2,11,102,438,30,32,2,32,11,0,1,0,0
PT_050220,Salgueiro Do Campo,970,684,8,12,172,390,39,25,3,23,9,2,1,0,0
PT_050221,Santo André Das Tojeiras,1238,827,23,17,298,423,39,7,4,9,3,3,1,0,0
PT_050222,São Vicente Da Beira,1653,1043,13,8,323,576,48,36,5,20,7,1,6,0,0
PT_050223,Sarzedas,2061,1212,29,13,468,594,55,15,6,21,4,4,3,0,0
PT_050224,Sobral Do Campo,529,355,4,8,81,213,18,15,5,5,5,0,1,0,0
PT_050225,Tinalhas,692,475,6,7,108,291,20,17,3,15,6,2,0,0,0
PT_050301,Vila Do Carvalho,1932,1317,13,6,99,991,32,52,5,101,12,3,3,0,0
PT_050302,Aldeia De São Francisco De Assis,713,418,3,2,92,243,7,13,1,50,6,1,0,0,0
PT_050303,Aldeia Do Souto,319,209,4,3,19,157,6,11,1,2,2,3,1,0,0
PT_050304,Barco,750,425,4,2,121,258,16,12,0,10,0,1,1,0,0
PT_050305,Boidobra,1951,1410,12,18,158,966,42,70,3,124,14,2,1,0,0
PT_050306,Casegas,748,403,6,0,118,223,20,6,4,23,2,0,1,0,0
PT_050307,Covilhã (Conceição),7066,5056,29,58,903,3278,226,205,14,300,31,5,7,0,0
PT_050308,Cortes Do Meio,882,546,7,6,102,332,31,19,1,43,0,0,5,0,0
PT_050309,Dominguizo,1005,710,7,13,220,380,19,39,1,22,3,3,3,0,0
PT_050310,Erada,924,655,10,6,93,461,28,26,6,19,4,1,1,0,0
PT_050311,Ferro,1517,929,22,7,148,628,46,24,8,31,12,2,1,0,0
PT_050312,Orjais,800,612,9,6,104,415,29,25,3,14,6,0,1,0,0
PT_050313,Ourondo,489,267,4,3,99,117,9,9,5,15,5,0,1,0,0
PT_050314,Paul,1556,1015,15,25,225,578,60,46,5,52,4,1,4,0,0
PT_050315,Peraboa,993,621,7,8,159,359,37,13,7,21,6,1,3,0,0
PT_050316,Peso,747,468,5,10,126,275,21,13,0,15,1,1,1,0,0
PT_050317,Covilhã (Santa Maria),2514,1599,13,11,338,981,63,81,4,100,7,1,0,0,0
PT_050318,São Jorge Da Beira,1011,524,6,3,128,326,18,8,2,22,5,4,2,0,0
PT_050319,Covilhã (São Martinho),4229,2956,28,40,440,2042,85,135,11,157,12,3,3,0,0
PT_050320,Covilhã (São Pedro),2252,1555,15,15,397,917,79,50,10,64,6,1,1,0,0
PT_050321,Sarzedo,250,159,4,0,15,131,6,2,0,1,0,0,0,0,0
PT_050322,Sobral De São Miguel,665,382,8,1,112,201,31,13,4,8,2,1,1,0,0
PT_050323,Teixoso,3810,2598,27,25,368,1881,45,109,10,104,19,4,6,0,0
PT_050324,Tortosendo,4502,3311,23,37,510,1795,126,155,11,594,46,5,9,0,0
PT_050325,Unhais Da Serra,1329,940,6,11,111,650,32,45,6,61,14,3,1,0,0
PT_050326,Vale Formoso,509,278,2,8,76,157,18,5,2,3,5,1,1,0,0
PT_050327,Verdelhos,793,401,13,3,66,286,3,11,3,14,1,1,0,0,0
PT_050328,Vales Do Rio,762,552,3,9,128,343,21,15,2,25,2,1,3,0,0
PT_050329,Coutada,593,307,3,4,59,204,7,14,1,10,3,2,0,0,0
PT_050330,Cantar-Galo,2506,1654,12,8,129,1256,28,72,5,130,13,1,0,0,0
PT_050331,Canhoso,1441,1075,8,16,130,771,20,53,2,63,9,1,2,0,0
PT_050401,Alcaide,692,473,3,3,110,299,9,18,4,19,6,1,1,0,0
PT_050402,Alcaria,1076,733,14,14,207,397,29,43,2,18,9,0,0,0,0
PT_050403,Alcongosta,569,410,9,9,94,253,16,14,0,12,3,0,0,0,0
PT_050404,Aldeia De Joanes,766,567,4,13,115,331,22,40,3,32,3,3,1,0,0
PT_050405,Aldeia Nova Do Cabo,667,458,5,7,63,302,20,21,1,35,3,1,0,0,0
PT_050406,Alpedrinha,1023,668,5,4,195,395,31,21,1,10,2,3,1,0,0
