gisco_id,name,registered,turnout,invalid,blank,PS,PPD/PSD-CDS-PP,MPT,CDU,B.E.,L,PCTP/MRPP,PPV/CDC,PAN,PND,PPM,PTP,MAS,PDA,E,POUS
PT_180720,Vilar,477,105,3,2,35,52,3,1,1,0,0,0,1,2,3,1,0,0,0,1
PT_180802,Cercosa,383,110,1,11,50,35,4,1,1,0,2,0,3,0,1,1,0,0,0,0
PT_180804,Espinho,1243,232,3,8,78,114,6,4,9,2,0,2,0,0,2,0,1,0,3,0
PT_180805,Marmeleira,521,162,3,11,79,37,9,8,3,1,1,1,0,4,1,2,2,0,0,0
PT_180811,"Mortágua, Vale Remígio, Cortegaça e Almaça",3825,1159,31,123,383,384,63,73,32,25,11,3,11,6,4,4,4,2,0,0
PT_180807,Pala,1027,251,6,10,55,123,27,9,6,6,2,0,0,4,0,1,1,0,0,1
PT_180808,Sobral,2425,582,14,55,146,270,33,16,11,9,2,1,7,7,3,1,2,3,1,1
PT_180809,Trezói,423,110,4,6,41,47,4,2,0,1,1,1,1,0,0,2,0,0,0,0
PT_180901,Canas De Senhorim,3254,967,30,52,292,288,91,93,50,20,18,1,10,5,6,9,1,0,0,1
PT_180910,Carvalhal Redondo e Aguieira,1559,498,15,28,189,186,25,12,15,5,10,0,2,4,3,1,1,1,0,1
PT_180908,Lapa Do Lobo,776,246,8,5,90,92,22,12,6,2,1,0,0,3,2,0,2,0,1,0
PT_180903,Nelas,4261,1213,45,89,386,381,124,50,58,8,12,6,11,13,8,8,5,1,7,1
PT_180911,Santar e Moreira,1749,467,22,18,183,150,32,25,7,0,11,0,7,3,2,2,1,1,2,1
PT_180905,Senhorim,1333,264,7,10,64,113,25,10,15,2,5,2,3,2,1,2,1,1,0,1
PT_180906,Vilar Seco,752,245,1,8,64,116,20,10,7,3,4,1,4,5,1,0,0,0,1,0
PT_181013,Arca e Varzielas,695,245,4,14,24,152,17,9,10,2,5,0,2,3,3,0,0,0,0,0
PT_181002,Arcozelo Das Maias,1369,417,16,28,87,189,32,21,16,4,6,1,3,6,1,4,1,0,2,0
PT_181014,Destriz e Reigoso,659,209,9,10,60,86,13,12,4,3,2,2,0,4,2,0,1,0,1,0
PT_181015,"Oliveira de Frades, Souto de Lafões e Sejães",3289,1098,61,70,258,424,94,67,47,18,8,4,18,9,6,8,1,0,4,1
PT_181005,Pinheiro,1153,444,15,20,96,220,24,35,14,4,4,1,4,2,2,2,0,0,1,0
PT_181007,Ribeiradio,940,330,13,24,105,133,23,10,4,1,3,0,3,5,4,2,0,0,0,0
PT_181008,São João Da Serra,534,179,2,16,49,86,8,3,1,1,3,1,2,3,1,1,0,0,1,1
PT_181009,São Vicente De Lafões,699,261,7,10,62,128,20,11,6,1,1,0,2,1,2,6,3,0,1,0
PT_181114,Antas e Matela,514,202,3,4,56,104,21,2,3,1,2,0,2,2,1,1,0,0,0,0
PT_181102,Castelo De Penalva,1012,281,9,9,74,135,15,17,2,2,3,0,3,3,3,2,2,2,0,0
PT_181103,Esmolfe,526,187,11,11,60,77,10,5,1,1,5,1,3,1,1,0,0,0,0,0
PT_181104,Germil,418,150,5,6,69,44,11,9,3,1,0,0,0,1,1,0,0,0,0,0
PT_181105,Ínsua,2066,750,32,31,313,213,61,47,17,6,6,1,7,4,6,2,3,0,1,0
PT_181106,Lusinde,258,100,2,1,35,43,3,6,6,2,1,0,0,0,0,0,0,1,0,0
PT_181109,Pindo,1941,508,18,18,173,222,23,24,4,8,7,2,3,2,1,3,0,0,0,0
PT_181110,Real,283,98,3,6,19,34,3,17,4,0,6,0,1,2,0,2,0,1,0,0
PT_181111,Sezures,943,223,4,5,106,91,4,4,4,1,0,0,0,3,0,0,0,0,0,1
PT_181112,Trancozelos,299,91,5,3,44,18,6,2,0,2,3,0,3,0,2,2,0,0,1,0
PT_181115,Vila Cova do Covelo e Mareco,410,171,3,1,47,95,6,7,1,1,1,1,1,5,1,0,1,0,0,0
PT_181210,Antas e Ourozinho,515,126,5,13,49,35,7,6,4,0,2,0,2,1,0,1,0,0,0,1
PT_181202,Beselga,410,98,3,3,21,44,8,1,1,3,0,2,2,6,1,1,0,0,0,2
PT_181203,Castainço,194,78,2,2,32,22,7,1,5,1,3,0,1,1,0,0,0,0,1,0
PT_181211,Penedono e Granja,1286,319,13,14,103,106,24,23,8,7,5,0,6,4,1,2,2,0,0,1
PT_181207,Penela Da Beira,413,136,9,3,32,61,12,4,7,0,1,1,2,0,0,3,0,0,0,1
PT_181208,Póvoa De Penela,383,93,7,3,40,26,4,3,2,2,1,0,1,1,0,1,0,0,1,1
PT_181209,Souto,321,135,5,4,18,82,4,3,5,1,1,1,2,3,1,1,0,1,3,0
PT_181316,Anreade e São Romão de Aregos,1272,555,11,23,284,171,36,7,9,3,2,0,2,3,1,1,1,0,0,1
PT_181302,Barrô,925,198,4,8,75,83,6,6,3,1,6,0,0,3,1,0,0,1,0,1
PT_181303,Cárquere,774,267,7,11,126,84,6,11,4,4,6,1,1,4,0,1,0,0,1,0
PT_181317,Felgueiras e Feirão,371,214,5,3,117,64,11,4,4,1,1,0,0,0,3,1,0,0,0,0
PT_181318,Freigil e Miomães,666,297,7,2,183,62,12,9,8,1,3,0,1,0,6,2,1,0,0,0
PT_181319,Ovadas e Panchorra,390,181,2,3,84,77,3,6,1,0,1,1,0,1,0,2,0,0,0,0
PT_181310,Paus,531,168,3,4,107,44,3,0,5,0,0,0,0,0,0,0,2,0,0,0
PT_181311,Resende,2824,905,25,24,452,242,72,34,16,10,6,0,8,5,4,2,3,0,1,1
PT_181312,São Cipriano,699,262,2,8,102,127,7,4,2,1,3,0,1,1,0,1,1,0,2,0
PT_181313,São João De Fontoura,838,180,1,2,90,54,2,9,5,1,3,0,0,7,2,1,1,1,1,0
PT_181314,São Martinho De Mouros,1850,330,11,7,120,149,17,7,3,4,3,0,0,1,2,3,2,1,0,0
PT_181410,Ovoa e Vimieiro,1682,527,15,19,177,242,22,11,5,8,5,2,5,5,4,2,2,0,3,0
PT_181403,Pinheiro De Ázere,897,306,9,17,126,102,21,12,7,2,3,1,1,2,0,0,0,1,2,0
PT_181411,Santa Comba Dão e Couto do Mosteiro,4321,1239,36,107,407,449,89,37,32,21,11,5,18,5,6,8,3,1,4,0
PT_181405,São Joaninho,1097,346,11,15,86,183,18,11,5,3,2,0,1,4,3,0,4,0,0,0
PT_181406,São João De Areias,2036,524,16,20,167,227,19,27,10,8,9,1,2,7,4,4,1,0,1,1
PT_181412,Treixedo e Nagozela,1375,437,8,20,149,184,25,19,10,2,1,0,3,7,1,3,0,1,3,1
PT_181501,Castanheiro Do Sul,430,165,1,11,59,81,2,2,0,0,2,0,0,4,0,1,2,0,0,0
PT_181502,Ervedosa Do Douro,1230,284,6,3,108,86,39,13,6,5,5,0,6,1,1,1,1,1,1,1
PT_181504,Nagozelo Do Douro,398,150,9,5,50,42,16,10,6,3,1,0,5,0,2,0,0,0,1,0
PT_181505,Paredes Da Beira,639,176,8,4,33,91,20,8,3,0,1,0,2,2,0,1,0,1,2,0
PT_181507,Riodades,537,119,2,4,60,40,2,4,1,0,0,1,1,1,1,0,1,0,0,1
PT_181515,São João da Pesqueira e Várzea de Trevões,1980,606,10,19,168,213,59,47,25,7,18,1,6,5,4,3,5,1,14,1
PT_181509,Soutelo Do Douro,431,201,6,3,84,78,7,6,4,0,4,0,3,3,0,1,0,1,0,1
PT_181516,Trevões e Espinhosa,666,192,9,10,59,73,15,7,3,2,4,1,2,4,0,2,0,0,0,1
PT_181511,Vale De Figueira,506,96,3,2,27,43,5,4,2,1,2,0,2,0,1,2,0,0,0,2
PT_181512,Valongo Dos Azeites,244,68,3,4,16,26,7,4,3,1,2,0,0,1,0,0,0,0,0,1
PT_181517,Vilarouco e Pereiros,469,155,3,7,45,76,4,3,4,1,3,0,1,3,2,0,1,0,2,0
PT_181602,Bordonhos,473,224,9,10,89,76,13,7,5,4,4,1,0,3,1,1,0,0,1,0
PT_181620,Carvalhais e Candal,1592,525,17,33,174,208,31,11,17,3,9,1,1,8,1,8,2,1,0,0
PT_181606,Figueiredo De Alva,976,266,13,16,91,93,17,7,10,2,5,1,0,5,2,3,1,0,0,0
PT_181607,Manhouce,764,183,4,7,99,44,3,10,11,2,1,0,0,0,0,0,1,0,1,0
PT_181608,Pindelo Dos Milagres,862,256,10,4,92,93,21,5,14,2,2,1,2,7,1,0,0,0,1,1
PT_181609,Pinho,841,325,12,21,95,142,19,9,8,1,4,3,2,2,1,4,0,2,0,0
PT_181621,Santa Cruz da Trapa e São Cristóvão de Lafões,1526,479,11,32,165,187,24,13,18,6,2,2,3,7,0,2,3,2,1,1
PT_181612,São Félix,399,124,3,4,50,43,6,6,7,1,1,0,1,1,0,1,0,0,0,0
PT_181622,São Martinho das Moitas e Covas do Rio,362,125,6,1,64,40,5,5,0,0,1,0,0,1,1,0,1,0,0,0
PT_181623,"São Pedro do Sul, Várzea e Baiões",5324,1824,60,105,645,505,160,128,80,43,26,5,15,16,10,9,7,1,8,1
PT_181615,Serrazes,1027,312,10,10,131,100,19,13,6,1,5,0,4,6,1,3,2,0,1,0
PT_181616,Sul,1108,313,4,12,137,126,4,10,8,5,1,0,1,2,1,0,2,0,0,0
PT_181617,Valadares,873,326,8,13,88,148,19,18,14,1,1,1,6,2,1,0,3,0,2,1
PT_181619,Vila Maior,983,363,14,11,110,155,15,23,10,4,5,0,3,5,3,2,2,0,1,0
PT_181713,Águas Boas e Forles,297,160,7,3,48,71,9,2,2,2,2,0,1,8,2,1,1,1,0,0
PT_181702,Avelal,441,158,1,1,25,108,9,2,1,1,0,8,2,0,0,0,0,0,0,0
PT_181704,Ferreira De Aves,2908,652,26,8,155,366,43,6,4,6,6,4,5,10,3,1,2,6,0,1
PT_181706,Mioma,1258,237,4,11,69,117,19,2,4,4,0,0,3,2,2,0,0,0,0,0
PT_181707,Rio De Moinhos,1130,398,10,7,154,176,27,7,1,1,9,1,1,2,0,0,1,0,1,0
PT_181714,"Romãs, Decermilo e Vila Longa",1770,396,21,12,121,178,26,15,7,4,3,0,0,2,0,4,0,1,0,2
PT_181709,São Miguel De Vila Boa,1424,413,17,11,104,220,23,10,6,5,5,0,1,6,3,1,1,0,0,0
PT_181710,Sátão,4048,1032,47,53,260,421,108,43,33,22,9,3,12,9,5,1,3,0,2,1
PT_181711,Silvã De Cima,576,198,8,16,39,117,3,4,1,2,1,0,1,3,2,0,1,0,0,0
PT_181801,Arnas,307,90,1,2,39,38,1,0,1,0,1,0,0,2,2,1,1,0,0,1
PT_181802,Carregal,611,181,2,2,24,139,3,2,2,0,0,0,0,1,2,0,1,1,1,1
PT_181803,Chosendo,382,127,0,5,29,75,5,5,2,0,1,0,0,3,1,0,0,0,0,1
PT_181804,Cunha,402,125,1,0,22,88,2,2,2,1,0,2,0,4,0,0,0,0,1,0
PT_181806,Faia,175,73,1,2,31,30,5,1,1,1,0,0,0,0,0,1,0,0,0,0
PT_181818,Ferreirim  e Macieira,686,264,4,10,65,151,6,7,7,0,2,2,3,5,1,0,0,0,1,0
PT_181819,Fonte Arcada e Escurquela,449,171,5,5,53,95,2,3,1,1,1,1,2,1,0,0,0,0,1,0
PT_181810,Granjal,320,131,0,0,48,74,2,2,0,0,0,1,0,1,2,0,0,1,0,0
PT_181811,Lamosa,200,106,3,4,34,45,6,0,1,2,4,0,1,3,1,1,1,0,0,0
PT_181820,Penso e Freixinho,418,137,3,1,34,77,10,4,1,1,1,1,3,0,1,0,0,0,0,0
PT_181814,Quintela,341,135,5,5,28,80,8,1,0,1,0,2,1,0,1,2,0,0,1,0
PT_181821,Sernancelhe e Sarzeda,1713,685,16,20,188,364,39,14,13,6,2,3,5,6,1,4,1,0,0,3
PT_181817,Vila Da Ponte,509,167,6,7,36,96,14,1,1,1,1,2,0,1,1,0,0,0,0,0
PT_181901,Adorigo,350,101,4,5,37,44,4,1,0,0,2,0,0,2,0,1,1,0,0,0
PT_181902,Arcos,241,67,2,1,34,21,5,0,2,0,1,0,0,0,0,1,0,0,0,0
PT_181918,Barcos e Santa Leocádia,662,246,6,9,68,115,5,14,5,2,6,1,0,6,3,3,2,0,0,1
