gisco_id,registered,turnout,invalid,blank,PPD/PSD-CDS-PP-PPM,PS,CH,B.E.,IL,ADN,L,CDU,R.I.R.,E,JPP,MPT,PAN,PPD/PSD-CDS-PP,PCTP/MRPP,NC,PPM,PND,Volt,PLS,PTP
PT_030203,675,499,6,9,0,106,106,13,30,7,16,9,1,0,0,0,1,191,0,0,1,2,1,0,0
PT_030205,865,627,13,9,0,108,142,1,24,12,21,5,2,2,2,0,5,280,0,0,0,1,0,0,0
PT_030206,716,464,5,8,0,98,127,5,22,5,7,2,0,0,0,0,1,182,0,0,0,1,1,0,0
PT_030290,1456,878,4,11,0,87,207,6,49,10,13,5,1,0,0,0,6,477,0,0,0,1,1,0,0
PT_030208,1850,1422,20,25,0,333,278,16,54,13,33,12,3,0,1,0,5,626,0,0,1,2,0,0,0
PT_030291,1301,910,6,24,0,131,215,10,48,13,21,7,4,1,1,0,8,416,0,0,2,2,1,0,0
PT_030209,10935,7584,79,150,0,1956,1868,258,511,63,313,230,15,9,8,0,81,2020,0,0,2,12,9,0,0
PT_030210,921,689,9,16,0,92,197,13,38,8,15,4,0,1,0,0,8,286,0,0,1,1,0,0,0
PT_030292,1637,1127,14,15,0,210,237,13,59,23,20,19,3,0,0,0,6,505,0,0,0,1,2,0,0
PT_030212,750,541,5,8,0,69,115,6,23,6,8,6,1,0,2,0,1,291,0,0,0,0,0,0,0
PT_030213,1717,1309,15,37,0,278,210,23,122,4,62,18,3,0,2,0,10,521,0,0,2,0,2,0,0
PT_030293,10279,7399,86,134,0,1724,1318,226,614,59,329,168,16,16,6,0,78,2589,0,0,5,12,19,0,0
PT_030215,1760,1132,11,26,0,278,303,12,31,10,18,10,4,0,0,0,1,422,0,0,2,2,2,0,0
PT_030216,1205,850,9,18,0,274,187,10,44,4,17,15,0,2,2,0,8,258,0,0,0,2,0,0,0
PT_030294,1354,998,13,24,0,162,202,13,55,14,21,11,3,1,1,0,9,459,0,0,0,6,4,0,0
PT_030218,1957,1475,13,26,0,206,430,17,82,14,38,16,1,1,0,0,4,620,0,0,2,4,1,0,0
PT_030295,1870,1353,23,29,0,276,332,19,66,9,36,15,5,0,1,0,14,521,0,0,2,3,2,0,0
PT_030220,1178,912,14,15,0,188,169,13,45,15,22,6,3,3,0,0,8,410,0,0,0,1,0,0,0
PT_030221,660,463,5,6,0,86,113,6,15,3,8,5,1,0,0,0,1,210,0,0,1,1,2,0,0
PT_030296,2291,1688,14,24,0,214,317,19,113,23,62,4,1,0,2,0,10,883,0,0,1,1,0,0,0
PT_030224,719,494,3,3,0,70,133,3,23,8,5,0,1,0,0,0,2,242,0,0,0,1,0,0,0
PT_030297,1065,828,6,20,0,165,145,8,43,7,37,5,2,2,1,0,4,382,0,0,0,1,0,0,0
PT_030228,1602,1068,13,15,0,134,272,6,46,13,12,6,3,1,2,0,3,536,0,0,0,6,0,0,0
