gisco_id,name,registered,turnout,invalid,blank,N-VA,open vld,CD&V,SP.A,VLAAMS BELANG,GROEN,PVDA+,PS,MR,CDH,Parti Populaire,ECOLO,PTB-GO!,DEBOUT LES BELGES,FDF,LA DROITE,VEGA,MG,Stand Up USE,CSP,PRO DG,SP,VIVANT,PFF,VB
BE_25072,Nivelles / Nijvel,0,18252,1069,0,0,0,0,0,0,0,0,3936,6384,1481,1182,2323,491,329,660,226,70,15,86,0,0,0,0,0,0
BE_92097,Ohey,0,3423,322,0,0,0,0,0,0,0,0,742,948,417,216,410,164,59,67,44,24,1,9,0,0,0,0,0,0
BE_13029,Olen,0,8890,548,0,2622,1172,2078,890,637,734,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_63057,Olne,0,2748,169,0,0,0,0,0,0,0,0,463,978,296,214,354,97,44,68,36,13,2,14,0,0,0,0,0,0
BE_91103,Onhaye,0,2214,226,0,0,0,0,0,0,0,0,414,680,402,87,182,94,53,17,44,9,3,3,0,0,0,0,0,0
BE_35013,Oostende / Ostende,0,48212,2183,0,11440,8382,5448,10481,3486,5800,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_44052,Oosterzele,0,9990,532,0,2042,2825,2075,771,446,1173,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_31022,Oostkamp,0,16797,943,0,3824,2908,4279,2070,858,1674,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_37010,Oostrozebeke,0,5593,436,0,1417,867,1581,513,417,298,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_71047,Opglabbeek,0,7183,415,0,2208,824,1965,648,539,403,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_23060,Opwijk,0,9878,296,0,2694,3024,1809,645,431,906,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_64056,Oreye / Oerle,0,2552,195,0,0,0,0,0,0,0,0,883,684,176,145,178,123,56,57,38,11,0,6,0,0,0,0,0,0
BE_25120,Orp-Jauche,0,5768,342,0,0,0,0,0,0,0,0,1366,2134,458,305,616,154,102,153,84,25,6,23,0,0,0,0,0,0
BE_25121,Ottignies-Louvain-la-Neuve,0,19897,928,0,0,0,0,0,0,0,0,3074,6570,2128,762,4525,581,275,556,169,169,15,145,0,0,0,0,0,0
BE_24086,Oud-Heverlee,0,7824,196,0,1698,1505,2115,718,236,1252,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_13031,Oud-Turnhout,0,8650,300,0,2756,1008,2164,822,647,831,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_45035,Oudenaarde / Audenarde,0,20881,1136,0,4193,6043,4393,1884,836,2137,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_35014,Oudenburg,0,7332,506,0,1534,1680,1578,1010,390,514,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_61048,Ouffet,0,1942,124,0,0,0,0,0,0,0,0,560,659,172,93,158,88,20,24,36,4,2,2,0,0,0,0,0,0
BE_62079,Oupeye,0,15911,888,0,0,0,0,0,0,0,0,4825,3446,1785,1299,1126,1544,332,262,282,84,24,14,0,0,0,0,0,0
BE_23062,Overijse,0,14236,651,0,2739,5607,2102,854,474,1684,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_72029,Overpelt,0,9815,506,0,2681,1161,2796,1116,582,780,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_57064,Péruwelz,0,10830,1451,0,0,0,0,0,0,0,0,3467,2843,723,406,880,311,303,137,241,36,20,12,0,0,0,0,0,0
BE_84050,Paliseul,0,4063,439,0,0,0,0,0,0,0,0,675,996,1188,175,328,62,81,40,53,12,8,6,0,0,0,0,0,0
BE_57062,Pecq,0,3543,465,0,0,0,0,0,0,0,0,980,891,447,93,366,107,72,42,68,5,5,2,0,0,0,0,0,0
BE_72030,Peer,0,11702,643,0,3347,1472,3456,1121,708,769,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_23064,Pepingen,0,3117,158,0,795,927,645,136,140,281,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_63058,Pepinster,0,6359,528,0,0,0,0,0,0,0,0,1404,1617,561,805,675,329,144,147,103,23,10,13,0,0,0,0,0,0
BE_25084,Perwijs (Nijvel) / Perwez (Nivelles),0,5790,359,0,0,0,0,0,0,0,0,991,2003,874,328,747,131,75,167,48,25,2,40,0,0,0,0,0,0
BE_93056,Philippeville,0,6323,602,0,0,0,0,0,0,0,0,1601,1716,701,455,464,282,208,104,145,24,9,12,0,0,0,0,0,0
BE_37011,Pittem,0,4964,331,0,1062,1054,1449,426,314,269,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_63088,Plombières,0,5770,655,0,0,0,0,0,0,0,0,1203,1408,955,356,689,156,95,62,138,32,6,15,0,0,0,0,0,0
BE_52055,Pont-à-Celles,0,11552,834,0,0,0,0,0,0,0,0,2813,3012,1037,1209,1243,514,319,288,176,64,13,30,0,0,0,0,0,0
BE_33021,Poperinge,0,14340,1094,0,2763,3053,3586,1751,824,1092,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_92101,Profondeville,0,8095,514,0,0,0,0,0,0,0,0,1491,2606,1015,472,1213,281,146,179,126,23,6,23,0,0,0,0,0,0
BE_12029,Putte,0,12563,713,0,3250,2801,2833,851,991,901,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_12030,Puurs,0,12407,416,0,3245,1808,3875,940,796,1126,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_53084,Quévy,0,5484,448,0,0,0,0,0,0,0,0,1793,1215,622,418,385,201,148,106,107,26,7,8,0,0,0,0,0,0
BE_53065,Quaregnon,0,10835,1159,0,0,0,0,0,0,0,0,4670,1380,591,623,525,677,709,175,249,38,15,24,0,0,0,0,0,0
BE_53068,Quiévrain,0,4157,521,0,0,0,0,0,0,0,0,1290,1227,232,145,215,134,213,69,81,15,9,6,0,0,0,0,0,0
