gisco_id,name,registered,turnout,invalid,blank,open vld,VLAAMS BELANG,CD&V,SP.A,N-VA,Lijst Dedecker,GROEN!,PVDA+,SLP,LSP,CAP,SP,ECOLO,PFF,CSP,FN,R.W.F.,WALLONIE D'ABORD,PTB+,MS,CAP D'ORAZIO,LCR-PSL,PC-GE,PS,MR,CDH,ProDG,VIVANT,EUROPA der WERTE
BE_K00106,La Louvière,50103,44593,4414,0,0,0,0,0,0,0,0,0,0,0,0,17514,6427,6655,4117,2100,427,886,1301,108,202,119,323,0,0,0,0,0,0
BE_K00107,La Roche-en-Ardenne,7052,6628,547,0,0,0,0,0,0,0,0,0,0,0,0,1435,1189,1842,1289,138,55,66,32,3,12,10,10,0,0,0,0,0,0
BE_K00108,Landen,12106,11233,773,0,2375,1264,2321,1993,821,740,717,98,87,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00109,Le Roeulx,6065,5527,483,0,0,0,0,0,0,0,0,0,0,0,0,1421,1032,1439,620,187,62,92,57,7,22,10,95,0,0,0,0,0,0
BE_K00110,Lennik,35691,33037,2262,0,6757,4789,7941,1973,3380,2164,1770,134,108,25,25,284,460,576,194,58,16,54,15,17,13,8,14,0,0,0,0,0,0
BE_K00111,Lens,9801,9173,514,0,0,0,0,0,0,0,0,0,0,0,0,2255,1568,3439,827,249,98,95,75,7,17,17,12,0,0,0,0,0,0
BE_K00112,Lessines,13699,12115,1384,0,0,0,0,0,0,0,0,0,0,0,0,3854,1887,2437,1349,444,285,260,82,26,36,39,32,0,0,0,0,0,0
BE_K00113,Leuze-en-Hainaut,10225,9177,952,0,0,0,0,0,0,0,0,0,0,0,0,2381,1520,2580,1117,288,79,155,39,5,19,13,29,0,0,0,0,0,0
BE_K00115,Lichtervelde,6665,6265,449,0,1063,515,2152,565,438,659,318,41,43,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00116,Lierre,35308,32479,1501,0,6273,6051,6486,3828,3016,2051,2634,298,232,61,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00117,Limbourg,20218,18080,1625,0,0,0,0,0,0,0,0,0,0,0,0,3561,4083,4691,2880,588,226,218,106,18,31,23,30,0,0,0,0,0,0
BE_K00118,Lochristi,26417,24607,1036,0,7419,3113,5241,1830,1954,1939,1525,314,145,51,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00119,Lokeren,28770,26996,1383,0,6634,4289,5436,3130,1923,1776,1830,273,216,68,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00122,Maaseik,39335,37559,2601,0,7222,6291,9547,4627,3342,2016,1338,259,191,67,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00123,Maasmechelen,39015,37037,2060,0,8699,6143,7901,5671,2903,1587,1389,410,152,51,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
