gisco_id,name,registered,turnout,invalid,blank,VLAAMS BLOK,VLD Vivant,CD&V/N-VA,sp.a-spirit,GROEN!,PVDA+,LSP,SP,PFF MR,CSP,ECOLO,FN,FNB,R.W.F.,CDF,PTB+,MAS,PS,MR,CDH,PJU-PDB
BE_K00193,Vleteren,2788,2601,182,0,453,522,1051,257,124,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00067,Fourons,2644,1359,95,0,259,187,644,109,60,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00194,Waarschoot,6280,5819,340,0,940,1259,1753,981,484,44,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00195,Walcourt,12862,11737,868,0,0,0,0,0,0,0,0,3780,2545,2033,906,1232,101,115,62,82,13,0,0,0,0
BE_K00196,Waremme,35076,32394,1949,0,0,0,0,0,0,0,0,13230,8217,4115,2404,1745,148,214,143,179,50,0,0,0,0
BE_K00197,Wavre,95036,84809,3539,0,0,0,0,0,0,0,0,17111,33726,12107,11789,3780,409,894,1039,280,135,0,0,0,0
BE_K00198,Wellin,4921,4558,351,0,0,0,0,0,0,0,0,1123,1489,875,350,238,67,27,17,13,8,0,0,0,0
BE_K00199,Wervik,13478,12521,895,0,2472,1803,3718,2708,775,77,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00200,Westerlo,48046,45008,2872,0,11322,7803,14301,5611,2708,277,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00201,Wetteren,36509,34447,1770,0,6790,9657,8618,4958,2360,146,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00203,Zandhoven,69342,63089,2416,0,17441,13328,17454,6682,5325,283,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00204,Zaventem,65520,58237,2079,0,7787,10325,8874,4377,2851,131,54,3388,10098,3551,3078,552,137,155,702,63,35,0,0,0,0
BE_K00205,Zele,26312,24469,1147,0,5296,6492,6760,3239,1398,94,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00206,Zomergem,20096,18668,1007,0,3144,4880,5476,2308,1705,105,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00207,Zonnebeke,8876,8243,600,0,1437,1275,3121,1401,349,27,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00208,Zottegem,19950,18618,997,0,3110,4522,4418,4198,1248,60,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00105,Léau,16661,15576,932,0,3442,3647,4193,2714,576,41,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
