gisco_id,name,registered,turnout,invalid,blank,VLAAMS BLOK,VLD Vivant,CD&V/N-VA,sp.a-spirit,GROEN!,PVDA+,LSP,SP,PFF MR,CSP,ECOLO,FN,FNB,R.W.F.,CDF,PTB+,MAS,PS,MR,CDH,PJU-PDB
BE_K00044,Diest,46339,43437,2469,0,9737,9600,10410,8434,2359,233,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00047,Dixmude,37622,35313,2715,0,6180,7150,12398,5025,1610,123,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00045,Dinant,27058,24540,1938,0,0,0,0,0,0,0,0,7283,6827,4186,2041,1643,149,197,182,69,25,0,0,0,0
BE_K00046,Dison,9490,8301,706,0,0,0,0,0,0,0,0,3619,1369,977,579,747,108,91,45,46,14,0,0,0,0
BE_K00048,Dour,33756,30162,2610,0,0,0,0,0,0,0,0,13328,4844,3313,1672,3173,419,344,189,208,62,0,0,0,0
BE_K00049,Duffel,38801,35457,1443,0,8596,6914,11432,4007,2813,155,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00050,Durbuy,7720,6884,343,0,0,0,0,0,0,0,0,2289,1777,1324,625,317,59,52,60,25,13,0,0,0,0
BE_K00051,Eeklo,38008,35427,2089,0,6033,9019,10689,4442,2769,226,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00052,Eghezée,21348,19638,1178,0,0,0,0,0,0,0,0,5249,6003,3593,1980,1024,181,189,146,64,31,0,0,0,0
BE_K00053,Enghien,14460,13253,900,0,0,0,0,0,0,0,0,3642,3881,2321,1098,973,106,101,164,47,20,0,0,0,0
BE_K00054,Erezée,4408,4079,290,0,0,0,0,0,0,0,0,950,1303,905,372,162,15,51,15,11,5,0,0,0,0
BE_K00055,Estaimpuis,9967,9240,928,0,0,0,0,0,0,0,0,3215,1845,1578,746,650,101,46,77,33,21,0,0,0,0
BE_K00056,Etalle,11552,10767,1025,0,0,0,0,0,0,0,0,2499,3116,2322,1027,369,106,138,131,25,9,0,0,0,0
BE_K00057,Eupen,25649,22568,2498,0,0,0,0,0,0,0,0,2904,4164,9059,2570,0,0,0,0,0,0,0,0,0,1373
BE_K00058,Evergem,24918,22883,1018,0,4554,4737,6293,4110,1907,178,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00059,Fauvillers,1357,1289,111,0,0,0,0,0,0,0,0,219,445,314,108,57,7,5,20,1,2,0,0,0,0
BE_K00060,Ferrières,3321,3050,161,0,0,0,0,0,0,0,0,863,923,532,348,159,15,17,14,15,3,0,0,0,0
BE_K00061,Fléron,60921,54657,2517,0,0,0,0,0,0,0,0,20210,14621,7900,4256,3399,416,489,381,367,101,0,0,0,0
BE_K00062,Flobecq,6815,6291,540,0,0,0,0,0,0,0,0,2058,1907,817,404,362,67,46,53,28,9,0,0,0,0
BE_K00063,Florennes,8142,7757,888,0,0,0,0,0,0,0,0,2349,1850,1287,461,748,42,58,36,33,5,0,0,0,0
BE_K00064,Florenville,7795,7065,687,0,0,0,0,0,0,0,0,1903,2046,1278,562,320,78,95,72,15,9,0,0,0,0
BE_K00065,Fontaine-l'Evêque,47549,42635,2879,0,0,0,0,0,0,0,0,17700,7955,4557,2940,4749,642,508,209,420,76,0,0,0,0
BE_K00066,Fosses-la-Ville,29087,26330,1771,0,0,0,0,0,0,0,0,7777,6476,4576,2581,2261,317,235,173,129,34,0,0,0,0
BE_K00068,Frameries,20469,18496,1280,0,0,0,0,0,0,0,0,8408,2508,2527,1094,1933,245,184,106,170,41,0,0,0,0
BE_K00069,Frasnes-Lez-Anvaing,8406,7437,539,0,0,0,0,0,0,0,0,2046,2523,1137,511,443,92,34,70,23,19,0,0,0,0
BE_K00072,Gedinne,7773,7147,680,0,0,0,0,0,0,0,0,1548,2402,1437,443,464,36,52,51,23,11,0,0,0,0
BE_K00073,Gembloux,53328,48430,3294,0,0,0,0,0,0,0,0,17678,11100,6481,4300,3803,716,402,300,257,99,0,0,0,0
BE_K00074,Genappe,17176,15626,747,0,0,0,0,0,0,0,0,3875,5437,2271,1713,1072,127,169,136,64,15,0,0,0,0
BE_K00075,Genk,59379,55900,2444,0,11539,8386,15268,14097,2924,1070,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00071,Gand,172735,158292,5758,0,31184,39061,26665,30061,23606,1206,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00079,Grammont,24607,22773,1269,0,5279,5399,4914,4588,1133,87,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00076,Gistel,25985,24591,1569,0,4405,5296,7417,4306,1418,79,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00077,Glabbeek,14635,13631,739,0,2390,3315,4005,1906,1183,57,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00078,Grâce-Hollogne,38831,34763,1778,0,0,0,0,0,0,0,0,17217,5885,3689,2482,2296,352,272,195,483,114,0,0,0,0
BE_K00081,Haacht,57444,52776,2675,0,10630,12052,13968,8445,4651,239,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00082,Hal,87122,78662,5276,0,13734,12601,14070,6814,3781,151,127,5359,10040,2190,2484,931,192,139,594,120,59,0,0,0,0
BE_K00083,Hamme,25936,24426,771,0,5669,5691,6564,3801,1739,107,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00084,Hannut,18633,17228,1065,0,0,0,0,0,0,0,0,4846,6687,2107,1413,750,57,131,74,67,31,0,0,0,0
BE_K00085,Harelbeke,57468,54614,2737,0,10653,9265,19742,8727,3077,223,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00086,Hasselt,83910,78288,3333,0,14891,13406,20192,20579,5139,469,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00087,Heist-op-den-Berg,59417,55628,2871,0,13248,10784,17509,7196,3432,337,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00089,Herentals,75791,71044,3550,0,15650,12312,23600,10184,5187,400,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00088,Herck-la-Ville,26825,25463,1518,0,5140,4514,7793,5023,1252,123,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00080,Héron,5215,4833,291,0,0,0,0,0,0,0,0,1497,1396,758,521,251,14,53,23,20,9,0,0,0,0
BE_K00090,Herstal,23907,20830,1130,0,0,0,0,0,0,0,0,9607,3447,2134,1181,1623,232,163,92,1163,58,0,0,0,0
BE_K00091,Herve,15941,14667,897,0,0,0,0,0,0,0,0,3553,4502,3351,1276,756,68,101,89,42,32,0,0,0,0
BE_K00092,Herzele,34524,32232,1656,0,7088,8736,8053,4668,1789,117,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00093,Hooglede,16103,15256,988,0,2213,2989,6302,1793,872,56,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00094,Hoogstraten,26235,24771,1190,0,4752,5448,9034,2389,1779,128,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00095,Horebeke,7652,7314,413,0,1069,2504,1825,912,532,27,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00096,Houffalize,3419,3141,224,0,0,0,0,0,0,0,0,799,918,744,188,151,48,27,33,8,1,0,0,0,0
BE_K00097,Huy,38030,34160,2278,0,0,0,0,0,0,0,0,13915,7326,3943,3714,1930,197,410,161,234,52,0,0,0,0
BE_K00202,Ypres,33243,30768,1933,0,5309,5437,11383,4788,1701,115,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00098,Ixelles,75552,62732,1833,0,1225,1388,1102,750,787,31,25,0,0,0,10398,1815,529,347,550,343,183,13944,21309,6173,0
BE_K00099,Izegem,29624,27753,1613,0,5107,4058,10434,4612,1717,99,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00100,Jodoigne,28910,26729,1236,0,0,0,0,0,0,0,0,6776,10882,3333,2584,1230,132,236,205,85,30,0,0,0,0
BE_K00101,Kapellen,84689,77015,2712,0,22914,16473,16550,11341,6321,512,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00102,Kaprijke,4813,4492,273,0,604,995,1638,575,376,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00103,Kontich,92134,83932,2284,0,20303,17707,22024,11554,9454,412,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00040,Courtrai,100848,94115,4626,0,17318,17545,32453,14291,7068,408,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00104,Kruishoutem,11604,10989,553,0,1640,3351,3627,984,772,42,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00121,Louvain,135423,123183,4925,0,18759,26392,31543,22840,17591,726,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00114,Liège,126140,106012,4580,0,0,0,0,0,0,0,0,40477,23635,13504,11625,7469,1010,1050,706,1519,437,0,0,0,0
BE_K00106,La Louvière,48361,43387,3393,0,0,0,0,0,0,0,0,20610,6558,4567,2329,3976,394,463,162,837,98,0,0,0,0
BE_K00107,La Roche-en-Ardenne,6732,6321,438,0,0,0,0,0,0,0,0,1645,2036,1369,418,277,45,30,38,18,7,0,0,0,0
BE_K00108,Landen,11702,10956,680,0,2066,2559,2336,2657,526,52,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00109,Le Roeulx,5758,5287,314,0,0,0,0,0,0,0,0,1919,1287,749,384,458,41,69,31,28,7,0,0,0,0
BE_K00110,Lennik,34988,32519,2186,0,6656,7197,9525,3220,1798,55,35,512,557,279,228,122,18,16,66,31,18,0,0,0,0
BE_K00111,Lens,9379,8671,318,0,0,0,0,0,0,0,0,2804,2955,974,652,694,92,76,37,53,16,0,0,0,0
BE_K00112,Lessines,13232,11969,1037,0,0,0,0,0,0,0,0,4902,2548,1406,754,962,85,107,76,72,20,0,0,0,0
BE_K00113,Leuze-en-Hainaut,9919,8911,688,0,0,0,0,0,0,0,0,2849,2577,1389,607,528,102,69,59,37,6,0,0,0,0
BE_K00115,Lichtervelde,6478,6149,421,0,830,1259,2397,855,352,13,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00116,Lierre,34106,31628,1158,0,8194,6643,8049,4946,2351,168,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00117,Limbourg,19128,17278,1326,0,0,0,0,0,0,0,0,4952,4980,2971,1520,1060,119,152,93,75,30,0,0,0,0
BE_K00118,Lochristi,24842,23171,859,0,4378,7051,6056,2775,1751,220,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00119,Lokeren,27843,26318,1097,0,6010,6409,6526,3854,2160,161,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00122,Maaseik,38333,36801,2178,0,8024,7761,10851,6199,1428,233,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00123,Maasmechelen,38178,36186,1835,0,7570,9047,7928,7870,1609,240,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00125,Malmedy,13521,12281,1255,0,0,0,0,0,0,0,0,2182,4138,2395,1097,813,120,137,58,65,21,0,0,0,0
BE_K00126,Marche-en-Famenne,15974,14659,1148,0,0,0,0,0,0,0,0,5001,3223,3280,947,786,89,59,77,37,12,0,0,0,0
BE_K00124,Malines,74340,67880,2524,0,18931,11860,14384,14243,5336,390,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00127,Meise,70710,64554,3708,0,12520,12037,15196,6327,4106,140,95,2257,5034,1092,1035,474,94,60,289,61,29,0,0,0,0
BE_K00128,Menin,48330,45078,2886,0,8875,7044,13428,9183,3144,271,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00129,Merbes-le-Château,15177,13975,937,0,0,0,0,0,0,0,0,5182,2504,2572,736,1553,116,241,42,67,25,0,0,0,0
BE_K00132,Messines,6785,6433,491,0,1021,1391,2268,797,401,33,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00131,Messancy,14810,13425,1675,0,0,0,0,0,0,0,0,3785,2580,2887,1238,929,95,95,82,43,16,0,0,0,0
BE_K00133,Meulebeke,14913,14146,839,0,2593,2360,5887,1663,710,49,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00134,Mol,74987,70077,3909,0,15557,10678,23512,11587,4255,393,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00135,Molenbeek-Saint-Jean,94921,79211,3346,0,4957,2909,2101,2192,1112,75,40,0,0,0,5571,4148,996,240,539,510,203,22831,18493,8948,0
BE_K00136,Mons,62063,54130,3589,0,0,0,0,0,0,0,0,23580,8976,5892,4224,5317,796,569,332,652,203,0,0,0,0
BE_K00137,Mouscron,35467,32400,3269,0,0,0,0,0,0,0,0,9395,5537,5862,3671,3332,683,206,231,135,79,0,0,0,0
BE_K00138,Namur,84368,74103,4682,0,0,0,0,0,0,0,0,22058,17727,12931,9378,4673,742,781,603,422,106,0,0,0,0
BE_K00139,Nandrin,23196,21224,1116,0,0,0,0,0,0,0,0,7732,5852,2798,2047,1125,77,230,101,121,25,0,0,0,0
BE_K00140,Nassogne,3577,3307,226,0,0,0,0,0,0,0,0,1001,823,695,355,141,12,20,22,10,2,0,0,0,0
BE_K00141,Nazareth,22831,21263,707,0,2828,7255,5889,2291,2163,75,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00142,Neerpelt,50492,47712,2528,0,8863,7026,16274,9775,2435,690,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00143,Neufchâteau,14586,13620,1065,0,0,0,0,0,0,0,0,3239,4089,3203,1075,493,183,80,153,21,19,0,0,0,0
BE_K00144,Nevele,23112,21663,1220,0,3041,5008,7207,2724,2352,70,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00145,Nieuport,8625,7846,544,0,1707,1988,1777,1332,444,25,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00146,Ninove,41496,38642,1959,0,9875,9405,8273,6596,2220,135,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00147,Nivelles,95751,85610,4376,0,0,0,0,0,0,0,0,22788,28393,12390,9212,5692,621,864,682,436,156,0,0,0,0
BE_K00149,Ostende,90597,81832,4440,0,17887,19173,15146,18767,5642,308,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00209,Oosterzele,45022,42145,1847,0,6991,12768,10663,5404,4163,172,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00148,Oostrozebeke,12532,11943,708,0,2440,1975,5089,1201,454,47,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00013,Audenarde,32001,30090,1508,0,4599,8941,8517,4275,2075,99,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00150,Péruwelz,11548,10547,1028,0,0,0,0,0,0,0,0,4131,2591,1002,656,809,132,82,61,35,20,0,0,0,0
BE_K00151,Paliseul,11035,10176,919,0,0,0,0,0,0,0,0,2633,2771,2195,735,575,160,70,80,27,11,0,0,0,0
BE_K00152,Peer,40251,38280,1922,0,8639,5613,10950,8844,1964,245,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00153,Perwez,18886,17426,793,0,0,0,0,0,0,0,0,4382,5853,3004,2178,771,90,157,128,52,18,0,0,0,0
BE_K00154,Philippeville,11675,10708,828,0,0,0,0,0,0,0,0,3204,2952,1675,692,1069,71,111,47,44,15,0,0,0,0
BE_K00155,Poperinge,14958,13914,914,0,2386,2611,4705,2413,777,62,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00156,Puurs,34222,31722,1054,0,6985,5567,10622,4811,2490,148,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00158,Riemst,11099,10610,606,0,1896,2464,3938,1281,349,40,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00159,Rochefort,8973,8231,712,0,0,0,0,0,0,0,0,2052,2782,1374,753,401,36,45,50,17,9,0,0,0,0
BE_K00160,Roulers,59312,55527,3256,0,10349,9717,19363,8971,3503,203,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00157,Renaix,22655,20720,1710,0,4916,4744,3927,4043,1080,111,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00161,Ruiselede,14096,13273,977,0,2244,2456,5308,1385,797,70,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00162,Saint-Gilles,20641,17300,632,0,320,293,165,258,384,15,9,0,0,0,2820,558,137,51,91,170,86,7304,2718,1289,0
BE_K00163,Saint-Hubert,7640,7049,603,0,0,0,0,0,0,0,0,2248,1868,1361,510,246,74,33,78,24,4,0,0,0,0
BE_K00164,Saint-Josse,86058,73098,2246,0,1736,1774,1646,1029,1006,29,25,0,0,0,8771,2367,513,355,1141,298,128,14574,24424,11036,0
BE_K00165,Saint-Nicolas,86306,78156,3314,0,12197,8320,11797,10173,4016,309,128,15115,5164,3006,1852,1745,234,213,150,339,84,0,0,0,0
BE_K00169,Sainte-Ode,4943,4630,346,0,0,0,0,0,0,0,0,900,1590,1241,280,181,35,22,26,7,2,0,0,0,0
BE_K00168,Saint-Vith,21265,19143,2208,0,0,0,0,0,0,0,0,2623,4270,6663,1310,0,0,0,0,0,0,0,0,0,2069
BE_K00170,Schaerbeek,79556,66754,2952,0,2674,1707,1146,1667,1209,77,27,0,0,0,7026,2748,743,232,533,502,200,20349,15598,7364,0
BE_K00171,Seneffe,40618,37471,2944,0,0,0,0,0,0,0,0,14652,7169,4850,2845,3585,417,455,205,281,68,0,0,0,0
BE_K00172,Seraing,47967,42185,2124,0,0,0,0,0,0,0,0,21084,7316,3820,3004,2838,427,312,186,923,151,0,0,0,0
BE_K00173,Sint-Gillis-Waas,26190,24653,1092,0,5822,4841,7297,3447,1846,201,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00167,Saint-Trond,41776,39263,2097,0,8413,7654,10160,9140,1520,135,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00174,Soignies,39640,35771,2244,0,0,0,0,0,0,0,0,12552,9046,5091,3041,2750,261,306,216,206,58,0,0,0,0
BE_K00175,Spa,23443,20729,1535,0,0,0,0,0,0,0,0,6009,6431,2529,2039,1428,177,319,98,116,48,0,0,0,0
BE_K00176,Stavelot,11531,10367,782,0,0,0,0,0,0,0,0,2704,3202,1818,950,494,101,185,54,55,22,0,0,0,0
BE_K00177,Tamise,31541,29376,1168,0,7865,5469,7203,5332,2113,166,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00179,Thuin,25445,22946,1275,0,0,0,0,0,0,0,0,7067,5959,3504,2057,2155,195,474,81,145,34,0,0,0,0
BE_K00180,Tielt,27832,26189,1581,0,4009,5127,10626,3163,1474,123,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00181,Tirlemont,36287,33570,1977,0,6744,8069,7017,7193,2229,170,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00182,Tongres,23662,22260,1434,0,3813,5635,5578,4815,819,73,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00183,Torhout,15320,14456,980,0,2296,2542,4970,2613,946,53,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00184,Tournai,49807,43906,3882,0,0,0,0,0,0,0,0,15261,9817,6302,4304,2735,427,436,426,197,119,0,0,0,0
BE_K00185,Turnhout,58728,54781,2265,0,12580,9043,17223,8474,4713,306,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00186,Uccle,74270,61785,1885,0,1406,1148,865,566,379,21,11,0,0,0,7738,2093,519,300,503,257,165,15017,22102,6810,0
BE_K00187,Verlaine,6933,6328,273,0,0,0,0,0,0,0,0,2283,1797,853,627,301,42,40,48,50,14,0,0,0,0
BE_K00188,Verviers,39642,34138,2639,0,0,0,0,0,0,0,0,11193,8263,5193,2890,2591,425,429,230,205,80,0,0,0,0
BE_K00070,Furnes,37538,33870,1983,0,5728,8953,9229,5625,2122,108,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00189,Vielsalm,8801,8048,761,0,0,0,0,0,0,0,0,2152,2028,1841,650,332,102,80,60,28,14,0,0,0,0
BE_K00190,Vilvorde,58271,52500,2210,0,11681,9619,10368,7162,3489,198,89,2376,2678,1072,686,424,114,55,201,50,28,0,0,0,0
BE_K00191,Virton,16365,14923,1510,0,0,0,0,0,0,0,0,3923,3168,3376,1525,750,177,301,113,52,28,0,0,0,0
BE_K00192,Visé,16586,15139,793,0,0,0,0,0,0,0,0,5081,4637,2401,1039,781,127,91,57,105,27,0,0,0,0
