gisco_id,name,registered,turnout,invalid,blank,Latvijas Sociālistiskā partija,Tautas partija,Konservatīvā partija,Latgales Gaisma,"Apvienība ""Tēvzemei un Brīvībai""/LNNK","Politisko organizāciju apvienība ""Par cilvēka tiesībām vienotā Latvijā""","""Apvienotā sociāldemokrātiskā labklājības partija""",Tautas saskaņas partija,"""Zaļo un Zemnieku savienība""","""Latvijas Pirmā Partija""",Latvijas Sociāldemokrātiskā strādnieku partija,"""Jaunais laiks""","Savienība ""Latvijas ceļš""",Kristīgi demokrātiskā savienība (KDS),"Politiskā organizācija (partija) ""Eiroskeptiķi""","""Sociāldemokrātu savienība - SDS"""
LV_8868,Laidzes pagasts,1311,490,0,0,1,48,9,0,192,0,1,3,25,32,10,132,28,2,5,2
LV_9066,Lapmežciema novads,1798,766,0,0,0,66,8,3,297,14,11,10,18,30,32,216,46,2,12,1
LV_7460,Lauberes pagasts,566,230,0,0,1,23,5,0,68,3,0,2,25,6,7,55,30,2,2,1
LV_4464,Laucesas pagasts,939,315,0,0,18,5,12,59,19,88,13,53,16,3,8,11,8,0,0,2
LV_8870,Laucienes pagasts,1361,489,0,0,3,47,15,2,190,6,0,5,21,33,30,94,29,3,6,5
LV_6864,Lauderu pagasts,346,157,0,0,44,2,0,2,3,35,1,58,4,0,1,4,1,0,0,2
LV_9470,Launkalnes pagasts,974,425,0,0,6,34,7,1,201,6,3,1,17,20,22,66,32,1,4,4
LV_7066,Lazdonas pagasts,427,173,0,0,5,2,8,7,35,22,6,9,2,12,22,34,4,1,4,0
LV_3864,Lazdukalna pagasts,881,251,0,0,6,17,3,2,74,2,1,1,31,6,11,76,16,1,2,2
LV_3866,Lazdulejas pagasts,294,153,0,0,9,12,10,7,17,11,3,18,39,3,2,11,6,0,3,2
LV_5674,Leimaņu pagasts,422,151,0,0,0,25,2,1,38,3,1,0,15,5,9,38,11,2,1,0
LV_5064,Lejasciema pagasts,1443,594,0,0,0,75,15,1,239,3,2,6,42,12,31,116,43,2,4,3
LV_7866,Lendžu pagasts,629,213,0,0,2,8,7,3,53,5,1,3,21,8,34,50,10,4,4,0
LV_9068,Lestenes pagasts,465,161,0,0,1,5,2,1,38,6,0,1,17,20,7,45,13,1,2,2
LV_4676,Lielauces pagasts,384,143,0,0,1,10,4,1,60,1,0,1,21,4,9,15,12,1,1,2
LV_5460,Lielplatones pagasts,523,206,0,0,3,13,4,0,57,6,7,1,23,9,7,61,10,1,3,1
LV_7433,Lielvārdes l.t.,5275,2329,0,0,10,163,60,8,738,68,13,29,65,109,106,701,208,8,39,4
LV_4260,Liepas pagasts,1773,706,0,0,6,48,19,3,253,46,9,9,33,15,28,194,29,2,9,3
LV_3668,Liepnas pagasts,807,355,0,0,12,20,25,2,81,3,0,1,37,18,13,75,59,4,0,5
LV_6660,Liepupes pagasts,1704,596,0,0,8,76,3,1,225,7,1,4,33,21,16,149,42,2,3,5
LV_1700,Liepāja,42372,17056,0,0,94,1441,234,26,7331,1338,123,875,282,594,950,2757,786,74,119,32
LV_7068,Liezēres pagasts,1163,371,0,0,4,33,4,1,162,0,0,0,25,6,16,94,20,0,6,0
LV_6601,Limbaži,7617,3353,0,0,23,290,48,5,1223,91,20,42,115,131,190,858,274,15,26,2
LV_6664,Limbažu pagasts,667,304,0,0,2,17,8,1,103,3,2,2,10,15,22,97,10,3,9,0
LV_5068,Litenes pagasts,803,253,0,0,7,16,7,2,97,7,1,1,31,6,17,37,16,4,0,4
LV_5072,Lizuma pagasts,1162,493,0,0,2,76,10,1,172,3,2,1,35,15,33,96,34,3,9,1
LV_9668,Lodes pagasts,287,156,0,0,1,18,1,0,63,3,1,0,15,2,0,38,10,1,3,0
LV_8874,Lubes pagasts,448,113,0,0,0,10,1,1,49,0,0,0,7,13,7,14,11,0,0,0
LV_7013,Lubāna,2336,1005,0,0,2,73,13,4,443,5,2,0,35,18,69,234,93,4,10,0
LV_6801,Ludza,7157,2878,0,0,591,158,49,37,299,568,39,255,99,73,192,245,218,22,22,11
LV_8466,Lutriņu pagasts,960,319,0,0,1,26,10,3,120,5,0,0,14,15,17,88,16,1,1,2
LV_7464,Lēdmanes pagasts,1049,397,0,0,4,38,8,0,171,7,3,7,16,16,13,98,12,0,3,1
LV_6656,Lēdurgas pagasts,1167,426,0,0,3,19,8,0,166,4,0,0,24,15,19,127,33,0,8,0
LV_8872,Lībagu pagasts,1586,525,0,0,3,55,6,0,204,0,1,0,24,34,21,128,36,2,6,5
LV_4211,Līgatne,1034,507,0,0,0,45,5,1,211,3,0,0,20,21,13,126,51,1,9,1
LV_4262,Līgatnes pagasts,2046,830,0,0,1,71,14,4,337,21,4,6,37,38,38,207,40,2,9,1
LV_5076,Līgo pagasts,369,152,0,0,0,27,2,0,39,5,1,0,14,5,7,29,22,0,0,1
LV_4468,Līksnas pagasts,974,451,0,0,3,30,15,33,111,11,10,12,59,21,23,73,43,0,5,2
LV_5462,Līvbērzes pagasts,1297,488,0,0,9,37,20,1,91,22,7,6,46,41,27,80,61,3,12,25
LV_7631,Līvānu nov.,8400,3304,0,0,53,200,70,124,924,534,29,81,157,141,225,545,178,20,21,2
LV_7868,Lūznavas pagasts,855,300,0,0,8,12,17,5,50,63,4,37,31,5,31,25,7,3,2,0
LV_7468,Madlienas pagasts,1498,605,0,0,4,53,16,4,196,9,5,2,52,20,27,147,53,6,10,1
LV_7001,Madona,6571,2669,0,0,20,213,27,21,899,87,24,42,110,96,242,682,170,6,24,6
LV_3672,Malienas pagasts,361,155,0,0,1,12,4,0,50,3,0,0,17,6,7,32,20,0,2,1
LV_6868,Malnavas pagasts,1372,514,0,0,36,24,12,11,143,15,5,11,40,6,49,71,82,5,3,1
LV_7870,Maltas pagasts,2629,986,0,0,27,33,31,108,121,188,15,192,52,9,69,96,28,5,7,5
LV_9670,Matīšu pagasts,772,337,0,0,0,33,5,0,118,3,1,0,38,6,10,83,39,0,1,0
LV_7472,Mazozolu pagasts,481,204,0,0,4,23,3,0,79,1,0,3,10,5,14,47,14,0,1,0
LV_9631,Mazsalacas l.t.,1789,957,0,0,2,93,5,1,365,8,3,3,47,23,21,230,144,1,10,1
LV_3266,Mazzalves pagasts,894,314,0,0,3,29,6,0,120,4,1,5,57,9,13,45,17,0,3,2
LV_4470,Maļinovas pagasts,706,316,0,0,7,2,14,117,18,67,7,44,3,7,8,9,11,1,0,1
LV_4472,Medumu pagasts,673,242,0,0,10,6,8,87,13,47,8,31,5,0,3,10,10,1,0,3
LV_6476,Medzes pagasts,1035,414,0,0,1,42,9,0,190,1,0,0,25,23,14,77,30,0,2,0
