gisco_id,name,registered,turnout,invalid,blank,EESTI KESKERAKOND,RAHVAERAKOND MÕÕDUKAD,EESTIMAA RAHVALIIT,ERAKOND ISAMAALIIT,EESTI SOTSIAALDEMOKRAATLIK TÖÖPARTEI,EESTIMAA ÜHENDATUD RAHVAPARTEI,EESTI REFORMIERAKOND,ÜHENDUS VABARIIGI EEST - RES PUBLICA,EESTI KRISTLIK RAHVAPARTEI,EESTI ISESEISVUSPARTEI,VENE ERAKOND EESTIS,ASTRID KOPPEL,VÄINO KARO,AINO VÄRBU,AADO LUIK,ALEKSANDER RAAG,JAANUS RAIDAL,EDGAR-JULIUS PRUKS,ENN OJA,KAAREL JAAK ROOSAARE,KALJU MÄTIK,MART RIISENBERG,REIN HAGGI,HASSO NURM,EINO PAJU,IVAN TSVETKOV,ALEKSEI KOLPAKOV
EE_0485,Mustvee,0,0,0,0,179,5,274,27,0,34,95,47,3,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0573,Pajusi,0,0,0,0,139,33,350,27,1,0,37,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0576,Pala,0,0,0,0,77,85,335,25,2,1,25,63,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0578,Palamuse,0,0,0,0,101,154,832,24,1,0,42,125,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0611,Puurmani,0,0,0,0,126,35,444,58,0,0,50,174,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0617,Põltsamaa linn,0,0,0,0,596,67,1020,114,1,0,248,544,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0616,Põltsamaa vald,0,0,0,0,382,47,965,41,6,0,74,323,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0713,Saare,0,0,0,0,81,123,375,15,3,0,24,66,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0773,Tabivere,0,0,0,0,152,38,622,33,2,3,66,152,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0810,Torma,0,0,0,0,151,54,800,42,3,0,40,93,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0183,Haapsalu,0,0,0,0,1026,165,315,419,11,72,995,1686,172,40,19,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
EE_0195,Hanila,0,0,0,0,226,44,119,47,1,0,65,223,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
EE_0342,Kullamaa,0,0,0,0,89,30,266,18,2,1,41,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
EE_0411,Lihula,0,0,0,0,244,129,208,103,3,2,193,210,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
EE_MA07,Lääne maakond,21044,11676,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0452,Martna,0,0,0,0,71,12,67,8,0,1,20,190,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
EE_0520,Noarootsi,0,0,0,0,146,8,6,17,2,1,48,123,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0531,Nõva,0,0,0,0,48,7,53,12,0,0,18,119,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0552,Oru,0,0,0,0,45,20,27,16,0,2,28,313,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0674,Ridala,0,0,0,0,204,45,109,88,4,8,184,373,23,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
EE_0680,Risti,0,0,0,0,121,65,65,17,0,10,55,125,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0776,Taebla,0,0,0,0,208,70,153,75,5,5,192,399,13,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0907,Vormsi,0,0,0,0,36,7,10,11,0,0,16,28,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0161,Avanduse,0,0,0,0,136,19,114,23,0,0,27,116,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0190,Haljala,0,0,0,0,395,88,153,53,1,2,127,261,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0273,Kadrina,0,0,0,0,440,150,207,226,9,3,236,707,60,9,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0345,Kunda,0,0,0,0,573,83,66,102,0,38,86,258,17,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0381,Laekvere,0,0,0,0,170,20,263,34,3,0,75,173,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_MA06,Lääne-Viru maakond,48288,26156,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0660,Rakke,0,0,0,0,121,18,460,19,3,2,30,344,11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0663,Rakvere linn,0,0,0,0,1955,827,540,514,20,28,1080,1913,79,59,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0662,Rakvere vald,0,0,0,0,257,64,104,45,2,2,91,187,4,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0702,Rägavere,0,0,0,0,150,41,62,27,0,0,22,67,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0716,Saksi,0,0,0,0,72,76,116,28,1,1,35,97,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0770,Sõmeru,0,0,0,0,352,213,151,74,5,3,177,367,12,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0788,Tamsalu linn,0,0,0,0,241,47,61,88,5,2,89,459,7,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0787,Tamsalu vald,0,0,0,0,204,29,104,38,3,1,49,250,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0791,Tapa,0,0,0,0,520,223,118,135,4,30,129,511,29,2,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0887,Vihula,0,0,0,0,296,74,133,69,9,2,142,218,29,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0900,Vinni,0,0,0,0,728,126,705,147,7,3,203,494,26,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0902,Viru-Nigula,0,0,0,0,266,42,53,20,0,0,48,124,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
