gisco_id,name,registered,turnout,invalid,blank,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,MI HAZÁNK MOZGALOM,MAGYAR KÉTFARKÚ KUTYA PÁRT,NORMÁLIS ÉLET PÁRTJA,MEGOLDÁS MOZGALOM,ORSZÁGOS LENGYEL ÖNKORMÁNYZAT,ORSZÁGOS ÖRMÉNY ÖNKORMÁNYZAT,MAGYARORSZÁGI GÖRÖGÖK ORSZÁGOS ÖNKORMÁNYZATA,MAGYARORSZÁGI NÉMETEK ORSZÁGOS ÖNKORMÁNYZATA,ORSZÁGOS HORVÁT ÖNKORMÁNYZAT,BOLGÁR ORSZÁGOS ÖNKORMÁNYZAT,ORSZÁGOS RUSZIN ÖNKORMÁNYZAT,UKRÁN ORSZÁGOS ÖNKORMÁNYZAT,ORSZÁGOS SZLOVÁK ÖNKORMÁNYZAT,SZERB ORSZÁGOS ÖNKORMÁNYZAT,MAGYARORSZÁGI ROMÁNOK ORSZÁGOS ÖNKORMÁNYZATA,ORSZÁGOS SZLOVÉN ÖNKORMÁNYZAT
HU_28398,Tiszalúc,3828,2060,26,0,1261,529,154,46,19,25,0,0,0,0,0,0,0,0,0,0,0,0
HU_08633,Tiszapalkonya,1127,705,6,0,427,224,34,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0
HU_30298,Tiszatardos,167,126,1,0,91,21,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_30377,Tiszatarján,1032,635,17,0,447,101,46,10,10,4,0,0,0,0,0,0,0,0,0,0,0,0
HU_28352,Tiszaújváros,13970,10188,81,0,3836,5082,624,298,133,120,0,0,0,3,1,0,10,0,0,0,0,0
HU_10977,Tiszavalk,250,205,11,0,110,59,16,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0
HU_18306,Tokaj,2939,2068,21,0,1134,696,131,47,18,18,0,0,0,2,0,0,1,0,0,0,0,0
HU_28051,Tolcsva,1313,823,11,0,475,241,63,8,2,7,0,0,0,0,0,0,16,0,0,0,0,0
HU_14890,Tomor,180,138,1,0,119,15,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_16902,Tornabarakony,16,14,0,0,6,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HU_10375,Tornakápolna,20,17,0,0,13,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_18801,Tornanádaska,393,270,8,0,253,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_27836,Tornaszentandrás,139,90,3,0,61,18,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_30517,Tornaszentjakab,127,91,1,0,66,17,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_29054,Tornyosnémeti,311,218,3,0,172,28,11,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_04914,Trizs,162,116,1,0,63,31,19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_18351,Uppony,241,154,2,0,81,49,17,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_12487,Újcsanálos,662,403,5,0,263,84,25,12,8,6,0,0,0,0,0,0,0,0,0,0,0,0
HU_07223,Vadna,493,322,2,0,146,131,31,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0
HU_30003,Vajdácska,946,531,2,0,372,116,28,5,4,1,0,0,0,2,0,0,1,0,0,0,0,0
HU_21810,Varbó,904,669,6,0,313,260,64,15,8,3,0,0,0,0,0,0,0,0,0,0,0,0
HU_10144,Varbóc,52,43,0,0,30,8,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
