gisco_id,name,registered,turnout,invalid,blank,LEHET MÁS A POLITIKA,MSZP,"FIDESZ,KDNP",Jobbik,MDF,"MDF,SZDSZ",Független jelölt,ÖSSZEFOGÁS PÁRT,Független Kisgazdapárt,TORGYÁN-KISGAZDA-KOALÍCIÓ,MUNKÁSPÁRT,CIVILEK,MIÉP,Ind.,MSZDP,MCF ROMA ÖSSZEFOGÁS PÁRT,ZÖLD BALOLDAL,"FIDESZ,KDNP,Vállalkozók Pártja",SOMOGYÉRT,"ÖSSZEFOGÁS MEGYÉNKÉRT,MDF",MESZ
HU_2171,Sülysáp,6419,4248,55,0,0,676,2552,965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2145,Szada,3314,2336,13,0,217,362,1252,356,52,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0
HU_1731,Százhalombatta,14564,9884,167,0,0,3118,4768,1607,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0
HU_1544,Szentendre,20103,14752,123,0,1920,2681,7631,1770,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0754,Szentlõrinckáta,1535,807,10,0,0,118,483,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2865,Szentmártonkáta,3958,2203,35,0,0,447,1128,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2625,Szigetbecse,1099,763,11,0,0,138,419,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0787,Szigetcsép,1942,1203,15,0,0,332,621,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1327,Szigethalom,13214,7710,62,0,860,1796,3447,1350,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0
HU_2621,Szigetmonostor,1830,1318,10,0,110,221,755,180,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1518,Szigetszentmárton,1792,1154,26,0,0,345,553,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2895,Szigetszentmiklós,25797,16907,113,0,2407,3821,7854,2227,0,0,0,0,0,0,0,485,0,0,0,0,0,0,0,0,0
HU_2211,Szigetújfalu,1767,1091,22,0,0,340,509,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2491,Szob,2316,1556,14,0,80,306,728,412,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0694,Szokolya,1417,904,7,0,45,144,483,211,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1269,Szõd,2738,1911,10,0,175,193,1202,295,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2886,Szõdliget,3529,2531,28,0,230,570,752,365,0,0,0,0,0,0,0,0,0,586,0,0,0,0,0,0,0
HU_3196,Tahitótfalu,4321,3062,16,0,241,441,1921,368,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3072,Taksony,4944,3165,23,0,222,796,1646,398,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0
HU_2738,Tatárszentgyörgy,1418,812,8,0,37,74,518,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0833,Táborfalva,2656,1480,11,0,90,281,804,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1501,Tápióbicske,2749,1603,18,0,0,264,874,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1730,Tápiógyörgye,2780,1652,33,0,0,610,788,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0940,Tápióság,2166,1313,11,0,0,264,849,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3179,Tápiószecsõ,5010,3102,34,0,0,580,1665,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1414,Tápiószele,4760,2550,36,0,0,609,1174,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1457,Tápiószentmárton,4441,2836,20,0,0,255,2144,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0276,Tápiószõlõs,2479,1311,17,0,0,175,786,300,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0415,Tárnok,6940,4678,46,0,546,936,2479,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0828,Telki,2350,1901,12,0,384,295,1048,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1924,Tésa,87,63,1,0,5,14,30,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0710,Tinnye,1181,746,3,0,86,152,389,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2146,Tóalmás,2675,1536,21,0,0,280,744,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2452,Tök,1069,725,3,0,60,102,493,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2982,Tököl,7885,4859,24,0,488,823,2778,647,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0
HU_0685,Törökbálint,10034,7130,47,0,871,1626,3736,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2200,Törtel,3451,2003,22,0,63,243,1287,365,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
HU_0959,Tura,6321,3798,49,0,0,766,2086,777,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0629,Újhartyán,2236,1638,5,0,84,157,1135,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1968,Újlengyel,1438,1001,6,0,38,84,744,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1780,Újszilvás,2148,1155,11,0,0,144,752,215,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2864,Úri,2086,1417,11,0,0,201,860,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1289,Üllõ,8719,5373,48,0,0,932,2973,906,157,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,0
HU_1193,Üröm,5187,3900,44,0,603,899,1960,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1759,Valkó,1886,969,14,0,0,165,516,244,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2258,Vasad,1407,943,7,0,49,129,526,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2493,Vác,27424,19111,170,0,1406,4511,6688,2743,0,0,0,0,0,0,0,0,0,3593,0,0,0,0,0,0,0
HU_0591,Vácduka,951,658,8,0,64,92,395,82,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3033,Vácegres,645,426,11,0,0,36,287,80,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1988,Váchartyán,1422,946,6,0,66,142,542,171,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0569,Váckisújfalu,390,252,5,0,0,29,146,62,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1766,Vácrátót,1388,916,10,0,73,88,522,184,12,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
HU_0910,Vácszentlászló,1654,1051,8,0,0,137,624,251,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1073,Vámosmikola,1252,713,10,0,29,126,375,168,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
