gisco_id,name,registered,turnout,invalid,blank,FIDESZ-KDNP,JOBBIK,MSZP-EGYÜTT-DK-PM-MLP,LMP,ZÖLDEK PÁRTJA,SEM,KTI,MUNKÁSPÁRT,SZOCIÁLDEMOKRATÁK,FÜGGETLEN KISGAZDAPÁRT,JESZ,EGYÜTT 2014,A HAZA NEM ELADÓ MOZGALOM PÁRT,SERES MÁRIA SZÖVETSÉGESEI,ÖSSZEFOGÁS,ÚDP,MCP,ÚMP
HU_09946,Hencse,284,138,0,0,65,28,35,1,0,1,0,2,0,1,0,2,3,0,0,0,0,0
HU_24846,Heresznye,218,146,3,0,72,26,25,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
HU_09928,Hetes,937,577,6,0,271,149,113,17,0,0,0,9,6,0,0,2,1,1,0,0,1,1
HU_06211,Hollád,199,95,2,0,52,19,16,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0
HU_19150,Homokszentgyörgy,894,353,5,0,139,108,88,11,0,0,0,0,0,1,0,0,0,0,0,0,1,0
HU_30775,Hosszúvíz,35,27,0,0,11,7,6,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
HU_11192,Igal,1024,636,5,0,311,123,165,21,0,1,2,1,2,0,1,2,1,1,0,0,0,0
HU_19619,Iharos,378,199,1,0,98,44,46,5,0,0,0,2,0,0,2,0,0,0,0,0,0,1
HU_27784,Iharosberény,1005,451,1,0,226,118,87,5,1,0,0,2,2,0,1,4,2,0,0,0,2,0
HU_26301,Inke,961,409,2,0,208,129,50,3,3,2,0,4,0,0,1,2,1,0,0,0,4,0
HU_21333,Istvándi,387,199,5,0,83,23,15,3,0,0,0,3,1,0,0,1,0,0,0,0,65,0
HU_15927,Jákó,514,247,4,0,116,72,45,6,0,0,1,1,0,0,1,0,1,0,0,0,0,0
HU_17279,Juta,1017,657,1,0,260,164,156,45,1,2,0,6,1,0,1,4,15,0,0,0,0,0
HU_26453,Kadarkút,2045,966,4,0,448,227,217,20,4,4,5,21,2,4,1,1,4,3,1,0,0,0
HU_33394,Kapoly,550,232,0,0,126,49,40,10,1,1,1,2,0,0,0,2,0,0,0,0,0,0
HU_09098,Kaposfő,1379,746,4,0,346,194,140,31,1,1,0,5,2,1,2,3,5,2,0,0,0,1
HU_28811,Kaposgyarmat,91,72,1,0,23,23,20,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0
HU_25867,Kaposhomok,372,166,8,0,73,41,34,3,0,0,0,2,1,1,0,0,0,3,0,0,0,0
HU_12663,Kaposkeresztúr,253,112,1,0,64,20,19,3,0,0,1,1,0,0,0,0,1,0,1,0,1,0
HU_18227,Kaposmérő,1997,1243,17,0,553,286,282,47,6,3,1,7,5,7,4,3,11,8,0,0,3,0
HU_06424,Kaposszerdahely,827,481,6,0,220,123,88,29,4,0,0,4,0,1,1,1,0,1,1,0,1,0
HU_15732,Kaposújlak,591,385,0,0,156,121,77,16,1,0,0,2,1,0,2,0,5,0,2,0,0,2
HU_20473,Kaposvár,53939,34314,221,0,13340,7521,10033,1953,150,97,56,159,135,42,73,119,168,167,22,12,20,6
HU_05263,Karád,1237,694,2,0,401,141,118,18,4,1,3,1,1,1,0,0,1,1,0,0,1,0
HU_08411,Kastélyosdombó,181,94,6,0,44,15,10,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0
