gisco_id,name,registered,turnout,invalid,blank,MSZP,JOBBIK,LEHET MÁS A POLITIKA,MAGYAR DEMOKRATA FÓRUM,FIDESZ-KDNP,Jobbik,CIVIL MOZGALOM,Lehet Más a Politika,Fidesz-KDNP,MDF,Összefogás Párt BAZ M-i Lista,MSZDP,MAGYAR SZOCIALISTA PÁRT,MUNKÁSPÁRT,MIÉP,CIVILEK,Magyar Demokrata Fórum,LMP,Civil Mozgalom,Munkáspárt,Magyar Szocialista Párt,FIDESZ - KDNP
HU_0956,Budapest_I.,21943,16708,120,0,3151,1173,2333,839,9092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0317,Budapest_II.,69072,53813,293,0,11786,3411,7425,3052,27846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1806,Budapest_III.,100607,72255,489,0,18618,7663,9584,3537,32364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0546,Budapest_IV.,80450,54308,417,0,14475,6692,7065,2462,23197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1339,Budapest_V.,21693,15991,159,0,3580,1189,2034,830,8199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1658,Budapest_VI.,29699,19485,155,0,4687,1737,2902,963,9041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2974,Budapest_VII.,45235,28311,256,0,6656,3016,4518,1361,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2540,Budapest_VIII.,55568,32364,287,0,7404,3684,4288,1348,15353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2958,Budapest_IX.,45461,29333,215,0,7008,3171,3997,1495,13447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1070,Budapest_X.,60060,38996,372,0,11053,4910,4339,1622,16700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1421,Budapest_XI.,107739,80887,602,0,20636,6612,10199,3578,39260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2469,Budapest_XII.,47768,37341,248,0,7657,2359,4989,1988,20100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2429,Budapest_XIII.,88968,60809,536,0,19602,5670,8624,3131,23246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1633,Budapest_XIV.,93745,67404,499,0,18286,6480,9246,3384,29509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1131,Budapest_XV.,65567,44565,363,0,12184,5947,4817,1597,19657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0820,Budapest_XVI.,57111,42687,311,0,9370,5231,5061,2026,20688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0211,Budapest_XVII.,68725,48638,337,0,10701,6015,5464,2076,24045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2928,Budapest_XVIII.,79394,54876,362,0,13744,7234,6113,2500,24923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0401,Budapest_XIX.,48656,33484,251,0,8784,4249,4060,1497,14643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0602,Budapest_XX.,52472,34246,274,0,8936,4666,3875,1442,15053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1318,Budapest_XXI.,62284,40490,284,0,10798,5845,4896,1703,16964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1021,Budapest_XXII.,42132,30738,191,0,6974,3515,3606,1381,15071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3413,Budapest_XXIII.,17186,11612,89,0,2582,1669,1279,453,5540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1254,Abaliget,527,323,1,0,59,0,45,6,156,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0686,Adorjás,144,71,0,0,31,0,3,2,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1332,Almamellék,347,259,4,0,93,0,7,0,141,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2037,Almáskeresztúr,73,53,1,0,11,0,2,0,31,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1738,Alsómocsolád,303,166,0,0,10,0,10,1,123,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3327,Alsószentmárton,745,552,5,0,107,0,6,0,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2729,Apátvarasd,106,58,0,0,8,0,3,6,35,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0688,Aranyosgadány,277,134,2,0,19,0,10,2,83,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2581,Ág,139,81,0,0,6,0,0,0,66,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2858,Áta,167,87,0,0,14,0,6,3,45,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0540,Babarc,639,375,0,0,65,0,12,4,242,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0966,Babarcszõlõs,95,58,0,0,3,0,6,0,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0829,Bakonya,290,160,0,0,47,0,15,3,62,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2227,Bakóca,271,144,0,0,12,0,7,1,113,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0397,Baksa,648,294,0,0,88,0,21,5,132,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2046,Baranyahídvég,172,105,3,0,19,0,2,0,59,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2474,Baranyajenõ,382,173,0,0,30,0,9,6,109,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0548,Baranyaszentgyörgy,130,96,0,0,15,0,2,0,69,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1549,Basal,155,94,1,0,19,0,3,0,62,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0760,Bánfa,149,81,2,0,25,0,0,2,49,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2437,Bár,485,325,3,0,41,0,7,0,245,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1900,Belvárdgyula,347,166,2,0,43,0,5,2,93,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3192,Beremend,2187,1168,6,0,271,0,66,31,623,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1646,Berkesd,709,373,3,0,62,0,12,8,237,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3004,Besence,99,51,1,0,5,0,10,3,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1411,Bezedek,231,138,2,0,17,0,2,1,101,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1331,Bicsérd,822,463,3,0,93,0,41,13,260,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0489,Bikal,679,373,3,0,132,0,30,15,145,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
