gisco_id,name,registered,turnout,invalid,blank,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,MAGYAR KÉTFARKÚ KUTYA PÁRT,MI HAZÁNK MOZGALOM,NORMÁLIS ÉLET PÁRTJA,MEGOLDÁS MOZGALOM,MAGYAR MUNKÁSPÁRT-IGEN SZOLIDARITÁS MAGYARORSZÁGÉRT MOZGALOM,Független jelölt,VALÓDI DEMOKRATA PÁRT,A MI PÁRTUNK - IMA,ZÖLDEK PÁRTJA,MAGYAR LIBERÁLIS PÁRT - LIBERÁLISOK,MAGYAR SZEGÉNYEK ÉS DOLGOZÓK DEMOKRATIKUS SZERVEZETE,POLGÁRI VÁLASZ MOZGALOM
HU_13578,Budapest,1274391,958559,9125,0,387938,465212,36893,37459,4559,12419,1565,3024,365,0,0,0,0,0
HU_12548,Abaliget,510,369,4,0,177,143,16,21,0,0,0,8,0,0,0,0,0,0
HU_06868,Adorjás,134,85,3,0,72,8,1,1,0,0,0,0,0,0,0,0,0,0
HU_13329,Almamellék,308,192,6,0,116,61,1,6,0,0,0,2,0,0,0,0,0,0
HU_20376,Almáskeresztúr,58,45,0,0,23,14,2,6,0,0,0,0,0,0,0,0,0,0
HU_17385,Alsómocsolád,242,151,2,0,109,29,0,5,0,6,0,0,0,0,0,0,0,0
HU_33279,Alsószentmárton,821,524,6,0,489,27,1,0,0,1,0,0,0,0,0,0,0,0
HU_27298,Apátvarasd,102,66,0,0,41,20,0,3,0,1,1,0,0,0,0,0,0,0
HU_06886,Aranyosgadány,295,173,1,0,105,23,15,21,0,4,0,4,0,0,0,0,0,0
HU_25812,Ág,131,99,3,0,63,26,0,1,0,4,2,0,0,0,0,0,0,0
HU_28583,Áta,144,93,5,0,55,17,3,11,0,1,0,1,0,0,0,0,0,0
HU_05403,Babarc,567,349,1,0,243,71,0,25,0,8,1,0,0,0,0,0,0,0
HU_09663,Babarcszőlős,85,56,1,0,40,9,0,4,0,2,0,0,0,0,0,0,0,0
HU_08299,Bakonya,277,177,3,0,84,60,15,11,0,3,0,1,0,0,0,0,0,0
HU_22275,Bakóca,221,107,1,0,91,11,1,1,0,1,0,1,0,0,0,0,0,0
HU_03975,Baksa,617,411,5,0,246,117,2,22,0,8,0,11,0,0,0,0,0,0
HU_20464,Baranyahídvég,145,85,3,0,72,6,0,3,0,0,0,1,0,0,0,0,0,0
HU_24749,Baranyajenő,359,193,0,0,132,47,7,4,0,2,0,1,0,0,0,0,0,0
HU_05485,Baranyaszentgyörgy,86,63,1,0,54,2,3,3,0,0,0,0,0,0,0,0,0,0
HU_15495,Basal,152,105,1,0,59,29,5,8,0,2,0,1,0,0,0,0,0,0
HU_07603,Bánfa,132,79,2,0,52,20,1,3,0,0,0,1,0,0,0,0,0,0
HU_24378,Bár,450,309,3,0,187,77,0,38,0,1,3,0,0,0,0,0,0,0
HU_19008,Belvárdgyula,313,197,1,0,141,42,0,12,0,1,0,0,0,0,0,0,0,0
HU_31927,Beremend,1912,1261,14,0,661,505,0,43,0,27,11,0,0,0,0,0,0,0
HU_16461,Berkesd,636,429,13,0,276,93,17,24,1,4,0,1,0,0,0,0,0,0
HU_30049,Besence,87,50,0,0,38,7,2,3,0,0,0,0,0,0,0,0,0,0
HU_14119,Bezedek,172,95,1,0,80,12,0,2,0,0,0,0,0,0,0,0,0,0
HU_13310,Bicsérd,812,531,12,0,303,151,16,32,0,3,0,14,0,0,0,0,0,0
HU_04899,Bikal,561,383,8,0,156,189,0,20,0,9,1,0,0,0,0,0,0,0
HU_05139,Birján,424,302,4,0,158,109,0,23,0,5,3,0,0,0,0,0,0,0
HU_24925,Bisse,193,117,1,0,80,25,3,4,0,2,0,2,0,0,0,0,0,0
HU_20899,Boda,327,239,5,0,144,56,9,17,0,1,0,7,0,0,0,0,0,0
HU_33002,Bodolyabér,174,102,0,0,69,25,2,5,0,1,0,0,0,0,0,0,0,0
HU_32151,Bogád,877,598,0,0,297,215,35,27,3,9,5,7,0,0,0,0,0,0
HU_21892,Bogádmindszent,330,216,7,0,135,40,6,23,0,0,0,5,0,0,0,0,0,0
HU_10694,Bogdása,202,124,2,0,97,12,2,10,0,0,0,1,0,0,0,0,0,0
HU_13116,Boldogasszonyfa,299,216,4,0,154,34,2,16,0,1,0,5,0,0,0,0,0,0
HU_06725,Borjád,316,203,1,0,138,34,0,28,0,2,0,0,0,0,0,0,0,0
HU_14368,Bosta,113,75,1,0,53,13,2,1,0,5,0,0,0,0,0,0,0,0
HU_13365,Botykapeterd,250,158,5,0,108,18,9,15,0,2,0,1,0,0,0,0,0,0
HU_33154,Bóly,2728,1968,20,0,1122,645,0,139,0,35,7,0,0,0,0,0,0,0
HU_23162,Bükkösd,865,490,7,0,306,127,15,26,0,3,0,6,0,0,0,0,0,0
HU_07533,Bürüs,63,39,1,0,29,6,0,2,0,0,0,1,0,0,0,0,0,0
HU_30614,Csarnóta,105,62,0,0,30,19,6,6,0,0,0,1,0,0,0,0,0,0
HU_19901,Csányoszró,500,293,4,0,191,76,11,8,0,0,0,3,0,0,0,0,0,0
HU_21591,Csebény,72,51,1,0,32,11,0,5,0,0,0,2,0,0,0,0,0,0
HU_26082,Cserdi,288,154,6,0,104,32,4,4,0,0,0,4,0,0,0,0,0,0
HU_03896,Cserkút,520,382,3,0,150,157,18,33,4,6,6,5,0,0,0,0,0,0
HU_13851,Csertő,317,195,2,0,134,47,4,4,0,3,0,1,0,0,0,0,0,0
HU_22576,Csonkamindszent,127,98,1,0,74,14,4,3,0,1,0,1,0,0,0,0,0,0
HU_11086,Cún,165,94,1,0,82,7,0,4,0,0,0,0,0,0,0,0,0,0
HU_07773,Dencsháza,446,247,4,0,171,52,5,11,0,2,0,2,0,0,0,0,0,0
HU_11952,Dinnyeberki,56,31,0,0,24,5,2,0,0,0,0,0,0,0,0,0,0,0
HU_32373,Diósviszló,546,325,3,0,233,60,9,12,0,6,0,2,0,0,0,0,0,0
HU_28617,Drávacsehi,126,85,2,0,49,26,2,1,0,4,0,1,0,0,0,0,0,0
HU_28121,Drávacsepely,175,116,0,0,85,21,0,8,0,0,0,2,0,0,0,0,0,0
HU_17419,Drávafok,387,215,6,0,148,48,6,5,0,2,0,0,0,0,0,0,0,0
HU_32391,Drávaiványi,124,88,1,0,78,6,1,1,0,0,0,1,0,0,0,0,0,0
HU_09159,Drávakeresztúr,86,45,1,0,32,8,2,2,0,0,0,0,0,0,0,0,0,0
HU_22734,Drávapalkonya,215,122,8,0,70,32,3,5,0,2,0,2,0,0,0,0,0,0
HU_12380,Drávapiski,66,35,1,0,29,4,1,0,0,0,0,0,0,0,0,0,0,0
