gisco_id,name,registered,turnout,invalid,blank,SZDSZ-A MAGYAR LIBERÁLIS PÁRT,MIÉP-Jobbik,"FIDESZ,KDNP",MDF,MSZP,MUNKÁSPÁRT,CENTRUM,ZÖLDEK PÁRTJA,Független jelölt,SZOCIÁLDEMOKRATA PÁRT,MCF ROMA ÖSSZEFOGÁS PÁRT,ZÖLDEK SZÖVETSÉGE,MVPP,KERESZTÉNYDEMOKRATAPÁRT,MUNKÁSPÁRT 2006,FÜGGETLEN KISGAZDA NEMZETI E.P,FÜGGETLEN KISGAZDAPÁRT,"MSZP,SZDSZ-A MAGYAR LIBERÁLIS PÁRT","SZDSZ-A MAGYAR LIBERÁLIS PÁRT,MSZP",M NY P,"MDF,M NY P",LÉTALAP PÁRT,ÉLÕLÁNC,"MDF,FIDESZ,KDNP",SOMOGYÉRT,"MDF,ÖSSZEFOGÁS MEGYÉNKÉRT",MESZ
HU_1421,Budapest_XI.,108969,87069,1076,0,8204,2753,33720,5811,35358,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2469,Budapest_XII.,49594,40888,265,0,5316,1205,19425,2105,12572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2429,Budapest_XIII.,87781,64012,848,0,9046,1706,17807,2289,32113,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1633,Budapest_XIV.,92866,71298,615,0,8828,1083,25654,3360,31758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1131,Budapest_XV.,67256,49007,392,0,3012,1489,15106,2204,26804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0820,Budapest_XVI.,56878,44131,273,0,3205,1611,16766,2608,19668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0211,Budapest_XVII.,65240,48808,305,0,4133,1281,17085,2029,21271,298,1177,0,1229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2928,Budapest_XVIII.,77991,56937,330,0,4042,1375,19158,2452,29159,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0401,Budapest_XIX.,49891,36571,267,0,2961,792,11681,1677,18837,280,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0602,Budapest_XX.,52615,36719,361,0,2322,638,11375,1905,20000,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1318,Budapest_XXI.,63084,44031,391,0,3599,0,12634,2072,23621,412,1302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1021,Budapest_XXII.,41963,32157,323,0,2681,1113,13299,0,14741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3413,Budapest_XXIII.,17146,12141,88,0,669,313,3928,591,6552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1254,Abaliget,498,323,12,0,12,2,92,6,164,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0686,Adorjás,146,78,3,0,1,0,26,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1332,Almamellék,350,238,3,0,4,5,101,4,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2037,Almáskeresztúr,72,49,1,0,3,1,22,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1738,Alsómocsolád,271,160,1,0,5,0,90,7,53,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
HU_3327,Alsószentmárton,706,503,6,0,3,0,257,18,217,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2729,Apátvarasd,104,68,0,0,33,0,15,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0688,Aranyosgadány,285,178,2,0,10,0,57,5,93,0,0,0,0,0,4,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0
HU_2581,Ág,142,90,1,0,0,0,23,1,64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2858,Áta,171,108,3,0,1,0,36,10,56,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0540,Babarc,661,440,3,0,12,0,245,12,160,2,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0966,Babarcszõlõs,96,55,1,0,0,0,31,1,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0829,Bakonya,287,216,0,0,7,3,65,5,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2227,Bakóca,283,174,2,0,3,0,89,3,75,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0397,Baksa,631,385,3,0,22,0,94,17,247,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2046,Baranyahídvég,175,121,2,0,4,0,37,3,74,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2474,Baranyajenõ,359,181,1,0,9,0,48,6,112,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0548,Baranyaszentgyörgy,149,103,0,0,3,0,68,5,25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_1549,Basal,156,101,5,0,0,4,44,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
