gisco_id,name,registered,turnout,invalid,blank,MIÉP,CENTRUM,MSZP,MUNKÁSPÁRT,SZDSZ,FIDESZ-MDF,FÜGGETLEN KISGAZDAPÁRT,MAGYAR SZOCIALISTA MUNKÁSPÁRT,ÚJ BALOLDAL,ÖSSZEFOGÁS A FENNMARADÁSÉRT,KISGAZDAPÁRT,REFORM KISGAZDAPÁRT,Ind.,MAVEP,M.NY.P,ZÖLDEK,FMDP,SZDP,DRP,KPDP,PEST1601,MSZDP-MSZP,MRP,MSZP-SZDSZ
HU_0956,Budapest_I.,23354,19204,110,0,1948,1069,5116,199,3146,7616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0317,Budapest_II.,73159,61820,253,0,6140,3254,18803,613,9206,23551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1806,Budapest_III.,106007,84417,712,0,5574,3343,36528,1406,9125,27400,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0546,Budapest_IV.,81861,62532,507,0,3240,866,31401,1144,4996,19733,155,233,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1339,Budapest_V.,26317,20928,223,0,1774,0,6455,364,4608,7504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1658,Budapest_VI.,36698,27143,273,0,2045,1623,9974,457,3876,8895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2974,Budapest_VII.,50790,36500,398,0,2595,1859,16015,601,4525,10507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2540,Budapest_VIII.,62302,41927,508,0,2857,1980,15816,760,7086,12920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2958,Budapest_IX.,49986,36154,403,0,2489,1968,15678,308,4496,10812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1070,Budapest_X.,63732,47055,321,0,2245,2859,23833,974,2796,14027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1421,Budapest_XI.,113871,93583,765,0,7611,3634,36813,1352,9283,34030,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2469,Budapest_XII.,51936,43524,216,0,4102,2135,12089,557,6533,17892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2429,Budapest_XIII.,89543,68174,510,0,4566,1420,34625,1503,8585,16850,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1633,Budapest_XIV.,96642,77156,597,0,4931,3835,31517,1447,11980,22574,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1131,Budapest_XV.,68862,53208,397,0,3958,2756,27918,825,3495,13480,0,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0820,Budapest_XVI.,57378,45980,383,0,3942,2694,18635,746,3368,15592,172,0,0,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0211,Budapest_XVII.,64200,49472,287,0,3133,3907,22283,822,3484,15295,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2928,Budapest_XVIII.,77751,59278,426,0,3503,960,30559,1216,4477,17964,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0401,Budapest_XIX.,52496,40415,269,0,2352,2906,20695,709,2196,11188,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0602,Budapest_XX.,53167,39249,411,0,2277,2171,20411,229,2288,11298,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1318,Budapest_XXI.,65367,48704,474,0,2237,2933,24544,1870,4680,11966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1021,Budapest_XXII.,41993,33455,205,0,2884,1750,14819,0,2599,11198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3413,Budapest_XXIII.,16854,12742,117,0,718,752,6452,0,938,3712,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1254,Abaliget,498,362,3,0,5,0,213,5,14,121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0686,Adorjás,135,97,5,0,0,0,32,1,0,22,3,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0
HU_1332,Almamellék,367,237,2,0,1,3,116,23,12,77,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2037,Almáskeresztúr,81,58,0,0,0,0,31,2,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1738,Alsómocsolád,255,176,0,0,7,2,57,16,6,87,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HU_3327,Alsószentmárton,677,444,7,0,0,0,65,1,1,10,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0
HU_2729,Apátvarasd,116,90,3,0,0,1,20,0,44,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0688,Aranyosgadány,257,188,2,0,7,7,91,5,2,64,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
HU_2581,Ág,143,99,8,0,0,0,63,1,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2858,Áta,172,117,2,0,2,2,57,1,9,38,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0
HU_0540,Babarc,661,463,3,0,11,8,174,2,34,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0966,Babarcszõlõs,117,60,1,0,1,4,10,23,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0829,Bakonya,295,227,4,0,3,0,122,18,4,66,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2227,Bakóca,298,208,3,0,1,2,79,2,39,77,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
HU_0397,Baksa,607,402,4,0,5,13,227,37,16,76,3,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
HU_2046,Baranyahídvég,166,137,1,0,0,0,38,1,0,13,1,0,0,0,0,0,81,2,0,0,0,0,0,0,0,0,0,0
HU_2474,Baranyajenõ,370,207,7,0,8,1,119,4,19,46,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HU_0548,Baranyaszentgyörgy,149,109,0,0,5,5,23,1,28,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
