gisco_id,name,registered,turnout,invalid,blank,MIÉP,CENTRUM,MSZP,MUNKÁSPÁRT,SZDSZ,FIDESZ-MDF,FÜGGETLEN KISGAZDAPÁRT,MAGYAR SZOCIALISTA MUNKÁSPÁRT,ÚJ BALOLDAL,ÖSSZEFOGÁS A FENNMARADÁSÉRT,KISGAZDAPÁRT,REFORM KISGAZDAPÁRT,Ind.,MAVEP,M.NY.P,ZÖLDEK,FMDP,SZDP,DRP,KPDP,PEST1601,MSZDP-MSZP,MRP,MSZP-SZDSZ
HU_1549,Basal,153,113,1,0,6,1,31,4,8,57,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0760,Bánfa,165,113,6,0,3,2,38,1,15,41,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2437,Bár,508,358,2,0,11,4,115,14,24,183,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1900,Belvárdgyula,334,245,2,0,1,4,115,3,8,108,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3192,Beremend,2234,1505,19,0,41,26,520,22,506,335,4,0,0,0,0,1,26,5,0,0,0,0,0,0,0,0,0,0
HU_1646,Berkesd,684,419,8,0,8,3,154,23,11,177,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3004,Besence,110,76,1,0,0,0,18,0,9,15,1,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
HU_1411,Bezedek,241,169,3,0,2,2,40,4,1,116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1331,Bicsérd,747,525,13,0,8,21,263,8,8,190,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0489,Bikal,720,518,4,0,16,15,281,9,52,137,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
HU_0513,Birján,355,263,4,0,12,8,109,3,11,112,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2492,Bisse,201,126,2,0,1,5,48,2,12,27,3,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0
HU_2089,Boda,339,241,3,0,8,7,101,4,5,107,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3300,Bodolyabér,241,152,3,0,4,1,71,5,12,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3215,Bogád,597,417,4,0,18,19,183,13,15,151,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2189,Bogádmindszent,333,249,3,0,3,2,76,2,5,122,0,0,0,0,0,0,30,6,0,0,0,0,0,0,0,0,0,0
HU_1069,Bogdása,255,161,3,0,6,1,76,1,4,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1311,Boldogasszonyfa,402,266,6,0,3,4,125,19,5,100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0672,Borjád,345,258,1,0,7,1,84,2,39,121,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1436,Bosta,98,77,2,0,4,6,50,0,4,7,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
HU_1336,Botykapeterd,271,175,3,0,7,2,72,4,8,75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3315,Bóly,2900,2156,13,0,56,33,601,10,395,1045,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2316,Bükkösd,997,607,16,0,99,104,181,13,30,159,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0753,Bürüs,77,55,2,0,0,3,15,2,7,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3061,Csarnóta,125,98,0,0,6,1,32,10,5,42,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HU_1990,Csányoszró,579,398,4,0,3,4,121,5,8,122,2,0,0,0,0,0,116,13,0,0,0,0,0,0,0,0,0,0
HU_2159,Csebény,92,56,1,0,1,2,23,3,4,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2608,Cserdi,249,132,2,0,23,4,38,6,6,49,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0389,Cserkút,319,247,1,0,15,0,149,8,12,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1385,Csertõ,339,214,1,0,6,4,74,2,31,82,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2257,Csonkamindszent,136,103,2,0,3,2,38,1,4,32,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1108,Cún,207,145,1,0,0,1,66,1,0,44,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
HU_0777,Dencsháza,487,257,1,0,4,3,152,5,18,72,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1195,Dinnyeberki,92,58,1,0,28,3,4,0,1,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3237,Diósviszló,549,378,7,0,9,3,121,6,4,208,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
HU_2861,Drávacsehi,181,131,5,0,7,2,59,2,5,33,1,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0
HU_2812,Drávacsepely,190,151,3,0,7,1,58,4,2,69,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
HU_1741,Drávafok,420,294,4,0,13,3,129,7,24,110,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3239,Drávaiványi,177,142,1,0,1,2,63,7,1,10,1,0,0,0,0,0,4,52,0,0,0,0,0,0,0,0,0,0
HU_0915,Drávakeresztúr,140,92,4,0,1,4,29,4,9,38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2273,Drávapalkonya,231,149,2,0,5,1,73,9,10,40,2,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0
HU_1238,Drávapiski,77,58,4,0,0,0,25,0,0,18,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
HU_2860,Drávaszabolcs,559,401,5,0,12,4,186,12,8,143,4,0,0,0,0,5,20,2,0,0,0,0,0,0,0,0,0,0
HU_3003,Drávaszerdahely,177,134,2,0,10,2,44,1,5,63,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0
HU_2169,Drávasztára,410,294,3,0,4,1,54,4,0,62,1,0,0,0,0,0,27,138,0,0,0,0,0,0,0,0,0,0
HU_0918,Dunaszekcsõ,1848,1197,6,0,47,22,481,21,65,540,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2891,Egerág,787,539,6,0,14,31,241,8,14,201,3,0,0,0,0,1,18,2,0,0,0,0,0,0,0,0,0,0
HU_1649,Egyházasharaszti,261,184,1,0,15,5,58,2,14,81,3,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0
HU_2740,Egyházaskozár,743,517,2,0,15,12,288,17,29,122,20,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
HU_0609,Ellend,205,160,1,0,7,8,54,9,2,60,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2827,Endrõc,345,226,2,0,0,2,103,6,7,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2582,Erdõsmárok,88,68,0,0,2,1,28,0,6,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1870,Erdõsmecske,360,204,2,0,3,2,47,8,84,56,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1349,Erzsébet,276,191,3,0,12,3,78,1,19,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1783,Fazekasboda,189,133,1,0,1,1,40,0,29,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0454,Feked,215,170,2,0,3,2,50,2,48,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1328,Felsõegerszeg,127,87,3,0,0,0,24,0,47,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0881,Felsõszentmárton,909,665,12,0,3,8,386,26,21,194,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0756,Garé,270,196,6,0,6,3,115,3,4,37,6,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0
HU_1275,Gerde,408,262,2,0,2,2,103,2,5,144,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0285,Geresdlak,825,565,6,0,16,10,156,10,90,275,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1334,Gerényes,209,127,1,0,2,1,27,3,34,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1833,Gilvánfa,208,140,3,0,1,1,6,0,2,9,0,0,0,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0
HU_3308,Gordisa,202,145,11,0,2,3,46,9,5,53,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0
HU_3323,Gödre,814,516,15,0,10,7,176,4,38,252,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HU_3043,Görcsöny,1354,923,15,0,21,31,497,24,56,268,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
HU_0963,Görcsönydoboka,374,239,2,0,2,12,79,4,19,117,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1831,Gyód,457,322,2,0,4,13,136,10,11,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2840,Gyöngyfa,105,64,0,0,12,2,18,2,3,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2266,Gyöngyösmellék,225,136,1,0,5,3,23,1,6,93,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2152,Harkány,2911,2228,22,0,216,64,652,31,59,1005,77,0,0,0,0,24,72,6,0,0,0,0,0,0,0,0,0,0
HU_2788,Hásságy,251,215,0,0,8,7,62,3,14,120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3095,Hegyhátmaróc,188,135,0,0,1,1,81,6,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2102,Hegyszentmárton,366,221,0,0,1,3,58,4,1,137,1,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0
HU_1719,Helesfa,368,190,7,0,56,5,60,8,4,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0712,Hetvehely,403,276,6,0,4,1,143,6,12,98,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0679,Hidas,1892,1248,10,0,49,33,431,11,149,561,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2793,Himesháza,999,722,5,0,14,25,229,3,71,368,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0328,Hirics,179,110,4,0,1,0,17,0,1,20,2,0,0,0,0,1,62,2,0,0,0,0,0,0,0,0,0,0
HU_3393,Hobol,816,539,3,0,6,11,202,13,44,257,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2996,Homorúd,620,384,4,0,13,2,105,6,44,191,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2307,Horváthertelend,68,53,1,0,0,8,15,5,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3083,Hosszúhetény,2554,1653,18,0,48,71,688,35,113,640,24,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
HU_3143,Husztót,61,48,0,0,0,0,31,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3306,Ibafa,192,126,1,0,8,3,54,2,7,47,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3193,Illocska,202,141,6,0,1,2,80,3,6,36,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
HU_2994,Ipacsfa,182,137,0,0,3,2,58,1,3,63,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
HU_0333,Ivánbattyán,125,109,2,0,0,3,73,1,1,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HU_0334,Ivándárda,220,153,2,0,0,0,76,1,9,63,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0429,Kacsóta,242,153,3,0,5,0,71,11,7,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0696,Katádfa,126,70,0,0,3,3,23,3,1,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0641,Kákics,203,126,0,0,2,0,46,4,1,31,3,0,0,0,0,1,19,19,0,0,0,0,0,0,0,0,0,0
HU_0599,Kárász,324,244,3,0,8,10,83,3,29,94,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
HU_1746,Kásád,311,226,9,0,4,2,100,0,38,64,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
HU_1913,Kátoly,302,223,5,0,1,4,105,5,12,87,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0678,Kemse,60,50,0,0,1,0,7,0,0,25,1,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0
HU_0383,Keszü,633,529,2,0,17,15,262,4,20,199,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
HU_1680,Kékesd,178,118,1,0,5,2,26,2,30,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1054,Kémes,446,328,2,0,8,6,145,5,10,90,3,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0
HU_0857,Kétújfalu,571,393,4,0,3,8,174,1,14,185,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2055,Királyegyháza,818,466,8,0,9,17,208,11,15,192,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1890,Kisasszonyfa,172,126,2,0,0,0,71,5,1,39,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
HU_0572,Kisbeszterce,86,49,0,0,0,1,28,4,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2286,Kisbudmér,96,66,1,0,3,1,19,0,8,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1118,Kisdér,111,92,4,0,2,1,18,36,1,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_3390,Kisdobsza,219,154,3,0,3,0,44,1,2,87,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0683,Kishajmás,174,122,1,0,0,0,74,2,11,32,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HU_2702,Kisharsány,422,272,2,0,7,15,97,3,7,117,3,0,0,0,0,9,11,1,0,0,0,0,0,0,0,0,0,0
HU_1697,Kisherend,187,123,4,0,1,5,45,6,5,51,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0
HU_1284,Kisjakabfalva,141,86,2,0,4,1,34,0,2,41,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
HU_1991,Kiskassa,235,173,2,0,0,2,116,4,3,43,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
HU_2161,Kislippó,257,201,1,0,1,2,125,2,11,54,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
HU_3321,Kisnyárád,191,159,2,0,3,0,80,2,25,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0865,Kisszentmárton,206,160,3,0,0,0,43,0,1,30,3,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0
HU_1235,Kistamási,102,80,1,0,0,1,8,6,11,51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0315,Kistapolca,163,106,0,0,1,2,59,1,5,33,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
HU_1074,Kistótfalu,287,201,0,0,2,3,114,2,3,47,0,0,0,0,0,1,28,1,0,0,0,0,0,0,0,0,0,0
HU_0954,Kisvaszar,249,166,2,0,0,2,42,3,15,99,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
HU_2640,Komló,23765,16747,125,0,285,1303,8981,830,1028,4039,56,0,0,0,0,0,19,0,81,0,0,0,0,0,0,0,0,0
HU_2422,Kovácshida,224,147,0,0,4,1,39,5,11,72,5,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0
HU_1451,Kovácsszénája,60,51,1,0,1,0,31,2,2,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0633,Kozármisleny,3211,2451,6,0,68,105,1212,41,116,880,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0811,Kórós,175,115,3,0,1,0,14,5,1,26,4,0,0,0,0,0,60,1,0,0,0,0,0,0,0,0,0,0
HU_2524,Köblény,242,183,2,0,0,2,104,27,10,35,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
HU_0354,Kökény,447,352,5,0,5,6,178,52,7,96,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
HU_1789,Kölked,870,528,4,0,12,0,164,16,69,254,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1553,Kővágószőlős,1312,888,11,0,45,0,462,37,25,301,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0647,Lapáncsa,181,117,2,0,1,1,37,1,8,56,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
HU_3333,Lánycsók,2176,1476,10,0,49,36,558,18,77,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1760,Liget,333,218,7,0,0,11,121,6,31,38,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
HU_2297,Lippó,495,340,7,0,3,7,170,5,23,123,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1003,Liptód,211,130,3,0,3,7,43,0,14,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3138,Lothárd,214,151,1,0,5,3,90,8,5,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2462,Lovászhetény,248,131,2,0,1,9,56,11,25,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1886,Lúzsok,149,105,8,0,2,0,17,1,2,40,1,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0
HU_2517,Magyarbóly,851,608,4,0,11,34,200,7,11,329,5,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0
HU_2975,Magyaregregy,729,517,10,0,10,8,211,21,35,203,6,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
HU_0543,Magyarhertelend,552,435,3,0,9,5,219,10,26,158,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
HU_2354,Magyarlukafa,83,53,1,0,2,1,20,3,2,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0541,Magyarmecske,253,169,3,0,0,5,63,1,11,71,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
HU_2706,Magyarsarlós,268,207,2,0,2,9,80,1,9,97,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2260,Magyarszék,901,669,9,0,11,31,322,17,53,213,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
HU_0438,Magyartelek,180,148,0,0,6,1,113,2,0,19,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
HU_2786,Majs,916,607,5,0,8,11,243,9,31,296,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2992,Maráza,177,125,5,0,1,3,52,0,19,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1644,Markóc,62,44,0,0,1,0,11,3,3,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1521,Marócsa,105,85,2,0,0,0,48,8,6,9,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0
HU_0222,Martonfa,160,133,0,0,0,4,64,0,36,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1505,Matty,301,212,2,0,7,1,57,3,3,108,4,0,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0
HU_0681,Mágocs,2100,1330,14,0,41,40,546,32,96,545,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
