gisco_id,name,registered,turnout,invalid,blank,FÜGGETLEN KISGAZDAPÁRT,CENTRUM,MUNKÁSPÁRT,MSZP,SZDSZ,MIÉP,FIDESZ MDF,SZABAD DEMOKRATÁK SZÖVETSÉGE,FIDESZ-MDF,MAGYAR IGAZSÁG ÉS ÉLET PÁRJA,MAGYAR SZOCIALISTA PÁRT,REFORM KISGAZDAPÁRT,ÚJ-BAL,MAVEP,MAGYAR  SZOCIALISTA PÁRT,MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA,ÚJ BALOLDAL,RKGP,MRP,SZOCIÁLDEMOKRATA PÁRT,KISGAZDAPÁRT,ÚJ BAL
HU_0379,Csákány,232,119,5,0,1,2,2,0,0,5,0,6,68,0,30,0,0,0,0,0,0,0,0,0,0,0
HU_2568,Cserénfa,211,152,2,0,4,7,4,0,0,4,0,6,61,0,64,0,0,0,0,0,0,0,0,0,0,0
HU_0597,Csokonyavisonta,1278,816,18,0,35,54,35,0,0,30,0,26,349,0,269,0,0,0,0,0,0,0,0,0,0,0
HU_0804,Csoma,406,269,1,0,3,17,8,0,0,8,0,4,121,0,107,0,0,0,0,0,0,0,0,0,0,0
HU_0247,Csombárd,230,165,3,0,4,6,7,0,0,3,0,3,62,0,77,0,0,0,0,0,0,0,0,0,0,0
HU_2431,Csököly,823,400,3,0,14,7,8,0,0,14,0,5,269,0,80,0,0,0,0,0,0,0,0,0,0,0
HU_2727,Csömend,265,172,5,0,1,3,3,0,0,1,0,5,97,0,57,0,0,0,0,0,0,0,0,0,0,0
HU_2131,Csurgó,4496,3142,20,0,48,84,42,0,0,94,0,89,1341,0,1424,0,0,0,0,0,0,0,0,0,0,0
HU_1060,Csurgónagymarton,160,118,1,0,13,2,2,0,0,4,0,2,79,0,15,0,0,0,0,0,0,0,0,0,0,0
HU_3135,Darány,778,488,6,0,3,40,3,0,0,26,0,20,234,0,156,0,0,0,0,0,0,0,0,0,0,0
HU_1361,Drávagárdony,114,77,1,0,1,13,0,0,0,1,0,4,31,0,26,0,0,0,0,0,0,0,0,0,0,0
HU_1588,Drávatamási,210,143,1,0,3,7,2,0,0,7,0,6,80,0,37,0,0,0,0,0,0,0,0,0,0,0
HU_1086,Ecseny,243,176,2,0,0,7,2,0,0,32,0,2,82,0,49,0,0,0,0,0,0,0,0,0,0,0
HU_0348,Edde,178,132,3,0,1,2,6,0,0,1,0,4,66,0,49,0,0,0,0,0,0,0,0,0,0,0
HU_1398,Felsõmocsolád,437,265,6,0,4,5,0,0,0,6,0,10,123,0,111,0,0,0,0,0,0,0,0,0,0,0
HU_3164,Fiad,142,96,3,0,9,1,5,0,0,1,0,0,18,0,59,0,0,0,0,0,0,0,0,0,0,0
HU_2202,Fonó,298,212,1,0,6,8,1,0,0,3,0,2,87,0,104,0,0,0,0,0,0,0,0,0,0,0
HU_1463,Fonyód,4405,3121,14,0,31,150,30,0,0,147,0,181,1321,0,1247,0,0,0,0,0,0,0,0,0,0,0
HU_2270,Fõnyed,81,41,1,0,0,0,2,0,0,2,0,4,26,0,6,0,0,0,0,0,0,0,0,0,0,0
HU_2826,Gadács,113,84,1,0,11,2,8,0,0,5,0,1,40,0,16,0,0,0,0,0,0,0,0,0,0,0
HU_2622,Gadány,276,154,0,0,0,3,4,0,0,4,0,9,99,0,35,0,0,0,0,0,0,0,0,0,0,0
HU_0645,Gamás,709,416,11,0,8,10,7,0,0,9,0,13,179,0,179,0,0,0,0,0,0,0,0,0,0,0
HU_0658,Gálosfa,251,149,2,0,1,4,8,0,0,5,0,7,86,0,36,0,0,0,0,0,0,0,0,0,0,0
HU_0917,Gige,242,148,4,0,3,2,1,0,0,9,0,0,86,0,43,0,0,0,0,0,0,0,0,0,0,0
HU_3057,Gölle,925,631,12,0,14,12,16,0,0,11,0,18,240,0,308,0,0,0,0,0,0,0,0,0,0,0
HU_1459,Görgeteg,891,541,23,0,5,50,12,0,0,15,0,5,281,0,150,0,0,0,0,0,0,0,0,0,0,0
HU_3096,Gyékényes,894,596,6,0,9,13,6,0,0,43,0,10,304,0,205,0,0,0,0,0,0,0,0,0,0,0
HU_2390,Gyugy,221,158,0,0,0,4,2,0,0,2,0,6,71,0,73,0,0,0,0,0,0,0,0,0,0,0
HU_2583,Hajmás,165,109,2,0,0,7,2,0,0,1,0,5,63,0,29,0,0,0,0,0,0,0,0,0,0,0
HU_1863,Hács,346,199,2,0,1,2,12,0,0,2,0,7,104,0,69,0,0,0,0,0,0,0,0,0,0,0
HU_0883,Háromfa,664,405,5,0,6,51,5,0,0,8,0,11,171,0,148,0,0,0,0,0,0,0,0,0,0,0
HU_1672,Hedrehely,412,224,2,0,2,1,3,0,0,8,0,3,118,0,87,0,0,0,0,0,0,0,0,0,0,0
HU_0994,Hencse,305,200,2,0,3,8,8,0,0,4,0,2,100,0,73,0,0,0,0,0,0,0,0,0,0,0
HU_2484,Heresznye,239,165,3,0,4,16,7,0,0,3,0,7,54,0,71,0,0,0,0,0,0,0,0,0,0,0
HU_0992,Hetes,886,610,3,0,20,24,13,0,0,23,0,11,276,0,240,0,0,0,0,0,0,0,0,0,0,0
HU_0621,Hollád,241,155,4,0,6,3,9,0,0,2,0,3,85,0,43,0,0,0,0,0,0,0,0,0,0,0
HU_1915,Homokszentgyörgy,968,520,15,0,4,34,13,0,0,6,0,13,182,0,253,0,0,0,0,0,0,0,0,0,0,0
HU_3077,Hosszúvíz,53,44,0,0,0,5,1,0,0,2,0,0,14,0,22,0,0,0,0,0,0,0,0,0,0,0
HU_1119,Igal,1064,697,10,0,30,30,15,0,0,19,0,23,275,0,295,0,0,0,0,0,0,0,0,0,0,0
HU_1961,Iharos,420,252,4,0,4,8,8,0,0,19,0,1,117,0,91,0,0,0,0,0,0,0,0,0,0,0
HU_2778,Iharosberény,1029,652,10,0,13,15,7,0,0,29,0,14,269,0,295,0,0,0,0,0,0,0,0,0,0,0
HU_2630,Inke,956,518,7,0,6,9,4,0,0,11,0,9,340,0,132,0,0,0,0,0,0,0,0,0,0,0
HU_2133,Istvándi,431,273,6,0,5,23,1,0,0,2,0,9,130,0,97,0,0,0,0,0,0,0,0,0,0,0
HU_1592,Jákó,542,315,5,0,18,8,9,0,0,9,0,19,115,0,132,0,0,0,0,0,0,0,0,0,0,0
HU_1727,Juta,927,684,9,0,5,41,11,0,0,19,0,27,350,0,222,0,0,0,0,0,0,0,0,0,0,0
HU_2645,Kadarkút,2106,1239,15,0,16,37,12,0,0,40,0,22,623,0,474,0,0,0,0,0,0,0,0,0,0,0
HU_3339,Kapoly,588,348,10,0,12,14,0,0,0,18,0,12,154,0,128,0,0,0,0,0,0,0,0,0,0,0
HU_0909,Kaposfõ,1400,892,2,0,7,29,14,0,0,32,0,35,459,0,314,0,0,0,0,0,0,0,0,0,0,0
HU_2881,Kaposgyarmat,99,80,1,0,5,7,3,0,0,0,0,1,43,0,20,0,0,0,0,0,0,0,0,0,0,0
HU_2586,Kaposhomok,322,214,2,0,7,4,7,0,0,11,0,23,73,0,87,0,0,0,0,0,0,0,0,0,0,0
HU_1266,Kaposkeresztúr,274,133,0,0,12,7,3,0,0,6,0,3,54,0,48,0,0,0,0,0,0,0,0,0,0,0
HU_1822,Kaposmérõ,2030,1405,17,0,8,46,19,0,0,34,0,62,670,0,549,0,0,0,0,0,0,0,0,0,0,0
HU_0642,Kaposszerdahely,788,503,5,0,10,50,9,0,0,13,0,24,225,0,167,0,0,0,0,0,0,0,0,0,0,0
HU_1573,Kaposújlak,548,378,8,0,3,9,8,0,0,13,0,16,188,0,133,0,0,0,0,0,0,0,0,0,0,0
HU_2047,Kaposvár,55362,40443,297,0,209,1257,683,0,0,1444,0,1873,16092,0,18588,0,0,0,0,0,0,0,0,0,0,0
HU_0526,Karád,1426,908,13,0,16,11,14,0,0,34,0,8,512,0,300,0,0,0,0,0,0,0,0,0,0,0
HU_0841,Kastélyosdombó,217,147,0,0,3,6,8,0,0,5,0,4,70,0,51,0,0,0,0,0,0,0,0,0,0,0
HU_3419,Kaszó,123,66,1,0,1,11,1,0,0,1,0,2,21,0,28,0,0,0,0,0,0,0,0,0,0,0
HU_2688,Kazsok,260,138,4,0,5,9,2,0,0,4,0,1,59,0,54,0,0,0,0,0,0,0,0,0,0,0
HU_0610,Kálmáncsa,583,315,9,0,10,70,7,0,0,4,0,6,109,0,100,0,0,0,0,0,0,0,0,0,0,0
HU_0527,Kánya,389,255,0,0,2,8,31,0,0,9,0,5,118,0,82,0,0,0,0,0,0,0,0,0,0,0
HU_0535,Kára,61,49,4,0,1,2,3,0,0,0,0,0,24,0,15,0,0,0,0,0,0,0,0,0,0,0
HU_1744,Kelevíz,259,172,1,0,2,2,4,0,0,4,0,5,81,0,73,0,0,0,0,0,0,0,0,0,0,0
HU_1438,Kercseliget,340,198,2,0,2,8,6,0,0,20,0,8,104,0,48,0,0,0,0,0,0,0,0,0,0,0
HU_0459,Kereki,454,296,7,0,2,4,6,0,0,4,0,2,135,0,136,0,0,0,0,0,0,0,0,0,0,0
HU_1117,Kéthely,1793,1172,7,0,7,26,6,0,0,52,0,40,622,0,412,0,0,0,0,0,0,0,0,0,0,0
HU_1905,Kisasszond,139,108,2,0,1,3,3,0,0,2,0,1,59,0,37,0,0,0,0,0,0,0,0,0,0,0
HU_2438,Kisbajom,336,218,5,0,2,31,7,0,0,2,0,3,104,0,64,0,0,0,0,0,0,0,0,0,0,0
HU_2449,Kisbárapáti,433,251,11,0,1,16,14,0,0,2,0,8,64,0,135,0,0,0,0,0,0,0,0,0,0,0
HU_3082,Kisberény,131,82,3,0,5,4,5,0,0,1,0,6,36,0,22,0,0,0,0,0,0,0,0,0,0,0
HU_0482,Kisgyalán,207,137,1,0,2,5,8,0,0,3,0,10,53,0,55,0,0,0,0,0,0,0,0,0,0,0
HU_1378,Kiskorpád,727,381,6,0,4,15,6,0,0,11,0,15,196,0,128,0,0,0,0,0,0,0,0,0,0,0
HU_0985,Komlósd,172,120,3,0,0,13,4,0,0,1,0,0,64,0,35,0,0,0,0,0,0,0,0,0,0,0
HU_1814,Kötcse,446,282,3,0,2,6,1,0,0,2,0,9,167,0,92,0,0,0,0,0,0,0,0,0,0,0
HU_1374,Kõkút,455,176,3,0,10,19,0,0,0,2,0,5,67,0,70,0,0,0,0,0,0,0,0,0,0,0
HU_1551,Kõröshegy,1403,912,10,0,7,34,18,0,0,31,0,28,413,0,371,0,0,0,0,0,0,0,0,0,0,0
HU_2885,Kutas,1187,731,14,0,2,41,13,0,0,29,0,19,335,0,278,0,0,0,0,0,0,0,0,0,0,0
HU_1625,Lad,568,364,6,0,6,41,6,0,0,10,0,4,155,0,136,0,0,0,0,0,0,0,0,0,0,0
HU_1104,Lakócsa,460,248,6,0,4,32,4,0,0,10,0,6,104,0,82,0,0,0,0,0,0,0,0,0,0,0
HU_2829,Lábod,1748,1066,11,0,8,87,25,0,0,47,0,31,419,0,438,0,0,0,0,0,0,0,0,0,0,0
HU_1486,Látrány,1103,713,7,0,12,10,22,0,0,27,0,9,331,0,295,0,0,0,0,0,0,0,0,0,0,0
HU_2667,Lengyeltóti,2596,1646,14,0,12,49,35,0,0,57,0,45,728,0,706,0,0,0,0,0,0,0,0,0,0,0
HU_3235,Libickozma,41,32,0,0,2,1,2,0,0,1,0,4,20,0,2,0,0,0,0,0,0,0,0,0,0,0
HU_1001,Lulla,192,162,2,0,3,5,0,0,0,2,0,2,105,0,43,0,0,0,0,0,0,0,0,0,0,0
HU_1042,Magyaratád,807,568,9,0,14,17,12,0,0,18,0,3,271,0,224,0,0,0,0,0,0,0,0,0,0,0
HU_2537,Magyaregres,478,279,3,0,3,10,9,0,0,6,0,10,112,0,126,0,0,0,0,0,0,0,0,0,0,0
HU_1850,Marcali,10140,6875,112,0,32,200,79,0,0,178,0,208,2714,0,3352,0,0,0,0,0,0,0,0,0,0,0
HU_2363,Mernye,1282,972,7,0,12,26,21,0,0,20,0,21,385,0,480,0,0,0,0,0,0,0,0,0,0,0
HU_1610,Mesztegnyõ,1124,671,9,0,14,22,12,0,0,23,0,16,295,0,280,0,0,0,0,0,0,0,0,0,0,0
HU_3085,Mezõcsokonya,930,560,7,0,5,15,6,0,0,2,0,25,264,0,236,0,0,0,0,0,0,0,0,0,0,0
HU_2090,Mike,531,295,6,0,8,24,5,0,0,3,0,5,124,0,120,0,0,0,0,0,0,0,0,0,0,0
HU_3337,Miklósi,227,171,4,0,1,4,1,0,0,4,0,2,126,0,29,0,0,0,0,0,0,0,0,0,0,0
HU_3134,Mosdós,851,580,8,0,5,28,12,0,0,30,0,16,278,0,203,0,0,0,0,0,0,0,0,0,0,0
HU_1794,Nagyatád,9964,7102,71,0,66,904,149,0,0,194,0,256,2317,0,3145,0,0,0,0,0,0,0,0,0,0,0
HU_2165,Nagybajom,2598,1453,26,0,12,80,14,0,0,33,0,42,646,0,600,0,0,0,0,0,0,0,0,0,0,0
