gisco_id,id,name_or,level,start_date,end_date,predecessors,parent,names,type
AT_2A099,AT_2A099,Wahlkarten - Klagenfurt,,,,,AT212,,Postal Vote
AT_2A999,AT_2A999,Wahlkarten,,,,,AT212,,Postal Vote
AT_2B099,AT_2B099,Wahlkarten - Villach,,,,,AT212,,Postal Vote
AT_2B999,AT_2B999,Wahlkarten,,,,,AT212,,Postal Vote
AT_2C099,AT_2C099,Wahlkarten - Kärnten West,,,,,AT212,,Postal Vote
AT_2C999,AT_2C999,Wahlkarten,,,,,AT212,,Postal Vote
AT_2D099,AT_2D099,Wahlkarten - Kärnten Ost,,,,,AT212,,Postal Vote
AT_2D999,AT_2D999,Wahlkarten,,,,,AT212,,Postal Vote
AT_30099,AT_30099,nichtzuordenbare Wahlkarten - Niederösterreich,,,,,AT127,,Postal Vote
AT_30199,AT_30199,Briefwahlkarten - Krems an der Donau(Stadt),,,,,AT124,,Postal Vote
AT_30299,AT_30299,Briefwahlkarten - Sankt Pölten(Stadt),,,,,AT123,,Postal Vote
AT_30399,AT_30399,Briefwahlkarten - Waidhofen an der Ybbs(Stadt),,,,,AT121,,Postal Vote
AT_30499,AT_30499,Briefwahlkarten - Wiener Neustadt(Stadt),,,,,AT122,,Postal Vote
AT_30599,AT_30599,Briefwahlkarten - Amstetten,,,,,AT121,,Postal Vote
AT_30699,AT_30699,Briefwahlkarten - Baden,,,,,AT127,,Postal Vote
AT_30799,AT_30799,Briefwahlkarten - Bruck an der Leitha,,,,,AT127,,Postal Vote
AT_30899,AT_30899,Briefwahlkarten - Gänserndorf,,,,,AT126,,Postal Vote
AT_30999,AT_30999,Briefwahlkarten - Gmünd,,,,,AT124,,Postal Vote
AT_31099,AT_31099,Briefwahlkarten - Hollabrunn,,,,,AT125,,Postal Vote
AT_31199,AT_31199,Briefwahlkarten - Horn,,,,,AT124,,Postal Vote
AT_31299,AT_31299,Briefwahlkarten - Korneuburg,,,,,AT126,,Postal Vote
AT_31399,AT_31399,Briefwahlkarten - Krems(Land),,,,,AT124,,Postal Vote
AT_31499,AT_31499,Briefwahlkarten - Lilienfeld,,,,,AT122,,Postal Vote
AT_31599,AT_31599,Briefwahlkarten - Melk,,,,,AT121,,Postal Vote
AT_31699,AT_31699,Briefwahlkarten - Mistelbach,,,,,AT125,,Postal Vote
AT_31799,AT_31799,Briefwahlkarten - Mödling,,,,,AT127,,Postal Vote
