id,gisco_id,name_or,level,start_date,end_date,predecessors,parent,names
AT11,AT11,Burgenland,NUTS 2,,,,AT1,"[{""start_date"": """", ""end_date"": ""2008-01-01"", ""name"": ""Burgenland""}, {""start_date"": ""2008-01-01"", ""end_date"": ""2012-01-01"", ""name"": ""Burgenland (A)""}, {""start_date"": ""2012-01-01"", ""end_date"": ""2019-01-01"", ""name"": ""Burgenland (AT)""}]"
AT12,AT12,Niederösterreich,NUTS 2,,,,AT1,
AT13,AT13,Wien,NUTS 2,,,,AT1,
AT21,AT21,Kärnten,NUTS 2,,,,AT2,
AT22,AT22,Steiermark,NUTS 2,,,,AT2,
AT31,AT31,Oberösterreich,NUTS 2,,,,AT3,
AT32,AT32,Salzburg,NUTS 2,,,,AT3,
AT33,AT33,Tirol,NUTS 2,,,,AT3,
AT34,AT34,Vorarlberg,NUTS 2,,,,AT3,
BE10,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,NUTS 2,,,,BE1,
BE21,BE21,Prov. Antwerpen,NUTS 2,,,,BE2,
BE22,BE22,Prov. Limburg (BE),NUTS 2,,,,BE2,"[{""start_date"": """", ""end_date"": ""2012-01-01"", ""name"": ""Prov. Limburg (B)""}]"
BE23,BE23,Prov. Oost-Vlaanderen,NUTS 2,,,,BE2,
BE24,BE24,Prov. Vlaams-Brabant,NUTS 2,,,,BE2,
BE25,BE25,Prov. West-Vlaanderen,NUTS 2,,,,BE2,
BE31,BE31,Prov. Brabant Wallon,NUTS 2,,,,BE3,
BE32,BE32,Prov. Hainaut,NUTS 2,,,,BE3,
BE33,BE33,Prov. Liège,NUTS 2,,,,BE3,
BE34,BE34,Prov. Luxembourg (BE),NUTS 2,,,,BE3,"[{""start_date"": """", ""end_date"": ""2012-01-01"", ""name"": ""Prov. Luxembourg (B)""}]"
BE35,BE35,Prov. Namur,NUTS 2,,,,BE3,
BG31,BG31,Severozapaden,NUTS 2,,,,BG3,
BG32,BG32,Severen tsentralen,NUTS 2,,,,BG3,
BG33,BG33,Severoiztochen,NUTS 2,,,,BG3,
BG34,BG34,Югоизточен,NUTS 2,,,,BG3,"[{""start_date"": """", ""end_date"": ""2008-01-01"", ""name"": ""Yugoiztochen""}]"
BG41,BG41,Югозападен,NUTS 2,,,,BG4,"[{""start_date"": """", ""end_date"": ""2008-01-01"", ""name"": ""Yugozapaden""}]"
BG42,BG42,Южен централен,NUTS 2,,,,BG4,"[{""start_date"": """", ""end_date"": ""2008-01-01"", ""name"": ""Yuzhen tsentralen""}]"
CH01,CH01,Région Lémanique,NUTS 2,,,,CH0,
CH02,CH02,Espace Mittelland,NUTS 2,,,,CH0,
CH03,CH03,Nordwestschweiz,NUTS 2,,,,CH0,
CH04,CH04,Zürich,NUTS 2,,,,CH0,
CH05,CH05,Ostschweiz,NUTS 2,,,,CH0,
CH06,CH06,Zentralschweiz,NUTS 2,,,,CH0,
CH07,CH07,Ticino,NUTS 2,,,,CH0,
CY00,CY00,Κύπρος,NUTS 2,,,,CY0,"[{""start_date"": """", ""end_date"": ""2008-01-01"", ""name"": ""Kypros""}]"
CZ01,CZ01,Praha,NUTS 2,,,,CZ0,
CZ02,CZ02,Střední Čechy,NUTS 2,,,,CZ0,
CZ03,CZ03,Jihozápad,NUTS 2,,,,CZ0,
CZ04,CZ04,Severozápad,NUTS 2,,,,CZ0,
CZ05,CZ05,Severovýchod,NUTS 2,,,,CZ0,
CZ06,CZ06,Jihovýchod,NUTS 2,,,,CZ0,
CZ07,CZ07,Střední Morava,NUTS 2,,,,CZ0,
CZ08,CZ08,Moravskoslezsko,NUTS 2,,,,CZ0,
DE11,DE11,Stuttgart,NUTS 2,,,,DE1,
