id,gisco_id,name_or,level,start_date,end_date,predecessors,parent,names
EL5,EL5,Βορεια Ελλαδα,NUTS 1,2015-01-01,,EL1,EL,
EL6,EL6,Κεντρικη Ελλαδα,NUTS 1,2015-01-01,,"EL1,EL2",EL,
FRA,FRA,Départements d'Outre-Mer,NUTS 1,2015-01-01,2019-01-01,FR9,FR,
PL7,PL7,Makroregion Centralny,NUTS 1,2019-01-01,,PL1,PL,
PL9,PL9,Makroregion Województwo Mazowieckie,NUTS 1,2019-01-01,,PL1,PL,
PL8,PL8,Makroregion Wschodni,NUTS 1,2019-01-01,,PL3,PL,
FRD,FRD,Normandie,NUTS 1,2019-01-01,,FR2,FR,
FRY,FRY,Rup Fr - Régions Ultrapériphériques Françaises,NUTS 1,2019-01-01,,FRA,FR,
FRJ,FRJ,Occitanie,NUTS 1,2019-01-01,,"FR6,FR8",FR,"[{""start_date"": ""2019-01-01"", ""end_date"": ""2021-01-01"", ""name"": ""Languedoc-Roussillon-Midi-Pyrénées""}]"
FRM,FRM,Corse,NUTS 1,2019-01-01,,,FR,
FRL,FRL,Provence-Alpes-Côte D’Azur,NUTS 1,2019-01-01,,FR8,FR,
FRG,FRG,Pays de La Loire,NUTS 1,2019-01-01,,FR5,FR,
FRB,FRB,Centre - Val de Loire,NUTS 1,2019-01-01,,FR2,FR,
FRK,FRK,Auvergne-Rhône-Alpes,NUTS 1,2019-01-01,,FR7,FR,
FRI,FRI,Nouvelle-Aquitaine,NUTS 1,2019-01-01,,"FR6,FR5",FR,"[{""start_date"": ""2019-01-01"", ""end_date"": ""2021-01-01"", ""name"": ""Aquitaine-Limousin-Poitou-Charentes""}]"
FRF,FRF,Grand Est,NUTS 1,2019-01-01,,FR4,FR,"[{""start_date"": ""2019-01-01"", ""end_date"": ""2021-01-01"", ""name"": ""Alsace-Champagne-Ardenne-Lorraine""}]"
FRH,FRH,Bretagne,NUTS 1,2019-01-01,,FR5,FR,
FRE,FRE,Hauts-de-France,NUTS 1,2019-01-01,,FR3,FR,"[{""start_date"": ""2019-01-01"", ""end_date"": ""2021-01-01"", ""name"": ""Nord-Pas de Calais-Picardie""}]"
FRC,FRC,Bourgogne-Franche-Comté,NUTS 1,2019-01-01,,"FR2,FR4",FR,
