gisco_id,name,registered,turnout,invalid,blank,Abeceda,AMD,AM,ASH-DSŽ-SP-SUH,ABH,ABH-JH,A-HSS,DC,GR-MS,HRAST,HČSP,HDZ-HSP-BUZ,HRS,HSLS-HSS,HSP,HDSSB-HDSSD-Zeleni HR,HL,KLGB,NS-NSS,NSH,OS,PS,HB,SDP-HNS-HSU,SRP,HSU,ZNL,ZZ
HR_02470,Ljubescica,1537,509,26,0,5,3,5,2,1,5,0,0,0,5,2,317,5,16,1,1,15,3,1,1,2,4,5,77,2,3,1,1
HR_02488,Mace,2040,312,16,0,3,1,9,1,2,10,3,0,0,2,3,126,4,14,0,0,16,3,0,2,2,1,3,81,2,7,0,1
HR_02496,Makarska,14732,2327,108,0,11,30,18,13,6,14,6,13,12,26,23,722,8,23,21,8,57,31,6,4,6,22,11,1074,11,20,3,20
HR_02500,Mala Subotica,4378,576,36,0,2,2,9,10,2,5,1,3,19,15,1,83,3,14,5,2,101,3,3,4,3,10,6,222,2,6,0,4
HR_02518,Mali Bukovec,1751,355,17,0,4,2,8,3,2,7,1,0,3,20,3,37,5,48,18,2,26,2,0,7,5,3,2,121,2,4,0,3
HR_02526,Mali Lošinj,7828,1705,60,0,17,6,54,13,25,9,5,13,16,123,8,331,11,16,16,12,70,134,12,7,9,15,8,600,11,33,6,65
HR_02534,Malinska-Dubasnica,3514,607,26,0,11,7,10,2,3,4,2,1,8,28,2,136,3,13,9,2,37,29,0,2,3,8,2,235,4,10,0,10
HR_02542,Marcana,3739,700,42,0,4,3,16,11,3,6,2,6,2,12,3,39,1,7,4,2,23,329,3,4,3,1,3,155,5,9,1,1
HR_02569,Marija Bistrica,4923,643,41,0,3,6,18,3,2,21,2,3,4,40,4,145,6,41,0,5,65,4,3,6,2,9,4,189,0,7,4,6
HR_02577,Marijanci,1965,373,12,0,7,3,1,1,3,3,1,0,0,3,3,128,1,17,10,90,15,1,3,5,0,1,1,51,2,10,0,1
HR_02585,Marina,4311,929,103,0,17,6,31,12,8,6,6,9,9,8,7,273,5,11,9,8,33,12,4,4,13,6,10,288,3,18,0,10
HR_02593,Martinska Ves,2814,829,50,0,11,7,10,8,9,59,5,7,5,3,19,255,9,93,27,4,60,3,4,16,2,11,6,124,5,11,1,5
HR_02607,Marusevec,5245,854,49,0,3,5,31,9,5,13,1,4,2,31,2,179,6,87,7,4,61,11,2,9,9,12,4,286,2,10,1,9
HR_02615,Matulji,10029,2062,115,0,15,8,77,15,9,6,7,6,9,15,8,282,7,12,11,4,100,292,5,6,7,29,11,927,10,44,0,25
HR_02631,Medulin,6440,1362,43,0,2,5,22,6,3,8,2,13,8,27,7,138,5,4,7,0,74,536,4,6,4,15,10,347,21,21,1,23
HR_02640,Metkovic,13723,3212,183,0,7,8,26,17,16,49,12,13,10,83,18,1198,11,642,69,11,68,156,8,6,12,7,20,517,10,19,5,11
HR_02658,Mihovljan,1587,308,17,0,0,0,2,7,2,7,1,3,1,3,2,111,0,56,1,0,14,1,0,0,0,1,1,67,2,5,1,3
HR_02666,Mikleus,1415,397,20,0,1,3,3,2,2,2,0,0,0,1,3,203,5,12,4,73,8,1,4,2,2,1,1,37,0,5,0,2
HR_02674,Milna,1147,333,41,0,5,2,8,4,2,0,17,0,3,1,2,78,1,7,2,11,4,9,1,0,2,4,0,115,4,5,0,5
HR_02682,Mljet,1033,414,20,0,0,0,2,2,0,12,0,5,1,3,2,131,1,30,4,2,19,9,0,4,0,1,2,149,0,6,0,9
HR_02704,Molve,1682,488,15,0,0,4,4,0,9,15,10,2,0,6,1,97,3,236,2,2,4,3,2,3,0,1,2,59,1,5,0,2
HR_02712,Podravska Moslavina,978,194,5,0,0,0,1,2,4,2,0,1,0,1,0,87,2,9,19,34,3,1,2,2,0,2,1,12,1,3,0,0
HR_02739,Mošćenička Draga,1377,361,30,0,2,0,12,3,5,3,0,0,1,9,1,37,2,1,1,0,11,77,1,3,3,7,3,128,2,9,2,8
HR_02747,Motovun / Montona,789,266,15,0,3,1,6,2,1,1,3,3,0,4,4,11,1,2,1,0,6,130,1,4,3,1,2,53,2,4,0,2
HR_02755,Mrkopalj,1064,259,18,0,0,5,7,3,3,2,1,2,1,1,3,86,3,16,5,3,13,8,0,2,3,0,1,62,1,6,0,4
HR_02763,Mursko Sredisce,5475,781,30,0,5,4,8,8,0,4,2,7,19,9,3,144,9,12,3,3,193,6,0,2,1,6,4,283,4,5,0,7
HR_02780,Nasice,13382,2997,117,0,15,13,23,24,11,20,5,10,9,122,10,991,14,36,27,520,108,15,10,12,15,13,10,777,7,39,1,23
HR_02798,Nedelisce,9351,1475,82,0,16,2,23,16,3,6,6,7,50,43,9,159,6,14,12,2,277,16,3,14,10,15,7,622,7,35,1,12
HR_02801,Nerezisca,843,316,34,0,4,2,6,2,2,1,2,1,2,4,1,110,3,11,3,8,5,3,0,2,2,2,2,86,2,7,0,9
HR_02810,Netretic,2585,767,39,0,7,4,15,11,8,5,2,5,3,9,5,295,6,72,13,9,95,14,6,8,4,7,3,104,5,8,1,4
HR_02828,Nin,2800,542,27,0,0,5,8,7,0,5,4,1,3,10,8,222,6,16,8,6,52,13,5,0,1,3,2,117,2,5,0,6
HR_02836,Nova Bukovica,1592,465,23,0,4,0,0,3,5,3,0,1,1,3,0,197,3,13,13,40,8,2,13,3,3,1,0,115,1,8,0,2
HR_02844,Nova Gradiska,12724,2367,111,0,19,16,18,26,10,19,3,15,11,31,13,851,12,99,30,190,97,23,9,8,21,24,12,629,14,39,1,16
HR_02852,Nova Kapela,3544,908,51,0,3,7,11,7,5,19,6,3,3,5,4,360,5,65,36,112,21,9,2,5,4,5,5,134,3,16,0,2
HR_02879,Nova Raca,2849,647,40,0,5,3,10,3,4,20,1,0,2,8,4,238,11,98,16,11,29,3,3,30,3,3,5,85,1,10,1,0
HR_02887,Novalja,3517,1050,28,0,11,8,14,3,4,6,2,4,6,21,5,534,2,48,15,4,40,21,0,1,4,7,2,230,0,3,18,9
HR_02895,Novi Marof,10681,2428,120,0,9,13,37,37,13,9,9,4,19,88,14,752,35,81,7,9,233,20,3,21,14,29,14,758,10,32,1,37
HR_02909,Novi Vinodolski,5079,1317,55,0,8,6,14,11,3,3,2,9,4,11,4,470,5,18,13,2,73,33,0,5,3,7,9,511,3,19,2,14
HR_02917,Novigrad / Cittanova,6180,1038,48,0,1,2,7,6,4,4,3,6,2,11,3,275,5,11,6,6,63,317,5,3,2,6,2,202,7,19,0,12
HR_02925,Novigrad Podravski,2387,412,32,0,1,10,11,2,0,7,3,1,3,5,3,105,1,41,2,2,24,5,0,8,2,2,4,128,0,5,0,5
HR_02933,Novska,11940,2339,141,0,18,13,25,13,10,30,12,9,11,23,81,988,11,105,104,34,107,23,3,10,8,10,15,479,3,33,2,18
HR_02941,Nustar,4626,1388,76,0,12,2,6,9,5,15,5,6,4,28,8,782,13,66,29,93,19,10,2,5,5,5,5,156,6,10,2,4
