gisco_id,name,registered,turnout,invalid,blank,Abeceda,AMD,AM,ASH-DSŽ-SP-SUH,ABH,ABH-JH,A-HSS,DC,GR-MS,HRAST,HČSP,HDZ-HSP-BUZ,HRS,HSLS-HSS,HSP,HDSSB-HDSSD-Zeleni HR,HL,KLGB,NS-NSS,NSH,OS,PS,HB,SDP-HNS-HSU,SRP,HSU,ZNL,ZZ
HR_03760,Rugvica,6765,1144,73,0,5,5,41,13,5,47,4,8,3,19,5,313,9,145,20,11,68,4,1,7,10,9,8,281,3,10,7,10
HR_03778,Ruzic,1431,221,22,0,0,1,1,1,1,2,0,1,1,3,18,108,0,15,7,3,5,0,1,2,4,1,9,10,0,5,0,0
HR_03786,Saborsko,712,124,6,0,7,1,1,1,0,3,1,0,1,3,0,45,0,8,2,1,6,1,4,2,1,0,3,24,1,2,0,0
HR_03794,Sali,2166,625,31,0,3,14,14,6,5,4,4,5,3,11,5,158,7,43,6,6,40,4,0,1,5,5,9,213,5,13,0,5
HR_03808,Samobor,31823,7128,363,0,40,34,95,74,103,151,7,78,36,177,33,1524,51,1211,54,26,410,96,14,31,45,145,27,1997,78,105,19,104
HR_03816,Satnica Đakovačka,1885,399,32,0,6,0,2,2,1,4,1,2,0,8,1,135,0,18,5,55,13,2,1,0,0,1,1,90,0,18,0,1
HR_03824,Seget,4430,1177,44,0,11,3,7,6,4,1,0,3,8,7,3,763,2,2,3,3,18,5,1,1,4,3,4,247,5,7,0,12
HR_03832,Selca,1804,384,28,0,2,2,10,4,2,5,3,4,3,3,3,83,6,26,4,2,5,4,1,2,5,3,3,149,3,15,0,4
HR_03859,Selnica,2623,338,15,0,1,0,7,0,0,6,0,2,14,5,3,56,2,13,2,0,82,1,0,5,2,8,0,102,1,10,0,1
HR_03867,Semeljci,3509,531,31,0,5,0,6,7,2,10,1,2,0,13,3,116,4,21,8,183,8,3,2,6,4,1,0,77,0,16,0,2
HR_03875,Senj,6616,1714,61,0,17,6,17,11,8,10,6,8,4,7,15,811,10,14,165,3,48,21,1,2,7,9,4,403,1,32,1,12
HR_03883,Sibinj,6040,1199,70,0,9,2,20,14,6,11,6,18,3,18,9,506,9,33,39,85,44,9,3,7,11,4,1,237,1,23,0,1
HR_03891,Sinj,20152,3193,157,0,24,31,46,25,15,22,15,19,23,62,38,1333,14,146,26,29,100,24,2,10,23,17,7,922,16,33,6,8
HR_03905,Sirac,2107,380,23,0,5,4,2,5,2,5,2,0,0,3,1,85,6,58,11,3,12,6,7,6,2,5,2,102,1,11,1,10
HR_03913,Sisak,41398,9778,621,0,73,45,120,82,57,89,63,61,45,105,56,3062,61,273,298,52,683,127,48,33,48,105,48,3214,66,161,5,77
HR_03930,Skrad,944,278,19,0,5,3,3,1,1,2,1,0,1,0,6,76,2,8,4,0,9,3,0,0,2,0,0,116,2,9,0,5
HR_03948,Skradin,4485,922,37,0,9,3,10,2,9,1,2,1,4,9,1,454,6,24,10,5,19,18,11,5,11,3,2,250,2,9,4,1
HR_03956,Slatina,12026,2351,151,0,16,9,18,25,14,15,3,5,11,28,9,820,12,61,25,260,85,17,14,9,15,9,5,663,9,32,0,11
HR_03964,Slavonski Brod,53758,10499,527,0,69,26,103,66,48,66,36,175,34,305,38,3702,40,160,385,730,306,251,34,26,56,104,33,2915,35,161,5,63
HR_03972,Slavonski Samac,2068,274,10,0,2,1,1,4,3,3,2,0,1,5,0,115,1,33,2,25,1,0,0,1,2,1,0,54,1,4,1,1
HR_03999,Slivno,1764,615,41,0,5,6,7,2,3,6,17,3,1,1,4,294,1,20,12,1,8,47,0,0,3,2,5,116,5,3,0,2
HR_04006,Slunj,5160,1074,87,0,16,7,25,15,15,18,2,8,8,10,11,385,13,41,29,13,57,8,11,7,5,13,7,233,3,13,0,14
HR_04022,Smokvica,817,264,22,0,0,0,1,0,1,1,1,2,0,1,1,131,1,8,1,2,7,2,0,0,0,1,1,76,3,1,0,0
HR_04057,Sokolovac,2760,506,37,0,5,4,5,7,0,4,10,0,2,2,2,177,2,39,6,3,31,2,3,3,2,2,0,148,1,6,1,2
HR_04065,Solin,19004,3185,188,0,23,15,47,20,12,12,10,20,18,134,55,1484,17,30,55,24,120,41,8,11,26,14,18,692,11,36,4,40
HR_04073,Sopje,1992,632,33,0,5,1,1,1,4,6,2,2,1,1,0,233,4,36,10,164,6,1,1,8,2,0,0,104,2,3,0,1
HR_04090,Split,151584,27937,1372,0,130,126,381,200,141,151,65,205,405,1141,350,8247,65,329,448,294,1034,524,52,54,159,226,159,10803,167,332,19,358
HR_04103,Sracinec,3921,586,31,0,2,2,9,12,6,6,2,4,4,27,4,87,4,22,5,1,58,6,1,5,1,2,1,255,7,17,1,4
HR_04111,Stankovci,1771,367,8,0,6,1,5,3,2,4,0,0,3,9,5,200,1,16,2,2,11,2,1,1,2,3,4,70,1,1,0,4
HR_04120,Stara Gradiska,1419,377,22,0,5,6,4,0,8,8,0,1,1,4,1,134,0,21,13,22,4,0,8,6,0,4,0,96,3,5,0,1
HR_04138,Stari Grad,2728,655,47,0,9,3,13,4,9,5,0,1,5,11,1,223,4,20,5,2,20,7,2,5,5,3,4,218,4,15,1,9
HR_04146,Stari Jankovci,4127,744,42,0,5,2,12,7,2,5,1,6,1,9,4,362,2,50,4,53,9,5,21,2,2,7,0,112,2,14,0,3
HR_04154,Stari Mikanovci,2356,539,24,0,1,2,5,8,2,1,3,0,1,1,2,223,2,59,20,23,11,1,2,2,2,2,4,123,4,7,0,4
HR_04162,Starigrad,1978,366,13,0,5,4,4,5,2,5,1,2,3,2,5,193,0,5,0,3,15,4,3,1,1,4,1,77,1,4,0,3
HR_04189,Staro Petrovo Selo,4539,999,56,0,4,7,14,10,11,23,2,4,2,6,5,451,11,94,14,75,29,2,1,8,8,2,4,139,3,12,0,2
HR_04197,Ston,2266,718,38,0,3,3,12,7,2,5,13,3,20,5,12,298,2,22,6,3,27,53,1,5,3,12,5,133,5,9,0,11
HR_04219,Strizivojna,2033,250,3,0,3,0,2,1,2,3,4,0,1,2,2,85,1,9,1,66,3,1,0,1,3,1,1,45,1,8,0,1
HR_04227,Stubicke Toplice,2412,467,29,0,3,1,11,3,1,6,2,27,2,8,1,104,4,22,3,5,42,10,0,2,1,8,3,150,0,8,3,8
HR_04235,Sućuraj,543,188,14,0,2,1,0,1,1,2,2,1,0,2,2,58,1,0,0,1,3,1,0,0,1,0,1,90,2,2,0,0
HR_04243,Suhopolje,5947,1679,54,0,20,2,13,17,11,8,1,3,6,21,7,868,16,67,25,106,42,7,13,10,9,11,3,299,7,24,3,6
HR_04251,Sukosan,4081,839,60,0,10,3,6,3,2,1,2,4,1,13,7,377,7,8,6,2,145,6,0,2,3,5,6,144,2,6,0,8
HR_04260,Sunja,6128,1298,101,0,17,11,13,16,8,11,8,9,3,4,11,494,9,52,30,8,70,14,21,4,8,6,9,328,9,19,0,5
HR_04278,Supetar,4152,849,43,0,6,8,14,6,4,5,4,5,8,4,13,203,1,6,6,1,20,23,0,7,5,7,3,427,4,10,0,6
HR_04286,Sveti Filip i Jakov,4032,896,55,0,5,4,9,8,7,6,2,0,1,13,4,541,8,12,7,10,35,7,0,1,8,10,9,116,3,9,2,4
HR_04294,Sveti Ivan Zelina,13276,2600,157,0,13,19,39,21,14,65,6,12,8,19,22,626,34,406,27,15,206,36,2,19,7,27,12,702,10,45,13,18
HR_04308,Sveti Kriz Zacretje,4945,808,59,0,8,2,8,7,4,11,3,4,8,13,1,236,8,43,6,4,69,11,0,6,8,7,4,241,3,20,2,12
HR_04316,Sveti Lovrec,865,203,17,0,0,1,5,0,0,1,0,0,0,3,2,11,0,0,0,0,4,118,0,3,0,1,1,33,0,3,0,0
HR_04324,Sveta Nedelja,2624,576,23,0,3,1,24,1,0,6,0,1,1,7,1,23,3,0,1,1,44,319,1,2,4,1,2,97,0,8,0,2
HR_04332,Sveti Petar u Sumi,839,122,8,0,1,0,0,1,3,0,0,1,0,9,0,13,0,3,1,2,7,57,0,0,1,3,0,9,0,1,1,1
HR_04359,Svetvincenat,1914,464,44,0,2,4,10,1,2,7,1,1,6,4,2,34,5,3,2,0,13,206,0,2,4,2,2,88,2,5,0,12
HR_04367,Sveta Nedelja,15173,2698,137,0,11,22,61,28,23,46,4,24,21,69,18,788,16,176,38,17,204,36,3,15,25,41,15,758,9,46,12,35
HR_04375,Sveti Đurđ,3041,520,34,0,6,3,19,5,5,6,3,2,3,44,2,65,6,30,5,1,64,3,0,1,3,3,7,183,8,4,1,4
HR_04383,Sveti Ilija,2841,775,50,0,4,6,14,7,8,9,0,2,2,38,6,266,4,38,7,2,56,4,1,0,5,4,5,216,2,11,1,7
HR_04391,Sveti Ivan Zabno,4093,768,38,0,2,1,14,7,9,19,14,1,5,11,4,169,6,127,6,5,66,7,0,15,8,2,6,208,4,7,0,7
HR_04405,Sveti Juraj na Bregu,4323,567,27,0,5,2,6,2,4,17,1,3,16,8,0,70,4,26,2,2,139,7,2,6,2,2,2,194,0,15,0,3
HR_04413,Sveti Martin na Muri,2356,308,16,0,0,0,3,5,1,1,0,0,16,26,0,36,3,12,1,0,88,1,0,0,0,1,4,87,2,3,0,2
HR_04421,Sveti Petar Orehovec,3506,555,28,0,2,4,5,2,0,15,0,2,3,14,3,180,4,173,0,2,19,5,0,5,0,2,2,79,0,4,0,2
HR_04430,Sestanovac,1895,468,29,0,4,2,8,0,3,1,3,2,2,7,27,290,4,7,13,10,2,3,0,1,3,1,2,37,2,4,0,1
HR_04448,Šibenik,40813,8114,427,0,48,23,68,45,40,31,19,42,63,160,49,3046,22,146,116,35,195,85,22,15,36,44,30,3135,27,93,7,45
HR_04456,Škabrnja,1491,221,8,0,2,0,1,2,0,1,0,0,0,8,0,161,4,4,4,0,11,2,0,0,0,0,1,12,0,0,0,0
HR_04472,Šolta,2011,682,66,0,7,8,29,6,6,3,1,6,4,12,3,120,3,8,8,3,28,14,2,2,4,7,5,232,6,19,2,68
HR_04499,Spisic Bukovica,3463,777,37,0,7,2,9,3,4,13,8,3,1,3,3,339,3,51,10,42,20,2,2,14,3,3,2,178,2,10,0,3
HR_04502,Stefanje,1630,401,28,0,4,5,9,6,4,13,1,1,0,8,7,154,4,32,4,3,12,3,1,10,5,4,2,69,3,4,1,4
HR_04529,Strigova,2448,360,17,0,6,1,7,3,1,5,1,3,15,4,2,63,2,3,4,1,77,2,1,3,2,6,2,118,1,9,0,1
HR_04537,Tinjan,1348,292,25,0,1,0,11,0,4,0,1,1,1,5,0,26,2,4,0,0,10,125,0,2,2,3,1,62,1,0,2,3
HR_04545,Tisno,3006,841,65,0,5,8,13,7,8,2,4,5,6,16,3,243,4,63,12,3,34,12,0,4,5,9,2,285,4,10,1,8
HR_04553,Plitvicka jezera,4351,651,19,0,6,2,1,8,4,2,3,7,2,9,2,270,6,19,17,1,22,9,38,2,16,4,8,150,7,6,0,11
HR_04561,Tompojevci,1487,407,23,0,5,0,2,3,3,13,4,1,4,1,4,230,4,10,7,14,11,3,1,3,3,1,0,46,1,8,0,2
HR_04570,Topusko,3253,408,30,0,5,2,3,5,4,2,2,4,2,3,1,148,4,10,5,2,13,13,8,1,0,3,2,121,4,7,0,4
HR_04588,Tordinci,1762,407,25,0,1,4,4,2,5,3,2,10,1,6,2,169,1,16,4,26,9,1,5,2,1,3,1,92,1,6,0,5
HR_04596,Tovarnik,2556,581,29,0,6,2,9,4,3,7,0,4,0,3,2,334,6,10,9,49,17,4,2,0,0,3,4,68,2,3,1,0
HR_04600,Trilj,7772,1819,77,0,24,6,37,19,16,15,14,7,3,57,31,974,15,46,56,15,40,17,3,4,23,5,6,258,2,29,4,16
HR_04618,Trnava,1420,259,14,0,1,5,5,0,4,6,3,2,0,1,3,53,0,24,5,56,7,8,3,1,2,0,1,46,1,8,0,0
HR_04626,Trnovec Bartolovecki,5718,876,53,0,9,3,11,11,5,9,6,3,1,41,2,158,7,98,3,5,65,10,1,6,4,1,2,341,5,10,1,5
HR_04634,Trogir,12219,2280,176,0,13,4,16,19,10,7,9,10,11,39,22,810,7,46,13,24,86,26,3,6,14,20,19,803,17,34,1,15
HR_04642,Trpinja,5050,289,27,0,3,1,4,1,1,2,0,2,2,2,0,30,7,7,4,10,6,1,65,2,2,1,2,98,4,2,0,3
HR_04669,Tuhelj,1738,384,27,0,4,5,3,5,1,14,0,3,5,3,0,132,6,21,4,6,17,5,1,3,0,4,2,105,2,4,0,2
HR_04677,Udbina,2053,296,16,0,3,0,3,4,4,5,4,0,5,5,1,76,6,19,1,0,7,6,18,1,13,3,3,89,1,1,1,1
HR_04685,Umag / Umago,12900,1872,92,0,9,11,20,31,9,7,0,9,7,14,4,181,8,10,6,3,93,621,14,4,15,23,13,606,7,38,0,17
HR_04693,Unesic,1445,368,10,0,3,1,2,1,3,4,2,0,0,8,2,264,4,7,14,1,6,1,0,4,3,2,2,20,1,2,0,1
HR_04715,Valpovo,9459,2286,81,0,8,2,15,11,10,6,2,9,5,27,4,622,4,23,20,791,73,9,3,3,8,18,4,480,5,31,0,12
HR_04723,Varazdin,38834,8526,456,0,44,31,88,76,43,29,14,48,63,636,25,1359,29,209,58,25,762,120,13,25,23,142,39,3890,43,129,5,102
HR_04731,Varazdinske Toplice,5334,1365,96,0,6,10,26,5,24,6,4,2,12,43,8,280,9,56,12,6,177,13,2,6,5,12,7,488,9,24,1,16
HR_04740,Vela Luka,3574,887,80,0,3,5,14,6,4,0,0,3,0,5,8,291,1,27,5,4,24,8,1,1,1,3,1,378,3,7,0,4
HR_04758,Velika,4675,1206,48,0,23,3,20,15,9,9,1,3,2,21,6,557,5,23,9,80,43,7,4,5,6,4,3,274,7,14,0,5
HR_04766,Velika Kopanica,2998,700,39,0,6,3,11,5,5,3,0,0,1,3,1,242,3,150,6,97,10,5,1,6,2,1,3,83,3,9,0,2
HR_04774,Velika Ludina,2086,474,30,0,2,1,14,6,4,15,4,3,2,2,11,121,7,68,6,5,30,5,3,4,2,3,2,107,0,10,1,6
HR_04782,Velika Pisanica,1489,355,16,0,2,2,7,1,0,11,3,1,4,1,2,141,8,45,4,1,10,2,3,2,2,0,2,78,1,3,0,3
HR_04804,Veliki Grđevac,2469,544,24,0,5,3,12,3,6,9,4,1,2,4,4,182,4,38,23,8,18,7,3,54,4,0,2,115,1,5,0,3
HR_04812,Veliko Trgovisce,4017,597,53,0,2,2,16,2,4,9,0,6,9,6,1,185,5,13,5,2,64,7,0,5,3,5,6,160,5,18,1,3
HR_04839,Veliko Trojstvo,2307,511,30,0,2,1,4,4,1,18,0,4,1,1,2,91,2,145,6,0,56,5,2,9,0,7,3,101,3,9,1,3
HR_04847,Vidovec,4301,483,39,0,2,3,11,6,2,5,1,1,0,36,2,94,3,31,3,1,31,7,0,6,3,6,4,175,1,6,1,3
HR_04855,Viljevo,1677,325,26,0,8,0,5,1,4,3,0,0,0,2,1,137,0,12,5,57,12,2,14,3,2,1,1,22,0,6,0,1
HR_04863,Vinica,2790,538,39,0,5,6,7,8,3,6,3,2,4,18,0,127,4,26,5,2,36,2,2,7,6,3,0,189,8,13,1,6
HR_04871,Vinkovci,29220,7840,333,0,23,28,75,32,40,33,21,47,21,179,44,3360,23,115,70,432,290,65,21,19,37,55,21,2290,13,92,4,57
HR_04880,Vinodolska opcina,3314,612,33,0,9,7,9,9,2,1,4,1,1,7,4,105,5,14,13,0,43,29,2,0,2,10,8,278,2,10,1,3
HR_04898,Vir,3933,784,36,0,6,13,20,10,4,9,2,1,2,3,0,229,4,24,18,15,52,6,2,4,7,2,5,283,3,15,4,5
HR_04901,Virje,3569,586,36,0,6,3,5,5,8,9,29,3,0,21,2,110,4,102,4,2,32,5,1,5,4,3,4,164,3,9,0,7
HR_04910,Virovitica,18252,4424,158,0,33,15,57,42,16,16,9,17,22,91,29,1883,19,96,62,106,213,16,12,24,19,24,9,1352,15,42,3,24
HR_04928,Vis,1864,490,38,0,4,3,12,3,2,3,5,1,5,22,2,89,0,8,3,3,22,13,1,1,3,4,5,217,3,12,2,4
HR_04936,Visoko,1158,330,22,0,0,1,6,7,0,2,3,0,0,10,1,163,2,27,1,0,9,1,1,0,1,1,1,64,1,5,0,1
HR_04944,Viskovci,1509,251,9,0,1,3,1,0,2,0,0,3,0,4,0,61,0,9,37,45,1,2,1,0,0,0,0,62,1,8,0,1
HR_04952,Viskovo,12389,1751,76,0,12,10,79,21,10,10,1,9,8,57,15,383,10,40,24,11,90,103,6,1,11,29,6,686,8,14,0,21
HR_04979,Višnjan / Visignano,1951,390,26,0,1,1,8,5,2,2,3,1,0,5,1,7,4,0,2,0,18,172,1,3,4,5,1,101,4,5,1,7
HR_04987,Vižinada / Visinada,965,314,11,0,0,0,5,0,2,2,0,0,0,0,2,11,1,1,0,1,0,68,0,0,0,2,0,205,0,1,0,2
HR_04995,Vocin,2076,424,16,0,3,2,1,2,2,1,1,1,1,5,2,284,1,3,0,19,2,1,0,9,2,0,0,57,1,5,0,3
HR_05002,Vodice,9327,2061,78,0,10,8,25,10,9,13,8,7,32,35,8,989,6,75,22,12,40,8,7,5,7,12,8,576,4,29,3,15
HR_05029,Vodnjan / Dignano,5351,1110,66,0,6,10,13,6,1,5,1,5,1,23,4,75,8,10,4,5,55,520,5,33,4,7,3,203,8,16,1,12
HR_05037,Vojnic,5329,927,66,0,24,5,10,6,7,3,5,3,6,7,7,278,10,12,7,2,39,11,33,6,11,5,15,320,4,15,4,6
HR_05045,Vratisinec,1682,275,14,0,3,0,3,6,1,0,0,0,12,5,2,31,1,4,2,0,44,1,0,0,1,1,1,138,0,2,1,2
HR_05053,Vrbanja,3612,479,14,0,8,6,11,7,6,13,0,1,2,7,2,230,4,48,7,36,9,2,0,2,4,0,3,48,1,6,0,2
HR_05061,Vrbje,2032,453,28,0,7,2,8,5,2,16,2,1,2,10,1,162,3,82,9,46,3,1,0,6,5,1,1,46,0,3,1,0
HR_05070,Vrbnik,1199,337,27,0,1,10,8,3,2,0,0,4,0,13,0,71,2,9,8,1,13,30,1,1,1,4,3,116,4,4,0,1
HR_05088,Vrbovec,11957,2922,164,0,20,18,49,25,8,63,7,18,15,35,12,591,23,607,22,11,221,17,8,19,22,29,8,785,20,54,10,41
HR_05096,Vrbovsko,4670,1019,72,0,12,8,19,7,5,4,34,4,3,7,13,247,8,11,15,5,59,30,27,4,2,4,4,377,5,21,3,9
HR_05100,Gvozd,3854,459,30,0,10,0,4,3,3,2,0,1,4,0,2,176,2,2,10,5,7,4,29,2,2,2,0,156,2,1,0,0
HR_05118,Vrgorac,6232,1495,95,0,14,14,24,22,3,11,9,2,6,8,7,680,6,14,14,4,20,24,0,6,4,8,8,463,10,10,0,9
HR_05126,Vrhovine,1201,192,8,0,1,2,3,1,2,0,1,1,2,0,2,22,2,2,4,2,1,3,23,1,3,0,1,95,5,4,0,1
HR_05134,Vrlika,2119,548,18,0,5,1,3,2,2,4,2,2,0,5,4,359,1,18,16,5,9,1,2,1,2,2,0,73,1,5,0,5
HR_05142,Vrpolje,3002,727,31,0,3,4,15,6,4,8,2,1,1,1,2,376,1,29,7,76,38,4,0,9,6,4,3,83,2,8,0,3
HR_05169,Vrsar / Orsera,2050,405,12,0,1,0,7,5,1,2,0,3,0,1,2,40,3,19,1,2,9,181,0,5,0,4,5,87,3,6,0,6
HR_05177,Vuka,1021,143,9,0,1,1,6,0,0,3,2,0,1,1,1,20,2,4,10,34,1,2,1,0,0,1,0,38,0,5,0,0
HR_05185,Vukovar,27727,5811,271,0,23,14,31,33,18,62,18,59,12,62,18,2533,16,29,61,196,143,34,296,16,29,57,25,1642,26,62,5,20
HR_05193,Zabok,7384,1584,96,0,5,8,20,16,12,11,2,20,15,16,6,422,11,29,13,4,151,15,1,3,5,12,5,628,7,25,2,24
HR_05207,Zadar,65235,12163,552,0,55,53,179,68,64,85,25,54,120,425,75,3885,35,127,101,58,1353,190,25,18,64,97,57,4034,65,139,13,147
HR_05215,Zagorska Sela,893,232,15,0,3,5,11,1,2,6,1,2,1,5,3,36,3,18,1,0,13,5,2,3,2,2,4,69,3,11,2,3
HR_05223,Zagvozd,1111,176,9,0,0,0,0,1,0,1,1,0,1,1,0,111,0,3,7,6,1,1,1,1,2,0,6,19,0,3,1,0
HR_05231,Zazablje,694,218,33,0,2,1,2,1,1,1,0,0,3,3,0,111,4,13,9,2,6,7,1,1,0,1,2,6,2,4,0,2
HR_05240,Zdenci,1602,611,26,0,3,3,3,9,4,1,0,1,1,6,0,156,1,19,4,246,11,2,5,4,2,5,1,87,2,8,0,1
HR_05258,Zemunik Donji,2220,477,20,0,4,5,5,1,3,2,1,1,2,7,6,287,2,2,9,3,22,7,4,3,5,1,1,66,1,4,1,2
HR_05266,Zlatar,5011,638,42,0,2,2,21,6,2,18,15,4,1,23,8,207,4,22,8,0,38,11,0,0,6,7,5,167,4,7,1,7
HR_05274,Zlatar-Bistrica,2127,439,33,0,0,0,8,6,2,4,1,2,0,5,0,90,8,13,4,0,21,3,2,3,4,6,4,207,2,6,1,4
HR_05282,Zmijavci,1734,328,16,0,0,1,3,4,1,1,2,0,1,16,15,199,2,7,4,5,2,1,0,1,0,0,2,43,0,2,0,0
HR_05304,Zakanje,1764,535,42,0,3,9,18,4,3,10,3,4,1,3,5,167,10,35,15,5,49,4,2,7,7,4,2,93,2,9,4,15
HR_05312,Zminj,2870,441,35,0,4,0,10,3,2,5,2,3,1,16,0,28,1,2,3,0,13,227,6,2,4,2,2,54,3,10,0,3
HR_05339,Krasic,2238,614,34,0,9,4,10,6,0,17,1,3,4,11,3,295,10,61,8,6,36,3,2,4,4,10,2,61,0,3,5,2
HR_05347,Zupanja,11515,1925,59,0,9,5,20,8,7,14,5,8,4,30,8,853,2,35,14,111,56,18,4,8,19,11,7,565,4,30,0,11
HR_05355,Otok,5515,1249,47,0,4,4,15,8,3,15,6,3,1,24,5,677,7,62,7,70,29,5,0,4,3,1,2,240,1,4,1,1
HR_05363,Rakovec,962,632,35,0,1,1,11,1,1,15,2,1,0,1,2,92,2,314,4,1,25,2,5,1,0,7,1,94,0,10,0,3
HR_05380,Kostrena,3621,693,19,0,0,1,12,2,1,1,2,5,3,13,3,178,1,6,8,0,43,57,3,1,0,8,4,301,3,8,1,9
HR_05398,Marija Gorica,1859,403,31,0,2,1,9,5,2,3,1,7,2,9,0,144,1,18,3,1,22,4,0,1,3,4,22,92,3,8,1,4
HR_05401,Zumberak,903,302,23,0,8,3,9,3,8,6,2,1,0,10,4,101,3,18,4,2,13,1,0,6,4,4,3,60,1,4,1,0
HR_05410,Velika Gorica,53818,11443,543,0,60,64,176,95,72,168,29,120,61,310,164,3393,55,338,150,68,715,117,22,51,85,161,44,4011,31,157,44,139
HR_05428,Orle,1683,346,15,0,6,6,11,0,1,12,1,2,0,2,3,85,0,12,1,4,15,2,3,4,3,3,6,137,2,5,2,3
HR_05436,Zapresic,21447,4188,221,0,22,17,49,35,21,38,11,29,33,270,20,1224,16,74,67,26,291,72,6,17,19,66,35,1341,16,65,18,69
HR_05444,Pokupsko,1830,509,18,0,4,4,6,8,2,12,4,2,2,1,4,278,21,13,2,2,13,3,0,1,1,0,1,94,2,6,2,3
HR_05452,Kravarsko,1582,414,28,0,4,3,11,3,2,7,0,1,2,7,4,184,6,10,3,2,19,1,1,4,2,1,2,93,0,7,1,6
HR_05479,Bistra,5441,802,62,0,2,1,14,8,1,11,5,11,5,19,5,302,3,9,11,3,99,7,0,2,4,9,2,191,2,9,1,4
HR_05487,Luka,1125,155,18,0,1,1,3,2,1,1,0,2,1,5,2,50,1,20,0,2,11,5,0,1,0,3,0,19,0,4,0,2
HR_05495,Dubravica,1198,286,20,0,6,0,6,2,1,6,1,3,0,2,0,131,2,37,4,5,8,2,2,1,2,1,3,35,0,2,2,2
HR_05509,Bedenica,1096,191,12,0,2,2,5,0,1,4,0,6,4,5,2,44,3,8,0,1,12,6,0,3,1,3,1,50,0,6,1,9
HR_05517,Stupnik,3084,512,32,0,5,3,12,4,3,13,2,5,0,15,4,143,4,26,10,7,45,7,1,4,5,2,3,135,4,5,7,6
HR_05525,Jesenje,1240,363,37,0,6,6,9,1,2,6,2,1,1,2,2,145,0,15,0,0,18,4,1,0,2,1,2,97,0,3,0,0
HR_05533,Kumrovec,1376,314,23,0,2,6,13,2,2,8,2,2,3,5,1,76,3,6,0,1,16,9,3,3,4,1,3,108,3,4,0,5
HR_05541,Novi Golubovec,803,171,20,0,0,0,4,2,2,1,1,2,0,1,2,80,0,8,1,0,8,1,0,1,0,2,0,34,0,1,0,0
HR_05550,Majur,1262,445,29,0,3,4,5,3,2,9,3,2,2,2,4,201,5,31,8,1,9,2,17,5,3,1,3,81,3,5,0,2
HR_05568,Ribnik,463,151,18,0,1,0,2,1,0,10,1,0,0,2,0,20,1,37,0,0,14,2,1,3,1,1,1,33,0,2,0,0
HR_05576,Tounj,991,209,11,0,1,2,3,2,2,2,8,1,1,1,1,85,1,14,2,2,20,3,1,3,1,0,1,34,0,4,0,3
HR_05584,Veliki Bukovec,1161,248,11,0,0,2,7,4,1,1,1,2,4,12,0,48,8,23,4,1,15,0,0,2,1,9,0,78,3,10,0,1
HR_05592,Kalinovac,1264,290,13,0,4,0,11,1,0,4,2,0,0,0,0,118,2,13,3,6,12,0,0,1,0,4,0,82,2,9,0,3
HR_05606,Kalnik,1096,369,14,0,3,1,3,1,1,9,0,0,0,1,0,82,2,159,1,1,8,1,0,0,3,2,0,71,3,1,1,1
HR_05614,Novo Virje,962,143,9,0,1,0,1,0,2,2,2,1,0,5,0,35,1,40,0,0,5,0,0,5,1,0,0,29,1,1,0,2
HR_05622,Severin,733,135,11,0,5,1,4,2,0,3,2,0,0,0,0,34,1,29,3,1,6,2,1,2,0,1,1,24,1,0,0,1
HR_05649,Sandrovac,1432,347,12,0,3,1,5,3,3,7,1,0,1,6,0,83,2,125,0,0,4,1,4,4,0,0,0,72,0,8,0,2
HR_05657,Velika Trnovitica,1155,304,10,0,5,0,8,7,1,4,3,0,0,2,4,97,1,39,9,3,14,2,1,26,1,2,1,57,0,5,0,2
HR_05665,Zrinski Topolovac,673,128,4,0,3,0,0,0,1,3,0,1,0,0,1,52,0,34,3,0,5,1,0,3,0,0,0,16,0,1,0,0
HR_05673,Bukovlje,2781,532,36,0,4,1,4,1,1,6,4,4,2,17,3,186,4,5,24,37,10,4,0,3,3,1,1,158,2,11,0,0
HR_05681,Dragalic,1339,305,15,0,7,1,4,4,3,4,1,4,0,2,1,92,2,30,6,30,6,0,4,1,0,1,1,80,1,5,0,0
HR_05690,Gornja Vrba,2187,408,21,0,6,1,8,3,0,2,1,2,1,5,0,162,0,22,7,69,9,2,0,3,1,0,2,70,1,7,0,3
HR_05703,Sikirevci,2091,359,29,0,1,0,3,0,1,2,0,0,1,2,2,181,2,31,5,46,3,3,0,0,0,2,4,33,1,5,0,2
HR_05711,Galovac,1047,141,24,0,1,0,1,0,0,1,0,0,0,1,1,61,1,0,0,0,12,1,0,2,2,0,0,30,0,2,0,1
HR_05720,Kukljica,940,322,13,0,9,0,3,5,2,2,2,2,2,3,0,129,0,3,2,2,29,4,0,2,2,1,1,96,1,4,2,1
HR_05738,Povljana,682,145,6,0,1,4,0,5,0,1,1,0,1,3,2,50,1,2,1,2,8,4,0,0,0,1,1,46,1,3,0,1
HR_05746,Privlaka,2379,267,5,0,3,1,2,1,1,3,0,0,1,9,2,125,1,1,9,0,12,3,0,0,2,4,0,70,0,6,0,6
HR_05754,Tkon,676,144,21,0,0,0,6,3,0,2,0,1,1,0,0,29,2,3,1,1,9,1,0,0,1,2,0,53,3,2,0,3
HR_05762,Donja Moticina,1361,333,15,0,3,1,1,1,0,2,1,0,0,11,1,72,2,4,3,145,10,0,1,1,1,0,0,53,0,3,0,2
