gisco_id,name,registered,turnout,invalid,blank,Abeceda,AM,ASH-JS-DSŽ-ZS-HRS,A-HSS,DLS,DC,GS,HČSP,HDZ,HKDS-KSU,HNS,HSLS-HSS,HSM,HSP,HSU,HP (2005),JH,LH-ISDF-SRP-HSD,NL [Neovisna lista],SDP,ZL,Zeleni HR,ASH-HRS-ZS,DSRS,DSŽ,HKDS,HDSSB,SBHS,SDSS,ASH-DSŽ-ZS-HRS,DSŽ-ZS,HKDU,HRS-ASH-ZS,HSLS-HSS-ZDS,HSN,HSZ,ZBOR,3M,Bratić,Daka,Hamzić,Hodžić [Nedžad Hodžić],Imširević,Krasnić,UBBDRH,Mitrevski,Prekpalaj [Frok Prekpalaj],Ružnić,Shehu,Tabaković,Tanković,ZS-ZA-DC,HES,HSU-DSU,Atanacković,Crnković,Čanak,Dejanović,Dubaić,Džakula,Gajica,Hinić,Jandrić,Javorina-Šolaja,Kosić,Leskovac,Livada,Lubovac,Lukić,Marić,Medaković,Pupovac,Stanimirović,Šušak,HDSS,Bilek,Vlado Cabrnoh,Čuhnil,Fofonja,Kopecky,Kuric,Malina,Miler,Vaniček-Fila,Jankovics,Ruksinski,Sekereš,Šoja,Varga,DGS,HSS-HSLS-ZS-ZDS,PGS-SBHS-MDS-DLS,SDP-SDA,Bajić,Bajrić,Balog [Bojan Balog],Balog [Željko Balog],Bogdan,Burda,Filima,SBHS-MDS,Hasanović,Ignac,Kalanjoš,Kostelnik,Kostić,Memedi [Nazif Memedi],Momirović-Dedić,Neugebauer,NSNAH,Rac,Seferović,Trischler,Zavacki,Radin,Slama,Stefan,HSLS-HSS-PGS,Lončar,Alijansa,HDS,ISDNS-SU,IDS,ZA-SPOT,ZS-ASH-HRS-JS,SHB
HR_00116,Bedekovcina,6844,4071,60,0,3,0,0,29,0,11,7,8,1112,0,336,0,47,34,337,2,5,11,0,1659,8,0,0,0,0,9,0,0,0,0,19,6,14,333,10,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00124,Bednja,4273,2528,29,0,3,0,0,12,0,4,1,3,705,0,1309,0,3,34,59,1,2,4,0,213,5,0,0,0,0,1,0,0,0,0,7,3,4,115,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00132,Beli Manastir,11155,5523,83,0,29,0,0,4,0,19,4,0,1536,0,206,37,23,218,239,10,8,20,88,1355,0,8,9,7,13,3,509,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0,13,10,12,4,8,19,313,4,3,11,17,129,27,13,7,9,13,451,461,10,0,0,0,0,1,0,0,0,0,0,112,2,5,126,3,0,0,0,7,0,9,0,0,29,0,0,0,0,0,0,0,28,7,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00159,Belica,2887,1841,24,0,1,0,0,25,0,2,2,6,308,0,338,0,8,68,73,0,4,8,0,755,0,0,0,0,0,2,0,0,0,0,7,1,3,186,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00167,Belisce,9886,6053,76,0,5,0,0,6,0,25,4,0,1356,0,299,83,36,227,421,12,8,13,63,1669,0,28,12,24,21,17,1493,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,1,2,1,1,4,0,0,2,0,1,5,3,0,0,0,0,0,0,0,1,0,0,0,2,3,0,1,0,0,0,0,15,0,0,0,2,54,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00175,Benkovac,15773,5860,121,0,7,9,14,13,5,50,4,29,3550,53,128,252,16,135,97,5,34,9,8,578,0,12,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,5,0,6,29,36,6,2,5,1,50,32,8,5,9,3,112,43,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00183,Berek,1379,939,7,0,2,0,0,8,0,0,0,1,408,1,12,229,5,18,53,3,2,7,3,157,4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00191,Beretinec,1810,1320,37,0,1,0,0,7,0,4,2,3,285,0,507,0,4,5,16,0,2,2,0,189,2,0,0,0,0,4,0,0,0,0,0,6,3,238,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00205,Bibinje,3389,2104,28,0,0,2,2,6,3,13,1,12,1387,8,27,50,14,175,73,0,29,1,1,190,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HR_00213,Bilje,5537,3181,39,0,4,0,0,5,0,13,3,0,608,0,111,41,16,243,86,1,3,4,12,608,0,7,3,19,11,2,401,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,5,1,0,1,1,2,1,1,0,1,0,8,12,2,0,0,0,0,0,0,0,0,0,0,523,2,5,319,9,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
