gisco_id,name,registered,turnout,invalid,blank,DZMH,Kučera,HSS,SMU,ASH,LH,DSU-SN,HČSP-HKDU,HDRS,HDSS-HDC-DPS,HDZ,HGSS-HKDS,HNS-SBHS,HPS,HRZ,HSLS-DC,HSP,HSP1861,HSU,HB-HIP,HDS,HP (2005),HR,NL [Neovisna lista],Zec,POL-INS,SDP,SRP,DSRS,SHB,ZS-Zeleni-SND-SNA,Zeleni HR,Kuzhnini,ZAOBŽ,Reçica,SSDRH,Tabaković,SDA,Alijansa,HRS,HDS-HKDS-HGSS,HND,Levaković,SDP-LIBRA,DGS,HDSS,HNS,HPSS-1904,HSP-ZDS-MS,SDU,HES,HNS-PGS,HDS-HDRS,Pavlek,ZS-SNA-PGSU-Zeleni-SND,HDRS-HDS-JHS,HGSS,HKDS,HDD,HP (2000),KSU,Antić,Živković,Maslina,RUSNAK,RiU-Z,RiU-O,LS,TB-SU,NNZ/DG,Memedi [Nazif Memedi],KUD-V,NSNH,SRURH,Ukrajina-SB,SSRH,SBHS-PGS,LIBRA,DSU,HPS-HP,Adamović,SDP-LS,Bakula,SDSS,SNS,HSP-ZDS,ASH-JS,SDP-LIBRA-LS,SHP,DSZ,HGSS-HDS,Petter,PPS,ZSR,U.P.D.K.,Bognolo,FDI,Poropat,Radin,DAN,HČSP-HKDU-HDSS,Ciganović,SDP-IDS
HR_00116,Bedekovcina,6875,4069,143,0,0,0,241,0,0,11,25,19,0,0,1021,12,0,2,0,107,0,26,270,82,9,7,4,3,0,6,0,23,0,9,41,0,0,0,1,0,0,2,6,17,0,22,0,1151,3,256,230,10,272,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00124,Bednja,4444,2580,46,0,0,0,169,0,0,2,4,7,0,0,801,6,0,3,0,84,0,12,70,17,12,0,0,7,0,4,0,3,0,2,11,0,0,0,0,0,0,0,6,3,0,3,0,175,2,72,998,7,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00132,Beli Manastir,10753,5646,153,0,121,13,143,131,0,170,21,18,0,28,1517,0,330,20,6,281,522,11,161,17,0,6,1,88,0,18,0,65,7,12,0,32,1,1,0,2,0,1,8,10,4,8,6,821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,0,23,10,0,1,3,0,0,0,0,0,0,0,0,0,1912,224,0,0,0,0,0,0,0,222,66,32,0,0,0,0,0,0,0,0
HR_00159,Belica,2871,1897,32,0,0,0,333,0,0,8,6,10,0,0,296,8,0,1,0,66,0,39,63,1,14,0,2,4,0,2,0,10,0,3,14,0,0,0,0,0,0,0,2,7,0,2,0,528,2,199,155,15,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00167,Belisce,9865,6280,151,0,2,0,227,2,0,25,25,41,0,53,1942,0,441,33,9,266,472,34,721,30,0,6,4,38,0,5,0,27,221,19,0,49,0,0,0,0,0,0,13,21,55,8,3,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,3,6,0,2,1,0,0,2,0,0,0,0,0,0,0,41,12,0,0,0,0,0,0,0,15,4,1,0,0,0,0,0,0,0,0
HR_00175,Benkovac,13211,5336,167,0,0,0,240,0,15,33,16,118,0,0,3408,0,0,14,7,79,215,20,45,50,0,6,6,12,0,2,346,19,0,3,9,12,0,0,0,0,0,0,0,5,0,0,0,0,3,0,184,0,0,0,0,0,0,0,0,12,21,19,2,2,4,61,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,70,0,0,0,0,0,0,0,34,14,4,0,0,0,0,0,0,0,0
HR_00183,Berek,1447,1059,25,0,1,0,232,0,4,10,0,2,0,27,455,0,0,5,6,32,47,8,27,1,0,1,0,0,0,0,0,12,0,3,0,3,0,0,0,0,0,0,1,1,0,0,0,101,2,0,17,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,0,0,0,0,11,9,0,2,1,2,0,0,0,0,0,0,0,0
HR_00191,Beretinec,1831,1322,41,0,0,0,213,0,0,4,8,1,0,0,384,4,0,3,0,88,0,3,27,1,4,0,2,1,0,0,0,2,0,5,6,0,0,0,0,0,0,0,1,0,0,3,0,116,0,63,316,5,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00205,Bibinje,3081,2026,21,0,1,0,48,0,2,3,5,84,0,0,1169,0,0,1,4,24,276,8,29,17,0,1,1,6,0,1,142,1,0,5,13,8,1,1,0,0,0,0,0,3,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,3,14,9,1,1,1,62,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00213,Bilje,5458,2954,56,0,325,139,103,201,0,19,6,11,0,18,929,0,155,15,5,118,238,7,46,20,0,0,1,50,0,6,0,8,5,3,0,10,0,0,0,0,0,0,10,7,3,2,6,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,54,14,0,0,0,0,0,0,0,22,2,6,0,0,0,0,0,0,0,0
