gisco_id,name,registered,turnout,invalid,blank,Radin,Zennaro,Akšamija,Avdić,Hodžić [Nedžad Hodžić],Prljaskaj,Mešić [Mirza Mešić],Morina,Srebreniković,Sulejmani,A-HSP,BM365-NS-R-NV-HSS-BUZ,HSP-HČSP-ABH-OS,HSP-HKDU-HDS-USP-DESNO,MOST,Pametno-Za grad,DSŽ,HDZ,HDSSB-HKS,HL,Dukić,NLSP-SH-PZ-ORaH,SDP-HNS-HSS-HSU,HSU,ŽZ-PH-AM,B-DH,BDSH,HBPS,HDZ-HSLS,HRS,HB,SMS,SRP,ŽZ-PH-AM-Abeceda,AM,HNS-HSU,HSR,Glasnović,IDS-PGS-RI,SHV,SRNA,DI,Zeleni,MDS,Knapić,ZS-SU,ŽZ-PH-AM-Abeceda-HDSS-MS,Ajduković,Horvat [Mile Horvat],Ljubojević,Milaković,Milošević [Boris Milošević],Pupovac,Radmanović,Jankovics,Juhas,ŽZ-PH-AM-HDSS-Abeceda,NLSP-SH-PZ-ORaH-SHZ-SU,ABUH,Bilek,Komak,HDZ-HDS,HSP1861,NLSP-SH-PZ-ORaH-SU,Ahmedi,Avdagić,Bosak [Robert Bosak],Hasanović,Ismailovski,Kajtazi,Kostić,Memedi [Orhan Memedi]
HR_00116,Bedekovcina,6626,3068,57,0,0,0,0,0,0,0,0,0,0,1,6,103,13,8,137,13,0,682,0,24,0,11,1818,0,0,5,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,4,17,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HR_00124,Bednja,3760,1562,29,0,0,0,0,0,0,1,0,0,0,0,10,140,11,3,74,8,0,596,0,2,0,31,577,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00132,Beli Manastir,8545,3946,86,0,0,0,0,1,0,0,1,0,0,0,12,43,19,17,164,20,0,1108,270,9,0,10,1044,17,0,0,5,0,3,0,0,0,0,229,0,0,3,0,0,6,0,0,0,0,0,0,0,24,223,23,32,181,262,23,168,249,0,0,18,0,0,0,0,0,0,2,0,0,0,42,95,0
HR_00159,Belica,2752,1319,23,0,0,0,0,0,0,0,0,0,0,1,2,103,4,5,40,4,0,209,0,4,0,2,820,0,0,2,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,5,4,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00167,Belisce,8906,4620,81,0,0,0,0,0,0,0,0,0,0,0,16,34,31,12,259,94,0,1232,1264,8,0,17,1112,63,0,0,7,0,0,0,0,0,0,274,0,0,3,0,0,7,0,0,0,0,0,0,0,1,5,0,2,3,5,0,3,2,0,0,11,0,0,0,0,0,0,2,2,0,0,80,0,0
HR_00175,Benkovac,13967,4707,105,0,0,0,0,0,0,1,0,0,0,0,31,79,30,32,485,22,0,2648,0,0,0,0,682,0,148,6,10,0,33,0,0,0,8,3,0,0,1,0,0,0,0,0,0,0,0,0,0,12,115,81,76,118,204,111,0,0,3,63,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HR_00183,Berek,1179,576,13,0,0,0,0,0,0,0,0,0,0,0,4,22,6,2,36,1,0,0,0,3,0,4,156,4,0,0,0,1,284,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00191,Beretinec,1832,918,19,0,0,0,0,0,0,0,0,0,0,0,3,60,6,3,49,4,0,232,0,3,0,12,442,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,3,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00205,Bibinje,3451,1594,31,0,0,0,0,0,0,0,0,0,4,0,9,33,10,20,174,7,0,1006,0,0,0,0,205,0,64,3,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00213,Bilje,4847,2780,100,0,0,0,0,0,0,0,0,0,0,0,8,25,8,20,148,13,0,571,199,5,0,1,560,11,0,0,4,0,0,0,0,0,0,138,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,3,0,592,345,0,0,17,0,0,0,0,0,0,1,3,0,1,5,0,0
