gisco_id,name,registered,turnout,invalid,blank,Abeceda,AM,A-HSP,DPS [Demokratska Prigorsko-Zagrebačka Stranka],DSŽ-HSN-ASBU,HDZ-HSS-HSP-BUZ-ZDS-HDS,HRS,HSR,HDSSB-ABH-A-HSS-HRAST-HSP-HZ-OS-ZZH,HL,MDS,NF-HSLS-PGS-RI,NS-NSS,Ðapić,ORaH,PS,HB,KLJUČ,SRH,SDP-HNS-IDS-HSU,SPH,SRP,SHZ,HSU,ZH-AMD-ZS
HR_02046,Korčula,5176,1596,58,0,3,11,2,4,10,730,4,1,57,17,0,44,0,1,60,1,4,4,2,551,1,2,0,14,15
HR_02054,Koska,3342,732,25,0,14,5,2,1,7,314,5,0,151,31,0,14,2,2,33,1,2,3,1,104,3,1,0,6,5
HR_02062,Kotoriba,2533,561,23,0,4,6,1,1,2,143,3,1,26,56,5,8,0,5,39,7,3,3,22,191,0,0,1,8,3
HR_02089,Kraljevec na Sutli,1402,354,25,0,0,6,0,3,4,147,7,2,20,13,2,5,0,0,23,0,2,4,0,80,1,0,1,8,1
HR_02097,Kraljevica,3985,1052,33,0,4,15,3,2,4,314,7,4,36,37,1,31,3,2,120,3,1,8,0,405,4,0,2,9,4
HR_02119,Krapina,10277,2830,138,0,11,35,8,1,18,1114,13,5,74,246,6,47,4,5,243,11,3,5,7,791,3,4,6,24,8
HR_02127,Krapinske Toplice,4556,1394,85,0,18,20,4,6,23,457,21,4,33,156,3,40,0,4,171,2,10,5,2,295,1,1,1,20,12
HR_02135,Kriz,5893,1779,72,0,6,21,6,3,11,436,6,1,57,469,5,56,2,3,149,8,3,21,9,409,3,3,1,16,3
HR_02143,Krizevci,17341,4280,111,0,12,25,16,10,22,2006,18,4,212,158,4,51,10,6,438,14,4,20,14,1079,5,6,4,13,18
HR_02151,Krk,6082,1312,50,0,3,27,2,4,7,329,7,0,119,41,0,48,1,4,155,2,6,4,3,467,1,8,2,12,10
HR_02160,Krnjak,1942,357,11,0,5,5,2,0,0,79,1,0,1,8,2,5,1,1,10,1,0,2,1,219,2,0,0,1,0
HR_02178,Krsan,2694,637,25,0,1,25,0,5,13,135,3,1,11,32,0,5,1,1,60,1,1,6,3,295,2,3,1,5,2
HR_02194,Kula Norinska,1473,533,29,0,10,3,7,3,5,243,0,0,25,3,0,73,0,0,24,2,1,1,4,94,0,1,1,3,1
HR_02208,Kutina,19497,5086,138,0,16,30,18,11,21,2102,11,7,384,206,6,165,8,8,478,12,11,23,12,1370,4,10,5,25,5
HR_02216,Kutjevo,5496,1418,36,0,8,9,7,5,6,709,10,3,169,27,1,14,2,4,90,4,2,3,1,293,1,2,0,9,3
HR_02224,Labin,10684,2891,98,0,8,25,5,26,10,220,9,0,27,169,2,31,8,4,282,9,8,14,5,1871,7,8,4,26,15
HR_02232,Lanisce,337,89,3,0,1,2,0,6,2,19,0,0,3,5,1,5,0,1,6,0,0,0,1,33,0,0,0,1,0
HR_02259,Lasinja,1529,346,9,0,0,6,0,1,1,190,2,0,18,10,0,20,1,0,23,0,3,1,1,52,0,1,0,5,2
HR_02267,Lastovo,884,208,7,0,2,1,1,0,0,80,1,1,3,5,0,1,2,0,21,1,0,2,1,75,1,0,0,3,0
HR_02275,Legrad,2021,388,16,0,3,5,5,0,2,172,1,0,7,13,0,2,1,0,37,4,0,2,0,116,0,1,0,1,0
HR_02283,Lekenik,4963,1217,38,0,6,6,13,3,7,639,8,0,33,42,0,26,1,1,110,1,7,5,2,251,2,3,3,7,3
