gisco_id,name,registered,turnout,invalid,blank,Abeceda,AM,A-HSP,DPS [Demokratska Prigorsko-Zagrebačka Stranka],DSŽ-HSN-ASBU,HDZ-HSS-HSP-BUZ-ZDS-HDS,HRS,HSR,HDSSB-ABH-A-HSS-HRAST-HSP-HZ-OS-ZZH,HL,MDS,NF-HSLS-PGS-RI,NS-NSS,Ðapić,ORaH,PS,HB,KLJUČ,SRH,SDP-HNS-IDS-HSU,SPH,SRP,SHZ,HSU,ZH-AMD-ZS
HR_00680,Davor,2425,545,17,0,8,7,0,2,9,287,0,2,91,7,1,6,1,5,25,0,0,1,1,70,0,1,0,2,2
HR_00698,Delnice,5145,1087,37,0,6,9,7,4,8,268,3,3,34,64,0,32,2,3,101,5,5,7,2,452,1,1,0,22,11
HR_00701,Desinic,2253,488,38,0,7,2,3,5,15,269,5,1,8,24,0,2,2,3,32,1,2,2,1,55,2,2,1,3,3
HR_00710,Dezanovac,2297,501,23,0,1,6,2,0,5,242,2,1,23,16,1,9,2,4,32,3,1,3,0,120,1,0,0,2,2
HR_00728,Dicmo,2140,578,26,0,1,3,6,2,2,391,0,2,66,7,0,5,0,4,13,0,1,1,0,41,2,1,0,2,2
HR_00744,Dobrinj,2239,462,22,0,1,9,3,0,3,114,2,0,9,14,1,29,1,1,75,3,1,3,0,162,1,0,0,7,1
HR_00752,Domasinec,1937,336,15,0,1,2,2,1,4,96,2,0,9,43,11,5,0,0,21,0,1,3,6,106,0,1,0,5,2
HR_00779,Brela,1639,497,26,0,3,5,1,0,1,240,0,0,25,8,0,12,0,1,38,13,0,1,2,114,0,0,0,5,2
HR_00787,Donja Dubrava,1759,382,13,0,4,1,2,1,1,143,1,1,3,43,14,2,0,0,26,1,0,1,0,120,0,0,0,3,2
HR_00795,Donja Stubica,4528,954,16,0,0,5,1,4,10,317,7,2,46,135,0,89,0,0,84,5,2,8,1,207,1,1,0,7,6
HR_00809,Donja Voca,2145,237,13,0,1,2,1,2,1,94,2,2,12,9,1,4,0,0,21,0,1,4,1,62,1,0,0,2,1
HR_00817,Donji Andrijevci,3251,850,57,0,8,9,8,3,7,419,6,5,76,11,0,26,0,5,50,2,4,6,6,126,1,4,0,6,5
HR_00825,Donji Kraljevec,3837,1180,67,0,7,8,2,5,14,387,12,2,22,122,90,16,1,1,97,4,3,4,8,289,2,2,1,6,8
HR_00833,Donji Kukuruzari,1584,394,17,0,1,1,1,1,7,212,2,0,7,3,1,7,7,0,16,1,0,4,0,102,0,1,1,0,2
HR_00841,Donji Lapac,2212,540,20,0,4,0,2,2,0,86,0,0,8,3,3,3,5,1,10,0,2,0,2,383,1,4,0,1,0
HR_00850,Martijanec,2616,487,15,0,4,4,1,0,2,227,4,2,9,24,1,5,1,0,33,2,2,5,2,138,1,0,1,3,1
HR_00868,Donji Miholjac,7907,1576,56,0,5,17,9,4,21,675,1,4,204,53,2,16,0,4,131,2,1,15,3,327,2,1,1,16,6
HR_00876,Muc,3235,564,31,0,3,6,5,1,7,263,5,1,72,12,0,23,0,1,28,1,1,1,3,84,2,1,1,11,1
HR_00884,Prolozac,3455,1331,19,0,6,0,3,0,5,780,3,1,396,3,1,34,1,2,17,0,3,1,0,53,1,1,1,0,0
HR_00892,Donji Vidovec,1247,188,6,0,2,1,0,1,0,68,1,0,2,18,7,14,1,0,21,0,1,0,0,42,1,0,0,2,0
HR_00906,Draganic,2446,514,12,0,4,4,3,0,2,284,2,0,31,27,1,8,0,0,28,1,1,7,2,90,0,0,1,1,5
HR_00914,Draz,2727,829,59,0,11,22,12,1,20,293,11,0,160,18,5,10,4,9,48,4,2,8,4,106,2,1,0,11,8
HR_00922,Drenovci,4851,397,23,0,3,6,4,1,3,247,1,1,16,7,0,5,0,1,22,2,0,1,1,49,0,1,0,3,0
HR_00949,Drenje,2166,498,18,0,3,2,3,0,10,187,3,0,93,10,0,10,3,10,23,2,0,5,1,102,3,1,0,8,1
HR_00957,Drnis,7415,2194,91,0,10,12,8,6,6,1448,5,6,89,16,2,50,1,6,68,2,2,2,5,342,3,1,3,7,3
HR_00965,Drnje,1543,233,12,0,1,1,2,0,1,76,0,0,6,16,0,5,1,0,32,2,2,1,0,72,0,1,0,2,0
HR_00973,Dubrava,3952,1008,44,0,6,14,14,5,9,373,13,2,55,39,1,29,1,1,109,6,4,10,6,245,0,3,1,10,8
HR_00981,Dubrovnik,38204,8794,238,0,17,47,37,14,38,3927,19,7,362,151,4,252,12,14,751,25,9,22,16,2750,7,8,5,35,27
