gisco_id,name,registered,turnout,invalid,blank,A-HSP,BM365-DPS-DSŽ-HES-HRS-HSZ-ID-MS-NSH-NV-SU-UDU-ZELENI-ZS,HDZ-HSS-HSP-BUZ-HSLS-HDS-ZDS-HRAST,HKS-HSP-OS,MOST,NS-R,ORaH,UIO,AM,HKDU-HDS-ND,HZ,Centar,SDP-HNS-HSU-HL-A-HSS-ZS,SRP,HGS,KLJUČ,NHPS-NS-R-SHU-ZF-DDS,IDS-PGS-RI,PZ,RF,Ajduković,Bjelajac,Horvat [Mile Horvat],Ljubojević,Milaković,Mirnić,Petrović,Pupovac,Rašković,Todić,Vlahović,NS-R-PSIJ-SHU-ZF-DDS,HDSSB,BDSH,MDS,Knapić,Ahmedi,Balog [Željko Balog],Bosak [Robert Bosak],Kajtazi,Kalanjoš,Kostić,Pichler,Rašljanin,Trischler,Zahirović,Jindra,Bilek,Komak,Za grad,HSR,Bajs,Lacković,Aliti,Avdić,Džomba,Graca,Hodžić [Nedžad Hodžić],Koželj-Horvat,Prljaskaj,Pršić,Salkić,Srebreniković,Sulejmani,Tabaković,Davidović,Pinjuh,DESNO,Dapas,Radin,Zennaro,SDP-HNS-HSU-HL-A-HSS-ZS-SDSS,ŽZ-AM,Jankovics,Juhas
HR_00019,Andrijasevci,3268,1983,44,0,23,22,1068,5,191,0,15,30,4,2,0,0,408,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00027,Antunovac,3114,2111,33,0,15,15,1117,18,183,0,9,15,3,0,0,0,441,0,0,86,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,2
HR_00035,Babina Greda,3205,1667,33,0,19,19,779,10,82,0,9,10,2,1,0,0,554,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00043,Bakar,7234,4368,81,0,22,76,1288,19,593,0,74,32,24,3,4,18,1751,0,0,280,44,0,6,0,1,1,12,4,2,2,0,17,9,0,1,1,0,8,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,1,0,9,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
HR_00051,Bale - Valle,1068,553,14,0,1,18,43,2,31,0,7,4,2,0,0,0,128,2,0,34,8,191,0,1,1,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,1,52,6,0,0,0,0
HR_00060,Barban,2294,1531,33,0,5,61,162,0,61,0,24,4,4,0,0,0,567,1,0,45,7,552,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HR_00078,Barilovic,2736,1532,31,0,14,43,818,20,114,0,7,9,4,0,2,2,333,0,0,67,10,0,1,0,3,2,14,31,10,2,0,24,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00086,Baška,1793,883,14,0,8,25,139,5,133,0,28,11,4,0,0,0,324,6,0,49,13,113,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
HR_00094,Baska Voda,3178,1663,30,0,7,18,756,13,267,12,18,4,10,2,8,2,461,4,2,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00108,Bebrina,2630,1434,34,0,24,44,730,19,100,0,6,12,4,11,0,0,297,0,0,44,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,27,73,0,0,0,0,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00116,Bedekovcina,6622,3748,70,0,19,84,895,11,239,0,29,21,9,11,0,0,2082,4,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,5,1,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00124,Bednja,3732,1676,44,0,15,16,557,3,98,0,24,5,5,6,0,0,572,1,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,5,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00132,Beli Manastir,8794,4799,111,0,20,40,1308,36,273,0,52,19,17,0,0,0,1465,0,0,209,38,0,0,0,29,5,220,18,22,6,3,281,182,7,4,0,326,14,0,0,0,0,1,40,0,73,1,0,4,44,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,1,0,0,0,15,0,0,0,2,0,160,198
HR_00159,Belica,2741,1552,24,0,8,30,212,5,45,0,33,2,2,1,0,0,838,5,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,1,14,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00167,Belisce,8945,5562,92,0,39,26,1365,38,451,0,100,79,19,0,0,0,1341,0,0,316,22,0,0,0,1,1,2,1,1,0,0,5,2,1,0,0,1536,9,0,0,7,1,0,92,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,1
HR_00175,Benkovac,14038,5166,105,0,33,41,2945,24,620,0,20,52,0,14,39,0,20,0,8,1,0,0,0,0,11,3,10,50,36,4,2,37,13,4,3,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970,119,0,0
HR_00183,Berek,1181,634,13,0,13,17,280,0,38,0,7,8,2,0,1,0,175,2,0,34,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00191,Beretinec,1835,1039,34,0,7,26,241,7,83,0,11,2,3,3,0,0,438,3,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00205,Bibinje,3443,1927,26,0,13,11,1267,5,252,0,32,27,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,220,52,0,0
HR_00213,Bilje,4884,3150,56,0,16,20,600,18,229,0,35,25,5,0,0,0,704,0,0,155,15,0,0,0,3,0,3,0,1,1,0,5,2,0,0,0,310,6,0,0,0,0,0,0,0,10,3,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,512,403
HR_00221,Biograd na Moru,5278,3038,71,0,19,28,1272,4,493,0,35,32,0,11,10,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,909,102,0,0
HR_00230,Bizovac,3861,2412,38,0,9,17,758,71,181,0,61,17,8,0,0,0,542,0,0,126,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1
HR_00248,Bjelovar,33970,20103,353,0,89,634,6085,106,2320,0,454,195,25,0,17,0,7494,69,0,870,95,0,0,0,6,6,14,1,2,2,1,37,14,0,5,1,4,1,0,0,0,14,21,0,0,2,2,0,1,0,0,20,0,20,13,1049,63,0,0,0,0,0,0,18,0,0,0,7,0,0,0,0,0,0,0,2,0,0,12
HR_00256,Blato,3461,2118,41,0,9,6,1107,22,206,7,17,7,10,2,4,5,620,8,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00264,Bogdanovci,1746,965,12,0,13,13,491,59,41,0,5,4,1,0,0,0,174,0,0,38,0,0,0,0,5,0,4,1,0,2,1,8,2,1,0,3,36,0,0,0,1,0,7,19,0,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HR_00272,Bol,1671,928,13,0,10,6,280,9,135,3,14,3,3,0,3,16,376,3,4,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00299,Borovo,4326,1548,70,0,14,6,35,2,24,0,20,1,1,1,0,0,210,0,0,34,0,0,0,0,184,18,745,102,198,66,14,831,642,107,9,17,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
HR_00302,Bosiljevo,1137,643,17,0,14,19,339,6,33,0,6,2,0,1,0,2,145,0,0,54,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00329,Bosnjaci,3358,1628,34,0,17,46,827,19,115,0,9,18,10,1,0,0,311,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00337,Brckovljani,5861,3054,41,0,14,338,1091,6,472,0,47,53,3,0,5,0,804,8,0,131,17,0,0,0,1,0,2,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
HR_00345,Brdovec,10010,6278,100,0,27,260,1636,10,944,0,184,56,16,3,2,15,2616,0,0,279,70,0,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
HR_00353,Brestovac,3434,1949,26,0,19,51,1025,4,101,0,16,15,6,3,0,0,506,0,0,55,0,0,0,0,0,1,7,3,3,1,1,15,9,0,3,24,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00361,Breznica,1793,976,18,0,4,38,332,1,60,0,13,10,1,2,0,0,333,2,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00370,Brinje,2866,1355,31,0,14,67,912,8,66,0,9,3,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,15,0,0
HR_00388,Brod Moravice,740,473,6,0,3,17,226,1,35,0,6,1,5,3,0,1,142,0,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00396,Brodski Stupnik,2581,1428,38,0,12,61,628,19,162,0,19,13,0,1,0,0,328,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00400,Brtonigla - Verteneglio,1544,807,16,0,10,44,85,2,51,0,9,0,3,0,0,0,139,4,0,51,10,301,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,42,34,0,0,0,0
HR_00418,Budinscina,1945,939,26,0,9,23,381,1,46,0,4,5,1,3,0,0,364,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00426,Buje - Buie,4840,2322,67,0,13,119,267,2,165,0,22,11,9,0,0,0,651,11,0,177,39,514,4,6,0,1,1,2,0,1,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,1,5,0,0,0,1,0,0,0,0,8,147,70,0,0,0,2
HR_00434,Buzet,5170,3313,100,0,4,286,196,10,202,0,47,27,16,0,0,0,866,8,0,133,48,1339,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,5,2,0,0,1,1,1,0,0,0,0,0,5,2,0,0,0,0
HR_00442,Cerna,3813,2298,76,0,23,39,1111,9,200,0,16,25,9,10,0,0,533,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00469,Cernik,3237,1807,36,0,15,32,768,5,153,0,22,22,6,2,0,0,452,0,0,69,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,37,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00477,Cerovlje,1353,818,20,0,2,46,116,2,32,0,4,12,2,0,0,0,124,1,0,37,16,401,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00485,Cestica,4720,2698,78,0,22,29,398,5,256,0,32,5,11,8,0,1,1327,6,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,0,5,3,18,0,2,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00493,Cetingrad,2149,914,19,0,8,23,580,3,57,0,5,1,1,0,0,2,121,0,0,37,4,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,6,25,0,0,5,0,4,0,4,0,0,0,0,0,0,0,0,0,0
