gisco_id,name,registered,turnout,invalid,blank,AS,A-HSP,DA,DP,HDZ,HSGO,HSU,Ilčić,L9,JD,MOST-HS-HSP,Možemo!,OIP,HB,PZŽ,PHR,PIP,RF,Republika,Ričard,Skočak,SDP,SIP,UZ-SU-BUZ-DSU,ORaH
HR_03760,Rugvica,7028,1467,15,0,5,3,3,111,737,3,8,14,9,4,47,37,37,2,7,0,50,1,1,10,58,296,3,4,2
HR_05916,Runovici,1870,592,9,0,2,0,0,88,393,0,2,5,1,1,30,1,6,0,2,0,10,0,2,5,8,24,0,3,0
HR_03778,Ruzic,1129,231,4,0,1,0,1,40,119,2,2,1,0,1,19,1,4,2,0,0,6,0,4,10,3,9,2,0,0
HR_03786,Saborsko,475,110,0,0,0,1,1,4,64,0,4,0,20,0,2,0,2,0,0,0,0,0,0,0,1,11,0,0,0
HR_03794,Sali,2175,638,6,0,2,0,4,46,240,1,3,4,4,2,18,24,7,0,6,0,15,0,2,15,9,215,2,11,2
HR_03808,Samobor,32921,7307,105,0,34,9,6,561,1883,6,44,104,71,4,230,640,101,15,39,8,273,45,14,70,448,2499,17,54,27
HR_03816,Satnica Đakovačka,1684,270,4,0,0,0,0,43,104,0,6,3,3,0,10,3,5,2,0,0,5,0,0,2,13,63,0,4,0
HR_03824,Seget,4228,1134,12,0,4,1,3,74,730,0,2,5,4,0,35,9,13,0,0,0,21,5,0,23,21,161,2,9,0
HR_03832,Selca,1727,403,6,0,2,1,2,27,103,0,1,4,1,0,32,24,2,0,4,0,20,3,0,5,17,143,1,3,2
HR_03859,Selnica,2476,323,6,0,2,0,0,10,82,0,2,10,54,0,9,17,2,1,0,0,12,2,0,1,26,80,2,4,1
HR_03867,Semeljci,3235,461,3,0,4,1,0,60,222,2,4,9,0,0,12,3,6,0,0,0,10,3,0,1,26,91,0,3,1
HR_03875,Senj,5821,1801,31,0,6,4,1,77,1235,8,7,3,12,0,62,22,20,2,6,2,29,2,1,20,29,208,3,11,0
HR_05622,Severin,654,101,1,0,1,0,0,8,60,0,0,0,1,0,8,1,2,0,0,0,3,0,1,0,5,9,0,1,0
HR_03883,Sibinj,5462,809,22,0,5,4,0,90,375,0,11,12,5,0,31,14,13,3,3,0,27,0,0,6,30,151,1,5,1
HR_05703,Sikirevci,1913,316,5,0,1,0,1,41,163,0,2,0,8,1,3,4,3,0,1,1,9,0,0,3,32,37,0,0,1
HR_03891,Sinj,20704,3345,49,0,6,4,1,337,1482,4,12,41,36,2,277,99,64,2,7,6,62,14,3,58,100,662,2,11,4
HR_03905,Sirac,1707,235,2,0,1,2,0,18,109,0,2,3,14,0,13,2,1,1,1,0,4,0,0,3,12,44,2,1,0
HR_03913,Sisak,36596,7513,126,0,23,11,5,608,3173,6,43,50,161,3,191,279,72,12,24,1,226,41,7,65,309,1990,23,55,9
HR_03930,Skrad,785,209,2,0,1,0,0,10,98,0,3,1,6,0,1,3,2,1,1,0,6,0,0,2,6,63,1,1,1
HR_03948,Skradin,3894,767,38,0,7,1,3,71,402,2,3,1,95,0,13,7,13,1,0,0,9,0,0,18,9,69,1,3,1
HR_03956,Slatina,10719,1992,26,0,8,1,1,156,1003,1,9,14,54,0,53,52,10,0,7,2,50,7,0,18,62,437,3,17,1
